--
-- author: haosun
   [1022] = "执行完任务回到圣摩拉城中的约翰亚斯决定前往酒馆消遣，遭到了莎娜的阻止，但最终还是被约翰亚斯说服，两人一同前往酒馆。\n\n在这个混乱喧嚣的地方，鱼龙混杂，来自什么地方的人都有，同时……这里也是最适合获取情报和信息交流的地方。\n\n约翰亚斯一边用各种理由拉着莎娜喝酒，同时也发现了最近城中出现的异样，以及一个被腐化成魔物的男子。\n\n从他身上，约翰亚斯得到了与地牢和耀皇有关的情报。",
   [1023] = "根据酒馆中获得的线索，约翰亚斯独自来到了地牢，并发现了恶魔信从踪迹。\n\n解决掉对方后，约翰亚斯也发现线索牵引的矛头进一步指向耀皇罗德里戈。",
   [1024] = "刚结束探查，约翰亚斯却发现莎娜也跟了进来。\n\n交谈中，两人偶然发现了前耀皇嘉波并未身死，而是被囚禁在伊迪斯地牢中，此刻正用工具企图凿墙越狱。",
   [1025] = "从意外发现的嘉波身上，两人获得了更多的情报，也明确了耀皇已经或主动或被动的与恶魔产生了来往。\n\n为了确保圣摩拉民众的安危，约翰亚斯决定采取进一步的行动，但为了莎娜的安全，给她安排了另外的任务，两人重新将越狱未遂的嘉波囚禁起来后，便分头开始了各自的行动。\n\n耀会里忠诚于耀皇的人非常多，其中也不乏能力高强的人，除海因里希之外，还有名为赫莎的魔女。\n\n但不同于海因里希，赫莎有着冷静的分析能力，约翰亚斯权衡利弊，决定先与赫莎协商会见耀皇查明真相的事，以免之后两人产生不必要的冲突。\n\n同时约翰亚斯也需要有赫莎这种程度的帮手，来帮自己在行动的过程中处理一些其他的事情。",
   [1026] = "成功说服赫莎不站在自己的对立面之后，赫莎按照约定前往耀皇所在的耀堂附近。\n\n果然发现了擅自行动准备来帮忙的莎娜，并在确认对方身份后佯装要去告发，以此将莎娜引走。",
   [1027] = "这是最后的确认，也是最后的防线。\n\n约翰亚斯抛开顾虑，独自前往耀堂附近，找到了亲自领兵守卫耀堂周边的卡琳娜。\n\n一番交谈后，彻底确认了耀皇已经与恶魔勾结，而非遭到引诱和欺骗。\n\n但同时也被敏锐的卡琳娜发现了破绽，约翰亚斯只能将计就计，趁着骑士长海因里希还未归来，将卡琳娜和一众护卫引诱至通往城外的方向。",
   [1028] = "完成了所有准备，约翰亚斯最终站在了耀皇罗德里戈的面前，只不过现在的他，已经不再是星辰之环的团长。\n\n而面对约翰亚斯的质问，罗德里戈也抛出了自己的见解，面对如此的绝境，两人都有自己的看法和坚持。\n\n事已至此，双方都没有退路，只能选择用战斗的方式一决胜负。\n\n然而，在双方的战斗见分晓前，骑士长海因里希已经赶回了现场，这场对决只能草草收场。\n\n约翰亚斯留下了最后的忠告，无奈地选择了离开圣摩拉。",
   [81] = "耀皇身死，意味着圣摩拉堕落的源头也消失了。\n\n本以为这一切已经结束，却没想到从各处升起的无数亡灵，都涌向了远处的巴贝塔方向。\n\n众人怀疑是耀皇提到过的巴贝塔的恶魔在收集人类灵魂，同时猜测玛丽可能也去了巴贝塔，于是决定前往巴贝塔所在的卡尔库曼沙漠寻找真相。\n\n在前往巴贝塔的途中救下神秘执誓艾米，艾米加入魔女一行。",
   [82] = "艾米行迹可疑，导师让希贝尔暗中留意。\n\n众人找到了巴贝塔，却没有发现来自圣摩拉的无数亡灵。\n\n安利丝讲述巴贝塔的历史，称巴贝塔原是人类建造用来登上神庭的通天之塔。当时其实已经建造成功了，但神庭却无情地降下一道天雷，斩断了巴贝塔，也殃及了无数无辜性命。\n\n众人感叹神使无情，由此又引出一段更隐秘的神史，传说神曾降过一次灭世之罚——大洪水，在那场灭世之罚中，只有一个小男孩得到了一位神秘神使的提醒，救下了一批幸存者。",
   [84] = "众人打败腐肉虫后，发现腐肉虫正在啃食的尸体是一个人类男子。\n\n从男子遗落的布包里得知他是要前往圣摩拉与他的妻女见面，因为妻子在信中的口吻十分焦急和害怕，他才不得不铤而走险穿行这片恶魔盘踞的卡尔库曼沙漠，没想到不幸遇难。\n\n魔女们同情不幸旅人的遭遇，在沙漠为他立了一座孤坟，简单祷告后继续上路。",
   [86] = "埋葬完死者后就离开了，但大家很快发现似乎被什么困住了，根本无法走出这片区域。\n\n导师察觉这是亡灵的执念所致，无法强行突破，只有跟随亡灵的指引，去到亡灵想要他们去的地方，才能走出这个迷宫。",
   [88] = "走出亡灵怨念制造的迷宫，来到了一棵怨气冲天的大树旁边，导师猜测这就是亡灵想要他们来的地方，这棵魔树上束缚着无数灵魂，他们痛苦哀嚎着，希望能获得解脱。\n\n本打算回城找神使来帮忙救赎这些灵魂，却为救艾米不得不与怨灵之树开战。\n\n击败怨灵之树后，被束缚的灵魂也消散了，但他们终于得到了解脱，无声地围绕在魔女们身边感谢他们。",
   [91] = "艾米讲述深渊战争——\n这是神使战争后堕落的神使们为夺取深渊向恶魔们发动的一场战争。\n\n堕神使首领手段残酷且性格乖张难测，不少恶魔当即投靠了堕伸使阵营，这让恶魔从一开始就处于劣势，连地狱之王彼列都考虑是否要投降谈和。\n\n但地狱公爵和深渊的其他恶魔坚决不同意，最终开启了这场血腥的深渊战争。",
   [92] = "言语中，艾米似乎很不屑谈及地狱之王这个家伙，看不起这个整天不务正业还没有一点斗志的地狱之王，认为他根本不配做恶魔们的领袖。\n\n甚至在战败后抛下深渊跑去了人间，从此不知所踪。\n\n恶魔战败后，唯有地狱公爵不甘心，一直在暗中卧薪尝胆，伺机翻盘。",
   [94] = "遭遇一只本不该如此强大的魔蚊，发现它是因为吞噬了非常多的灵魂才会获得这样强大的力量。\n\n结合之前遇到的种种，可以分析得知这片沙漠长期徘徊着无数的亡灵魂魄，绝不仅仅只有圣摩拉的，甚至是大陆各地的。\n\n于是导师有了一个大胆的猜测——或许传说中通往地狱的塔塔鲁斯之门，就存在于这片沙漠之中。",
   [96] = "发现玛丽留下的魔法阵，确定了玛丽确实来过这里，猜测玛丽是不是也是为了塔塔鲁斯之门而来。\n\n又发现了一串神秘的马蹄印，可是沙漠深处本不该有马出没，众人跟随马蹄印继续前进。",
   [98] = "遭遇骑马的魔鬼骑士锡蒙利，也就是深渊入口——塔塔鲁斯之门的守门者。\n\n魔女猜测玛丽已经进入了深渊，但锡蒙利阻拦魔女们进入，告诉他们只有死者才能踏入塔塔鲁斯之门，不得已双方开战。\n\n锡蒙利战败后，地面坍塌出一个深不见底的大坑，便是深渊真正的入口。\n\n艾米暴露真实身份，竟然是深渊的恶魔娜塔莉娅，跟着导师就是想找到深渊入口。\n\n娜塔莉娅跳入深坑后消失，众人为找寻玛丽，也进入了深渊。",
   [101] = "初入地狱边境，周遭环境令人难以适应。\n\n所幸在片刻的休息下安娜恢复了精神，暗中隐藏的女子突然与魔女对话，原来是人类的死灵法师妮蔻拉丝。\n\n妮蔻拉丝讲述了自己与夜莺森林的关系，并表示自己可以帮助魔女寻找玛丽踪迹。",
   [102] = "得到妮蔻拉丝的帮助，魔女顺利地登上了冥河·科塞特斯河的渡船。\n\n一番叙述下了解了科塞特斯河的成因及故事，在众人沉浸于死灵法师的故事中，幸而安娜发现了渡船人的破绽，化解了一场危机。",
   [104] = "逐渐靠岸，魔女终于下了船。就在刚落地不久，发现了正向她们靠拢的缚灵。\n\n地狱的规矩便是生者不可入内——在妮蔻拉丝的帮助下，魔女们隐匿了生者的气息，伪装成被妮蔻拉丝带来的人类亡魂，与地狱恶魔缚灵正面相遇。\n\n相谈之下发现方才的魔婴正是他用科塞特斯河的怨魂所化，言语之间还能看出他并不乐意妮蔻拉丝来到此处。\n\n几番猜测和对话，妮蔻拉丝终于得知了缚灵的真正目的，正要离开去确认真伪时，伪装成亡灵的魔女一行不小心被缚灵看出了破绽，双方展开了战斗。",
   [106] = "跟随着死灵法师的冥蛾前行，众人来到了一条极其狭窄的甬道，商讨之下列成一排艰难进入。\n\n伸手不见五指的黑暗里不幸与引路的妮蔻拉丝失去联系，骨魔从天而降将魔女分散，不得已下魔女与其展开了战斗。",
   [108] = "首遇地狱守境领主、真正的暴君恶魔、灵魂的丈量者——林薄王·米诺斯。\n\n从安利丝看来的史料里了解到米诺斯残暴的过去，并为了继续深入探索与其展开了战斗。",
   [1031] = "妮蔻拉丝与西格莉德接受玛丽的最终魔女试炼，并成功通过，可以自由外出游历。\n\n玛丽询问她们外出的理由，她们回复说得到了有关她们的姐姐——死之古神摩耳塔的下落信息，因此要出世寻她。\n\n玛丽在她们临行前还给她们各自向她提一个问题的机会。",
   [1032] = "到达圣摩拉的两位魔女偶然目睹了一场因小事而起的争吵以及失手杀人的现场。\n\n两位魔女的反应各不相同，但她们最后还是抓住了想杀她们灭口的凶手，并交给了圣摩拉的蔷薇骑士薇泽尔处理，还得到了薇泽尔的提示，两人继续踏上旅程。",
   [1033] = "妮蔻拉丝就西格莉德的异常对她进行询问，后者避而不答。\n\n进入卡尔库曼沙漠后碰到恶魔捕食亡灵，妮蔻拉丝愤而阻止，西格莉德无奈帮忙，然而还是晚了一步，灵魂最终没能得救。",
   [1034] = "两位魔女追寻亡灵踪迹寻找深渊入口，却被守护者锡蒙利所拦下，后者坚持只能让妮蔻拉丝进入，双方发生冲突。\n\n锡蒙利实力强劲，初出茅庐的西格莉德与妮蔻拉丝难以与其抗衡，然而一只神秘的蛾蝶出现在锡蒙利面前，锡蒙利与之对话，达成某种共识后放魔女们进入。",
   [1035] = "进入深渊的两个魔女讨论着摩耳塔的线索，并决定跟着之前出现过的白色蛾蝶前进。\n\n在发现一个恶魔捕食亡灵时，妮蔻拉丝毫不犹豫地解决掉了它，并发现了一把法杖，寄宿在其中的亡灵自称是亡灵引渡人。",
   [1036] = "盖德尔与魔女进行一番交流，阐明自己对摩耳塔之事并不知情，并要求与魔女进行交易，让她们带法杖前往冥河畔。\n\n两位魔女最终同意了这一交易。",
   [1037] = "妮蔻拉丝向西格莉德讲述亡灵引渡人的必要性，但并没有得到她的认同。\n\n而在看到冥河畔的亡灵被大量吞噬时，无法忍耐的妮蔻拉丝再度出手，察觉现在的自己无法拯救亡灵的她不顾西格莉德的反对，施展了庇护亡灵之法。\n\n而在此时，西格莉德看到了有关摩耳塔的过去。",
   [1038] = "西格莉德因看到的过往而情绪爆发，并独自离开了深渊。\n\n妮蔻拉丝在理清情绪后决定先接任亡灵引渡人的职责，拜托盖德尔开启亡灵引渡人试炼。",
   [111] = "妮蔻拉丝提及那些没有资格接受米诺斯审判的亡灵，大多数是没有信仰的。\n\n也有极少数有信仰有资格却主动放弃渡河的灵魂，因为生前太过疲惫和绝望，反而觉得永恒的死亡才是解脱，安娜不理解，妮蔻拉丝告诉她不理解才是幸福的。",
