索引,资源索引路径,最大数量
202102,playerBarrage_1021/ef_Xigelide_disappear,1
202103,playerBarrage_1021_1/ef_Xigelide_birth01,1
202104,playerBarrage_1021_1/ef_Xigelide_disappear01,1
202201,playerBarrage_1022/barrage_102203,1
202202,playerBarrage_1022/barrage_102203_1,1
202203,playerBarrage_1022_1/barrage_10220301,1
202204,playerBarrage_1022_1/barrage_10220301_1,1
202205,playerBarrage_1022_2/barrage_10220302,1
202206,playerBarrage_1022_2/barrage_10220302_1,1
202301,playerBarrage_1023/barrage_102303,1
202302,playerBarrage_1023_1/barrage_10230203,1
202401,playerBarrage_1024/barrage_102403,4
202402,playerBarrage_1024/barrage_102403_1x,4
202501,playerBarrage_1025/barrage_102503,1
202502,playerBarrage_1025_1/barrage_10250203,1
202601,playerBarrage_1026/barrage_102603,1
202801,playerBarrage_1028/barrage_102803_1,4
202802,playerBarrage_1028/barrage_102803_2,6
202803,playerBarrage_1028/barrage_102803_3,3
202804,playerBarrage_1028/barrage_102803_4,2
202805,playerBarrage_1028/barrage_102803_5,2
202806,playerBarrage_1028/barrage_102803_6,2
202807,playerBarrage_1028/barrage_102803_9,2
202808,playerBarrage_1028_1/barrage_10280103,21
203001,playerBarrage_1030/barrage_103003,37
203101,playerBarrage_1031/barrage_1031,1
203501,playerBarrage_1035/barrage_10350301,3
203502,playerBarrage_1035/barrage_103503,3
203601,playerBarrage_1036/barrage_103603_0,72
203602,playerBarrage_1036/barrage_103603,1
203801,playerBarrage_1038/barrage_103803,1
203901,playerBarrage_1039/barrage_103903,64
203902,playerBarrage_1039/barrage_103903_6x,64
203903,playerBarrage_1039_1/barrage_10390301,64
203904,playerBarrage_1039_1/barrage_10390301_6x,64
204201,playerBarrage_1042/barrage_104203,1
204202,playerBarrage_1042_1/barrage_10420301,1
204401,playerBarrage_1044/barrage_104403,1
204402,playerBarrage_1044/barrage_104403_1,1
204403,playerBarrage_1044_2/barrage_10440302,1
204404,playerBarrage_1044_2/barrage_10440302_1,1
205001,playerBarrage_1050/barrage_105003_1,1
205002,playerBarrage_1050/barrage_105003_2,1
300801,playerBarrage_1008/barrage_100801_s_1s,1
300802,playerBarrage_1008/barrage_100801_gz,2
300803,playerBarrage_1008/barrage_100801,1
300804,playerBarrage_1008_1/barrage_10080201_s_1s,1
300805,playerBarrage_1008_1/barrage_100080102_gz,2
300806,playerBarrage_1008_1/barrage_10080201,1
301001,playerBarrage_1010/barrage_101001_s_1s,1
301002,playerBarrage_1010/barrage_101001_gz,2
301003,playerBarrage_1010/barrage_101001,1
301004,playerBarrage_1010_3/barrage_10100103_s_1s,1
301005,playerBarrage_1010_3/barrage_10100103_gz,2
301006,playerBarrage_1010_3/barrage_10100103,1
301501,playerBarrage_1015/barrage_101501_s_1s,1
301502,playerBarrage_1015/barrage_101501_gz,2
301503,playerBarrage_1015/barrage_101501,1
304401,playerBarrage_1044/barrage_104401_s_1s,1
304402,playerBarrage_1044/barrage_104401_gz,2
304403,playerBarrage_1044/barrage_104401,1
304404,playerBarrage_1044_2/barrage_10440102,1
304405,playerBarrage_1044_2/barrage_10440102_s_1s,2
304406,playerBarrage_1044_2/barrage_10440102_gz,1
304501,playerBarrage_1045/barrage_104501_s_1s,1
304502,playerBarrage_1045/barrage_104501_gz,2
304503,playerBarrage_1045/barrage_104501,1
500001,Enemy_Bullet/JingYing/0009_JLBY/Enemy_XuanFeng,1
500002,Enemy_Bullet/JingYing/JingYingTongYong/Enemy_YuJing,12
500003,Enemy_Bullet/JingYing/0009_JLBY/EFF_Circle_09,1
500004,BOSS_Bullet/CommonBullet/EFF_Broken_05,1
500005,Enemy_Bullet/JingYing/0009_JLBY/jiguang_guangming,12
500006,Boss_Skill/GaiYaFa/gaiyafa_yujing_1,1
500101,Boss_Skill/GaiYaFa/gaiyafa_cast_1,1
500102,Boss_Skill/GaiYaFa/GYF_XuanWo2,4
500103,Boss_Skill/GaiYaFa/M3_gaiyafa_xuli,1
500104,Boss_Skill/GaiYaFa/gaiyafa_attack_cha,1
500201,Boss_Skill/GaiYaFa/gaiyafa_attack_3,1
500202,Boss_Skill/test/gaiyafa_attack_7,1
501001,Enemy_Bullet/JingYing/1009_WDG/WDGD_HuiZhua,1
501002,Enemy_Bullet/JingYing/1009_WDG/Enemy_ZhuaJi,4
501101,Enemy_Bullet/JingYing/1009_WDG/WDGG_ZaDi,3
501102,Enemy_Bullet/JingYing/JingYingTongYong/Enemy_ChongFengYuJing,1
501103,Enemy_Bullet/xiaoguai/story00/enemy_eff_pao_red,1
501201,Enemy_Bullet/xiaoguai/story01/Enemy_ShanDian,1
501202,Boss_Skill/LiWei/xuli,1
501203,Boss_Skill/Minuosi/Minuosi_chongfengyujing,1
501204,Enemy_Bullet/xiaoguai/story01/Enemy_fire01,1
501205,Enemy_Bullet/xiaoguai/story01/Enemy_zhaohuan_red,1
501206,Enemy_Bullet/xiaoguai/story01/enemy_xuli_red,1
501301,Boss_Skill/YanMo/Yanmo_papapa,2
501302,Boss_Skill/YanMo/yanmo_eff,3
501303,Boss_Skill/YanMo/xuanzhuanguangqiu,12
501304,Boss_Skill/YanMo/YanMo_Bullet,2
501305,Boss_Skill/YanMo/yanchi395baozhaqiu,6
501306,Boss_Skill/GaiYaFa/gyfpugongyujing,10
501307,Boss_Skill/YanMo/guizhua,6
501308,Boss_Skill/YanMo/jiguang_long,14
502001,Enemy_Bullet/JingYing/1014_CJSSDX/SS_XuLi,1
502002,Enemy_Bullet/JingYing/JingYingTongYong/Enemy_JiGuangY,24
502003,Enemy_Bullet/JingYing/0007_ZTS/M3_shenquan_dam,1
502004,Enemy_Bullet/JingYing/0007_ZTS/lei,5
502101,Enemy_Bullet/xiaoguai/story02/shenshi_dapao,2
502102,Enemy_Bullet/xiaoguai/story02/shenshi_fazhen,2
502103,Enemy_Bullet/JingYing/1008_JLBS/JLBS_ShiShou,2
502201,Enemy_Bullet/JingYing/1010_LHHJJ/LHHJJ_PenHuo,1
502202,Enemy_Bullet/JingYing/0008_NTS/M2_shenquan_dam,2
502301,liwei_zheguang,1
502302,Boss_Skill/LiWei/M3_liwei_bo,3
502303,Boss_Skill/LiWei/M3_liwei_cha_yujng,2
502304,Boss_Skill/LiWei/M3_liwei_attack,2
502305,Boss_Skill/LiWei/M3_liwei_fazhen,1
502306,Boss_Skill/LiWei/M3_liwei_cha_yujng2,1
502307,Boss_Skill/LiWei/M3_liwei_attack2,1
502308,Boss_Skill/LiWei/M3_liwei_wuqi_dun2,3
502309,Boss_Skill/LiWei/M3_liwei_wuqi_dun,3
502310,Boss_Skill/LiWei/M3_liwei_za,1
502311,Boss_Skill/LiWei/M3_liwei_pa,1
502312,Boss_Skill/LiWei/M3_liwei_xuli_xiao,2
502313,Boss_Skill/LiWei/M3_liwei_dapao,6
502314,Boss_Skill/LiWei/M3_liwei_bao_gold,1
502315,Boss_Skill/LiWei/M3_liwei_xuli,1
503001,Enemy_Bullet/JingYing/2008_YLZM/YLZM_ChongFeng,1
503002,Enemy_Bullet/JingYing/2008_YLZM/YLZM_BaoZha,3
503003,Enemy_Bullet/JingYing/2008_YLZM/YLZM_JianTa,1
503004,Enemy_Bullet/JingYing/2010_KLGLB/KLGL_NengLiangDong,4
503005,Enemy_Bullet/JingYing/2010_KLGLB/KLGL_DaBaoZha,1
503101,Boss_Skill/Tibilue/Tibilue_Skill02_Bullet_Brust,8
504001,Boss_Skill/HaiYinLiXi/M3_bao_red,1
504002,Boss_Skill/HaiYinLiXi/M3_yanqiu_zhaohuan,18
504003,BOSS_Bullet/CommonBullet/EFF_Broken_04,18
504004,Boss_Skill/HaiYinLiXi/M3_laser_big_red,6
504005,Boss_Skill/HaiYinLiXi/M3_haiyinlixi_bo,5
504101,Boss_Skill/Shana/xuanfeng,5
504102,Boss_Skill/Shana/xuanfeng1,2
504103,Boss_Skill/Shana/fengmoshoulijian,56
504104,Boss_Skill/Shana/baopo_soulijian,2
504105,Boss_Skill/Shana/EFF_qilui,2
504201,Boss_Skill/YueHanYaSi/YHYS_fase,1
504202,Boss_Skill/YueHanYaSi/YHYS_dabaoza,66
504203,Boss_Skill/YueHanYaSi/YHYS_zhalei,88
504204,Boss_Skill/YueHanYaSi/YHYS_sanxingzakai,1
504205,Boss_Skill/YueHanYaSi/YHYS_JianShi,10
504206,Boss_Skill/YueHanYaSi/YHYS_xuli,3
504207,Boss_Skill/YueHanYaSi/YHYS_congji,1
504208,Boss_Skill/YueHanYaSi/YHYS_tuibo,1
505801,Boss_Skill/HeSa/HS_qidao,4
505802,Boss_Skill/HeSa/HS_liehuo,1
505803,Boss_Skill/HeSa/HS_baofa,1
505804,Boss_Skill/HeSa/HS_huifushengxiao,1
505805,Boss_Skill/HeSa/HS_yuanlingbaoza2,1
505806,Boss_Skill/HeSa/HS_xuenu,1
505807,Boss_Skill/HeSa/HS_denghuo,20
505808,Boss_Skill/HeSa/HS_qicang,1
505809,Boss_Skill/HeSa/HS_yuanlingbaoza,4
505810,Boss_Skill/HeSa/HS_yuanlingbo,4
506001,Boss_Skill/Kalina/M3_dam_eff,15
506002,Boss_Skill/Kalina/M3_dam_blast,15
506003,Boss_Skill/Kalina/M3_lizi_hit,6
506004,Boss_Skill/Kalina/M3_dianju,6
506005,Boss_Skill/Kalina/M3_kalinna_xuli,1
506006,Boss_Skill/Kalina/M3_chilun,2
506007,Boss_Skill/Kalina/M3_chilun_texiao,2
506008,Boss_Skill/Kalina/M3_blood_dam,23
506009,Boss_Skill/Kalina/M3_lizi_hit_red,5
506010,Boss_Skill/Kalina/Kalina_Bullet,1
506011,Boss_Skill/Kalina/Kalinna_Yihua,1
507001,Boss_Skill/xibeier/M3_xuli,1
507002,Boss_Skill/xibeier/M3_bo,3
507003,Boss_Skill/xibeier/M3_laser_ice,6
507004,Boss_Skill/xibeier/M3_jingzi0,6
507005,Boss_Skill/xibeier/M3_jingzi1,4
507006,Boss_Skill/xibeier/M3_jingzi2,18
507007,Boss_Skill/xibeier/M3_bo2,1
507008,Boss_Skill/xibeier/M3_xuli2,1
507009,Boss_Skill/xibeier/M3_baopo_white,28
507801,Boss_Skill/LuoDeLiGe/LuoDeLiGe_bowen,2
507802,Boss_Skill/LuoDeLiGe/LDLG_xulifase,1
507803,Boss_Skill/LuoDeLiGe/LDLG_dianhan,3
507804,Boss_Skill/LuoDeLiGe/LDLG2_xuebao,1
507805,Boss_Skill/LuoDeLiGe/LDLG_guangren,4
507806,Boss_Skill/LuoDeLiGe/LDLG_guangquan,11
507807,Boss_Skill/LuoDeLiGe/LDLG_guangsuipian,1
507808,Boss_Skill/LuoDeLiGe/LDLG_dapo_jin,5
507809,Boss_Skill/LuoDeLiGe/LDLG_guangzhu,5
507810,Boss_Skill/LuoDeLiGe/LDLG_shizijiashengcheng,5
507811,Boss_Skill/LuoDeLiGe/LDLG2_xueqiqiuqiu,10
507812,Boss_Skill/LuoDeLiGe/LDLG2_tudanmu,5
507813,Boss_Skill/LuoDeLiGe/LDLG2_xueBG,1
507814,Boss_Skill/LuoDeLiGe/LDLG2_saose,1
507815,Boss_Skill/LuoDeLiGe/LDLG2_huahen,1
507816,Boss_Skill/LuoDeLiGe/LDLG2_mopao,1
507817,Boss_Skill/LuoDeLiGe/LDLG2_sanxingbaoza,1
507818,Boss_Skill/LuoDeLiGe/LDLG2_mopaoxuli,1
507819,Boss_Skill/LuoDeLiGe/LuoDeLiGe_Bullet,6
507820,Boss_Skill/LuoDeLiGe/LDLG_jiaoxiaguang,1
507821,Boss_Skill/LuoDeLiGe/LDLG_sun,1
508801,Boss_Skill/Yuanlingzhishu/Yuanlingzhishu_pia,2
508802,Boss_Skill/Yuanlingzhishu/YLZS_xuenu,1
508803,Boss_Skill/Yuanlingzhishu/YLZS_xuli,1
509001,Boss_Skill/DuerLaHan/Duerlahan_step01_point1,1
509002,Boss_Skill/DuerLaHan/M3_xuli_red,1
509003,Boss_Skill/DuerLaHan/M3_fireball02,6
509004,Boss_Skill/DuerLaHan/Duerlahan_Skill05_model,1
509005,Boss_Skill/DuerLaHan/M3_sun,1
509006,Boss_Skill/DuerLaHan/M2_liumangxing_red,2
509007,Boss_Skill/DuerLaHan/Duerlahan_Skill04_model,1
509008,Boss_Skill/DuerLaHan/M3_tianzhao2,12
509009,Boss_Skill/DuerLaHan/M3_sun2,4
509010,Boss_Skill/DuerLaHan/M3_xuli_sun,2
510801,Boss_Skill/Minuosi/Minuosi_ChongFengYuJing,1
510802,Boss_Skill/Minuosi/Minuosi_ZaDi,1
510803,Boss_Skill/Minuosi/Minuosi_congfeng,3
510804,Boss_Skill/Minuosi/Minuosi_HuiZhua,1
510805,Boss_Skill/Minuosi/Minuosi_juyan,12
510806,Boss_Skill/Minuosi/Minuosi_Skill01_Model,10
510807,Boss_Skill/Minuosi/Minuosi_leidian,10
510809,Boss_Skill/Minuosi/MNS_huozhu,4
510810,Boss_Skill/Minuosi/Minuosi_weibatou,10
510811,Boss_Skill/Minuosi/Minuosi_Stonebreak,6
511801,Boss_Skill/Dantaling/Dantalin_baidong,1
511802,Boss_Skill/Dantaling/Dantalin_xingyun,1
511803,Boss_Skill/Dantaling/Dantalin_jiguang,1
511804,Boss_Skill/Dantaling/Dantalin_wenhao,37
511805,Boss_Skill/Dantaling/Dantalin_dizhuan,20
511806,Boss_Skill/Dantaling/Dantalin_fangkuai,2
600601,Boss_Skill/XueYueYaNuXiYa/XueYue_huanyingniao,6
600602,Boss_Skill/XueYueYaNuXiYa/XueYue_yumaochuxian,6
600603,Boss_Skill/XueYueYaNuXiYa/XueYue_huohuahuo,10
600604,Boss_Skill/XueYueYaNuXiYa/Xueyue_Skill01_Model,1
600605,Boss_Skill/XueYueYaNuXiYa/Xueyue_Skill04_Model,1
600606,Boss_Skill/XueYueYaNuXiYa/XueYue_moon,1
600607,Boss_Skill/XueYueYaNuXiYa/XueYue_moon_daoying,1
600608,Boss_Skill/XueYueYaNuXiYa/XueYue_moon_pengzuang,3
600609,Boss_Skill/XueYueYaNuXiYa/XueYue_yun,1
900001,ZhuanHuan_Effect/character_zh_Time,1
900002,ZhuanHuan_Effect/character_zh_dianqiu,17
900003,ZhuanHuan_Effect/character_zh_Laser,1
900004,ZhuanHuan_Effect/character_zh_ball,1
900005,ZhuanHuan_Effect/character_zh_brust,1
900006,ZhuanHuan_Effect/change_03,1
910001,Player_slow,1
920001,player_xuli/xiaodan_mofazhen,5
600701,Boss_Skill/ManYueJiMoMen/MoMen_TuiChe,12
600702,Boss_Skill/ManYueJiMoMen/MoMen_DaYu,38
