序号,关卡ID,怪物ID,次数,ai文件
111,220006,20304008,2,fightData/AI/EDay01_01/220001_01_03_02
112,220006,20304008,3,fightData/AI/EDay01_01/220001_01_03_03
113,220006,20304008,4,fightData/AI/EDay01_01/220001_01_03_04
114,220006,20304008,5,fightData/AI/EDay01_01/220001_01_03_05
115,220007,10301002,1,fightData/AI/EDay01_01/220001_01_02_1
116,220007,10301002,2,fightData/AI/EDay01_01/220001_01_02_2
117,220007,10301002,3,fightData/AI/EDay01_01/220001_01_02_3
118,220007,10301002,4,fightData/AI/EDay01_01/220001_01_02_4
119,220007,10301002,5,fightData/AI/EDay01_01/220001_01_02_5
120,220007,10301002,6,fightData/AI/EDay01_01/220001_01_02_6
121,220007,10301002,7,fightData/AI/EDay01_01/220001_01_02_7
122,220007,10301002,8,fightData/AI/EDay01_01/220001_01_02_8
123,220007,10301002,9,fightData/AI/EDay01_01/220001_01_02_9
124,220007,10301002,10,fightData/AI/EDay01_01/220001_01_02_10
125,220007,10301002,11,fightData/AI/EDay01_01/220001_01_02_11
126,220007,10301002,12,fightData/AI/EDay01_01/220001_01_02_12
127,220007,10301002,13,fightData/AI/EDay01_01/220001_01_02_13
128,220007,10301002,14,fightData/AI/EDay01_01/220001_01_02_14
129,220007,20304008,1,fightData/AI/EDay01_01/220001_01_03_01
130,220007,20304008,2,fightData/AI/EDay01_01/220001_01_03_02
131,220007,20304008,3,fightData/AI/EDay01_01/220001_01_03_03
132,220007,20304008,4,fightData/AI/EDay01_01/220001_01_03_04
133,220007,20304008,5,fightData/AI/EDay01_01/220001_01_03_05
134,220008,10301002,1,fightData/AI/EDay01_01/220001_01_02_1
135,220008,10301002,2,fightData/AI/EDay01_01/220001_01_02_2
136,220008,10301002,3,fightData/AI/EDay01_01/220001_01_02_3
137,220008,10301002,4,fightData/AI/EDay01_01/220001_01_02_4
138,220008,10301002,5,fightData/AI/EDay01_01/220001_01_02_5
139,220008,10301002,6,fightData/AI/EDay01_01/220001_01_02_6
140,220008,10301002,7,fightData/AI/EDay01_01/220001_01_02_7
141,220008,10301002,8,fightData/AI/EDay01_01/220001_01_02_8
142,220008,10301002,9,fightData/AI/EDay01_01/220001_01_02_9
143,220008,10301002,10,fightData/AI/EDay01_01/220001_01_02_10
144,220008,10301002,11,fightData/AI/EDay01_01/220001_01_02_11
145,220008,10301002,12,fightData/AI/EDay01_01/220001_01_02_12
146,220008,10301002,13,fightData/AI/EDay01_01/220001_01_02_13
147,220008,10301002,14,fightData/AI/EDay01_01/220001_01_02_14
148,220008,20304008,1,fightData/AI/EDay01_01/220001_01_03_01
149,220008,20304008,2,fightData/AI/EDay01_01/220001_01_03_02
150,220008,20304008,3,fightData/AI/EDay01_01/220001_01_03_03
151,220008,20304008,4,fightData/AI/EDay01_01/220001_01_03_04
152,220008,20304008,5,fightData/AI/EDay01_01/220001_01_03_05
153,200001,30010002,1,fightData/AI/EDay01_01/R0
154,200001,30010002,2,fightData/AI/EDay01_01/R1
155,200001,30010002,3,fightData/AI/EDay01_01/R2
156,200001,30010002,4,fightData/AI/EDay01_01/R3
157,200001,30010002,5,fightData/AI/EDay01_01/R4
158,200001,30010002,6,fightData/AI/EDay01_01/R5
159,200001,30010002,7,fightData/AI/EDay01_01/R6
160,200001,30010002,8,fightData/AI/EDay01_01/R7
161,200001,30010002,9,fightData/AI/EDay01_01/R8
162,200001,30010002,10,fightData/AI/EDay01_01/R9
163,200001,30010002,11,fightData/AI/EDay01_01/R10
164,200001,30010002,12,fightData/AI/EDay01_01/R11
165,200001,30010002,13,fightData/AI/EDay01_01/R12
166,200001,30010002,14,fightData/AI/EDay01_01/R13
167,200001,30010002,15,fightData/AI/EDay01_01/R14
168,200001,30010002,16,fightData/AI/EDay01_01/R15
169,200001,30010002,17,fightData/AI/EDay01_01/R16
170,200001,30010002,18,fightData/AI/EDay01_01/R17
171,200001,30010002,19,fightData/AI/EDay01_01/R18
172,200001,30010002,20,fightData/AI/EDay01_01/R19
173,200001,30010002,21,fightData/AI/EDay01_01/R20
174,200001,30010002,22,fightData/AI/EDay01_01/R21
175,200001,30010002,23,fightData/AI/EDay01_01/R22
176,200001,30010002,24,fightData/AI/EDay01_01/R23
177,200001,30010002,25,fightData/AI/EDay01_01/R24
178,200001,30010002,26,fightData/AI/EDay01_01/R25
179,200001,30010002,27,fightData/AI/EDay01_01/R26
180,200001,30010002,28,fightData/AI/EDay01_01/R27
181,200001,30010002,29,fightData/AI/EDay01_01/R28
182,200001,30010002,30,fightData/AI/EDay01_01/R29
183,200001,30010002,31,fightData/AI/EDay01_01/R30
184,200001,30010002,32,fightData/AI/EDay01_01/R31
185,200001,30010002,33,fightData/AI/EDay01_01/R32
186,200001,30010002,34,fightData/AI/EDay01_01/R33
187,200001,30010002,35,fightData/AI/EDay01_01/R34
188,200001,30010002,36,fightData/AI/EDay01_01/R35
189,200001,30010002,37,fightData/AI/EDay01_01/R36
190,200001,30010002,38,fightData/AI/EDay01_01/R37
191,200001,30010002,39,fightData/AI/EDay01_01/R42
192,200001,30010002,40,fightData/AI/EDay01_01/R43
193,200001,30010002,41,fightData/AI/EDay01_01/R44
194,200001,30010002,42,fightData/AI/EDay01_01/R45
195,200001,30010006,1,fightData/AI/EDay01_01/R38
196,200001,30010006,2,fightData/AI/EDay01_01/R39
197,200001,30010006,3,fightData/AI/EDay01_01/R40
198,200001,30010006,4,fightData/AI/EDay01_01/R41
199,200001,30010003,1,fightData/AI/EDay01_01/E1/R0
200,200001,30010003,2,fightData/AI/EDay01_01/E1/R1
201,200001,30010003,3,fightData/AI/EDay01_01/E1/R2
202,200001,30010003,4,fightData/AI/EDay01_01/E1/R3
203,200001,30010003,5,fightData/AI/EDay01_01/E1/R4
204,200001,30010003,6,fightData/AI/EDay01_01/E1/R5
205,200001,30010003,7,fightData/AI/EDay01_01/E1/R6
206,200001,30010003,8,fightData/AI/EDay01_01/E1/R7
207,200001,30010003,9,fightData/AI/EDay01_01/E1/R8
208,200001,30010003,10,fightData/AI/EDay01_01/E1/R9
209,200001,30010003,11,fightData/AI/EDay01_01/E1/R10
210,200001,30010003,12,fightData/AI/EDay01_01/E1/R11
211,200001,30010003,13,fightData/AI/EDay01_01/E1/R12
212,200001,30010003,14,fightData/AI/EDay01_01/E1/R13
213,200001,30010003,15,fightData/AI/EDay01_01/E1/R14
214,200001,30010003,16,fightData/AI/EDay01_01/E1/R15
215,200001,30010003,17,fightData/AI/EDay01_01/E1/R16
216,200001,30010003,18,fightData/AI/EDay01_01/E1/R17
217,200001,30010003,19,fightData/AI/EDay01_01/E1/R18
218,200001,30010003,20,fightData/AI/EDay01_01/E1/R19
219,200001,30010003,21,fightData/AI/EDay01_01/E1/R20
220,200001,30010003,22,fightData/AI/EDay01_01/E1/R21
221,200001,30010003,23,fightData/AI/EDay01_01/E1/R22
222,200001,30010003,24,fightData/AI/EDay01_01/E1/R23
223,200001,30010003,25,fightData/AI/EDay01_01/E1/R24
224,200001,30010003,26,fightData/AI/EDay01_01/E1/R25
225,200001,30010003,27,fightData/AI/EDay01_01/E1/R26
226,200001,30010003,28,fightData/AI/EDay01_01/E1/R27
227,200001,30010003,29,fightData/AI/EDay01_01/E1/R28
228,200001,30010003,30,fightData/AI/EDay01_01/E1/R29
229,200001,30010003,31,fightData/AI/EDay01_01/E1/R30
230,200001,30010003,32,fightData/AI/EDay01_01/E1/R31
231,200001,30010003,33,fightData/AI/EDay01_01/E1/R32
232,200001,30010003,34,fightData/AI/EDay01_01/E1/R33
233,200001,30010003,35,fightData/AI/EDay01_01/E1/R34
234,200001,30010003,36,fightData/AI/EDay01_01/E1/R35
235,200001,30010003,37,fightData/AI/EDay01_01/E1/R36
236,200001,30010003,38,fightData/AI/EDay01_01/E1/R37
237,200001,30010003,39,fightData/AI/EDay01_01/E1/R42
238,200001,30010003,40,fightData/AI/EDay01_01/E1/R43
239,200001,30010003,41,fightData/AI/EDay01_01/E1/R44
240,200001,30010003,42,fightData/AI/EDay01_01/E1/R45
241,200001,30010004,1,fightData/AI/EDay01_01/E2/R0
242,200001,30010004,2,fightData/AI/EDay01_01/E2/R1
243,200001,30010004,3,fightData/AI/EDay01_01/E2/R2
244,200001,30010004,4,fightData/AI/EDay01_01/E2/R3
245,200001,30010004,5,fightData/AI/EDay01_01/E2/R4
246,200001,30010004,6,fightData/AI/EDay01_01/E2/R5
247,200001,30010004,7,fightData/AI/EDay01_01/E2/R6
248,200001,30010004,8,fightData/AI/EDay01_01/E2/R7
249,200001,30010004,9,fightData/AI/EDay01_01/E2/R8
250,200001,30010004,10,fightData/AI/EDay01_01/E2/R9
251,200001,30010004,11,fightData/AI/EDay01_01/E2/R10
252,200001,30010004,12,fightData/AI/EDay01_01/E2/R11
253,200001,30010004,13,fightData/AI/EDay01_01/E2/R12
254,200001,30010004,14,fightData/AI/EDay01_01/E2/R13
255,200001,30010004,15,fightData/AI/EDay01_01/E2/R14
256,200001,30010004,16,fightData/AI/EDay01_01/E2/R15
257,200001,30010004,17,fightData/AI/EDay01_01/E2/R16
258,200001,30010004,18,fightData/AI/EDay01_01/E2/R17
259,200001,30010004,19,fightData/AI/EDay01_01/E2/R18
260,200001,30010004,20,fightData/AI/EDay01_01/E2/R19
261,200001,30010004,21,fightData/AI/EDay01_01/E2/R20
262,200001,30010004,22,fightData/AI/EDay01_01/E2/R21
263,200001,30010004,23,fightData/AI/EDay01_01/E2/R22
264,200001,30010004,24,fightData/AI/EDay01_01/E2/R23
265,200001,30010004,25,fightData/AI/EDay01_01/E2/R24
266,200001,30010004,26,fightData/AI/EDay01_01/E2/R25
267,200001,30010004,27,fightData/AI/EDay01_01/E2/R26
268,200001,30010004,28,fightData/AI/EDay01_01/E2/R27
269,200001,30010004,29,fightData/AI/EDay01_01/E2/R28
270,200001,30010004,30,fightData/AI/EDay01_01/E2/R29
271,200001,30010004,31,fightData/AI/EDay01_01/E2/R30
272,200001,30010004,32,fightData/AI/EDay01_01/E2/R31
273,200001,30010004,33,fightData/AI/EDay01_01/E2/R32
274,200001,30010004,34,fightData/AI/EDay01_01/E2/R33
275,200001,30010004,35,fightData/AI/EDay01_01/E2/R34
276,200001,30010004,36,fightData/AI/EDay01_01/E2/R35
277,200001,30010004,37,fightData/AI/EDay01_01/E2/R36
278,200001,30010004,38,fightData/AI/EDay01_01/E2/R37
279,200001,30010004,39,fightData/AI/EDay01_01/E2/R42
280,200001,30010004,40,fightData/AI/EDay01_01/E2/R43
281,200001,30010004,41,fightData/AI/EDay01_01/E2/R44
282,200001,30010004,42,fightData/AI/EDay01_01/E2/R45
283,200001,30010005,1,fightData/AI/EDay01_01/E3/R0
284,200001,30010005,2,fightData/AI/EDay01_01/E3/R1
285,200001,30010005,3,fightData/AI/EDay01_01/E3/R2
286,200001,30010005,4,fightData/AI/EDay01_01/E3/R3
287,200001,30010005,5,fightData/AI/EDay01_01/E3/R4
288,200001,30010005,6,fightData/AI/EDay01_01/E3/R5
289,200001,30010005,7,fightData/AI/EDay01_01/E3/R6
290,200001,30010005,8,fightData/AI/EDay01_01/E3/R7
291,200001,30010005,9,fightData/AI/EDay01_01/E3/R8
292,200001,30010005,10,fightData/AI/EDay01_01/E3/R9
293,200001,30010005,11,fightData/AI/EDay01_01/E3/R10
294,200001,30010005,12,fightData/AI/EDay01_01/E3/R11
295,200001,30010005,13,fightData/AI/EDay01_01/E3/R12
296,200001,30010005,14,fightData/AI/EDay01_01/E3/R13
297,200001,30010005,15,fightData/AI/EDay01_01/E3/R14
298,200001,30010005,16,fightData/AI/EDay01_01/E3/R15
299,200001,30010005,17,fightData/AI/EDay01_01/E3/R16
300,200001,30010005,18,fightData/AI/EDay01_01/E3/R17
301,200001,30010005,19,fightData/AI/EDay01_01/E3/R18
302,200001,30010005,20,fightData/AI/EDay01_01/E3/R19
303,200001,30010005,21,fightData/AI/EDay01_01/E3/R20
304,200001,30010005,22,fightData/AI/EDay01_01/E3/R21
305,200001,30010005,23,fightData/AI/EDay01_01/E3/R22
306,200001,30010005,24,fightData/AI/EDay01_01/E3/R23
307,200001,30010005,25,fightData/AI/EDay01_01/E3/R24
308,200001,30010005,26,fightData/AI/EDay01_01/E3/R25
309,200001,30010005,27,fightData/AI/EDay01_01/E3/R26
310,200001,30010005,28,fightData/AI/EDay01_01/E3/R27
311,200001,30010005,29,fightData/AI/EDay01_01/E3/R28
312,200001,30010005,30,fightData/AI/EDay01_01/E3/R29
313,200001,30010005,31,fightData/AI/EDay01_01/E3/R30
314,200001,30010005,32,fightData/AI/EDay01_01/E3/R31
315,200001,30010005,33,fightData/AI/EDay01_01/E3/R32
316,200001,30010005,34,fightData/AI/EDay01_01/E3/R33
317,200001,30010005,35,fightData/AI/EDay01_01/E3/R34
318,200001,30010005,36,fightData/AI/EDay01_01/E3/R35
319,200001,30010005,37,fightData/AI/EDay01_01/E3/R36
320,200001,30010005,38,fightData/AI/EDay01_01/E3/R37
321,200001,30010005,39,fightData/AI/EDay01_01/E3/R42
322,200001,30010005,40,fightData/AI/EDay01_01/E3/R43
323,200001,30010005,41,fightData/AI/EDay01_01/E3/R44
324,200001,30010005,42,fightData/AI/EDay01_01/E3/R45
325,200002,30010002,1,fightData/AI/EDay01_01/R0
326,200002,30010002,2,fightData/AI/EDay01_01/R1
327,200002,30010002,3,fightData/AI/EDay01_01/R2
328,200002,30010002,4,fightData/AI/EDay01_01/R3
329,200002,30010002,5,fightData/AI/EDay01_01/R4
330,200002,30010002,6,fightData/AI/EDay01_01/R5
331,200002,30010002,7,fightData/AI/EDay01_01/R6
332,200002,30010002,8,fightData/AI/EDay01_01/R7
333,200002,30010002,9,fightData/AI/EDay01_01/R8
334,200002,30010002,10,fightData/AI/EDay01_01/R9
335,200002,30010002,11,fightData/AI/EDay01_01/R10
336,200002,30010002,12,fightData/AI/EDay01_01/R11
337,200002,30010002,13,fightData/AI/EDay01_01/R12
338,200002,30010002,14,fightData/AI/EDay01_01/R13
339,200002,30010002,15,fightData/AI/EDay01_01/R14
340,200002,30010002,16,fightData/AI/EDay01_01/R15
341,200002,30010002,17,fightData/AI/EDay01_01/R16
342,200002,30010002,18,fightData/AI/EDay01_01/R17
343,200002,30010002,19,fightData/AI/EDay01_01/R18
344,200002,30010002,20,fightData/AI/EDay01_01/R19
345,200002,30010002,21,fightData/AI/EDay01_01/R20
346,200002,30010002,22,fightData/AI/EDay01_01/R21
347,200002,30010002,23,fightData/AI/EDay01_01/R22
348,200002,30010002,24,fightData/AI/EDay01_01/R23
349,200002,30010002,25,fightData/AI/EDay01_01/R24
350,200002,30010002,26,fightData/AI/EDay01_01/R25
351,200002,30010002,27,fightData/AI/EDay01_01/R26
352,200002,30010002,28,fightData/AI/EDay01_01/R27
353,200002,30010002,29,fightData/AI/EDay01_01/R28
354,200002,30010002,30,fightData/AI/EDay01_01/R29
355,200002,30010002,31,fightData/AI/EDay01_01/R30
356,200002,30010002,32,fightData/AI/EDay01_01/R31
357,200002,30010002,33,fightData/AI/EDay01_01/R32
358,200002,30010002,34,fightData/AI/EDay01_01/R33
359,200002,30010002,35,fightData/AI/EDay01_01/R34
360,200002,30010002,36,fightData/AI/EDay01_01/R35
361,200002,30010002,37,fightData/AI/EDay01_01/R36
362,200002,30010002,38,fightData/AI/EDay01_01/R37
363,200002,30010002,39,fightData/AI/EDay01_01/R42
364,200002,30010002,40,fightData/AI/EDay01_01/R43
365,200002,30010002,41,fightData/AI/EDay01_01/R44
366,200002,30010002,42,fightData/AI/EDay01_01/R45
367,200002,30010006,1,fightData/AI/EDay01_01/R38
368,200002,30010006,2,fightData/AI/EDay01_01/R39
369,200002,30010006,3,fightData/AI/EDay01_01/R40
370,200002,30010006,4,fightData/AI/EDay01_01/R41
371,200002,30010003,1,fightData/AI/EDay01_01/E1/R0
372,200002,30010003,2,fightData/AI/EDay01_01/E1/R1
373,200002,30010003,3,fightData/AI/EDay01_01/E1/R2
374,200002,30010003,4,fightData/AI/EDay01_01/E1/R3
375,200002,30010003,5,fightData/AI/EDay01_01/E1/R4
376,200002,30010003,6,fightData/AI/EDay01_01/E1/R5
377,200002,30010003,7,fightData/AI/EDay01_01/E1/R6
378,200002,30010003,8,fightData/AI/EDay01_01/E1/R7
379,200002,30010003,9,fightData/AI/EDay01_01/E1/R8
380,200002,30010003,10,fightData/AI/EDay01_01/E1/R9
381,200002,30010003,11,fightData/AI/EDay01_01/E1/R10
382,200002,30010003,12,fightData/AI/EDay01_01/E1/R11
383,200002,30010003,13,fightData/AI/EDay01_01/E1/R12
384,200002,30010003,14,fightData/AI/EDay01_01/E1/R13
385,200002,30010003,15,fightData/AI/EDay01_01/E1/R14
386,200002,30010003,16,fightData/AI/EDay01_01/E1/R15
387,200002,30010003,17,fightData/AI/EDay01_01/E1/R16
388,200002,30010003,18,fightData/AI/EDay01_01/E1/R17
389,200002,30010003,19,fightData/AI/EDay01_01/E1/R18
390,200002,30010003,20,fightData/AI/EDay01_01/E1/R19
391,200002,30010003,21,fightData/AI/EDay01_01/E1/R20
392,200002,30010003,22,fightData/AI/EDay01_01/E1/R21
393,200002,30010003,23,fightData/AI/EDay01_01/E1/R22
394,200002,30010003,24,fightData/AI/EDay01_01/E1/R23
395,200002,30010003,25,fightData/AI/EDay01_01/E1/R24
396,200002,30010003,26,fightData/AI/EDay01_01/E1/R25
397,200002,30010003,27,fightData/AI/EDay01_01/E1/R26
398,200002,30010003,28,fightData/AI/EDay01_01/E1/R27
399,200002,30010003,29,fightData/AI/EDay01_01/E1/R28
400,200002,30010003,30,fightData/AI/EDay01_01/E1/R29
401,200002,30010003,31,fightData/AI/EDay01_01/E1/R30
402,200002,30010003,32,fightData/AI/EDay01_01/E1/R31
403,200002,30010003,33,fightData/AI/EDay01_01/E1/R32
404,200002,30010003,34,fightData/AI/EDay01_01/E1/R33
405,200002,30010003,35,fightData/AI/EDay01_01/E1/R34
406,200002,30010003,36,fightData/AI/EDay01_01/E1/R35
407,200002,30010003,37,fightData/AI/EDay01_01/E1/R36
408,200002,30010003,38,fightData/AI/EDay01_01/E1/R37
409,200002,30010003,39,fightData/AI/EDay01_01/E1/R42
410,200002,30010003,40,fightData/AI/EDay01_01/E1/R43
411,200002,30010003,41,fightData/AI/EDay01_01/E1/R44
412,200002,30010003,42,fightData/AI/EDay01_01/E1/R45
413,200002,30010004,1,fightData/AI/EDay01_01/E2/R0
414,200002,30010004,2,fightData/AI/EDay01_01/E2/R1
415,200002,30010004,3,fightData/AI/EDay01_01/E2/R2
416,200002,30010004,4,fightData/AI/EDay01_01/E2/R3
417,200002,30010004,5,fightData/AI/EDay01_01/E2/R4
418,200002,30010004,6,fightData/AI/EDay01_01/E2/R5
419,200002,30010004,7,fightData/AI/EDay01_01/E2/R6
420,200002,30010004,8,fightData/AI/EDay01_01/E2/R7
421,200002,30010004,9,fightData/AI/EDay01_01/E2/R8
422,200002,30010004,10,fightData/AI/EDay01_01/E2/R9
423,200002,30010004,11,fightData/AI/EDay01_01/E2/R10
424,200002,30010004,12,fightData/AI/EDay01_01/E2/R11
425,200002,30010004,13,fightData/AI/EDay01_01/E2/R12
426,200002,30010004,14,fightData/AI/EDay01_01/E2/R13
427,200002,30010004,15,fightData/AI/EDay01_01/E2/R14
428,200002,30010004,16,fightData/AI/EDay01_01/E2/R15
429,200002,30010004,17,fightData/AI/EDay01_01/E2/R16
430,200002,30010004,18,fightData/AI/EDay01_01/E2/R17
431,200002,30010004,19,fightData/AI/EDay01_01/E2/R18
432,200002,30010004,20,fightData/AI/EDay01_01/E2/R19
433,200002,30010004,21,fightData/AI/EDay01_01/E2/R20
434,200002,30010004,22,fightData/AI/EDay01_01/E2/R21
435,200002,30010004,23,fightData/AI/EDay01_01/E2/R22
436,200002,30010004,24,fightData/AI/EDay01_01/E2/R23
437,200002,30010004,25,fightData/AI/EDay01_01/E2/R24
438,200002,30010004,26,fightData/AI/EDay01_01/E2/R25
439,200002,30010004,27,fightData/AI/EDay01_01/E2/R26
440,200002,30010004,28,fightData/AI/EDay01_01/E2/R27
441,200002,30010004,29,fightData/AI/EDay01_01/E2/R28
442,200002,30010004,30,fightData/AI/EDay01_01/E2/R29
443,200002,30010004,31,fightData/AI/EDay01_01/E2/R30
