ID,附带效果类型,概率,BUFF,DEBUFF,领域相关,改变技能相关,目标对象
1001020309,1001,100,5&2&14&1&3&30110010202&-1,-1,-1,-1,6
1001020310,1001,100,5&2&15&1&3&30110010202&-1,-1,-1,-1,6
1001030101,-1,-1,-1,-1,-1,-1,-1
1001030200,1003,100,-1,2&5&1&1&5&30110010302&3&3&1023,-1,-1,7
1001030201,1003,100,-1,2&6&1&1&5&30110010302&3&3&1023,-1,-1,7
1001030202,1003,100,-1,2&7&1&1&5&30110010302&3&3&1023,-1,-1,7
1001030203,1003,100,-1,2&8&1&1&5&30110010302&3&3&1023,-1,-1,7
1001030204,1003,100,-1,2&9&1&1&5&30110010302&3&3&1023,-1,-1,7
1001030205,1003,100,-1,2&12&1&1&5&30110010302&3&3&1023,-1,-1,7
1001030300,1003,100,-1,2&8&1&1&5&30110010302&4&4&1024,-1,-1,7
1001030301,1003,100,-1,2&9&1&1&5&30110010302&4&4&1024,-1,-1,7
1001030302,1003,100,-1,2&10&1&1&5&30110010302&4&4&1024,-1,-1,7
1001030303,1003,100,-1,2&11&1&1&5&30110010302&4&4&1024,-1,-1,7
1001030304,1003,100,-1,2&12&1&1&5&30110010302&4&4&1024,-1,-1,7
1001030305,1003,100,-1,2&13&1&1&5&30110010302&4&4&1024,-1,-1,7
1001030306,1003,100,-1,2&14&1&1&5&30110010302&5&5&1024,-1,-1,7
1001030307,1003,100,-1,2&15&1&1&5&30110010302&5&5&1024,-1,-1,7
1001030308,1003,100,-1,2&16&1&1&5&30110010302&5&5&1024,-1,-1,7
1001030309,1003,100,-1,2&17&1&1&5&30110010302&5&5&1024,-1,-1,7
1001030310,1003,100,-1,2&20&1&1&5&30110010302&5&5&1024,-1,-1,7
2001010101,-1,-1,-1,-1,-1,-1,-1
2001010200,1004,100,-1,-1,-1,3|10|2001010311|30120010102,-1
2001010201,1004,100,-1,-1,-1,3|10|2001010311|30120010102,-1
2001010202,1004,100,-1,-1,-1,3|10|2001010312|30120010102,-1
2001010203,1004,100,-1,-1,-1,3|10|2001010313|30120010102,-1
2001010204,1004,100,-1,-1,-1,3|10|2001010314|30120010102,-1
2001010205,1004,100,-1,-1,-1,3|10|2001010315|30120010102,-1
2001010300,1004,100,-1,-1,-1,2|10|2001010316|30120010102,-1
2001010301,1004,100,-1,-1,-1,2|10|2001010316|30120010102,-1
2001010302,1004,100,-1,-1,-1,2|10|2001010317|30120010102,-1
2001010303,1004,100,-1,-1,-1,2|10|2001010318|30120010102,-1
2001010304,1004,100,-1,-1,-1,2|10|2001010319|30120010102,-1
2001010305,1004,100,-1,-1,-1,2|10|2001010320|30120010102,-1
2001010306,1004,100,-1,-1,-1,2|10|2001010321|30120010102,-1
2001010307,1004,100,-1,-1,-1,2|10|2001010322|30120010102,-1
2001010308,1004,100,-1,-1,-1,2|10|2001010323|30120010102,-1
2001010309,1004,100,-1,-1,-1,2|10|2001010324|30120010102,-1
2001010310,1004,100,-1,-1,-1,2|10|2001010325|30120010102,-1
2001020101,-1,-1,-1,-1,-1,-1,-1
2001020200,1001,100,2&1&1&1&3&30120010202&-1,-1,-1,-1,3
2001020201,1001,100,2&1&2&1&3&30120010202&-1,-1,-1,-1,3
2001020202,1001,100,2&1&3&1&3&30120010202&-1,-1,-1,-1,3
2001020203,1001,100,2&1&4&1&3&30120010202&-1,-1,-1,-1,3
2001020204,1001,100,2&1&5&1&3&30120010202&-1,-1,-1,-1,3
2001020205,1001,100,2&1&6&1&3&30120010202&-1,-1,-1,-1,3
2001020300,1001,100,2&1&2&1&3&30120010202&-1,-1,-1,-1,3
2001020301,1001,100,2&1&3&1&3&30120010202&-1,-1,-1,-1,3
2001020302,1001,100,2&1&4&1&3&30120010202&-1,-1,-1,-1,3
2001020303,1001,100,2&1&5&1&3&30120010202&-1,-1,-1,-1,3
2001020304,1001,100,2&1&6&1&3&30120010202&-1,-1,-1,-1,3
2001020305,1001,100,2&1&7&1&3&30120010202&-1,-1,-1,-1,3
2001020306,1001,100,2&1&8&1&3&30120010202&-1,-1,-1,-1,3
2001020307,1001,100,2&1&9&1&3&30120010202&-1,-1,-1,-1,3
2001020308,1001,100,2&1&10&1&3&30120010202&-1,-1,-1,-1,3
2001020309,1001,100,2&1&11&1&3&30120010202&-1,-1,-1,-1,3
2001020310,1001,100,2&1&12&1&3&30120010202&-1,-1,-1,-1,3
2001030101,-1,-1,-1,-1,-1,-1,-1
2001030200,1001,100,20&2&165&1&3&30120010302&-1,-1,-1,-1,3
2001030201,1001,100,20&2&255&1&3&30120010302&-1,-1,-1,-1,3
2001030202,1001,100,20&2&345&1&3&30120010302&-1,-1,-1,-1,3
2001030203,1001,100,20&2&435&1&3&30120010302&-1,-1,-1,-1,3
2001030204,1001,100,20&2&525&1&3&30120010302&-1,-1,-1,-1,3
2001030205,1001,100,20&2&615&1&3&30120010302&-1,-1,-1,-1,3
2001030300,1001,100,20&2&255&1&3&30120010302&-1,-1,-1,-1,3
2001030301,1001,100,20&2&345&1&3&30120010302&-1,-1,-1,-1,3
2001030302,1001,100,20&2&435&1&3&30120010302&-1,-1,-1,-1,3
2001030303,1001,100,20&2&525&1&3&30120010302&-1,-1,-1,-1,3
2001030304,1001,100,20&2&615&1&3&30120010302&-1,-1,-1,-1,3
2001030305,1001,100,20&2&705&1&3&30120010302&-1,-1,-1,-1,3
2001030306,1001,100,20&2&795&1&3&30120010302&-1,-1,-1,-1,3
2001030307,1001,100,20&2&885&1&3&30120010302&-1,-1,-1,-1,3
2001030308,1001,100,20&2&975&1&3&30120010302&-1,-1,-1,-1,3
2001030309,1001,100,20&2&1065&1&3&30120010302&-1,-1,-1,-1,3
2001030310,1001,100,20&2&1155&1&3&30120010302&-1,-1,-1,-1,3
3001010101,-1,-1,-1,-1,-1,-1,-1
3001010200,1001,100,2&2&5&1&3&30130010102&-1,-1,-1,-1,3
3001010201,1001,100,2&2&6&1&3&30130010102&-1,-1,-1,-1,3
3001010202,1001,100,2&2&7&1&3&30130010102&-1,-1,-1,-1,3
3001010203,1001,100,2&2&8&1&3&30130010102&-1,-1,-1,-1,3
3001010204,1001,100,2&2&9&1&3&30130010102&-1,-1,-1,-1,3
3001010205,1001,100,2&2&10&1&3&30130010102&-1,-1,-1,-1,3
3001010300,1001,100,2&2&5&1&3&30130010102&-1,-1,-1,-1,3
3001010301,1001,100,2&2&6&1&3&30130010102&-1,-1,-1,-1,3
3001010302,1001,100,2&2&7&1&3&30130010102&-1,-1,-1,-1,3
3001010303,1001,100,2&2&8&1&3&30130010102&-1,-1,-1,-1,3
3001010304,1001,100,2&2&9&1&3&30130010102&-1,-1,-1,-1,3
3001010305,1001,100,2&2&10&1&3&30130010102&-1,-1,-1,-1,3
3001010306,1001,100,2&2&11&1&3&30130010102&-1,-1,-1,-1,3
3001010307,1001,100,2&2&12&1&3&30130010102&-1,-1,-1,-1,3
3001010308,1001,100,2&2&13&1&3&30130010102&-1,-1,-1,-1,3
3001010309,1001,100,2&2&14&1&3&30130010102&-1,-1,-1,-1,3
3001010310,1001,100,2&2&15&1&3&30130010102&-1,-1,-1,-1,3
3001020101,-1,-1,-1,-1,-1,-1,-1
3001020200,1002,100,21&2&200&1&2&30130010202&-1,-1,1|5,-1,3
3001020201,1002,100,21&2&250&1&2&30130010202&-1,-1,1|5,-1,3
3001020202,1002,100,21&2&300&1&2&30130010202&-1,-1,1|5,-1,3
3001020203,1002,100,21&2&350&1&2&30130010202&-1,-1,1|5,-1,3
3001020204,1002,100,21&2&400&1&2&30130010202&-1,-1,1|5,-1,3
3001020205,1002,100,21&2&450&1&2&30130010202&-1,-1,1|5,-1,3
3001020300,1002,100,21&2&250&1&2&30130010202&-1,-1,1|5,-1,3
3001020301,1002,100,21&2&300&1&2&30130010202&-1,-1,1|5,-1,3
3001020302,1002,100,21&2&350&1&2&30130010202&-1,-1,1|5,-1,3
3001020303,1002,100,21&2&400&1&2&30130010202&-1,-1,1|5,-1,3
3001020304,1002,100,21&2&450&1&2&30130010202&-1,-1,1|5,-1,3
3001020305,1002,100,21&2&500&1&2&30130010202&-1,-1,1|5,-1,3
3001020306,1002,100,21&2&550&1&2&30130010202&-1,-1,1|5,-1,3
3001020307,1002,100,21&2&600&1&2&30130010202&-1,-1,1|5,-1,3
3001020308,1002,100,21&2&650&1&2&30130010202&-1,-1,1|5,-1,3
3001020309,1002,100,21&2&700&1&2&30130010202&-1,-1,1|5,-1,3
3001020310,1002,100,21&2&750&1&2&30130010202&-1,-1,1|5,-1,3
3001030101,-1,-1,-1,-1,-1,-1,-1
3001030200,1001,100,2&2&5&1&3&30130010302&-1,-1,-1,-1,3
3001030201,1001,100,2&2&6&1&3&30130010302&-1,-1,-1,-1,3
3001030202,1001,100,2&2&7&1&3&30130010302&-1,-1,-1,-1,3
3001030203,1001,100,2&2&8&1&3&30130010302&-1,-1,-1,-1,3
3001030204,1001,100,2&2&9&1&3&30130010302&-1,-1,-1,-1,3
3001030205,1001,100,2&2&10&1&3&30130010302&-1,-1,-1,-1,3
3001030300,1001,100,2&2&5&1&3&30130010302&-1,-1,-1,-1,3
3001030301,1001,100,2&2&6&1&3&30130010302&-1,-1,-1,-1,3
3001030302,1001,100,2&2&7&1&3&30130010302&-1,-1,-1,-1,3
3001030303,1001,100,2&2&8&1&3&30130010302&-1,-1,-1,-1,3
3001030304,1001,100,2&2&9&1&3&30130010302&-1,-1,-1,-1,3
3001030305,1001,100,2&2&10&1&3&30130010302&-1,-1,-1,-1,3
3001030306,1001,100,2&2&11&1&3&30130010302&-1,-1,-1,-1,3
3001030307,1001,100,2&2&12&1&3&30130010302&-1,-1,-1,-1,3
3001030308,1001,100,2&2&13&1&3&30130010302&-1,-1,-1,-1,3
3001030309,1001,100,2&2&14&1&3&30130010302&-1,-1,-1,-1,3
3001030310,1001,100,2&2&15&1&3&30130010302&-1,-1,-1,-1,3
