索引,爆炸特效,特效Scale,特效时间,爆炸半径,连炸次数,连炸间隔,主体dps占比,小炸范围Min,小炸范围Max,主体命中效果id,主体命中效果star,小炸命中效果id,小炸命中效果star
10200110,302000,0.7,0.5,2,1,0,1,0,0,102001,1,102001,1
10200111,302000,0.7,0.5,3,2,0.1,0.7,1,2,102001,1,102001,1
10200112,302000,0.7,0.5,3,2,0.1,0.7,1,2,102001,1,102001,1
10200113,302000,0.7,0.5,3,2,0.1,0.7,1,2,102001,1,102001,1
10200114,302000,0.7,0.5,3,2,0.1,0.7,1,2,102001,1,102001,1
10200120,302000,0.7,0.5,1,1,0,1,0,0,102001,1,102001,1
10200121,302000,0.7,0.5,1,1,0,1,1,1,102001,1,102001,1
10200122,302000,0.7,0.5,1,1,0,1,1,1,102001,1,102001,1
10200123,302000,0.7,0.5,1,1,0,1,1,1,102001,1,102001,1
10200124,302000,0.7,0.5,1,1,0,1,1,1,102001,1,102001,1
10240100,302400,0.7,0.5,3,1,0,1,0,0,102401,1,102401,1
10240101,302400,0.7,0.5,4,6,0.1,0.7,1,3,102401,1,102401,1
10240102,302400,0.7,0.5,5,6,0.1,0.7,1,3,102401,1,102401,1
10240103,302400,0.7,0.5,5,6,0.1,0.7,1,3,102401,1,102401,1
10240104,302400,0.7,0.5,6,6,0.1,0.7,1,3,102401,1,102401,1
10240110,302400,0.7,0.5,2,1,0,1,0,0,102401,1,102401,1
10240111,302400,0.7,0.5,3,2,0.1,0.7,1,2,102401,1,102401,1
10240112,302400,0.7,0.5,3,2,0.1,0.7,1,2,102401,1,102401,1
10240113,302400,0.7,0.5,3,2,0.1,0.7,1,2,102401,1,102401,1
10240114,302400,0.7,0.5,3,2,0.1,0.7,1,2,102401,1,102401,1
10240120,302400,0.7,0.5,1,1,0,1,0,0,102401,1,102401,1
10240121,302400,0.7,0.5,1,1,0,1,1,1,102401,1,102401,1
10240122,302400,0.7,0.5,1,1,0,1,1,1,102401,1,102401,1
10240123,302400,0.7,0.5,1,1,0,1,1,1,102401,1,102401,1
10240124,302400,0.7,0.5,1,1,0,1,1,1,102401,1,102401,1
10250100,302500,0.7,0.5,3,1,0,1,0,0,102501,1,102501,1
10250101,302500,0.7,0.5,4,6,0.1,0.7,1,3,102501,1,102501,1
10250102,302500,0.7,0.5,5,6,0.1,0.7,1,3,102501,1,102501,1
10250103,302500,0.7,0.5,5,6,0.1,0.7,1,3,102501,1,102501,1
10250104,302500,0.7,0.5,6,6,0.1,0.7,1,3,102501,1,102501,1
10250110,302500,0.7,0.5,2,1,0,1,0,0,102501,1,102501,1
10250111,302500,0.7,0.5,3,2,0.1,0.7,1,2,102501,1,102501,1
10250112,302500,0.7,0.5,3,2,0.1,0.7,1,2,102501,1,102501,1
10250113,302500,0.7,0.5,3,2,0.1,0.7,1,2,102501,1,102501,1
10250114,302500,0.7,0.5,3,2,0.1,0.7,1,2,102501,1,102501,1
10250120,302500,0.7,0.5,1,1,0,1,0,0,102501,1,102501,1
10250121,302500,0.7,0.5,1,1,0,1,1,1,102501,1,102501,1
10250122,302500,0.7,0.5,1,1,0,1,1,1,102501,1,102501,1
10250123,302500,0.7,0.5,1,1,0,1,1,1,102501,1,102501,1
10250124,302500,0.7,0.5,1,1,0,1,1,1,102501,1,102501,1
10420100,304200,0.7,0.5,3,1,0,1,0,0,104201,1,104201,1
10420101,304200,0.7,0.5,3.75,6,0.1,0.7,1,3,104201,1,104201,1
10420102,304200,0.7,0.5,4.5,6,0.1,0.7,1,3,104201,1,104201,1
10420103,304200,0.7,0.5,5.25,6,0.1,0.7,1,3,104201,1,104201,1
10420104,304200,0.7,0.5,6,6,0.1,0.7,1,3,104201,1,104201,1
10420110,304200,0.7,0.5,2,1,0,1,0,0,104201,1,104201,1
10420111,304200,0.7,0.5,2.5,2,0.1,0.7,1,2,104201,1,104201,1
10420112,304200,0.7,0.5,3,2,0.1,0.7,1,2,104201,1,104201,1
10420113,304200,0.7,0.5,3.5,2,0.1,0.7,1,2,104201,1,104201,1
10420114,304200,0.7,0.5,4,2,0.1,0.7,1,2,104201,1,104201,1
10420120,304200,0.7,0.5,1,1,0,1,0,0,104201,1,104201,1
10420121,304200,0.7,0.5,1.25,1,0,1,1,1,104201,1,104201,1
10420122,304200,0.7,0.5,1.5,1,0,1,1,1,104201,1,104201,1
10420123,304200,0.7,0.5,1.75,1,0,1,1,1,104201,1,104201,1
10420124,304200,0.7,0.5,2,1,0,1,1,1,104201,1,104201,1
