ID,属性增加（类型2生效）,宠物加成字段,描述
100400601,2&2&2&20|2&1&1&50,-1,10370086
100400602,2&2&2&30|2&1&1&100,-1,10370087
100400603,2&2&2&40|2&1&1&150,-1,10370088
100400604,2&2&2&50|2&1&1&200,-1,10370089
100400605,2&2&2&60|2&1&1&250,-1,10370090
100400701,2&2&2&20|2&4&2&20,-1,10370091
100400702,2&2&2&30|2&4&2&30,-1,10370092
100400703,2&2&2&40|2&4&2&40,-1,10370093
100400704,2&2&2&50|2&4&2&50,-1,10370094
100400705,2&2&2&60|2&4&2&60,-1,10370095
100400801,-1,-1,10370096
100400802,-1,-1,10370097
100400803,-1,-1,10370098
100400804,-1,-1,10370099
100400805,-1,-1,10370100
100400901,-1,-1,10370101
100400902,-1,-1,10370102
100400903,-1,-1,10370103
100400904,-1,-1,10370104
100400905,-1,-1,10370105
100500401,2&4&2&10,-1,10370106
100500402,2&4&2&20,-1,10370107
100500403,2&4&2&30,-1,10370108
100500404,2&4&2&40,-1,10370109
100500405,2&4&2&50,-1,10370110
100500501,-1,-1,10370111
100500502,-1,-1,10370112
100500503,-1,-1,10370113
100500504,-1,-1,10370114
100500505,-1,-1,10370115
100500601,2&2&2&20|2&20&2&20,-1,10370116
100500602,2&2&2&30|2&20&2&30,-1,10370117
100500603,2&2&2&40|2&20&2&40,-1,10370118
100500604,2&2&2&50|2&20&2&50,-1,10370119
100500605,2&2&2&60|2&20&2&60,-1,10370120
100500701,2&2&2&20|2&5&2&20,-1,10370121
100500702,2&2&2&30|2&5&2&30,-1,10370122
100500703,2&2&2&40|2&5&2&40,-1,10370123
100500704,2&2&2&50|2&5&2&50,-1,10370124
100500705,2&2&2&60|2&5&2&60,-1,10370125
100500801,-1,-1,10370126
100500802,-1,-1,10370127
100500803,-1,-1,10370128
100500804,-1,-1,10370129
100500805,-1,-1,10370130
100500901,-1,-1,10370131
100500902,-1,-1,10370132
100500903,-1,-1,10370133
100500904,-1,-1,10370134
100500905,-1,-1,10370135
100700401,2&20&2&10,-1,10370136
100700402,2&20&2&20,-1,10370137
100700403,2&20&2&30,-1,10370138
100700404,2&20&2&40,-1,10370139
100700405,2&20&2&50,-1,10370140
100700501,-1,-1,10370141
100700502,-1,-1,10370142
100700503,-1,-1,10370143
100700504,-1,-1,10370144
100700505,-1,-1,10370145
100700601,2&2&2&20|2&21&2&20,-1,10370146
100700602,2&2&2&30|2&21&2&30,-1,10370147
100700603,2&2&2&40|2&21&2&40,-1,10370148
100700604,2&2&2&50|2&21&2&50,-1,10370149
100700605,2&2&2&60|2&21&2&60,-1,10370150
100700701,2&2&2&20|2&20&2&20,-1,10370151
100700702,2&2&2&30|2&20&2&30,-1,10370152
100700703,2&2&2&40|2&20&2&40,-1,10370153
100700704,2&2&2&50|2&20&2&50,-1,10370154
100700705,2&2&2&60|2&20&2&60,-1,10370155
100700801,-1,-1,10370156
100700802,-1,-1,10370157
100700803,-1,-1,10370158
100700804,-1,-1,10370159
100700805,-1,-1,10370160
100700901,-1,-1,10370161
100700902,-1,-1,10370162
100700903,-1,-1,10370163
100700904,-1,-1,10370164
100700905,-1,-1,10370165
101000401,2&4&2&10,-1,10370166
101000402,2&4&2&20,-1,10370167
101000403,2&4&2&30,-1,10370168
101000404,2&4&2&40,-1,10370169
101000405,2&4&2&50,-1,10370170
101000501,-1,-1,10370171
101000502,-1,-1,10370172
101000503,-1,-1,10370173
101000504,-1,-1,10370174
101000505,-1,-1,10370175
101000601,2&2&2&20|2&1&2&50,-1,10370176
101000602,2&2&2&30|2&1&2&100,-1,10370177
101000603,2&2&2&40|2&1&2&150,-1,10370178
101000604,2&2&2&50|2&1&2&200,-1,10370179
101000605,2&2&2&60|2&1&2&250,-1,10370180
101000701,2&2&2&20|2&5&2&20,-1,10370181
101000702,2&2&2&30|2&5&2&30,-1,10370182
101000703,2&2&2&40|2&5&2&40,-1,10370183
101000704,2&2&2&50|2&5&2&50,-1,10370184
101000705,2&2&2&60|2&5&2&60,-1,10370185
101000801,-1,-1,10370186
101000802,-1,-1,10370187
101000803,-1,-1,10370188
101000804,-1,-1,10370189
101000805,-1,-1,10370190
101000901,-1,-1,10370191
101000902,-1,-1,10370192
101000903,-1,-1,10370193
101000904,-1,-1,10370194
101000905,-1,-1,10370195
101100401,2&20&2&10,-1,10370196
101100402,2&20&2&20,-1,10370197
101100403,2&20&2&30,-1,10370198
101100404,2&20&2&40,-1,10370199
101100405,2&20&2&50,-1,10370200
101100501,-1,-1,10370201
101100502,-1,-1,10370202
101100503,-1,-1,10370203
101100504,-1,-1,10370204
101100505,-1,-1,10370205
101100601,2&2&2&20|2&21&2&20,-1,10370206
101100602,2&2&2&30|2&21&2&30,-1,10370207
101100603,2&2&2&40|2&21&2&40,-1,10370208
101100604,2&2&2&50|2&21&2&50,-1,10370209
101100605,2&2&2&60|2&21&2&60,-1,10370210
101100701,2&2&2&20|2&20&2&20,-1,10370211
101100702,2&2&2&30|2&20&2&30,-1,10370212
101100703,2&2&2&40|2&20&2&40,-1,10370213
101100704,2&2&2&50|2&20&2&50,-1,10370214
101100705,2&2&2&60|2&20&2&60,-1,10370215
101100801,-1,-1,10370216
101100802,-1,-1,10370217
101100803,-1,-1,10370218
101100804,-1,-1,10370219
101100805,-1,-1,10370220
101100901,-1,-1,10370221
101100902,-1,-1,10370222
101100903,-1,-1,10370223
101100904,-1,-1,10370224
101100905,-1,-1,10370225
101300401,2&20&2&10,-1,10370226
101300402,2&20&2&20,-1,10370227
101300403,2&20&2&30,-1,10370228
101300404,2&20&2&40,-1,10370229
101300405,2&20&2&50,-1,10370230
101300501,-1,-1,10370231
101300502,-1,-1,10370232
101300503,-1,-1,10370233
101300504,-1,-1,10370234
101300505,-1,-1,10370235
101300601,2&2&2&20|2&21&2&20,-1,10370236
101300602,2&2&2&30|2&21&2&30,-1,10370237
101300603,2&2&2&40|2&21&2&40,-1,10370238
101300604,2&2&2&50|2&21&2&50,-1,10370239
101300605,2&2&2&60|2&21&2&60,-1,10370240
101300701,2&2&2&20|2&20&2&20,-1,10370241
101300702,2&2&2&30|2&20&2&30,-1,10370242
101300703,2&2&2&40|2&20&2&40,-1,10370243
101300704,2&2&2&50|2&20&2&50,-1,10370244
101300705,2&2&2&60|2&20&2&60,-1,10370245
101300801,-1,-1,10370246
101300802,-1,-1,10370247
101300803,-1,-1,10370248
101300804,-1,-1,10370249
101300805,-1,-1,10370250
101300901,-1,-1,10370251
101300902,-1,-1,10370252
101300903,-1,-1,10370253
101300904,-1,-1,10370254
101300905,-1,-1,10370255
101400401,2&21&2&10,-1,10370256
101400402,2&21&2&20,-1,10370257
101400403,2&21&2&30,-1,10370258
101400404,2&21&2&40,-1,10370259
101400405,2&21&2&50,-1,10370260
101400501,-1,-1,10370261
101400502,-1,-1,10370262
101400503,-1,-1,10370263
101400504,-1,-1,10370264
101400505,-1,-1,10370265
101400601,2&2&2&20|2&20&2&20,-1,10370266
101400602,2&2&2&30|2&20&2&30,-1,10370267
101400603,2&2&2&40|2&20&2&40,-1,10370268
101400604,2&2&2&50|2&20&2&50,-1,10370269
101400605,2&2&2&60|2&20&2&60,-1,10370270
101400701,2&2&2&20|2&5&2&20,-1,10370271
101400702,2&2&2&30|2&5&2&30,-1,10370272
101400703,2&2&2&40|2&5&2&40,-1,10370273
101400704,2&2&2&50|2&5&2&50,-1,10370274
101400705,2&2&2&60|2&5&2&60,-1,10370275
101400801,-1,-1,10370276
101400802,-1,-1,10370277
101400803,-1,-1,10370278
101400804,-1,-1,10370279
101400805,-1,-1,10370280
101400901,-1,-1,10370281
101400902,-1,-1,10370282
101400903,-1,-1,10370283
101400904,-1,-1,10370284
101400905,-1,-1,10370285
101500401,2&21&2&10,-1,10370286
101500402,2&21&2&20,-1,10370287
101500403,2&21&2&30,-1,10370288
101500404,2&21&2&40,-1,10370289
101500405,2&21&2&50,-1,10370290
101500501,-1,-1,10370291
101500502,-1,-1,10370292
101500503,-1,-1,10370293
101500504,-1,-1,10370294
101500505,-1,-1,10370295
101500601,2&2&2&20|2&1&2&50,-1,10370296
101500602,2&2&2&30|2&1&2&100,-1,10370297
101500603,2&2&2&40|2&1&2&150,-1,10370298
101500604,2&2&2&50|2&1&2&200,-1,10370299
101500605,2&2&2&60|2&1&2&250,-1,10370300
101500701,2&2&2&20|2&5&2&20,-1,10370301
101500702,2&2&2&30|2&5&2&30,-1,10370302
101500703,2&2&2&40|2&5&2&40,-1,10370303
101500704,2&2&2&50|2&5&2&50,-1,10370304
101500705,2&2&2&60|2&5&2&60,-1,10370305
101500801,-1,-1,10370306
101500802,-1,-1,10370307
101500803,-1,-1,10370308
101500804,-1,-1,10370309
101500805,-1,-1,10370310
101500901,-1,-1,10370311
101500902,-1,-1,10370312
101500903,-1,-1,10370313
101500904,-1,-1,10370314
101500905,-1,-1,10370315
101700401,2&4&2&10,-1,10370316
101700402,2&4&2&20,-1,10370317
101700403,2&4&2&30,-1,10370318
101700404,2&4&2&40,-1,10370319
101700405,2&4&2&50,-1,10370320
101700501,-1,-1,10370321
101700502,-1,-1,10370322
101700503,-1,-1,10370323
101700504,-1,-1,10370324
101700505,-1,-1,10370325
101700601,2&2&2&20|2&1&2&50,-1,10370326
101700602,2&2&2&30|2&1&2&100,-1,10370327
101700603,2&2&2&40|2&1&2&150,-1,10370328
101700604,2&2&2&50|2&1&2&200,-1,10370329
101700605,2&2&2&60|2&1&2&250,-1,10370330
101700701,2&2&2&20|2&20&2&20,-1,10370331
101700702,2&2&2&30|2&20&2&30,-1,10370332
101700703,2&2&2&40|2&20&2&40,-1,10370333
101700704,2&2&2&50|2&20&2&50,-1,10370334
101700705,2&2&2&60|2&20&2&60,-1,10370335
101700801,-1,-1,10370336
101700802,-1,-1,10370337
101700803,-1,-1,10370338
101700804,-1,-1,10370339
101700805,-1,-1,10370340
101700901,-1,-1,10370341
101700902,-1,-1,10370342
101700903,-1,-1,10370343
101700904,-1,-1,10370344
101700905,-1,-1,10370345
101800401,2&4&2&10,-1,10370346
101800402,2&4&2&20,-1,10370347
101800403,2&4&2&30,-1,10370348
101800404,2&4&2&40,-1,10370349
101800405,2&4&2&50,-1,10370350
101800501,-1,-1,10370351
101800502,-1,-1,10370352
101800503,-1,-1,10370353
101800504,-1,-1,10370354
101800505,-1,-1,10370355
101800601,2&2&2&20|2&20&2&20,-1,10370356
101800602,2&2&2&30|2&20&2&30,-1,10370357
101800603,2&2&2&40|2&20&2&40,-1,10370358
101800604,2&2&2&50|2&20&2&50,-1,10370359
101800605,2&2&2&60|2&20&2&60,-1,10370360
101800701,2&2&2&20|2&5&2&20,-1,10370361
101800702,2&2&2&30|2&5&2&30,-1,10370362
101800703,2&2&2&40|2&5&2&40,-1,10370363
101800704,2&2&2&50|2&5&2&50,-1,10370364
101800705,2&2&2&60|2&5&2&60,-1,10370365
101800801,-1,-1,10370366
101800802,-1,-1,10370367
101800803,-1,-1,10370368
101800804,-1,-1,10370369
101800805,-1,-1,10370370
101800901,-1,-1,10370371
101800902,-1,-1,10370372
101800903,-1,-1,10370373
101800904,-1,-1,10370374
101800905,-1,-1,10370375
5010101,2&5&2&28|2&1&2&29,-1,10370376
5010102,2&5&2&56|2&1&2&58,-1,10370377
5010103,2&5&2&84|2&1&2&87,-1,10370378
5010104,2&5&2&112|2&1&2&116,-1,10370379
5010105,2&5&2&140|2&1&2&145,-1,10370380
5010106,2&5&2&168|2&1&2&174,-1,10370381
5010107,2&5&2&196|2&1&2&203,-1,10370382
5010108,2&5&2&224|2&1&2&232,-1,10370383
5010109,2&5&2&252|2&1&2&261,-1,10370384
5010110,2&5&2&280|2&1&2&290,-1,10370385
5020101,2&2&2&12|2&5&2&12|2&1&2&12|2&20&2&12|2&21&2&12|2&4&2&12,-1,10370386
5020102,2&2&2&24|2&5&2&24|2&1&2&24|2&20&2&24|2&21&2&24|2&4&2&24,-1,10370387
5020103,2&2&2&36|2&5&2&36|2&1&2&36|2&20&2&36|2&21&2&36|2&4&2&36,-1,10370388
5020104,2&2&2&44|2&5&2&44|2&1&2&44|2&20&2&44|2&21&2&44|2&4&2&44,-1,10370389
5020105,2&2&2&56|2&5&2&56|2&1&2&56|2&20&2&56|2&21&2&56|2&4&2&56,-1,10370390
5020106,2&2&2&68|2&5&2&68|2&1&2&68|2&20&2&68|2&21&2&68|2&4&2&68,-1,10370391
5020107,2&2&2&80|2&5&2&80|2&1&2&80|2&20&2&80|2&21&2&80|2&4&2&80,-1,10370392
5020108,2&2&2&88|2&5&2&88|2&1&2&88|2&20&2&88|2&21&2&88|2&4&2&88,-1,10370393
5020109,2&2&2&100|2&5&2&100|2&1&2&100|2&20&2&100|2&21&2&100|2&4&2&100,-1,10370394
5020110,2&2&2&112|2&5&2&112|2&1&2&112|2&20&2&112|2&21&2&112|2&4&2&112,-1,10370395
5030101,2&2&2&19,-1,10370396
5030102,2&2&2&38,-1,10370397
5030103,2&2&2&57,-1,10370398
5030104,2&2&2&76,-1,10370399
5030105,2&2&2&95,-1,10370400
5030106,2&2&2&114,-1,10370401
5030107,2&2&2&133,-1,10370402
5030108,2&2&2&152,-1,10370403
5030109,2&2&2&171,-1,10370404
5030110,2&2&2&190,-1,10370405
5040101,2&5&2&25|2&1&2&38,-1,10370406
5040102,2&5&2&50|2&1&2&75,-1,10370407
5040103,2&5&2&75|2&1&2&113,-1,10370408
5040104,2&5&2&100|2&1&2&150,-1,10370409
5040105,2&5&2&125|2&1&2&188,-1,10370410
5040106,2&5&2&150|2&1&2&225,-1,10370411
5040107,2&5&2&175|2&1&2&263,-1,10370412
5040108,2&5&2&200|2&1&2&300,-1,10370413
5040109,2&5&2&225|2&1&2&338,-1,10370414
5040110,2&5&2&250|2&1&2&375,-1,10370415
5050101,2&2&2&20,-1,10370416
5050102,2&2&2&39,-1,10370417
5050103,2&2&2&58,-1,10370418
5050104,2&2&2&77,-1,10370419
5050105,2&2&2&97,-1,10370420
5050106,2&2&2&116,-1,10370421
5050107,2&2&2&135,-1,10370422
5050108,2&2&2&154,-1,10370423
5050109,2&2&2&174,-1,10370424
5050110,2&2&2&193,-1,10370425
5060101,2&2&1&10|2&5&1&10|2&1&1&24,-1,10370426
5060102,2&2&1&31|2&5&1&31|2&1&1&47,-1,10370427
5060103,2&2&1&47|2&5&1&47|2&1&1&71,-1,10370428
5060104,2&2&1&63|2&5&1&63|2&1&1&95,-1,10370429
5060105,2&2&1&79|2&5&1&79|2&1&1&118,-1,10370430
5060106,2&2&1&94|2&5&1&94|2&1&1&142,-1,10370431
5060107,2&2&1&110|2&5&1&110|2&1&1&166,-1,10370432
5060108,2&2&1&126|2&5&1&126|2&1&1&190,-1,10370433
5060109,2&2&1&142|2&5&1&142|2&1&1&213,-1,10370434
5060110,2&2&1&157|2&5&1&157|2&1&1&237,-1,10370435
5061101,2&2&1&10|2&5&1&10|2&1&1&24,-1,10370436
5061102,2&2&1&31|2&5&1&31|2&1&1&47,-1,10370437
5061103,2&2&1&47|2&5&1&47|2&1&1&71,-1,10370438
5061104,2&2&1&63|2&5&1&63|2&1&1&95,-1,10370439
5061105,2&2&1&79|2&5&1&79|2&1&1&118,-1,10370440
5061106,2&2&1&94|2&5&1&94|2&1&1&142,-1,10370441
5061107,2&2&1&110|2&5&1&110|2&1&1&166,-1,10370442
5061108,2&2&1&126|2&5&1&126|2&1&1&190,-1,10370443
5061109,2&2&1&142|2&5&1&142|2&1&1&213,-1,10370444
5061110,2&2&1&157|2&5&1&157|2&1&1&237,-1,10370445
5062101,2&2&1&10|2&5&1&10|2&1&1&24,-1,10370446
5062102,2&2&1&31|2&5&1&31|2&1&1&47,-1,10370447
5062103,2&2&1&47|2&5&1&47|2&1&1&71,-1,10370448
5062104,2&2&1&63|2&5&1&63|2&1&1&95,-1,10370449
5062105,2&2&1&79|2&5&1&79|2&1&1&118,-1,10370450
5062106,2&2&1&94|2&5&1&94|2&1&1&142,-1,10370451
5062107,2&2&1&110|2&5&1&110|2&1&1&166,-1,10370452
5062108,2&2&1&126|2&5&1&126|2&1&1&190,-1,10370453
5062109,2&2&1&142|2&5&1&142|2&1&1&213,-1,10370454
5062110,2&2&1&157|2&5&1&157|2&1&1&237,-1,10370455
100106,2&40&1&150,-1,10370456
100203,2&40&1&150,-1,10370457
100303,2&40&1&150,-1,10370458
100403,2&41&1&150,-1,10370459
100503,2&40&1&150,-1,10370460
100603,2&39&1&150,-1,10370461
100703,2&41&1&150,-1,10370462
100803,2&40&1&150,-1,10370463
100903,2&40&1&150,-1,10370464
101003,2&40&1&150,-1,10370465
101103,2&40&1&150,-1,10370466
101203,2&41&1&150,-1,10370467
101303,2&40&1&150,-1,10370468
101403,2&43&1&150,-1,10370469
101503,2&39&1&150,-1,10370470
101603,2&42&1&150,-1,10370471
101703,2&39&1&150,-1,10370472
101803,2&40&1&150,-1,10370473
101903,2&40&1&150,-1,10370474
102003,2&40&1&150,-1,10370475
102103,2&40&1&150,-1,10370476
102203,2&40&1&150,-1,10370477
102303,2&40&1&150,-1,10370478
102403,2&42&1&150,-1,10370479
102503,2&42&1&150,-1,10370480
102803,2&40&1&150,-1,10370483
103003,2&40&1&150,-1,10370485
103503,2&41&1&150,-1,10370490
103603,2&39&1&150,-1,10370491
103803,2&40&1&150,-1,10370493
103903,2&41&1&150,-1,10370494
104203,2&41&1&150,-1,10370497
104403,2&40&1&150,-1,10370499
104503,2&40&1&150,-1,10370500
200001,2&25&1&150,-1,10370501
200002,2&26&1&250,-1,10370502
