ID,被动类型,类型,被动技能描述,星级,品质,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,参数9,参数10,参数11,参数12,参数13,参数14,参数15,参数16,参数17,参数18,参数19,参数20,参数21,参数22,参数23,参数24,参数25,参数26,参数27,参数28,参数29,参数30,是否效果唯一
80001013,9,recorver_hp_other,10361012,-1,-1,1,0.03,12,2,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001014,12,other_damage_up,10361013,-1,-1,2,0.15,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001015,13,debuff_infos_p,10361014,-1,-1,2,5,1,0.1,999,1,1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001016,13,debuff_infos_p,10361015,-1,-1,6,1,0.1,999,1,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001017,1,buff_infos,10361016,-1,-1,6,2,10,1,1,3,-1,13,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001018,1,buff_infos,10361017,-1,-1,2,1,0.2,10,1,4,-1,13,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001019,10,fast_damage_up,10361018,-1,-1,1,0.3,1,0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001020,13,debuff_infos_p,10361019,-1,-1,2,2,1,0.1,999,1,1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001021,1,buff_infos,10361020,-1,-1,15,2,0.03,999999999,1,8,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001022,1,buff_infos,10361021,-1,-1,15,2,0.03,999999999,1,9,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001023,1,buff_infos,10361022,-1,-1,15,2,0.03,999999999,1,10,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001024,1,buff_infos,10361023,-1,-1,2,1,0.15,999999999,1,3,-1,2,-1,1,-1,1,0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001025,1,buff_infos,10361024,-1,-1,6,2,1,999999999,1,1015,-1,1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001026,1,buff_infos,10361025,-1,-1,16,1,0.05,999999999,1,1002,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001027,1,buff_infos,10361026,-1,-1,15,2,0.05,999999999,1,1006,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001028,1,buff_infos,10361027,-1,-1,2,1,0.1,999999999,1,4,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001029,1,buff_infos,10361028,-1,-1,2,1,0.15,999999999,1,8,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001030,1,buff_infos,10361029,-1,-1,2,1,0.15,999999999,1,9,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001031,1,buff_infos,10361030,-1,-1,2,1,0.15,999999999,1,10,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001032,1,buff_infos,10361031,-1,-1,5,1,0.2,999999999,1,4,-1,1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001033,1,buff_infos,10361032,-1,-1,1,1,0.2,999999999,1,4,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001034,1,buff_infos,10361033,-1,-1,4,1,0.25,999999999,1,4,-1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001035,3,nohurt_infos,10361034,-1,-1,2,1,0.05,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001036,1,buff_infos,10361035,-1,-1,20,1,0.05,999999999,1,4,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.1,999999999,1,4,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001037,1,buff_infos,10361036,-1,-1,20,1,0.08,999999999,1,8,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.15,999999999,1,8,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001038,1,buff_infos,10361037,-1,-1,20,1,0.08,999999999,1,9,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.15,999999999,1,9,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001039,1,buff_infos,10361038,-1,-1,20,1,0.08,999999999,1,10,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.15,999999999,1,10,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001040,1,buff_infos,10361039,-1,-1,6,2,1,999999999,1,4,-1,13,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001041,12,other_damage_up,10361040,-1,-1,2,0.2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001042,13,debuff_infos_p,10361041,-1,-1,2,5,1,0.2,999,1,1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001043,13,debuff_infos_p,10361042,-1,-1,6,1,0.15,999,1,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001044,1,buff_infos,10361043,-1,-1,15,2,0.1,999999999,1,1015,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001045,1,buff_infos,10361044,-1,-1,15,2,0.1,999999999,1,1045,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001046,1,buff_infos,10361045,-1,-1,15,2,0.1,999999999,1,1042,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001047,1,buff_infos,10361046,-1,-1,15,2,0.1,999999999,1,1038,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001048,1,buff_infos,10361047,-1,-1,15,2,0.1,999999999,1,1019,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001049,1,buff_infos,10361048,-1,-1,21,1,0.2,999999999,1,1016,-1,1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001050,1,buff_infos,10361049,-1,-1,6,2,15,1,1,3,-1,13,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001051,1,buff_infos,10361050,-1,-1,2,1,0.3,10,1,4,-1,13,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001052,10,fast_damage_up,10361051,-1,-1,1,0.35,1,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001053,13,debuff_infos_p,10361052,-1,-1,2,2,1,0.15,999,1,1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001054,1,buff_infos,10361053,-1,-1,15,2,0.05,999999999,1,8,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001055,1,buff_infos,10361054,-1,-1,15,2,0.05,999999999,1,9,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001056,1,buff_infos,10361055,-1,-1,15,2,0.05,999999999,1,10,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001057,1,buff_infos,10361056,-1,-1,2,1,0.2,999999999,1,3,-1,2,-1,1,-1,1,0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001058,1,buff_infos,10361057,-1,-1,2,1,0.2,999999999,1,4,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001059,1,buff_infos,10361058,-1,-1,2,1,0.25,999999999,1,8,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001060,1,buff_infos,10361059,-1,-1,2,1,0.25,999999999,1,9,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001061,1,buff_infos,10361060,-1,-1,2,1,0.25,999999999,1,10,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001062,1,buff_infos,10361061,-1,-1,5,1,0.35,999999999,1,4,-1,1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001063,1,buff_infos,10361062,-1,-1,1,1,0.35,999999999,1,4,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001064,1,buff_infos,10361063,-1,-1,4,1,0.35,999999999,1,4,-1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001065,3,nohurt_infos,10361064,-1,-1,2,1,0.07,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001066,1,buff_infos,10361065,-1,-1,20,1,0.08,999999999,1,4,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.15,999999999,1,4,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001067,1,buff_infos,10361066,-1,-1,20,1,0.1,999999999,1,8,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.2,999999999,1,8,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001068,1,buff_infos,10361067,-1,-1,20,1,0.1,999999999,1,9,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.2,999999999,1,9,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001069,1,buff_infos,10361068,-1,-1,20,1,0.1,999999999,1,10,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.2,999999999,1,10,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001070,1,buff_infos,10361069,-1,-1,6,2,1.5,999999999,1,4,-1,13,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001071,12,other_damage_up,10361070,-1,-1,2,0.3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001072,13,debuff_infos_p,10361071,-1,-1,2,5,1,0.35,999,1,1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001073,13,debuff_infos_p,10361072,-1,-1,6,1,0.2,999,1,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001074,4,recorver_hp_infos,10361073,-1,-1,1,0.25,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001075,1,buff_infos,10361074,-1,-1,15,2,0.15,999999999,1,1035,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001076,1,buff_infos,10361075,-1,-1,15,2,0.15,999999999,1,1024,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001077,1,buff_infos,10361076,-1,-1,2,1,0.3,999999999,1,1022,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001078,1,buff_infos,10361077,-1,-1,15,2,0.15,999999999,1,1021,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001079,1,buff_infos,10361078,-1,-1,2,1,0.3,999999999,1,1013,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001080,1,buff_infos,10361079,-1,-1,15,2,0.15,999999999,1,1010,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001081,1,buff_infos,10361080,-1,-1,6,2,20,1,1,3,-1,13,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001082,10,fast_damage_up,10361081,-1,-1,1,0.4,1,0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001083,13,debuff_infos_p,10361082,-1,-1,2,2,1,0.25,999,1,1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001084,1,buff_infos,10361083,-1,-1,2,1,0.3,999999999,1,3,-1,2,-1,1,-1,1,0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666001,1,buff_infos,666001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666002,1,buff_infos,666002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666003,1,buff_infos,666003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666004,1,buff_infos,666004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666005,1,buff_infos,666005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666006,1,buff_infos,666006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666007,1,buff_infos,666007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666008,1,buff_infos,666008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666009,1,buff_infos,666009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666010,1,buff_infos,666010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666011,1,buff_infos,666011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666012,1,buff_infos,666012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666013,1,buff_infos,666013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666014,1,buff_infos,666014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666015,1,buff_infos,666015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666016,1,buff_infos,666016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666017,1,buff_infos,666017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666018,1,buff_infos,666018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
666019,1,buff_infos,666019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
