id,等级,所属枪型,消耗材料1,消耗材料2,消耗材料3,属性加成（战斗外）,属性加成（战斗内）,通用构筑点,切换技升级
233,33,2,4301001&375,4301002&165,-1,5&21|5&21,0,0,-1
234,34,2,4301001&395,4301002&170,-1,1&72|1&72,0,0,-1
235,35,2,4301001&415,4301002&175,-1,2&21|2&21,0,0,-1
236,36,2,4301001&435,4301002&180,-1,5&21|5&21,0,0,-1
237,37,2,4301001&455,4301002&185,4600004&41,1&72|1&72,0,0,2&600203
238,38,2,4301001&475,4301002&190,-1,2&21|2&21,0,0,-1
239,39,2,4301001&495,4301002&195,-1,5&21|5&21,0,0,-1
240,40,2,4301001&520,4301002&200,-1,1&72|1&72,0.034,0,-1
241,41,2,4301001&545,4301002&205,-1,2&19|2&19,0,0,-1
242,42,2,4301001&570,4301002&210,-1,5&26|5&26,0,0,-1
243,43,2,4301001&595,4301002&215,-1,1&115|1&115,0,0,-1
244,44,2,4301001&620,4301002&220,-1,2&19|2&19,0,0,-1
245,45,2,4301001&645,4301002&225,-1,5&26|5&26,0,0,-1
246,46,2,4301001&670,4301002&230,-1,1&115|1&115,0,0,-1
247,47,2,4301001&695,4301002&235,-1,2&19|2&19,0,0,-1
248,48,2,4301001&720,4301002&240,-1,5&26|5&26,0,0,-1
249,49,2,4301001&745,4301002&245,-1,1&115|1&115,0,0,-1
250,50,2,4301001&775,4301002&250,-1,2&19|2&19,0.051,0,-1
251,51,2,4301001&805,4301002&255,-1,5&22|5&22,0,0,-1
252,52,2,4301001&835,4301002&260,-1,1&134|1&134,0,0,-1
253,53,2,4301001&865,4301002&265,-1,2&30|2&30,0,0,-1
254,54,2,4301001&895,4301002&270,-1,5&22|5&22,0,0,-1
255,55,2,4301001&925,4301002&275,-1,1&134|1&134,0,0,-1
256,56,2,4301001&955,4301002&280,-1,2&30|2&30,0,0,-1
257,57,2,4301001&985,4301002&285,4600004&61,5&22|5&22,0,0,2&600204
258,58,2,4301001&1015,4301002&290,-1,1&134|1&134,0,0,-1
259,59,2,4301001&1045,4301002&295,-1,2&30|2&30,0,0,-1
260,60,2,4301001&1080,4301002&300,-1,5&22|5&22,0.067,0,-1
261,61,2,4301001&1115,4301002&305,-1,1&115|1&115,0,0,-1
262,62,2,4301001&1150,4301002&310,-1,2&34|2&34,0,0,-1
263,63,2,4301001&1185,4301002&315,-1,5&34|5&34,0,0,-1
264,64,2,4301001&1220,4301002&320,-1,1&115|1&115,0,0,-1
265,65,2,4301001&1255,4301002&325,-1,2&34|2&34,0,0,-1
266,66,2,4301001&1290,4301002&330,-1,5&34|5&34,0,0,-1
267,67,2,4301001&1325,4301002&335,-1,1&115|1&115,0,0,-1
268,68,2,4301001&1360,4301002&340,-1,2&34|2&34,0,0,-1
269,69,2,4301001&1395,4301002&345,-1,5&34|5&34,0,0,-1
270,70,2,4301001&1435,4301002&350,-1,1&115|1&115,0.084,0,-1
271,71,2,4301001&1475,4301002&355,-1,2&29|2&29,0,0,-1
272,72,2,4301001&1515,4301002&360,-1,5&38|5&38,0,0,-1
273,73,2,4301001&1555,4301002&365,-1,1&172|1&172,0,0,-1
274,74,2,4301001&1595,4301002&370,-1,2&29|2&29,0,0,-1
275,75,2,4301001&1635,4301002&375,-1,5&38|5&38,0,0,-1
276,76,2,4301001&1675,4301002&380,-1,1&172|1&172,0,0,-1
277,77,2,4301001&1715,4301002&385,4600004&81,2&29|2&29,0,0,2&600205
278,78,2,4301001&1755,4301002&390,-1,5&38|5&38,0,0,-1
279,79,2,4301001&1795,4301002&395,-1,1&172|1&172,0,0,-1
280,80,2,4301001&1835,4301002&400,-1,2&29|2&29,0.101,0,-1
301,1,3,4302001&5,4302002&5,4306001&10,1&57,0,1,1&600301
302,2,3,4302001&10,4302002&10,-1,2&17,0,0,-1
303,3,3,4302001&15,4302002&15,4306001&14,5&15,0,1,-1
304,4,3,4302001&20,4302002&20,-1,1&57,0,0,-1
305,5,3,4302001&25,4302002&25,4306001&18,2&17,0,1,-1
306,6,3,4302001&30,4302002&30,-1,5&15,0,0,-1
307,7,3,4302001&35,4302002&35,4306001&22,1&57,0,1,-1
308,8,3,4302001&40,4302002&40,-1,2&17,0,0,-1
309,9,3,4302001&45,4302002&45,4306001&26,5&15,0,1,-1
310,10,3,4302001&55,4302002&50,-1,1&57,0.017,0,-1
311,11,3,4302001&65,4302002&55,4306001&30,2&15,0,1,-1
312,12,3,4302001&75,4302002&60,-1,5&23,0,0,-1
313,13,3,4302001&85,4302002&65,4306001&34,1&115,0,1,-1
314,14,3,4302001&95,4302002&70,-1,2&15,0,0,-1
315,15,3,4302001&105,4302002&75,4306001&38,5&23,0,1,-1
316,16,3,4302001&115,4302002&80,-1,1&115,0,0,-1
317,17,3,4302001&125,4302002&85,4600004&21,2&15,0,0,2&600302
318,18,3,4302001&135,4302002&90,-1,5&23,0,0,-1
319,19,3,4302001&145,4302002&95,4306001&46,1&115,0,1,-1
320,20,3,4302001&160,4302002&100,-1,2&15|2&15,0.021,0,-1
321,21,3,4302001&175,4302002&105,-1,5&12|5&12,0,0,-1
322,22,3,4302001&190,4302002&110,-1,1&76|1&76,0,0,-1
323,23,3,4302001&205,4302002&115,4306001&54,2&17|2&17,0,1,-1
324,24,3,4302001&220,4302002&120,-1,5&12|5&12,0,0,-1
325,25,3,4302001&235,4302002&125,-1,1&76|1&76,0,0,-1
326,26,3,4302001&250,4302002&130,-1,2&17|2&17,0,0,-1
327,27,3,4302001&265,4302002&135,4306001&62,5&12|5&12,0,1,-1
328,28,3,4302001&280,4302002&140,-1,1&76|1&76,0,0,-1
329,29,3,4302001&295,4302002&145,-1,2&17|2&17,0,0,-1
330,30,3,4302001&315,4302002&150,-1,5&12|5&12,0.025,0,-1
331,31,3,4302001&335,4302002&155,4306001&70,1&72|1&72,0,1,-1
332,32,3,4302001&355,4302002&160,-1,2&21|2&21,0,0,-1
333,33,3,4302001&375,4302002&165,-1,5&19|5&19,0,0,-1
334,34,3,4302001&395,4302002&170,-1,1&72|1&72,0,0,-1
335,35,3,4302001&415,4302002&175,-1,2&21|2&21,0,0,-1
336,36,3,4302001&435,4302002&180,-1,5&19|5&19,0,0,-1
337,37,3,4302001&455,4302002&185,4600004&41,1&72|1&72,0,0,2&600303
338,38,3,4302001&475,4302002&190,-1,2&21|2&21,0,0,-1
339,39,3,4302001&495,4302002&195,-1,5&19|5&19,0,0,-1
340,40,3,4302001&520,4302002&200,-1,1&72|1&72,0.034,0,-1
341,41,3,4302001&545,4302002&205,-1,2&19|2&19,0,0,-1
342,42,3,4302001&570,4302002&210,-1,5&23|5&23,0,0,-1
343,43,3,4302001&595,4302002&215,-1,1&115|1&115,0,0,-1
344,44,3,4302001&620,4302002&220,-1,2&19|2&19,0,0,-1
345,45,3,4302001&645,4302002&225,-1,5&23|5&23,0,0,-1
346,46,3,4302001&670,4302002&230,-1,1&115|1&115,0,0,-1
347,47,3,4302001&695,4302002&235,-1,2&19|2&19,0,0,-1
348,48,3,4302001&720,4302002&240,-1,5&23|5&23,0,0,-1
349,49,3,4302001&745,4302002&245,-1,1&115|1&115,0,0,-1
350,50,3,4302001&775,4302002&250,-1,2&19|2&19,0.051,0,-1
351,51,3,4302001&805,4302002&255,-1,5&20|5&20,0,0,-1
352,52,3,4302001&835,4302002&260,-1,1&134|1&134,0,0,-1
353,53,3,4302001&865,4302002&265,-1,2&30|2&30,0,0,-1
354,54,3,4302001&895,4302002&270,-1,5&20|5&20,0,0,-1
355,55,3,4302001&925,4302002&275,-1,1&134|1&134,0,0,-1
356,56,3,4302001&955,4302002&280,-1,2&30|2&30,0,0,-1
357,57,3,4302001&985,4302002&285,4600004&61,5&20|5&20,0,0,2&600304
358,58,3,4302001&1015,4302002&290,-1,1&134|1&134,0,0,-1
359,59,3,4302001&1045,4302002&295,-1,2&30|2&30,0,0,-1
360,60,3,4302001&1080,4302002&300,-1,5&20|5&20,0.067,0,-1
361,61,3,4302001&1115,4302002&305,-1,1&115|1&115,0,0,-1
362,62,3,4302001&1150,4302002&310,-1,2&34|2&34,0,0,-1
363,63,3,4302001&1185,4302002&315,-1,5&31|5&31,0,0,-1
364,64,3,4302001&1220,4302002&320,-1,1&115|1&115,0,0,-1
365,65,3,4302001&1255,4302002&325,-1,2&34|2&34,0,0,-1
366,66,3,4302001&1290,4302002&330,-1,5&31|5&31,0,0,-1
367,67,3,4302001&1325,4302002&335,-1,1&115|1&115,0,0,-1
368,68,3,4302001&1360,4302002&340,-1,2&34|2&34,0,0,-1
369,69,3,4302001&1395,4302002&345,-1,5&31|5&31,0,0,-1
370,70,3,4302001&1435,4302002&350,-1,1&115|1&115,0.084,0,-1
371,71,3,4302001&1475,4302002&355,-1,2&29|2&29,0,0,-1
372,72,3,4302001&1515,4302002&360,-1,5&34|5&34,0,0,-1
373,73,3,4302001&1555,4302002&365,-1,1&172|1&172,0,0,-1
374,74,3,4302001&1595,4302002&370,-1,2&29|2&29,0,0,-1
375,75,3,4302001&1635,4302002&375,-1,5&34|5&34,0,0,-1
376,76,3,4302001&1675,4302002&380,-1,1&172|1&172,0,0,-1
377,77,3,4302001&1715,4302002&385,4600004&81,2&29|2&29,0,0,2&600305
378,78,3,4302001&1755,4302002&390,-1,5&34|5&34,0,0,-1
379,79,3,4302001&1795,4302002&395,-1,1&172|1&172,0,0,-1
380,80,3,4302001&1835,4302002&400,-1,2&29|2&29,0.101,0,-1
401,1,4,4303001&5,4303002&5,4306001&10,1&64,0,1,1&600401
402,2,4,4303001&10,4303002&10,-1,2&19,0,0,-1
403,3,4,4303001&15,4303002&15,4306001&14,5&17,0,1,-1
404,4,4,4303001&20,4303002&20,-1,1&64,0,0,-1
405,5,4,4303001&25,4303002&25,4306001&18,2&19,0,1,-1
406,6,4,4303001&30,4303002&30,-1,5&17,0,0,-1
407,7,4,4303001&35,4303002&35,4306001&22,1&64,0,1,-1
408,8,4,4303001&40,4303002&40,-1,2&19,0,0,-1
409,9,4,4303001&45,4303002&45,4306001&26,5&17,0,1,-1
410,10,4,4303001&55,4303002&50,-1,1&64,0.017,0,-1
411,11,4,4303001&65,4303002&55,4306001&30,2&17,0,1,-1
412,12,4,4303001&75,4303002&60,-1,5&25,0,0,-1
413,13,4,4303001&85,4303002&65,4306001&34,1&127,0,1,-1
414,14,4,4303001&95,4303002&70,-1,2&17,0,0,-1
415,15,4,4303001&105,4303002&75,-1,5&25,0,0,-1
416,16,4,4303001&115,4303002&80,-1,1&127,0,0,-1
417,17,4,4303001&125,4303002&85,4600004&21,2&17,0,0,2&600402
418,18,4,4303001&135,4303002&90,-1,5&25,0,0,-1
419,19,4,4303001&145,4303002&95,4306001&46,1&127,0,1,-1
420,20,4,4303001&160,4303002&100,-1,2&17|2&17,0.021,0,-1
421,21,4,4303001&175,4303002&105,-1,5&13|5&13,0,0,-1
422,22,4,4303001&190,4303002&110,-1,1&85|1&85,0,0,-1
423,23,4,4303001&205,4303002&115,-1,2&19|2&19,0,0,-1
424,24,4,4303001&220,4303002&120,-1,5&13|5&13,0,0,-1
425,25,4,4303001&235,4303002&125,4306001&58,1&85|1&85,0,1,-1
426,26,4,4303001&250,4303002&130,-1,2&19|2&19,0,0,-1
427,27,4,4303001&265,4303002&135,-1,5&13|5&13,0,0,-1
428,28,4,4303001&280,4303002&140,-1,1&85|1&85,0,0,-1
429,29,4,4303001&295,4303002&145,-1,2&19|2&19,0,0,-1
430,30,4,4303001&315,4303002&150,-1,5&13|5&13,0.025,0,-1
431,31,4,4303001&335,4303002&155,4306001&70,1&80|1&80,0,1,-1
432,32,4,4303001&355,4303002&160,-1,2&23|2&23,0,0,-1
433,33,4,4303001&375,4303002&165,-1,5&21|5&21,0,0,-1
434,34,4,4303001&395,4303002&170,-1,1&80|1&80,0,0,-1
435,35,4,4303001&415,4303002&175,-1,2&23|2&23,0,0,-1
436,36,4,4303001&435,4303002&180,-1,5&21|5&21,0,0,-1
437,37,4,4303001&455,4303002&185,4600004&41,1&80|1&80,0,0,2&600403
438,38,4,4303001&475,4303002&190,-1,2&23|2&23,0,0,-1
439,39,4,4303001&495,4303002&195,-1,5&21|5&21,0,0,-1
440,40,4,4303001&520,4303002&200,-1,1&80|1&80,0.034,0,-1
441,41,4,4303001&545,4303002&205,-1,2&21|2&21,0,0,-1
442,42,4,4303001&570,4303002&210,-1,5&26|5&26,0,0,-1
443,43,4,4303001&595,4303002&215,-1,1&127|1&127,0,0,-1
444,44,4,4303001&620,4303002&220,-1,2&21|2&21,0,0,-1
445,45,4,4303001&645,4303002&225,-1,5&26|5&26,0,0,-1
446,46,4,4303001&670,4303002&230,-1,1&127|1&127,0,0,-1
447,47,4,4303001&695,4303002&235,-1,2&21|2&21,0,0,-1
448,48,4,4303001&720,4303002&240,-1,5&26|5&26,0,0,-1
449,49,4,4303001&745,4303002&245,-1,1&127|1&127,0,0,-1
450,50,4,4303001&775,4303002&250,-1,2&21|2&21,0.051,0,-1
451,51,4,4303001&805,4303002&255,-1,5&22|5&22,0,0,-1
452,52,4,4303001&835,4303002&260,-1,1&149|1&149,0,0,-1
453,53,4,4303001&865,4303002&265,-1,2&33|2&33,0,0,-1
454,54,4,4303001&895,4303002&270,-1,5&22|5&22,0,0,-1
455,55,4,4303001&925,4303002&275,-1,1&149|1&149,0,0,-1
456,56,4,4303001&955,4303002&280,-1,2&33|2&33,0,0,-1
457,57,4,4303001&985,4303002&285,4600004&61,5&22|5&22,0,0,2&600404
458,58,4,4303001&1015,4303002&290,-1,1&149|1&149,0,0,-1
459,59,4,4303001&1045,4303002&295,-1,2&33|2&33,0,0,-1
460,60,4,4303001&1080,4303002&300,-1,5&22|5&22,0.067,0,-1
461,61,4,4303001&1115,4303002&305,-1,1&127|1&127,0,0,-1
462,62,4,4303001&1150,4303002&310,-1,2&37|2&37,0,0,-1
463,63,4,4303001&1185,4303002&315,-1,5&34|5&34,0,0,-1
464,64,4,4303001&1220,4303002&320,-1,1&127|1&127,0,0,-1
465,65,4,4303001&1255,4303002&325,-1,2&37|2&37,0,0,-1
466,66,4,4303001&1290,4303002&330,-1,5&34|5&34,0,0,-1
467,67,4,4303001&1325,4303002&335,-1,1&127|1&127,0,0,-1
468,68,4,4303001&1360,4303002&340,-1,2&37|2&37,0,0,-1
469,69,4,4303001&1395,4303002&345,-1,5&34|5&34,0,0,-1
470,70,4,4303001&1435,4303002&350,-1,1&127|1&127,0.084,0,-1
471,71,4,4303001&1475,4303002&355,-1,2&32|2&32,0,0,-1
472,72,4,4303001&1515,4303002&360,-1,5&38|5&38,0,0,-1
473,73,4,4303001&1555,4303002&365,-1,1&191|1&191,0,0,-1
474,74,4,4303001&1595,4303002&370,-1,2&32|2&32,0,0,-1
475,75,4,4303001&1635,4303002&375,-1,5&38|5&38,0,0,-1
476,76,4,4303001&1675,4303002&380,-1,1&191|1&191,0,0,-1
477,77,4,4303001&1715,4303002&385,4600004&81,2&32|2&32,0,0,2&600405
478,78,4,4303001&1755,4303002&390,-1,5&38|5&38,0,0,-1
479,79,4,4303001&1795,4303002&395,-1,1&191|1&191,0,0,-1
480,80,4,4303001&1835,4303002&400,-1,2&32|2&32,0.101,0,-1
501,1,5,4304001&5,4304002&5,4306001&10,1&64,0,1,1&600501
502,2,5,4304001&10,4304002&10,-1,2&20,0,0,-1
503,3,5,4304001&15,4304002&15,4306001&14,5&15,0,1,-1
504,4,5,4304001&20,4304002&20,-1,1&64,0,0,-1
505,5,5,4304001&25,4304002&25,4306001&18,2&20,0,1,-1
506,6,5,4304001&30,4304002&30,-1,5&15,0,0,-1
507,7,5,4304001&35,4304002&35,4306001&22,1&64,0,1,-1
508,8,5,4304001&40,4304002&40,-1,2&20,0,0,-1
509,9,5,4304001&45,4304002&45,4306001&26,5&15,0,1,-1
510,10,5,4304001&55,4304002&50,-1,1&64,0.017,0,-1
511,11,5,4304001&65,4304002&55,4306001&30,2&18,0,1,-1
512,12,5,4304001&75,4304002&60,-1,5&23,0,0,-1
513,13,5,4304001&85,4304002&65,4306001&34,1&127,0,1,-1
514,14,5,4304001&95,4304002&70,-1,2&18,0,0,-1
515,15,5,4304001&105,4304002&75,4306001&38,5&23,0,1,-1
516,16,5,4304001&115,4304002&80,-1,1&127,0,0,-1
517,17,5,4304001&125,4304002&85,4600004&21,2&18,0,0,2&600502
518,18,5,4304001&135,4304002&90,-1,5&23,0,0,-1
519,19,5,4304001&145,4304002&95,4306001&46,1&127,0,1,-1
520,20,5,4304001&160,4304002&100,-1,2&18|2&18,0.021,0,-1
521,21,5,4304001&175,4304002&105,-1,5&12|5&12,0,0,-1
522,22,5,4304001&190,4304002&110,-1,1&85|1&85,0,0,-1
523,23,5,4304001&205,4304002&115,4306001&54,2&20|2&20,0,1,-1
524,24,5,4304001&220,4304002&120,-1,5&12|5&12,0,0,-1
525,25,5,4304001&235,4304002&125,-1,1&85|1&85,0,0,-1
526,26,5,4304001&250,4304002&130,-1,2&20|2&20,0,0,-1
527,27,5,4304001&265,4304002&135,4306001&62,5&12|5&12,0,1,-1
528,28,5,4304001&280,4304002&140,-1,1&85|1&85,0,0,-1
529,29,5,4304001&295,4304002&145,-1,2&20|2&20,0,0,-1
530,30,5,4304001&315,4304002&150,-1,5&12|5&12,0.025,0,-1
531,31,5,4304001&335,4304002&155,4306001&70,1&80|1&80,0,1,-1
532,32,5,4304001&355,4304002&160,-1,2&24|2&24,0,0,-1
533,33,5,4304001&375,4304002&165,-1,5&19|5&19,0,0,-1
534,34,5,4304001&395,4304002&170,-1,1&80|1&80,0,0,-1
535,35,5,4304001&415,4304002&175,-1,2&24|2&24,0,0,-1
536,36,5,4304001&435,4304002&180,-1,5&19|5&19,0,0,-1
537,37,5,4304001&455,4304002&185,4600004&41,1&80|1&80,0,0,2&600503
538,38,5,4304001&475,4304002&190,-1,2&24|2&24,0,0,-1
539,39,5,4304001&495,4304002&195,-1,5&19|5&19,0,0,-1
540,40,5,4304001&520,4304002&200,-1,1&80|1&80,0.034,0,-1
541,41,5,4304001&545,4304002&205,-1,2&22|2&22,0,0,-1
542,42,5,4304001&570,4304002&210,-1,5&23|5&23,0,0,-1
543,43,5,4304001&595,4304002&215,-1,1&127|1&127,0,0,-1
544,44,5,4304001&620,4304002&220,-1,2&22|2&22,0,0,-1
545,45,5,4304001&645,4304002&225,-1,5&23|5&23,0,0,-1
546,46,5,4304001&670,4304002&230,-1,1&127|1&127,0,0,-1
547,47,5,4304001&695,4304002&235,-1,2&22|2&22,0,0,-1
548,48,5,4304001&720,4304002&240,-1,5&23|5&23,0,0,-1
549,49,5,4304001&745,4304002&245,-1,1&127|1&127,0,0,-1
550,50,5,4304001&775,4304002&250,-1,2&22|2&22,0.051,0,-1
551,51,5,4304001&805,4304002&255,-1,5&20|5&20,0,0,-1
552,52,5,4304001&835,4304002&260,-1,1&149|1&149,0,0,-1
553,53,5,4304001&865,4304002&265,-1,2&34|2&34,0,0,-1
554,54,5,4304001&895,4304002&270,-1,5&20|5&20,0,0,-1
555,55,5,4304001&925,4304002&275,-1,1&149|1&149,0,0,-1
556,56,5,4304001&955,4304002&280,-1,2&34|2&34,0,0,-1
557,57,5,4304001&985,4304002&285,4600004&61,5&20|5&20,0,0,2&600504
558,58,5,4304001&1015,4304002&290,-1,1&149|1&149,0,0,-1
559,59,5,4304001&1045,4304002&295,-1,2&34|2&34,0,0,-1
560,60,5,4304001&1080,4304002&300,-1,5&20|5&20,0.067,0,-1
561,61,5,4304001&1115,4304002&305,-1,1&127|1&127,0,0,-1
