id,显示掉落,可能掉落显示专用,掉落1,掉落2,掉落3,掉落4,掉落5,掉落6,掉落7,掉落8,掉落9,掉落10
100060,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
100070,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
100080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200010,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200020,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200030,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200050,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200060,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200070,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101010,4&9000101&15&0,-1,4&9000101&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101020,4&9000201&15&0,-1,4&9000201&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101030,4&9000301&15&0,-1,4&9000301&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101050,4&9000101&15&0,-1,4&9000101&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101060,4&9000201&15&0,-1,4&9000201&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101070,4&9000301&15&0,-1,4&9000301&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201010,4&9000101&15&0,-1,4&9000101&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201020,4&9000201&15&0,-1,4&9000201&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201030,4&9000301&15&0,-1,4&9000301&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201050,4&9000101&15&0,-1,4&9000101&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201060,4&9000201&15&0,-1,4&9000201&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201070,4&9000301&15&0,-1,4&9000301&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102010,4&9000101&15&0,-1,4&9000101&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102020,4&9000201&15&0,-1,4&9000201&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102030,4&9000301&15&0,-1,4&9000301&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102050,4&9000101&15&0,-1,4&9000101&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102060,4&9000201&15&0,-1,4&9000201&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102070,4&9000301&15&0,-1,4&9000301&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202010,4&9000101&15&0,-1,4&9000101&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202020,4&9000201&15&0,-1,4&9000201&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202030,4&9000301&15&0,-1,4&9000301&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202050,4&9000101&15&0,-1,4&9000101&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202060,4&9000201&15&0,-1,4&9000201&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202070,4&9000301&15&0,-1,4&9000301&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103010,4&9000102&8&0,-1,4&9000102&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103020,4&9000202&8&0,-1,4&9000202&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103030,4&9000302&8&0,-1,4&9000302&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103050,4&9000102&8&0,-1,4&9000102&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103060,4&9000202&8&0,-1,4&9000202&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103070,4&9000302&8&0,-1,4&9000302&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203010,4&9000102&8&0,-1,4&9000102&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203020,4&9000202&8&0,-1,4&9000202&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203030,4&9000302&8&0,-1,4&9000302&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203050,4&9000102&8&0,-1,4&9000102&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203060,4&9000202&8&0,-1,4&9000202&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203070,4&9000302&8&0,-1,4&9000302&8&8&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104010,4&9000103&5&0,-1,4&9000103&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104020,4&9000203&5&0,-1,4&9000203&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104030,4&9000303&5&0,-1,4&9000303&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104050,4&9000103&5&0,-1,4&9000103&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104060,4&9000203&5&0,-1,4&9000203&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104070,4&9000303&5&0,-1,4&9000303&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204010,4&9000103&5&0,-1,4&9000103&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204020,4&9000203&5&0,-1,4&9000203&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204030,4&9000303&5&0,-1,4&9000303&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204050,4&9000103&5&0,-1,4&9000103&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204060,4&9000203&5&0,-1,4&9000203&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204070,4&9000303&5&0,-1,4&9000303&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105010,4&9000103&5&0,-1,4&9000103&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105020,4&9000203&5&0,-1,4&9000203&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105030,4&9000303&5&0,-1,4&9000303&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105050,4&9000103&5&0,-1,4&9000103&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105060,4&9000203&5&0,-1,4&9000203&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105070,4&9000303&5&0,-1,4&9000303&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
205010,4&9000103&5&0,-1,4&9000103&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
205020,4&9000203&5&0,-1,4&9000203&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
205030,4&9000303&5&0,-1,4&9000303&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
205040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
205050,4&9000103&5&0,-1,4&9000103&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
205060,4&9000203&5&0,-1,4&9000203&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
205070,4&9000303&5&0,-1,4&9000303&5&5&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
205080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106010,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106020,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106030,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106050,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106060,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106070,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
206010,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
206020,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
206030,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
206040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
206050,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
206060,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
206070,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
206080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107010,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107020,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107030,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107050,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107060,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107070,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207010,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207020,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207030,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207050,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207060,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207070,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108010,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108020,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108030,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108050,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108060,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108070,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
208010,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
208020,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
208030,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
208040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
208050,4&9000104&4&0,-1,4&9000104&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
208060,4&9000204&4&0,-1,4&9000204&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
208070,4&9000304&4&0,-1,4&9000304&4&4&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
208080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109010,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109020,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109030,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109050,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109060,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109070,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209010,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209020,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209030,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209050,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209060,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209070,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110010,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110020,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110030,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110050,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110060,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110070,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210010,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210020,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210030,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210050,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210060,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210070,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111010,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111020,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111030,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111050,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111060,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111070,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211010,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211020,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211030,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211040,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211050,4&9000105&2&0,-1,4&9000105&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211060,4&9000205&2&0,-1,4&9000205&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211070,4&9000305&2&0,-1,4&9000305&2&2&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112010,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112020,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112030,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112040,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112050,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112060,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112070,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212010,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212020,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212030,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212040,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212050,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212060,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212070,4&1000002&15&0,-1,4&1000002&15&15&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212080,4&7000007&1&0,-1,4&7000007&1&1&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
113010,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
113020,4&1000002&10&0,-1,4&1000002&10&10&10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
