组id,所属秘所,所属小训练场,位置,后连接位,对应icon,对应spain,训练项目类型,训练最高等级,解锁条件（项目）,解锁条件（场等级）,升级消耗id,升级获得秘所经验
224,2,2210,3&3,-1,source_icon/train/21,-1,1,10,221&5,2&5,221021,10
225,2,2210,3&1,20010202,source_icon/train/22,-1,1,10,222&5,2&5,221022,10
226,2,2210,3&2,20010202,source_icon/train/25,-1,1,10,223&5,2&5,221025,10
231,2,2315,1&2,234,source_icon/train/11,-1,1,15,-1,2&10,231511,10
232,2,2315,1&3,235,source_icon/train/12,-1,1,15,-1,2&10,231512,10
233,2,2315,1&1,236,source_icon/train/15,-1,1,15,-1,2&10,231515,10
234,2,2315,2&2,20010302,source_icon/train/21,-1,1,15,231&5,2&10,231521,10
235,2,2315,3&3,20010302,source_icon/train/22,-1,1,15,232&5,2&10,231522,10
236,2,2315,2&1,237,source_icon/train/25,-1,1,15,233&5,2&10,231525,10
237,2,2315,3&1,238,source_icon/train/231527,-1,1,5,236&5,2&15,231527,10
238,2,2315,4&1,-1,source_icon/train/231528,-1,1,5,237&5,2&15,231528,10
311,3,3105,2&3,316|314,source_icon/train/11,-1,1,5,313&3,-1,310511,10
312,3,3105,2&1,315,source_icon/train/12,-1,1,5,313&3,-1,310512,10
313,3,3105,1&3,311|312,source_icon/train/15,-1,1,5,-1,-1,310515,10
314,3,3105,4&2,-1,source_icon/train/21,-1,1,5,311&3,-1,310521,10
315,3,3105,3&1,30010102,source_icon/train/22,-1,1,5,312&3,-1,310522,10
316,3,3105,3&3,-1,source_icon/train/25,-1,1,5,311&3,-1,310525,10
321,3,3210,2&1,324|325,source_icon/train/11,-1,1,10,322&5,3&5,321011,10
322,3,3210,1&2,321|323,source_icon/train/12,-1,1,10,-1,3&5,321012,10
323,3,3210,2&3,326,source_icon/train/15,-1,1,10,322&5,3&5,321015,10
324,3,3210,4&1,-1,source_icon/train/21,-1,1,10,321&5,3&5,321021,10
325,3,3210,3&2,30010202,source_icon/train/22,-1,1,10,321&5,3&5,321022,10
326,3,3210,4&3,-1,source_icon/train/25,-1,1,10,323&5,3&5,321025,10
331,3,3315,2&1,334,source_icon/train/11,-1,1,15,323&5,3&10,331511,10
332,3,3315,1&3,335,source_icon/train/12,-1,1,15,-1,3&10,331512,10
333,3,3315,1&2,331|336,source_icon/train/15,-1,1,15,-1,3&10,331515,10
334,3,3315,3&1,30010302,source_icon/train/21,-1,1,15,331&5,3&10,331521,10
335,3,3315,2&3,337,source_icon/train/22,-1,1,15,332&5,3&10,331522,10
336,3,3315,2&2,337,source_icon/train/25,-1,1,15,333&5,3&10,331525,10
337,3,3315,3&3,338,source_icon/train/331527,-1,1,5,335&5|336&5,3&15,331527,10
338,3,3315,4&3,-1,source_icon/train/331528,-1,1,5,337&5,3&15,331528,10
10010102,1,1105,4&1,10010103,-1,10010102,2,5,115&5,-1,10010102,10
10010103,1,1105,5&1,-1,-1,10010103,2,5,10010102&5,1&12,10010103,10
10010202,1,1210,4&2,10010203,-1,10010202,2,5,125&5|124&5,-1,10010202,10
10010203,1,1210,5&2,-1,-1,10010203,2,5,10010202&5,1&12,10010203,10
10010302,1,1315,4&1,10010303,-1,10010302,2,5,134&5,-1,10010302,10
10010303,1,1315,5&1,-1,-1,10010303,2,5,10010302&5,1&12,10010303,10
20010102,2,2105,4&3,20010103,-1,20010102,2,5,215&5,-1,20010102,10
20010103,2,2105,5&3,-1,-1,20010103,2,5,20010102&5,2&12,20010103,10
20010202,2,2210,4&1,20010203,-1,20010202,2,5,225&5|226&5,-1,20010202,10
20010203,2,2210,5&1,-1,-1,20010203,2,5,20010202&5,2&12,20010203,10
20010302,2,2315,4&2,20010303,-1,20010302,2,5,234&5|235&5,-1,20010302,10
20010303,2,2315,5&2,-1,-1,20010303,2,5,20010302&5,2&12,20010303,10
30010102,3,3105,4&1,30010103,-1,30010102,2,5,315&5,-1,30010102,10
30010103,3,3105,5&1,-1,-1,30010103,2,5,30010102&5,3&12,30010103,10
30010202,3,3210,4&2,30010203,-1,30010202,2,5,325&5,-1,30010202,10
30010203,3,3210,5&2,-1,-1,30010203,2,5,30010202&5,3&12,30010203,10
30010302,3,3315,4&1,30010303,-1,30010302,2,5,334&5,-1,30010302,10
30010303,3,3315,5&1,-1,-1,30010303,2,5,30010302&5,3&12,30010303,10
