演出id,演出类型,立绘设置,参数
16805,11,1001,0.3
16901,1,1001,0.3
16902,2,1001,0.3
16903,3,1001,0.3
16904,10,1001,0.3
16905,11,1001,0.3
17101,1,101102,0.3
17102,2,101102,0.3
17103,3,101102,0.3
17104,10,101102,0.3
17105,11,101102,0.3
17201,1,1001,0.3
17202,2,1001,0.3
17203,3,1001,0.3
17204,10,1001,0.3
17205,11,1001,0.3
17301,1,1001,0.3
17302,2,1001,0.3
17303,3,1001,0.3
17304,10,1001,0.3
17305,11,1001,0.3
17401,1,11003010,0.3
17402,2,11003010,0.3
17403,3,11003010,0.3
17404,10,11003010,0.3
17405,11,11003010,0.3
17501,1,67203,0.3
17502,2,67203,0.3
17503,3,67203,0.3
17504,10,67203,0.3
17505,11,67203,0.3
17601,1,67202,0.3
17602,2,67202,0.3
17603,3,67202,0.3
17604,10,67202,0.3
17605,11,67202,0.3
17701,1,10102009,0.3
17702,2,10102009,0.3
17703,3,10102009,0.3
17704,10,10102009,0.3
17705,11,10102009,0.3
17801,1,11015010,0.3
17802,2,11015010,0.3
17803,3,11015010,0.3
17804,10,11015010,0.3
17805,11,11015010,0.3
17901,1,10101013,0.3
17902,2,10101013,0.3
17903,3,10101013,0.3
17904,10,10101013,0.3
17905,11,10101013,0.3
18101,1,10100009,0.3
18102,2,10100009,0.3
18103,3,10100009,0.3
18104,10,10100009,0.3
18105,11,10100009,0.3
18201,1,10104010,0.3
18202,2,10104010,0.3
18203,3,10104010,0.3
18204,10,10104010,0.3
18205,11,10104010,0.3
18301,1,300000019,0.3
18302,2,300000019,0.3
18303,3,300000019,0.3
18304,10,300000019,0.3
18305,11,300000019,0.3
18401,1,item7,0.3
18402,2,item7,0.3
18403,3,item7,0.3
18404,10,item7,0.3
18405,11,item7,0.3
18501,1,10102002,0.3
18502,2,10102002,0.3
18503,3,10102002,0.3
18504,10,10102002,0.3
18505,11,10102002,0.3
18601,1,10103005,0.3
18602,2,10103005,0.3
18603,3,10103005,0.3
18604,10,10103005,0.3
18605,11,10103005,0.3
18701,1,10105008,0.3
18702,2,10105008,0.3
18703,3,10105008,0.3
18704,10,10105008,0.3
18705,11,10105008,0.3
18801,1,10105007,0.3
18802,2,10105007,0.3
18803,3,10105007,0.3
18804,10,10105007,0.3
18805,11,10105007,0.3
18901,1,67204,0.3
18902,2,67204,0.3
18903,3,67204,0.3
18904,10,67204,0.3
18905,11,67204,0.3
19001,1,67207,0.3
19002,2,67207,0.3
19003,3,67207,0.3
19004,10,67207,0.3
19005,11,67207,0.3
19101,1,67206,0.3
19102,2,67206,0.3
19103,3,67206,0.3
19104,10,67206,0.3
19105,11,67206,0.3
19201,1,67208,0.3
19202,2,67208,0.3
19203,3,67208,0.3
19204,10,67208,0.3
19205,11,67208,0.3
19301,1,67209,0.3
19302,2,67209,0.3
19303,3,67209,0.3
19304,10,67209,0.3
19305,11,67209,0.3
19401,1,104402,0.3
19402,2,104402,0.3
19403,3,104402,0.3
19404,10,104402,0.3
19405,11,104402,0.3
19501,1,1026,0.3
19502,2,1026,0.3
19503,3,1026,0.3
19504,10,1026,0.3
19505,11,1026,0.3
19601,1,1026,0.3
19602,2,1026,0.3
19603,3,1026,0.3
19604,10,1026,0.3
19605,11,1026,0.3
19701,1,10103001,0.3
19702,2,10103001,0.3
19703,3,10103001,0.3
19704,10,10103001,0.3
19705,11,10103001,0.3
19801,1,10103002,0.3
19802,2,10103002,0.3
19803,3,10103002,0.3
19804,10,10103002,0.3
19805,11,10103002,0.3
19901,1,67210,0.3
19902,2,67210,0.3
19903,3,67210,0.3
19904,10,67210,0.3
19905,11,67210,0.3
20001,1,67208,0.3
20002,2,67208,0.3
20003,3,67208,0.3
20004,10,67208,0.3
20005,11,67208,0.3
20101,1,60025020,0.3
20102,2,60025020,0.3
20103,3,60025020,0.3
20104,10,60025020,0.3
20105,11,60025020,0.3
20201,1,1013,0.3
20202,2,1013,0.3
20203,3,1013,0.3
20204,10,1013,0.3
20205,11,1013,0.3
20301,1,1014,0.3
20302,2,1014,0.3
20303,3,1014,0.3
20304,10,1014,0.3
20305,11,1014,0.3
20401,1,1010,0.3
20402,2,1010,0.3
20403,3,1010,0.3
20404,10,1010,0.3
20405,11,1010,0.3
20501,1,1025,0.3
20502,2,1025,0.3
20503,3,1025,0.3
20504,10,1025,0.3
20505,11,1025,0.3
20601,1,1016,0.3
20602,2,1016,0.3
20603,3,1016,0.3
20604,10,1016,0.3
20605,11,1016,0.3
20701,1,60036010,0.3
20702,2,60036010,0.3
20703,3,60036010,0.3
20704,10,60036010,0.3
20705,11,60036010,0.3
20801,1,11003001,0.3
20802,2,11003001,0.3
20803,3,11003001,0.3
20804,10,11003001,0.3
20805,11,11003001,0.3
20901,1,67211,0.3
20902,2,67211,0.3
20903,3,67211,0.3
20904,10,67211,0.3
20905,11,67211,0.3
21001,1,2000001,0.3
21002,2,2000001,0.3
21003,3,2000001,0.3
21004,10,2000001,0.3
21005,11,2000001,0.3
21101,1,1034,0.3
21102,2,1034,0.3
21103,3,1034,0.3
21104,10,1034,0.3
21105,11,1034,0.3
21201,1,11003002,0.3
21202,2,11003002,0.3
21203,3,11003002,0.3
21204,10,11003002,0.3
21205,11,11003002,0.3
80002,8,-1,source_uiLoading/16
80000,9,-1,-1
80006,8,-1,source_uiLoading/11
80010,8,-1,source_uiLoading/13
80014,8,-1,source_uiLoading/14
80018,8,-1,source_uiLoading/15
80022,8,-1,source_uiLoading/10
80026,8,-1,source_uiLoading/17
80030,8,-1,source_uiLoading/18
80034,8,-1,source_uiLoading/19
80038,8,-1,source_uiLoading/20
80042,8,-1,source_uiLoading/21
80046,8,-1,source_uiLoading/22
80050,8,-1,source_uiLoading/23
80054,8,-1,source_uiLoading/24
80058,8,-1,source_uiLoading/25
80062,8,-1,source_uiLoading/26
80066,8,-1,source_uiLoading/27
80070,8,-1,source_uiLoading/9
80074,8,-1,source_uiLoading/3
80078,8,-1,source_uiLoading/25_1
80082,8,-1,source_uiLoading/27_1
80086,8,-1,source_uiLoading/16_1
80090,8,-1,source_uiLoading/28
80094,8,-1,source_uiLoading/29
80098,8,-1,source_uiLoading/30
80102,8,-1,source_uiLoading/32
80106,8,-1,source_uiLoading/31
80110,8,-1,source_uiLoading/12
80114,8,-1,source_uiLoading/18_1
40001,4,-1,1#1#1|1|3
40002,4,-1,1#1#1|0.5|1
40003,4,-1,1#0.11#0.11|1|1
40004,4,-1,1#1#1|1|2
60001,6,-1,100|1
50001,5,-1,100|1
70001,12,-1,source_video/Cutscenes01.usm
70000,13,-1,source_video/Cutscenes01.usm
70003,12,-1,source_video/WallP01.usm
70005,12,-1,source_video/Wallpaper10_3.usm
70007,12,-1,source_video/Wallpaper08.usm
70009,12,-1,source_video/Wallpaper09.usm
70013,12,-1,source_video/Cutscenes02.usm
70015,12,-1,source_video/Cutscenes0_1.usm
70017,12,-1,source_video/Cutscenes0_2.usm
70018,12,-1,source_video/Six_Day01.usm
70019,12,-1,source_video/Six_Day02.usm
70020,12,-1,source_video/Six_Day03.usm
70021,12,-1,source_video/Six_Day04.usm
70022,12,-1,source_video/Six_Day05.usm
80118,8,-1,source_uiLoading/34
80122,8,-1,source_uiLoading/33
80126,8,-1,source_uiLoading/35
80130,8,-1,source_uiLoading/25_2
80134,8,-1,source_uiLoading/42
80138,8,-1,source_uiLoading/43
80142,8,-1,source_uiLoading/41
80146,8,-1,source_uiLoading/40
80150,8,-1,source_uiLoading/37
80154,8,-1,source_uiLoading/38
80158,8,-1,source_uiLoading/36
80162,8,-1,source_uiLoading/39
80166,8,-1,source_uiLoading/17
80170,8,-1,source_uiLoading/50
80174,8,-1,source_uiLoading/46
80178,8,-1,source_uiLoading/44
80182,8,-1,source_uiLoading/45
80186,8,-1,source_uiLoading/47
80190,8,-1,source_uiLoading/48
80194,8,-1,source_uiLoading/51
80195,8,-1,source_uiLoading/52
80196,8,-1,source_uiLoading/53
80197,8,-1,source_uiLoading/54
80198,8,-1,source_uiLoading/55
80199,8,-1,source_uiLoading/56
80200,8,-1,source_uiLoading/57
80201,8,-1,source_uiLoading/58
80202,8,-1,source_uiLoading/59
80203,8,-1,source_uiLoading/60
80204,8,-1,source_uiLoading/61
80205,8,-1,source_uiLoading/62
80206,8,-1,source_uiLoading/63
80207,8,-1,source_uiLoading/64
80208,8,-1,source_uiLoading/43_1
80209,8,-1,source_uiLoading/43_2
80210,8,-1,source_uiLoading/65
80211,8,-1,source_uiLoading/74
80212,8,-1,source_uiLoading/73
80213,8,-1,source_uiLoading/75
80214,8,-1,source_uiLoading/79
80215,8,-1,source_uiLoading/72
80216,8,-1,source_uiLoading/80
80217,8,-1,source_uiLoading/81
80218,8,-1,source_uiLoading/82
80219,8,-1,source_uiLoading/83
80220,8,-1,source_uiLoading/84
