id,组,等级,需要经验,乐谱基础奖励,乐谱碎片概率
37,6001007,1,1000,6001007,2&5000&1&1|3&2000&1&1|4&1000&1&1
38,6001007,2,2000,6001007,2&5000&1&1|3&2000&1&1|4&1000&1&1
39,6001007,3,4000,6001007,2&5000&1&1|3&2000&1&1|4&1000&1&1
40,6001007,4,6000,6001007,2&5000&1&1|3&2000&1&1|4&1000&1&1
41,6001007,5,8000,6001007,2&5000&1&1|3&2000&1&1|4&1000&1&1
42,6001007,6,0,6001007,2&5000&1&1|3&2000&1&1|4&1000&1&1
43,6001008,1,1000,6001008,2&5000&1&1|3&2000&1&1|4&1000&1&1
44,6001008,2,2000,6001008,2&5000&1&1|3&2000&1&1|4&1000&1&1
45,6001008,3,4000,6001008,2&5000&1&1|3&2000&1&1|4&1000&1&1
46,6001008,4,6000,6001008,2&5000&1&1|3&2000&1&1|4&1000&1&1
47,6001008,5,8000,6001008,2&5000&1&1|3&2000&1&1|4&1000&1&1
48,6001008,6,0,6001008,2&5000&1&1|3&2000&1&1|4&1000&1&1
49,6001009,1,1000,6001009,2&5000&1&1|3&2000&1&1|4&1000&1&1
50,6001009,2,2000,6001009,2&5000&1&1|3&2000&1&1|4&1000&1&1
51,6001009,3,4000,6001009,2&5000&1&1|3&2000&1&1|4&1000&1&1
52,6001009,4,6000,6001009,2&5000&1&1|3&2000&1&1|4&1000&1&1
53,6001009,5,8000,6001009,2&5000&1&1|3&2000&1&1|4&1000&1&1
54,6001009,6,0,6001009,2&5000&1&1|3&2000&1&1|4&1000&1&1
55,6001010,1,1000,6001010,2&5000&1&1|3&2000&1&1|4&1000&1&1
56,6001010,2,2000,6001010,2&5000&1&1|3&2000&1&1|4&1000&1&1
57,6001010,3,4000,6001010,2&5000&1&1|3&2000&1&1|4&1000&1&1
58,6001010,4,6000,6001010,2&5000&1&1|3&2000&1&1|4&1000&1&1
59,6001010,5,8000,6001010,2&5000&1&1|3&2000&1&1|4&1000&1&1
60,6001010,6,0,6001010,2&5000&1&1|3&2000&1&1|4&1000&1&1
61,6001011,1,1000,6001011,2&5000&1&1|3&2000&1&1|4&1000&1&1
62,6001011,2,2000,6001011,2&5000&1&1|3&2000&1&1|4&1000&1&1
63,6001011,3,4000,6001011,2&5000&1&1|3&2000&1&1|4&1000&1&1
64,6001011,4,6000,6001011,2&5000&1&1|3&2000&1&1|4&1000&1&1
65,6001011,5,8000,6001011,2&5000&1&1|3&2000&1&1|4&1000&1&1
66,6001011,6,0,6001011,2&5000&1&1|3&2000&1&1|4&1000&1&1
67,6001012,1,1000,6001012,2&5000&1&1|3&2000&1&1|4&1000&1&1
68,6001012,2,2000,6001012,2&5000&1&1|3&2000&1&1|4&1000&1&1
69,6001012,3,4000,6001012,2&5000&1&1|3&2000&1&1|4&1000&1&1
70,6001012,4,6000,6001012,2&5000&1&1|3&2000&1&1|4&1000&1&1
71,6001012,5,8000,6001012,2&5000&1&1|3&2000&1&1|4&1000&1&1
72,6001012,6,0,6001012,2&5000&1&1|3&2000&1&1|4&1000&1&1
73,6001013,1,1000,6001013,2&5000&1&1|3&2000&1&1|4&1000&1&1
74,6001013,2,2000,6001013,2&5000&1&1|3&2000&1&1|4&1000&1&1
75,6001013,3,4000,6001013,2&5000&1&1|3&2000&1&1|4&1000&1&1
76,6001013,4,6000,6001013,2&5000&1&1|3&2000&1&1|4&1000&1&1
77,6001013,5,8000,6001013,2&5000&1&1|3&2000&1&1|4&1000&1&1
78,6001013,6,0,6001013,2&5000&1&1|3&2000&1&1|4&1000&1&1
79,6001014,1,1000,6001014,2&5000&1&1|3&2000&1&1|4&1000&1&1
80,6001014,2,2000,6001014,2&5000&1&1|3&2000&1&1|4&1000&1&1
81,6001014,3,4000,6001014,2&5000&1&1|3&2000&1&1|4&1000&1&1
82,6001014,4,6000,6001014,2&5000&1&1|3&2000&1&1|4&1000&1&1
83,6001014,5,8000,6001014,2&5000&1&1|3&2000&1&1|4&1000&1&1
84,6001014,6,0,6001014,2&5000&1&1|3&2000&1&1|4&1000&1&1
85,6001015,1,1000,6001015,2&5000&1&1|3&2000&1&1|4&1000&1&1
86,6001015,2,2000,6001015,2&5000&1&1|3&2000&1&1|4&1000&1&1
87,6001015,3,4000,6001015,2&5000&1&1|3&2000&1&1|4&1000&1&1
88,6001015,4,6000,6001015,2&5000&1&1|3&2000&1&1|4&1000&1&1
89,6001015,5,8000,6001015,2&5000&1&1|3&2000&1&1|4&1000&1&1
90,6001015,6,0,6001015,2&5000&1&1|3&2000&1&1|4&1000&1&1
91,6001016,1,1000,6001016,2&5000&1&1|3&2000&1&1|4&1000&1&1
92,6001016,2,2000,6001016,2&5000&1&1|3&2000&1&1|4&1000&1&1
93,6001016,3,4000,6001016,2&5000&1&1|3&2000&1&1|4&1000&1&1
94,6001016,4,6000,6001016,2&5000&1&1|3&2000&1&1|4&1000&1&1
95,6001016,5,8000,6001016,2&5000&1&1|3&2000&1&1|4&1000&1&1
96,6001016,6,0,6001016,2&5000&1&1|3&2000&1&1|4&1000&1&1
97,6001017,1,1000,6001017,2&5000&1&1|3&2000&1&1|4&1000&1&1
98,6001017,2,2000,6001017,2&5000&1&1|3&2000&1&1|4&1000&1&1
99,6001017,3,4000,6001017,2&5000&1&1|3&2000&1&1|4&1000&1&1
100,6001017,4,6000,6001017,2&5000&1&1|3&2000&1&1|4&1000&1&1
101,6001017,5,8000,6001017,2&5000&1&1|3&2000&1&1|4&1000&1&1
102,6001017,6,0,6001017,2&5000&1&1|3&2000&1&1|4&1000&1&1
103,6001018,1,1000,6001018,2&5000&1&1|3&2000&1&1|4&1000&1&1
104,6001018,2,2000,6001018,2&5000&1&1|3&2000&1&1|4&1000&1&1
105,6001018,3,4000,6001018,2&5000&1&1|3&2000&1&1|4&1000&1&1
106,6001018,4,6000,6001018,2&5000&1&1|3&2000&1&1|4&1000&1&1
107,6001018,5,8000,6001018,2&5000&1&1|3&2000&1&1|4&1000&1&1
108,6001018,6,0,6001018,2&5000&1&1|3&2000&1&1|4&1000&1&1
109,6001019,1,1000,6001019,2&5000&1&1|3&2000&1&1|4&1000&1&1
110,6001019,2,2000,6001019,2&5000&1&1|3&2000&1&1|4&1000&1&1
111,6001019,3,4000,6001019,2&5000&1&1|3&2000&1&1|4&1000&1&1
112,6001019,4,6000,6001019,2&5000&1&1|3&2000&1&1|4&1000&1&1
113,6001019,5,8000,6001019,2&5000&1&1|3&2000&1&1|4&1000&1&1
114,6001019,6,0,6001019,2&5000&1&1|3&2000&1&1|4&1000&1&1
115,6001020,1,1000,6001020,2&5000&1&1|3&2000&1&1|4&1000&1&1
116,6001020,2,2000,6001020,2&5000&1&1|3&2000&1&1|4&1000&1&1
117,6001020,3,4000,6001020,2&5000&1&1|3&2000&1&1|4&1000&1&1
118,6001020,4,6000,6001020,2&5000&1&1|3&2000&1&1|4&1000&1&1
119,6001020,5,8000,6001020,2&5000&1&1|3&2000&1&1|4&1000&1&1
120,6001020,6,0,6001020,2&5000&1&1|3&2000&1&1|4&1000&1&1
