ID,名称,英文名称,描述(短词条不超过33个字),货架类型,商品类型,商品位置排序,展示,重置时间id,显示结束时间,背景路径,ICON资源路径,价格,RMB价值,首冲倍数,充值后首次获得（自然月）,额外送,礼包品质,购买立即获得物品,持续获得,限购类型,限购次数,折扣,限时礼包背景板,礼包返利比,角标,是否为新礼包,解锁方式,锁定方式,单次购买次数,是否是深夜大奖,下架
1103,10350010,-1,-1,-1,1,3,1,0,-1,-1,-1,1000012&648,-1,1,-1,-1,-1,4&1000002&6480,-1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
2101,10060001,Monthly card Ⅰ,20060001,101,2,1,1,0,-1,-1,source_icon/item/7000002,1000012&30,-1,1,-1,-1,3,4&1000002&300,4&1000002&60,0,0,100,0,100,0,0,-1,-1,1,-1,-1
2102,10060002,Monthly card Ⅱ,20060002,101,2,2,1,0,-1,-1,source_icon/item/7000001,1000012&68,-1,1,-1,-1,4,4&1000002&700,4&1000002&150|4&7000042&1,0,0,100,0,100,0,0,-1,-1,1,-1,-1
2203,10060003,Preferential gift package,20060017,-1,3,1,1,0,-1,-1,source_icon/item/8000019,1000012&6,-1,1,-1,-1,4,4&7000007&5,4&7000007&1,0,1,100,0,100,0,0,-1,-1,1,-1,-1
2204,10060004,Preferential gift package,20060018,-1,3,1,1,0,-1,-1,source_icon/item/8000005,1000012&12,-1,1,-1,-1,4,4&1000002&200,4&1000002&100,0,1,100,0,100,0,0,-1,-1,1,-1,-1
3101,10061001,Preferential gift package,20061001,103,3,1,1,0,-1,1&spine_new_welfare,source_icon/item/8000041,1000012&0,-1,1,-1,-1,3,4&1000001&2000|4&1000098&20,-1,0,1,100,0,100,0,0,-1,-1,1,-1,-1
3102,10061002,Preferential gift package,20061002,103,3,2,1,0,-1,1&spine_new_welfare,source_icon/item/8000042,1000012&6,-1,1,-1,-1,4,4&1000002&100|4&3000031&15|4&4306001&10,-1,0,1,100,0,100,0,0,-1,-1,1,-1,-1
3103,10061003,Preferential gift package,20061003,103,3,3,1,0,-1,1&spine_new_welfare,source_icon/item/8000043,1000012&12,-1,1,-1,-1,3,4&1000002&300|4&3000031&25|4&4306001&20,-1,0,1,100,0,100,0,0,-1,-1,1,-1,-1
3104,10061004,Preferential gift package,20061004,103,3,4,1,0,-1,1&spine_new_welfare,source_icon/item/8000044,1000012&18,-1,1,-1,-1,4,4&7000102&2|4&7000007&4|4&4306001&20,-1,0,1,100,0,100,0,0,-1,-1,1,-1,-1
3105,10061005,Preferential gift package,20061005,103,3,5,1,0,-1,1&spine_new_welfare,source_icon/item/8000045,1000012&30,-1,1,-1,-1,3,4&99904&1|4&4100004&5,-1,0,1,100,0,100,0,0,-1,-1,1,-1,-1
3112,10063001,Preferential gift package,20063001,105,3,6,1,0,-1,1&spine_discount,source_icon/item/8000029,1000012&12,-1,1,-1,-1,4,4&1000098&90,-1,2,3,50,0,100,3,0,-1,-1,3,-1,-1
3114,10063002,Preferential gift package,20063002,105,3,7,1,0,-1,1&spine_discount,source_icon/item/8000031,1000012&60,-1,1,-1,-1,4,4&7000005&15|4&8800024&5,-1,2,1,50,0,100,3,0,-1,-1,1,-1,-1
3115,10063004,Preferential gift package,20063004,105,3,9,1,0,-1,1&spine_discount,source_icon/item/8000034,1000012&170,-1,1,-1,-1,4,4&1000002&680|4&4306001&30|4&4600004&10,-1,2,6,40,0,100,3,0,-1,-1,6,-1,-1
3116,10063005,Preferential gift package,20063005,105,3,14,1,0,-1,1&spine_discount,source_icon/item/8000045,1000012&236,-1,1,-1,-1,4,4&1000002&1280|4&4100003&10|4&99904&1,-1,2,2,50,0,100,3,0,-1,-1,2,-1,-1
3117,10063006,Preferential gift package,20063006,105,3,8,1,0,-1,1&spine_discount,source_icon/item/8000040,1000012&40,-1,1,-1,-1,4,4&8999998&5|4&8999995&3,-1,2,80,30,0,100,3,0,-1,-1,80,-1,-1
3118,10063007,Preferential gift package,20063007,105,3,13,1,0,-1,1&spine_discount,source_icon/item/8000016,1000012&132,-1,1,-1,-1,4,4&8007002&10|4&4901001&150|4&4901007&60,-1,2,1,50,0,100,3,0,-1,-1,1,-1,-1
3119,10063008,Preferential gift package,20063008,105,3,14,1,0,-1,1&spine_discount,source_icon/item/8000016,1000012&132,-1,1,-1,-1,4,4&8007002&10|4&4901002&150|4&4901007&60,-1,2,1,50,0,100,3,0,-1,-1,1,-1,-1
3120,10063009,Preferential gift package,20063009,105,3,15,1,0,-1,1&spine_discount,source_icon/item/8000016,1000012&132,-1,1,-1,-1,4,4&8007002&10|4&4901003&150|4&4901007&60,-1,2,1,50,0,100,3,0,-1,-1,1,-1,-1
3121,10063010,Preferential gift package,20063010,105,3,15,1,0,-1,1&spine_discount,source_icon/item/8000019,1000012&40,-1,1,-1,-1,4,4&8007002&20|4&8007003&10,-1,2,1,30,0,100,3,0,-1,-1,1,-1,-1
3122,10063011,Preferential gift package,20063011,105,3,11,1,0,-1,1&spine_discount,source_icon/item/7000007,1000012&200,-1,1,-1,-1,4,4&7000007&10,-1,2,1,44,0,100,3,0,-1,-1,1,-1,-1
3124,10063012,Preferential gift package,20063012,105,3,12,1,0,-1,1&spine_discount,source_icon/item/7000007,1000012&400,-1,1,-1,-1,4,4&7000007&20,-1,3,3,42,0,100,3,0,-1,-1,3,-1,-1
3125,10063014,Preferential gift package,20063014,105,3,10,1,0,-1,1&spine_discount,source_icon/item/7000007,-1,9,1,-1,-1,4,4&7000007&20|4&1000002&1280,-1,0,1,100,0,100,4,0,-1,-1,1,-1,-1
3126,10063105,Preferential gift package,20063105,105,3,2,1,0,-1,1&spine_discount,source_icon/item/7000007,1000002&2000,-1,1,-1,-1,4,4&7000007&10,-1,0,4,80,0,100,3,0,-1,-1,4,-1,-1
3127,10063102,Preferential gift package,20063102,105,3,3,1,37002,-1,1&spine_discount,source_icon/item/7000007,1000012&400,-1,1,-1,-1,4,4&7000007&20,-1,0,2,32,0,100,3,1,-1,-1,2,-1,-1
3129,10063103,Preferential gift package,20063103,105,3,4,1,37002,-1,1&spine_discount,source_icon/item/7000007,1000012&75,-1,1,-1,-1,4,4&7000007&4,-1,0,4,40,0,100,3,1,-1,-1,4,-1,-1
3130,10063100,Preferential gift package,20063100,105,3,1,1,37002,-1,1&spine_discount,source_icon/item/7000007,-1,24,1,-1,-1,4,4&7000007&24|4&1000002&1980|4&1000001&500000,-1,0,1,100,0,100,4,1,-1,-1,1,-1,-1
3131,10063101,Preferential gift package,20063101,105,3,2,1,37002,-1,1&spine_discount,source_icon/item/7000007,1000002&2000,-1,1,-1,-1,4,4&7000007&10,-1,0,4,80,0,100,3,1,-1,-1,4,-1,-1
3132,10063104,Preferential gift package,20063104,105,3,5,1,0,-1,1&spine_discount,source_icon/item/8000047,1000012&30,-1,1,-1,-1,4,4&7000005&4|4&3000000&1,-1,1,1,10,0,100,3,1,-1,-1,1,-1,-1
6101,10064001,Limited time gift package,20060024,-1,6,1,1,888888,-1,-1,source_icon/item/2001,1000012&6,-1,1,-1,-1,4,4&7000007&11,-1,0,1,100,6001,100,0,0,-1,-1,1,-1,-1
6102,10064002,Limited time gift package,20060025,-1,6,2,1,888888,-1,-1,source_icon/item/2001,1000012&12,-1,1,-1,-1,4,4&7000007&12,-1,0,1,100,6001,100,0,0,-1,-1,1,-1,-1
6103,10064003,Limited time gift package,20060026,-1,6,3,1,888888,-1,-1,source_icon/item/2001,1000012&24,-1,1,-1,-1,4,4&7000007&13,-1,0,1,100,6001,100,0,0,-1,-1,1,-1,-1
6104,10064004,Limited time gift package,20060027,-1,6,4,1,888888,-1,-1,source_icon/item/2001,1000012&32,-1,1,-1,-1,4,4&7000007&14,-1,0,1,100,6001,100,0,0,-1,-1,1,-1,-1
7001,10065001,Upgrade package,20060030,2002,7,1,1,0,-1,-1,source_icon/item/8000002,1000002&200,-1,1,-1,-1,4,4&7000007&1|4&4200003&10|4&1000001&20000|4&3000003&3,-1,0,1,100,0,100,0,0,2&5,-1,1,-1,-1
7002,10065002,Upgrade package,20060031,2002,7,2,1,0,-1,-1,source_icon/item/8000002,1000002&400,-1,1,-1,-1,4,4&7000007&2|4&4600001&40|4&4600002&10|4&3000003&6,-1,0,1,100,0,100,0,0,2&10,-1,1,-1,-1
7003,10065003,Upgrade package,20060032,2002,7,3,1,0,-1,-1,source_icon/item/8000002,1000002&600,-1,1,-1,-1,4,4&7000007&3|4&9000101&60|4&9000102&20|4&3000003&9,-1,0,1,100,0,100,0,0,2&15,-1,1,-1,-1
7004,10065004,Upgrade package,20060033,2002,7,4,1,0,-1,-1,source_icon/item/8000002,1000002&800,-1,1,-1,-1,4,4&7000007&4|4&99103&60|4&4306001&20|4&4600004&10|4&3000003&12,-1,0,1,100,0,100,0,0,2&20,-1,1,-1,-1
7005,10065005,Upgrade package,20060034,2002,7,5,1,0,-1,-1,source_icon/item/8000002,1000002&1000,-1,1,-1,-1,4,4&7000007&5|4&4901007&60|4&7000112&2|4&3000003&18,-1,0,1,100,0,100,0,0,2&25,-1,1,-1,-1
7006,10065006,Upgrade package,20060035,2002,7,6,1,0,-1,-1,source_icon/item/8000002,1000002&1200,-1,1,-1,-1,4,4&7000007&6|4&99903&2|4&4100002&5|4&3000003&24,-1,0,1,100,0,100,0,0,2&30,-1,1,-1,-1
7007,10065007,Upgrade package,20060036,2002,7,7,1,0,-1,-1,source_icon/item/8000002,1000002&1600,-1,1,-1,-1,4,4&7000007&8|4&4600001&60|4&4600002&20|4&3000003&30,-1,0,1,100,0,100,0,0,2&35,-1,1,-1,-1
7008,10065008,Upgrade package,20060037,2002,7,8,1,0,-1,-1,source_icon/item/8000002,1000002&2000,-1,1,-1,-1,4,4&7000007&10|4&99103&100|4&4306001&40|4&4600004&10|4&3000003&36,-1,0,1,100,0,100,0,0,2&40,-1,1,-1,-1
7009,10065009,Upgrade package,20060038,2002,7,9,1,0,-1,-1,source_icon/item/8000002,1000002&2400,-1,1,-1,-1,4,4&7000007&12|4&9000102&50|4&9000103&40|4&3000031&10,-1,0,1,100,0,100,0,0,2&45,-1,1,-1,-1
7010,10065010,Upgrade package,20060039,2002,7,10,1,0,-1,-1,source_icon/item/8000002,1000002&2800,-1,1,-1,-1,4,4&7000007&14|4&4901007&60|4&7000122&2|4&3000031&15,-1,0,1,100,0,100,0,0,2&50,-1,1,-1,-1
7011,10065011,Upgrade package,20060040,2002,7,11,1,0,-1,-1,source_icon/item/8000002,1000002&3200,-1,1,-1,-1,4,4&7000007&16|4&4200004&30|4&4200005&20|4&3000031&15,-1,0,1,100,0,100,0,0,2&55,-1,1,-1,-1
7012,10065012,Upgrade package,20060041,2002,7,12,1,0,-1,-1,source_icon/item/8000002,1000002&3800,-1,1,-1,-1,4,4&7000007&19|4&8800022&1|4&4901007&60|4&3000031&15,-1,0,1,100,0,100,0,0,2&60,-1,1,-1,-1
7013,10065013,Upgrade package,20060041,2002,7,13,1,0,-1,-1,source_icon/item/8000002,1000002&4200,-1,1,-1,-1,4,4&7000007&21|4&8800022&1|4&4901007&60|4&3000031&20,-1,0,1,100,0,100,0,0,2&65,-1,1,-1,-1
7014,10065014,Upgrade package,20060041,2002,7,14,1,0,-1,-1,source_icon/item/8000002,1000002&4800,-1,1,-1,-1,4,4&7000007&24|4&99904&2|4&4100005&10,-1,0,1,100,0,100,0,0,2&70,-1,1,-1,-1
7015,10065015,Upgrade package,20060041,2002,7,15,1,0,-1,-1,source_icon/item/8000002,1000002&5600,-1,1,-1,-1,4,4&7000007&28|4&99904&2|4&4100005&10,-1,0,1,100,0,100,0,0,2&75,-1,1,-1,-1
7016,10065016,Upgrade package,20060041,2002,7,16,1,0,-1,-1,source_icon/item/8000002,1000002&6400,-1,1,-1,-1,4,4&7000007&32|4&8800039&1|4&1000001&100000,-1,0,1,100,0,100,0,0,2&80,-1,1,-1,-1
7101,10065001,Upgrade package,20060030,2003,7,1,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&4600001&20|4&4200002&10|4&1000001&10000,-1,0,1,100,0,100,0,0,2&5,-1,1,-1,-1
7102,10065002,Upgrade package,20060031,2003,7,2,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&7000007&1|4&3000000&2,-1,0,1,100,0,100,0,0,2&10,-1,1,-1,-1
7103,10065003,Upgrade package,20060032,2003,7,3,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&8800001&40|4&8800002&20|4&1000001&20000,-1,0,1,100,0,100,0,0,2&15,-1,1,-1,-1
7104,10065004,Upgrade package,20060033,2003,7,4,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&7000007&2|4&3000000&4,-1,0,1,100,0,100,0,0,2&20,-1,1,-1,-1
7105,10065005,Upgrade package,20060034,2003,7,5,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&4306001&10|4&99203&20|4&1000001&30000,-1,0,1,100,0,100,0,0,2&25,-1,1,-1,-1
7106,10065006,Upgrade package,20060035,2003,7,6,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&7000007&2|4&3000000&6,-1,0,1,100,0,100,0,0,2&30,-1,1,-1,-1
7107,10065007,Upgrade package,20060036,2003,7,7,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&99903&2|4&4100003&10|4&1000001&40000,-1,0,1,100,0,100,0,0,2&35,-1,1,-1,-1
7108,10065008,Upgrade package,20060037,2003,7,8,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&7000007&2|4&3000000&6,-1,0,1,100,0,100,0,0,2&40,-1,1,-1,-1
7109,10065009,Upgrade package,20060038,2003,7,9,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&8800023&30|4&4901007&30|4&1000001&50000,-1,0,1,100,0,100,0,0,2&45,-1,1,-1,-1
7110,10065010,Upgrade package,20060039,2003,7,10,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&7000007&4|4&3000000&8,-1,0,1,100,0,100,0,0,2&50,-1,1,-1,-1
7111,10065011,Upgrade package,20060040,2003,7,11,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&8800024&30|4&4901007&30|4&1000001&60000,-1,0,1,100,0,100,0,0,2&55,-1,1,-1,-1
7112,10065012,Upgrade package,20060041,2003,7,12,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&7000007&6|4&3000000&8,-1,0,1,100,0,100,0,0,2&60,-1,1,-1,-1
7113,10065013,Upgrade package,20060041,2003,7,13,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&8800025&30|4&4901007&30|4&1000001&70000,-1,0,1,100,0,100,0,0,2&65,-1,1,-1,-1
7114,10065014,Upgrade package,20060041,2003,7,14,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&7000007&8|4&3000000&12,-1,0,1,100,0,100,0,0,2&70,-1,1,-1,-1
7115,10065015,Upgrade package,20060041,2003,7,15,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&8800022&1|4&4901007&30|4&1000001&80000,-1,0,1,100,0,100,0,0,2&75,-1,1,-1,-1
7116,10065016,Upgrade package,20060041,2003,7,16,1,0,-1,-1,source_icon/item/8000002,1000002&0,-1,1,-1,-1,4,4&7000007&10|4&3000000&14,-1,0,1,100,0,100,0,0,2&80,-1,1,-1,-1
8001,10066001,Elite Manual of Magic Woman,20060042,3002,8,1,1,360002,-1,-1,-1,-1,8,1,-1,-1,4,4&10030004&1|4&6020010&1|4&11001005&1|4&7000007&5|4&1000097&40000,-1,0,1,10,0,100,3,0,-1,-1,1,-1,-1
8002,10066002,Elite Manual of Magic Woman,20060042,3001,8,1,1,0,-1,-1,-1,1000012&30,-1,1,-1,-1,4,-1,-1,0,1,100,0,1500,0,0,-1,-1,1,-1,-1
8003,10066003,Elite Manual of Magic Woman,20060042,3001,8,2,1,0,-1,-1,-1,1000012&68,-1,1,-1,-1,4,-1,-1,0,1,100,0,1500,0,0,-1,-1,1,-1,-1
8004,10066004,Elite Manual of Magic Woman,20060042,3003,8,1,1,360001,-1,-1,-1,-1,8,1,-1,-1,4,4&10030004&1|4&6020010&1|4&11001005&1|4&7000007&5|4&1000097&40000,-1,0,1,10,0,100,3,0,-1,-1,1,-1,-1
940101,10067001,Daily gift package,20060003,102,9,1,1,0,-1,-1,source_icon/item/7000132,1000012&0,-1,1,-1,-1,4,4&4200001&1|4&99101&1|4&1000001&4000,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
940102,10067002,Daily gift package,20060003,102,9,1,1,0,-1,-1,source_icon/item/7000132,1000012&0,-1,1,-1,-1,4,4&4200001&5|4&99101&2|4&1000001&6000,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
940103,10067003,Daily gift package,20060003,102,9,1,1,0,-1,-1,source_icon/item/7000132,1000012&0,-1,1,-1,-1,4,4&4200002&5|4&99101&4|4&1000001&10000,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
940104,10067004,Daily gift package,20060003,102,9,1,1,0,-1,-1,source_icon/item/7000132,1000012&0,-1,1,-1,-1,4,4&4200002&10|4&99102&1|4&1000001&12000,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
940105,10067005,Daily gift package,20060003,102,9,1,1,0,-1,-1,source_icon/item/7000132,1000012&0,-1,1,-1,-1,4,4&4200002&15|4&99102&2|4&1000001&15000,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
940106,10067006,Daily gift package,20060003,102,9,1,1,0,-1,-1,source_icon/item/7000132,1000012&0,-1,1,-1,-1,4,4&4200003&5|4&99102&4|4&1000001&20000,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
940107,10067007,Daily gift package,20060003,102,9,1,1,0,-1,-1,source_icon/item/7000132,1000012&0,-1,1,-1,-1,4,4&4200003&10|4&99103&2|4&1000001&25000,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
940108,10067008,Daily gift package,20060003,102,9,1,1,0,-1,-1,source_icon/item/7000132,1000012&0,-1,1,-1,-1,4,4&4200003&15|4&99103&4|4&1000001&30000,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
9402,10067009,Daily gift package,20060004,102,9,1,1,0,-1,-1,source_icon/item/7000005,1000012&1,-1,1,-1,-1,4,4&99203&1|4&7000005&1|4&1000002&10,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
9403,10067010,Daily gift package,20060005,102,9,2,1,0,-1,-1,source_icon/item/7000009,1000012&3,-1,1,-1,-1,4,4&8800030&10|4&8800031&2|4&1000002&30,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
9404,10067011,Daily gift package,20060006,102,9,3,1,0,-1,-1,source_icon/item/7000007,1000012&6,-1,1,-1,-1,4,4&4600001&20|4&7000007&1|4&1000002&60,-1,1,1,100,0,100,0,0,-1,-1,1,-1,-1
9101,10067012,Daily gift package,20060006,102,9,1,1,0,-1,-1,source_icon/item/7000007,1000012&70,-1,1,-1,-1,4,-1,-1,1,1,70,0,100,3,0,-1,-1,1,-1,-1
10002,10380017,Skin,20380017,104,10,4,1,0,-1,-1,source_icon/item/8000002,1000009&88,-1,1,-1,-1,4,4&10090002&1,-1,0,1,100,0,100,0,0,-1,1&10090002,1,-1,-1
10003,10380026,Skin,20380026,104,10,5,1,0,-1,-1,source_icon/item/8000002,1000009&88,-1,1,-1,-1,4,4&10130002&1,-1,0,1,100,0,100,0,0,-1,1&10130002,1,-1,-1
10004,10380039,Skin,20380039,104,10,3,1,0,-1,-1,source_icon/item/8000002,1000009&128,-1,1,-1,-1,4,4&10220003&1,-1,0,1,100,0,100,0,0,-1,1&10220003,1,-1,-1
10006,10380041,Skin,20380041,104,10,1,1,0,-1,-1,source_icon/item/8000002,1000009&88,-1,1,-1,-1,4,4&10230002&1,-1,0,1,100,0,100,0,0,-1,1&10230002,1,-1,-1
10007,10380081,Skin,20380082,104,10,2,1,0,-1,-1,source_icon/item/8000002,1000009&68,-1,1,-1,-1,4,4&10100004&1,-1,0,1,100,0,100,0,0,-1,1&10100004,1,-1,-1
10008,10380047,Skin,20380047,104,10,6,1,0,-1,-1,source_icon/item/8000002,1000009&68,-1,1,-1,-1,4,4&10250002&1,-1,0,1,100,0,100,0,0,-1,1&10250002,1,-1,-1
13001,10063015,Preferential gift package,20063015,-1,13,1,1,0,-1,-1,source_icon/item/8000015,1000012&125,-1,1,-1,-1,4,4&7000007&6|4&1000098&120,-1,1,1,32,0,100,3,0,-1,-1,1,-1,-1
13002,10063016,Preferential gift package,20063016,-1,13,2,1,0,-1,-1,source_icon/item/8000015,1000012&60,-1,1,-1,-1,4,4&4306001&30,-1,1,1,30,0,100,3,0,-1,-1,1,-1,-1
13003,10063017,Preferential gift package,20063017,-1,13,3,1,0,-1,-1,source_icon/item/8000015,1000002&300,-1,1,-1,-1,4,4&7000007&1|4&4200003&20|4&1000001&100000|4&7000005&4,-1,1,1,100,0,100,4,0,-1,-1,1,-1,-1
13004,10063018,Preferential gift package,20063018,-1,13,4,1,0,-1,-1,source_icon/item/8000015,-1,15,1,-1,-1,4,4&3000031&20|4&4306001&10|4&4901007&20,-1,1,1,100,0,100,4,0,-1,-1,1,-1,-1
13005,10063019,Preferential gift package,20063019,-1,13,5,1,0,-1,-1,source_icon/item/8000015,1000002&400,-1,1,-1,-1,4,4&1000098&160|4&4200003&20|4&1000001&100000|4&7000005&5,-1,1,1,100,0,100,4,0,-1,-1,1,-1,-1
13006,10063020,Preferential gift package,20063020,-1,13,6,1,0,-1,-1,source_icon/item/8000015,1000012&225,-1,1,-1,-1,4,3&7771531&1|3&7771532&1|3&7771533&1|3&7771534&1|3&7770135&1|3&7770136&1,-1,1,1,8,0,100,3,0,-1,-1,1,-1,-1
13007,10063021,Preferential gift package,20063021,-1,13,7,1,0,-1,-1,source_icon/item/8000015,-1,20,1,-1,-1,4,4&7000007&6,-1,1,1,100,0,100,4,0,-1,-1,1,-1,-1
13008,10063022,Preferential gift package,20063022,-1,13,8,1,0,-1,-1,source_icon/item/8000015,1000002&400,-1,1,-1,-1,4,4&4600001&200|4&4600002&50,-1,1,1,100,0,100,4,0,-1,-1,1,-1,-1
13009,10063023,Preferential gift package,20063023,-1,13,9,1,0,-1,-1,source_icon/item/8000015,1000012&90,-1,1,-1,-1,4,4&1000002&180|4&4600001&200|4&4600002&50,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13010,10063024,Preferential gift package,20063024,-1,13,10,1,0,-1,-1,source_icon/item/8000015,1000012&200,-1,1,-1,-1,4,4&4306001&100,-1,1,1,34,0,100,3,0,-1,-1,1,-1,-1
13011,10063025,Preferential gift package,20063025,-1,13,11,1,0,-1,-1,source_icon/item/8000015,-1,17,1,-1,-1,4,4&4901007&60|4&8800022&1|4&1000002&680,-1,1,1,100,0,100,4,0,-1,-1,1,-1,-1
13012,10063027,Preferential gift package,20063027,-1,13,13,1,0,-1,-1,source_icon/item/8000015,1000012&245,-1,1,-1,-1,4,3&7770141&1|3&7770142&1,-1,1,1,40,0,100,3,0,-1,-1,1,-1,-1
13013,10063028,Preferential gift package,20063028,-1,13,14,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13014,10063029,Preferential gift package,20063029,-1,13,15,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13015,10063030,Preferential gift package,20063030,-1,13,16,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13016,10063031,Preferential gift package,20063031,-1,13,17,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13017,10063032,Preferential gift package,20063032,-1,13,18,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13018,10063033,Preferential gift package,20063033,-1,13,19,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13019,10063034,Preferential gift package,20063034,-1,13,20,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13020,10063035,Preferential gift package,20063035,-1,13,21,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
13021,10063036,Preferential gift package,20063036,-1,13,22,1,0,-1,-1,source_icon/item/8000015,1000012&150,-1,1,-1,-1,4,4&3000000&8,-1,1,1,20,0,100,3,0,-1,-1,1,-1,-1
