id,消耗1,消耗2,天赋位置,属性加成（战斗外）,属性加成（战斗内）,构筑点等级加成,ICON,是否位特殊点
3407,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
3408,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
4101,1&2&3&4&5&6&7&8&9&10,-1,1,2&104,0,0,icon_gouzhu_13,0
4102,1&2&3&4&5&6&7&8&9&10,-1,2,2&105,0,0,icon_gouzhu_14,0
4103,1&2&3&4&5&6&7&8&9&10,-1,3,2&106,0,0,icon_gouzhu_15,0
4104,1&2&3&4&5&6&7&8&9&10,-1,4,2&107,0,0,icon_gouzhu_16,0
4105,1&2&3&4&5&6&7&8&9&10,-1,5,2&108,0,0,icon_gouzhu_17,0
4106,1&2&3&4&5&6&7&8&9&10,-1,6,2&109,0,0,icon_gouzhu_18,0
4107,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
4108,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
4207,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
4208,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
4307,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
4308,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
4407,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
4408,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
4507,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
4508,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
5101,1&2&3&4&5&6&7&8&9&10,-1,1,2&120,0,0,icon_gouzhu_13,0
5102,1&2&3&4&5&6&7&8&9&10,-1,2,2&121,0,0,icon_gouzhu_14,0
5103,1&2&3&4&5&6&7&8&9&10,-1,3,2&122,0,0,icon_gouzhu_15,0
5104,1&2&3&4&5&6&7&8&9&10,-1,4,2&123,0,0,icon_gouzhu_16,0
5105,1&2&3&4&5&6&7&8&9&10,-1,5,2&124,0,0,icon_gouzhu_17,0
5106,1&2&3&4&5&6&7&8&9&10,-1,6,2&125,0,0,icon_gouzhu_18,0
5107,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
5108,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
5207,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
5208,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
5307,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
5308,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
5407,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
5408,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
5507,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
5508,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
5607,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
5608,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
5707,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
5708,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
5807,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
5808,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
6101,1&2&3&4&5&6&7&8&9&10,-1,1,2&142,0,0,icon_gouzhu_13,0
6102,1&2&3&4&5&6&7&8&9&10,-1,2,2&143,0,0,icon_gouzhu_14,0
6103,1&2&3&4&5&6&7&8&9&10,-1,3,2&144,0,0,icon_gouzhu_15,0
6104,1&2&3&4&5&6&7&8&9&10,-1,4,2&145,0,0,icon_gouzhu_16,0
6105,1&2&3&4&5&6&7&8&9&10,-1,5,2&146,0,0,icon_gouzhu_17,0
6106,1&2&3&4&5&6&7&8&9&10,-1,6,2&147,0,0,icon_gouzhu_18,0
6107,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
6108,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
6207,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
6208,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
6307,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
6308,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
6407,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
6408,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
6507,1&2&3&4&5&6,1&2&3&4&5&6,7,-1,0.2,0,img_gouzhu_5,5
6508,1&2&3&4&5&6,1&2&3&4&5&6,8,-1,0,1,img_gouzhu_6,5
