ID,附带效果类型,UIIcon,Buff特效,吸血百分比,概率,叠加次数上限,效果持续时间,DOT伤害比系数,数字颜色,持续伤害击中特效,附带效果ICON,DOT伤害时间,时间变速,恢复生命百分比,增伤系数（倍率）,储备相关信息,分身相关信息,降低防御百分比,降低属性百分比,回能速度相关,攻击速度相关,强化普攻相关,属性增伤系数,基础攻击增加,减伤相关,增加防御,概率释放多次,增加属性攻击,主动技能强化1,全属性增伤,全属性抗性增加,增加属性抗性,吸魂相关配置
2004,7,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2|5|2.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2005,9,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,3,3,1.5,0.87|0.02|1|1,1010,-1,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,11,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100|3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2007,12,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35|3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,13,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100|3|200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2009,15,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200|3,-1,-1,-1,-1,-1,-1,-1,-1,-1
2010,16,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99|5,-1,-1,-1,-1,-1,-1,-1,-1
2011,19,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,10,10,1.5,0.87|0.02|1|1,1009,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100|10,-1,-1,-1,-1,-1,-1
2012,18,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,1004,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2013,21,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150|5|30,-1,-1,-1,-1,-1
2014,23,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50|2|5,-1,-1,-1,-1
2015,19,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,5,10,1.5,1|0|1|1,1009,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0|1,-1,-1,-1,-1,-1,-1
2016,29,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150|5,-1,-1,-1
2017,30,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150|5|30,-1,-1,-1,-1,-1
2018,31,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150|5|30,-1,-1,-1,-1,-1
2019,25,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150|3,-1,-1
2020,32,source_uiComframeWork/frame_buff/Img_Buff_1,prefab_barrage/playerBarrage_1022/barrage_102202,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|1|1|2|3|1|10|100|source_uiComframeWork/frame_buff/Img_Buff_1
2021,33,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100402,23,source_icon/skill/100402,prefab_barrage/playerBarrage_1004/barrage_100402,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35|2|5,-1,-1,-1,-1
200402,23,source_icon/skill/100402,prefab_barrage/playerBarrage_1004/barrage_100402,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40|2|6,-1,-1,-1,-1
300402,23,source_icon/skill/100402,prefab_barrage/playerBarrage_1004/barrage_100402,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45|2|7,-1,-1,-1,-1
400402,23,source_icon/skill/100402,prefab_barrage/playerBarrage_1004/barrage_100402,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50|2|8,-1,-1,-1,-1
100403,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200403,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300403,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400403,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100602,4,source_icon/skill/100602,-1,-1,-1,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200602,4,source_icon/skill/100602,-1,-1,-1,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300602,4,source_icon/skill/100602,-1,-1,-1,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400602,4,source_icon/skill/100602,-1,-1,-1,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100603,25,source_uiComframeWork/frame_buff/Witch_Buff_20,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15|6,-1,-1
200603,25,source_uiComframeWork/frame_buff/Witch_Buff_20,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20|6,-1,-1
300603,25,source_uiComframeWork/frame_buff/Witch_Buff_20,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25|6,-1,-1
400603,25,source_uiComframeWork/frame_buff/Witch_Buff_20,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30|6,-1,-1
100702,7,source_icon/skill/100702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|3.5|2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200702,7,source_icon/skill/100702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2|4|2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300702,7,source_icon/skill/100702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2|4.5|2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400702,7,source_icon/skill/100702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2|5|2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100802,34,source_icon/skill/100802,-1,-1,100,5,5,30,1|0|1|1,1009,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200802,34,source_icon/skill/100802,-1,-1,100,6,6,35,1|0|1|1,1009,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300802,34,source_icon/skill/100802,-1,-1,100,7,7,40,1|0|1|1,1009,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400802,34,source_icon/skill/100802,-1,-1,100,8,8,45,1|0|1|1,1009,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100803,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200803,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300803,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400803,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101002,1,-1,-1,5,60,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201002,1,-1,-1,6,60,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301002,1,-1,-1,7,60,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401002,1,-1,-1,8,60,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101102,15,source_uiComframeWork/frame_buff/Witch_Buff_2,prefab_barrage/playerBarrage_1011/barrage_101102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|5,-1,-1,-1,-1,-1,-1,-1,-1,-1
201102,15,source_uiComframeWork/frame_buff/Witch_Buff_2,prefab_barrage/playerBarrage_1011/barrage_201102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6|5,-1,-1,-1,-1,-1,-1,-1,-1,-1
301102,15,source_uiComframeWork/frame_buff/Witch_Buff_2,prefab_barrage/playerBarrage_1011/barrage_301102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7|5,-1,-1,-1,-1,-1,-1,-1,-1,-1
401102,15,source_uiComframeWork/frame_buff/Witch_Buff_2,prefab_barrage/playerBarrage_1011/barrage_401102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8|5,-1,-1,-1,-1,-1,-1,-1,-1,-1
101103,14,source_uiComframeWork/frame_buff/Witch_Buff_11,-1,-1,100,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201103,14,source_uiComframeWork/frame_buff/Witch_Buff_11,-1,-1,100,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301103,14,source_uiComframeWork/frame_buff/Witch_Buff_11,-1,-1,100,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401103,14,source_uiComframeWork/frame_buff/Witch_Buff_11,-1,-1,100,3,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101202,19,source_icon/skill/101202,-1,-1,100,3,6,35,0.87|0.02|1|1,1009,-1,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|1,-1,-1,-1,-1,-1,-1
201202,19,source_icon/skill/101202,-1,-1,100,4,7,40,0.87|0.02|1|1,1009,-1,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8|1,-1,-1,-1,-1,-1,-1
301202,19,source_icon/skill/101202,-1,-1,100,5,8,45,0.87|0.02|1|1,1009,-1,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12|1,-1,-1,-1,-1,-1,-1
401202,19,source_icon/skill/101202,-1,-1,100,6,9,50,0.87|0.02|1|1,1009,-1,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15|1,-1,-1,-1,-1,-1,-1
101203,18,-1,-1,-1,-1,-1,-1,-1,-1,1004,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201203,18,-1,-1,-1,-1,-1,-1,-1,-1,1004,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301203,18,-1,-1,-1,-1,-1,-1,-1,-1,1004,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401203,18,-1,-1,-1,-1,-1,-1,-1,-1,1004,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101302,13,source_icon/skill/101302,prefab_barrage/playerBarrage_1013/barrage_101302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25|6|25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201302,13,source_icon/skill/101302,prefab_barrage/playerBarrage_1013/barrage_101302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30|7|30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301302,13,source_icon/skill/101302,prefab_barrage/playerBarrage_1013/barrage_101302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35|8|35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401302,13,source_icon/skill/101302,prefab_barrage/playerBarrage_1013/barrage_101302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40|9|40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101303,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201303,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301303,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401303,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101502,17,source_uiComframeWork/frame_buff/Witch_Buff_5,prefab_barrage/playerBarrage_1015/barrage_101502_1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2|3,-1,-1,-1,-1,-1,-1,-1
201502,17,source_uiComframeWork/frame_buff/Witch_Buff_5,prefab_barrage/playerBarrage_1015/barrage_101502_1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3|3,-1,-1,-1,-1,-1,-1,-1
301502,17,source_uiComframeWork/frame_buff/Witch_Buff_5,prefab_barrage/playerBarrage_1015/barrage_101502_1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4|3,-1,-1,-1,-1,-1,-1,-1
401502,17,source_uiComframeWork/frame_buff/Witch_Buff_5,prefab_barrage/playerBarrage_1015/barrage_101502_1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|3,-1,-1,-1,-1,-1,-1,-1
101503,16,source_uiComframeWork/frame_buff/Witch_Buff_JianShang,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60|5,-1,-1,-1,-1,-1,-1,-1,-1
201503,16,source_uiComframeWork/frame_buff/Witch_Buff_JianShang,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65|5,-1,-1,-1,-1,-1,-1,-1,-1
301503,16,source_uiComframeWork/frame_buff/Witch_Buff_JianShang,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70|5,-1,-1,-1,-1,-1,-1,-1,-1
401503,16,source_uiComframeWork/frame_buff/Witch_Buff_JianShang,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75|5,-1,-1,-1,-1,-1,-1,-1,-1
101602,21,source_uiComframeWork/frame_buff/Witch_Buff_11,prefab_barrage/playerBarrage_1016/barrage_101602,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50|5|10,-1,-1,-1,-1,-1
201602,21,source_uiComframeWork/frame_buff/Witch_Buff_11,prefab_barrage/playerBarrage_1016/barrage_101602,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55|5|11,-1,-1,-1,-1,-1
301602,21,source_uiComframeWork/frame_buff/Witch_Buff_11,prefab_barrage/playerBarrage_1016/barrage_101602,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60|5|12,-1,-1,-1,-1,-1
401602,21,source_uiComframeWork/frame_buff/Witch_Buff_11,prefab_barrage/playerBarrage_1016/barrage_101602,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65|5|13,-1,-1,-1,-1,-1
101603,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201603,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301603,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401603,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101702,9,source_icon/skill/101702,-1,-1,100,3,3,30,0.87|0.02|1|1,1010,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201702,9,source_icon/skill/101702,-1,-1,100,3,4,45,0.87|0.02|1|1,1010,-1,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301702,9,source_icon/skill/101702,-1,-1,100,3,5,60,0.87|0.02|1|1,1010,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401702,9,source_icon/skill/101702,-1,-1,100,3,6,75,0.87|0.02|1|1,1010,-1,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101703,8,source_uiComframeWork/frame_buff/Witch_Buff_105,-1,-1,100,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
