索引id,商品描述,商品类型,商品掉落id,商品总价,商店种类,商品位置排序,限购类型,限购次数,基本折扣,首次双倍,解锁方式,锁定方式,单次购买次数,随机折扣,是否是深夜大奖
5001,10350047,2,4&11001006&1,1000008&1000,5,1,0,1,1,-1,-1,-1,1,-1,1
5002,10190438,2,4&10210002&1,1000008&2500,5,2,0,1,1,-1,-1,-1,1,-1,2
5003,10190055,2,4&3000021&1,1000008&35,5,3,2,35,1,-1,-1,-1,35,-1,1
5004,10190137,2,4&4600003&1,1000008&10,5,4,1,2,1,-1,-1,-1,2,-1,0
5005,10190275,2,4&7000007&1,1000008&45,5,5,2,2,1,-1,-1,-1,2,-1,0
5006,10190110,2,4&4100005&1,1000008&45,5,6,2,2,1,-1,-1,-1,2,-1,0
5007,10190109,2,4&4100004&1,1000008&30,5,7,2,3,1,-1,-1,-1,3,-1,0
5008,10190108,2,4&4100003&1,1000008&12,5,8,2,7,1,-1,-1,-1,7,-1,0
12001,10350031,2,4&10440003&1,1010001&2500,12,1,4,1,1,-1,1&300005,1&10440003,1,-1,0
12002,10350032,2,4&4400001&1,1010001&1800,12,2,4,1,1,-1,-1,-1,1,-1,0
12003,10350033,2,4&7000007&1,1010001&150,12,3,4,5,1,-1,-1,-1,5,-1,0
12004,10350034,2,4&4200003&3,1010001&30,12,4,4,80,1,-1,-1,-1,80,-1,0
12005,10350035,2,4&4100003&3,1010001&30,12,5,4,80,1,-1,-1,-1,80,-1,0
12006,10350036,2,4&8002015&1,1010001&40,12,6,4,99,1,-1,-1,-1,99,-1,0
12007,10350037,2,4&8000024&1,1010001&20,12,7,4,10,1,-1,1&100808,-1,10,-1,0
12008,10350038,2,4&8000025&1,1010001&40,12,8,4,10,1,-1,1&100808,-1,10,-1,0
12009,10350039,2,4&1000001&100,1010001&1,12,9,0,0,1,-1,-1,-1,99,-1,0
99001,10350046,2,4&10220003&1,8999996&1,22,1,4,1,1,-1,-1,1&10220003,1,-1,0
60001,10190109,2,4&4100004&1,8900001&5,6,3,2,30,1,-1,-1,-1,30,-1,0
60002,10350024,2,4&1000002&60,8900001&10,6,2,2,10,1,-1,-1,-1,10,-1,0
60003,10350014,2,4&4200003&1,8900001&3,6,4,2,30,1,-1,-1,-1,30,-1,0
60004,10350015,2,4&4200004&1,8900001&5,6,5,2,20,1,-1,-1,-1,20,-1,0
60005,10350011,2,4&7000007&1,8900001&30,6,1,2,5,1,-1,-1,-1,5,-1,0
90001,10190128,2,4&4306001&1,1000013&450,9,4,2,7,1,-1,-1,-1,7,-1,0
90007,10190117,2,4&4300002&1,1000013&100,9,5,2,40,1,-1,-1,-1,40,-1,0
90008,10190119,2,4&4301002&1,1000013&100,9,6,2,40,1,-1,-1,-1,40,-1,0
90009,10190121,2,4&4302002&1,1000013&100,9,7,2,40,1,-1,-1,-1,40,-1,0
90010,10190123,2,4&4303002&1,1000013&100,9,8,2,40,1,-1,-1,-1,40,-1,0
90011,10190125,2,4&4304002&1,1000013&100,9,9,2,40,1,-1,-1,-1,40,-1,0
90012,10190127,2,4&4305002&1,1000013&100,9,10,2,40,1,-1,-1,-1,40,-1,0
90013,10190473,2,4&99913&1,1000013&800,9,3,2,2,1,-1,-1,-1,2,-1,0
90014,10190474,2,4&99904&1,1000013&2000,9,2,2,2,1,-1,2&50,-1,2,-1,0
90015,10190044,2,4&3000010&1,1000013&400,9,1,2,15,1,-1,-1,-1,15,-1,0
90016,10190116,2,4&4300001&1,1000013&50,9,11,2,105,1,-1,-1,-1,105,-1,0
90017,10190118,2,4&4301001&1,1000013&50,9,12,2,105,1,-1,-1,-1,105,-1,0
90018,10190120,2,4&4302001&1,1000013&50,9,13,2,105,1,-1,-1,-1,105,-1,0
90019,10190122,2,4&4303001&1,1000013&50,9,14,2,105,1,-1,-1,-1,105,-1,0
90020,10190124,2,4&4304001&1,1000013&50,9,15,2,105,1,-1,-1,-1,105,-1,0
90021,10190126,2,4&4305001&1,1000013&50,9,16,2,105,1,-1,-1,-1,105,-1,0
240001,10190598,2,4&8999998&1,1000002&50,24,1,0,0,1,-1,-1,-1,99,-1,0
240002,10190595,2,4&8999995&1,1000002&100,24,2,0,0,1,-1,-1,-1,99,-1,0
