唯一ID,组Id,技能等级,属性
125006,125,6,2&2&110
125007,125,7,2&2&130
125008,125,8,2&2&150
125009,125,9,2&2&170
125010,125,10,2&2&220
126000,126,0,-1
126001,126,1,5&2&8
126002,126,2,5&2&28
126003,126,3,5&2&48
126004,126,4,5&2&68
126005,126,5,5&2&88
126006,126,6,5&2&108
126007,126,7,5&2&128
126008,126,8,5&2&148
126009,126,9,5&2&168
126010,126,10,5&2&198
131000,131,0,-1
131001,131,1,1&1&15
131002,131,2,1&1&20
131003,131,3,1&1&25
131004,131,4,1&1&30
131005,131,5,1&1&35
131006,131,6,1&1&40
131007,131,7,1&1&45
131008,131,8,1&1&50
131009,131,9,1&1&55
131010,131,10,1&1&60
131011,131,11,1&1&65
131012,131,12,1&1&70
131013,131,13,1&1&75
131014,131,14,1&1&80
131015,131,15,1&1&85
132000,132,0,-1
132001,132,1,2&1&8
132002,132,2,2&1&21
132003,132,3,2&1&34
132004,132,4,2&1&47
132005,132,5,2&1&60
132006,132,6,2&1&73
132007,132,7,2&1&86
132008,132,8,2&1&99
132009,132,9,2&1&114
132010,132,10,2&1&129
132011,132,11,2&1&144
132012,132,12,2&1&159
132013,132,13,2&1&174
132014,132,14,2&1&189
132015,132,15,2&1&204
133000,133,0,-1
133001,133,1,5&1&5
133002,133,2,5&1&16
133003,133,3,5&1&27
133004,133,4,5&1&38
133005,133,5,5&1&49
133006,133,6,5&1&60
133007,133,7,5&1&71
133008,133,8,5&1&82
133009,133,9,5&1&93
133010,133,10,5&1&104
133011,133,11,5&1&115
133012,133,12,5&1&126
133013,133,13,5&1&137
133014,133,14,5&1&148
133015,133,15,5&1&159
134000,134,0,-1
134001,134,1,1&2&20
134002,134,2,1&2&70
134003,134,3,1&2&120
134004,134,4,1&2&170
134005,134,5,1&2&220
134006,134,6,1&2&270
134007,134,7,1&2&320
134008,134,8,1&2&370
134009,134,9,1&2&420
134010,134,10,1&2&470
134011,134,11,1&2&520
134012,134,12,1&2&570
134013,134,13,1&2&620
134014,134,14,1&2&670
134015,134,15,1&2&770
135000,135,0,-1
135001,135,1,2&2&20
135002,135,2,2&2&50
135003,135,3,2&2&80
135004,135,4,2&2&110
135005,135,5,2&2&140
135006,135,6,2&2&170
135007,135,7,2&2&200
135008,135,8,2&2&230
135009,135,9,2&2&260
135010,135,10,2&2&290
135011,135,11,2&2&320
135012,135,12,2&2&350
135013,135,13,2&2&380
135014,135,14,2&2&410
135015,135,15,2&2&500
136000,136,0,-1
136001,136,1,5&2&20
136002,136,2,5&2&55
136003,136,3,5&2&90
136004,136,4,5&2&125
136005,136,5,5&2&160
136006,136,6,5&2&195
136007,136,7,5&2&230
136008,136,8,5&2&265
136009,136,9,5&2&300
136010,136,10,5&2&335
136011,136,11,5&2&370
136012,136,12,5&2&405
136013,136,13,5&2&440
136014,136,14,5&2&475
136015,136,15,5&2&525
137000,137,0,-1
137001,137,1,20&2&30
137002,137,2,20&2&110
137003,137,3,20&2&190
137004,137,4,20&2&270
137005,137,5,20&2&350
137006,137,6,20&2&430
137007,137,7,20&2&510
137008,137,8,20&2&590
137009,137,9,20&2&670
137010,137,10,20&2&750
137011,137,11,20&2&830
137012,137,12,20&2&910
137013,137,13,20&2&990
137014,137,14,20&2&1070
137015,137,15,20&2&1230
138000,138,0,-1
138001,138,1,21&2&10
138002,138,2,21&2&40
138003,138,3,21&2&70
138004,138,4,21&2&100
138005,138,5,21&2&130
138006,138,6,21&2&160
138007,138,7,21&2&190
138008,138,8,21&2&220
138009,138,9,21&2&250
138010,138,10,21&2&280
138011,138,11,21&2&310
138012,138,12,21&2&340
138013,138,13,21&2&370
138014,138,14,21&2&400
138015,138,15,21&2&450
211000,211,0,-1
211001,211,1,1&1&5
211002,211,2,1&1&15
211003,211,3,1&1&25
211004,211,4,1&1&35
211005,211,5,1&1&45
212000,212,0,-1
212001,212,1,2&1&4
212002,212,2,2&1&12
212003,212,3,2&1&20
212004,212,4,2&1&28
212005,212,5,2&1&36
213000,213,0,-1
213001,213,1,5&1&2
213002,213,2,5&1&6
213003,213,3,5&1&10
213004,213,4,5&1&14
213005,213,5,5&1&18
214000,214,0,-1
214001,214,1,1&2&10
214002,214,2,1&2&20
214003,214,3,1&2&30
214004,214,4,1&2&40
214005,214,5,1&2&50
215000,215,0,-1
215001,215,1,2&2&5
215002,215,2,2&2&25
215003,215,3,2&2&45
215004,215,4,2&2&65
215005,215,5,2&2&85
216000,216,0,-1
216001,216,1,5&2&10
216002,216,2,5&2&20
216003,216,3,5&2&30
216004,216,4,5&2&40
216005,216,5,5&2&50
221000,221,0,-1
221001,221,1,1&1&10
221002,221,2,1&1&20
221003,221,3,1&1&30
221004,221,4,1&1&40
221005,221,5,1&1&50
221006,221,6,1&1&60
221007,221,7,1&1&70
221008,221,8,1&1&80
221009,221,9,1&1&90
221010,221,10,1&1&100
222000,222,0,-1
222001,222,1,2&1&6
222002,222,2,2&1&16
222003,222,3,2&1&26
222004,222,4,2&1&36
222005,222,5,2&1&46
222006,222,6,2&1&56
222007,222,7,2&1&66
222008,222,8,2&1&76
222009,222,9,2&1&86
222010,222,10,2&1&96
223000,223,0,-1
223001,223,1,5&1&3
223002,223,2,5&1&8
223003,223,3,5&1&13
223004,223,4,5&1&18
223005,223,5,5&1&23
223006,223,6,5&1&28
223007,223,7,5&1&33
223008,223,8,5&1&38
223009,223,9,5&1&43
223010,223,10,5&1&48
224000,224,0,-1
224001,224,1,1&2&10
224002,224,2,1&2&30
224003,224,3,1&2&50
224004,224,4,1&2&70
224005,224,5,1&2&90
224006,224,6,1&2&110
224007,224,7,1&2&130
224008,224,8,1&2&150
224009,224,9,1&2&170
224010,224,10,1&2&250
225000,225,0,-1
225001,225,1,2&2&10
225002,225,2,2&2&30
225003,225,3,2&2&50
225004,225,4,2&2&70
225005,225,5,2&2&90
225006,225,6,2&2&110
225007,225,7,2&2&130
225008,225,8,2&2&150
225009,225,9,2&2&170
225010,225,10,2&2&220
226000,226,0,-1
226001,226,1,5&2&8
226002,226,2,5&2&28
226003,226,3,5&2&48
226004,226,4,5&2&68
226005,226,5,5&2&88
226006,226,6,5&2&108
226007,226,7,5&2&128
226008,226,8,5&2&148
226009,226,9,5&2&168
226010,226,10,5&2&198
231000,231,0,-1
231001,231,1,1&1&15
231002,231,2,1&1&20
231003,231,3,1&1&25
231004,231,4,1&1&30
231005,231,5,1&1&35
231006,231,6,1&1&40
231007,231,7,1&1&45
231008,231,8,1&1&50
231009,231,9,1&1&55
231010,231,10,1&1&60
231011,231,11,1&1&65
231012,231,12,1&1&70
231013,231,13,1&1&75
231014,231,14,1&1&80
231015,231,15,1&1&85
232000,232,0,-1
232001,232,1,2&1&8
232002,232,2,2&1&21
232003,232,3,2&1&34
232004,232,4,2&1&47
232005,232,5,2&1&60
232006,232,6,2&1&73
232007,232,7,2&1&86
232008,232,8,2&1&99
232009,232,9,2&1&114
232010,232,10,2&1&129
232011,232,11,2&1&144
232012,232,12,2&1&159
232013,232,13,2&1&174
232014,232,14,2&1&189
232015,232,15,2&1&204
233000,233,0,-1
233001,233,1,5&1&5
233002,233,2,5&1&16
233003,233,3,5&1&27
233004,233,4,5&1&38
233005,233,5,5&1&49
233006,233,6,5&1&60
233007,233,7,5&1&71
233008,233,8,5&1&82
233009,233,9,5&1&93
233010,233,10,5&1&104
233011,233,11,5&1&115
233012,233,12,5&1&126
233013,233,13,5&1&137
233014,233,14,5&1&148
233015,233,15,5&1&159
234000,234,0,-1
234001,234,1,1&2&20
234002,234,2,1&2&70
234003,234,3,1&2&120
234004,234,4,1&2&170
234005,234,5,1&2&220
234006,234,6,1&2&270
234007,234,7,1&2&320
234008,234,8,1&2&370
234009,234,9,1&2&420
234010,234,10,1&2&470
234011,234,11,1&2&520
234012,234,12,1&2&570
234013,234,13,1&2&620
234014,234,14,1&2&670
234015,234,15,1&2&770
235000,235,0,-1
235001,235,1,2&2&20
235002,235,2,2&2&50
235003,235,3,2&2&80
235004,235,4,2&2&110
235005,235,5,2&2&140
235006,235,6,2&2&170
235007,235,7,2&2&200
235008,235,8,2&2&230
235009,235,9,2&2&260
235010,235,10,2&2&290
235011,235,11,2&2&320
235012,235,12,2&2&350
235013,235,13,2&2&380
235014,235,14,2&2&410
235015,235,15,2&2&500
236000,236,0,-1
236001,236,1,5&2&20
236002,236,2,5&2&55
236003,236,3,5&2&90
236004,236,4,5&2&125
236005,236,5,5&2&160
236006,236,6,5&2&195
236007,236,7,5&2&230
236008,236,8,5&2&265
236009,236,9,5&2&300
236010,236,10,5&2&335
236011,236,11,5&2&370
236012,236,12,5&2&405
236013,236,13,5&2&440
236014,236,14,5&2&475
236015,236,15,5&2&525
237000,237,0,-1
237001,237,1,20&2&30
237002,237,2,20&2&110
237003,237,3,20&2&190
237004,237,4,20&2&270
237005,237,5,20&2&350
237006,237,6,20&2&430
237007,237,7,20&2&510
237008,237,8,20&2&590
237009,237,9,20&2&670
237010,237,10,20&2&750
237011,237,11,20&2&830
237012,237,12,20&2&910
237013,237,13,20&2&990
237014,237,14,20&2&1070
237015,237,15,20&2&1230
238000,238,0,-1
238001,238,1,21&2&10
238002,238,2,21&2&40
238003,238,3,21&2&70
238004,238,4,21&2&100
238005,238,5,21&2&130
238006,238,6,21&2&160
238007,238,7,21&2&190
238008,238,8,21&2&220
238009,238,9,21&2&250
238010,238,10,21&2&280
238011,238,11,21&2&310
238012,238,12,21&2&340
238013,238,13,21&2&370
238014,238,14,21&2&400
238015,238,15,21&2&450
311000,311,0,-1
311001,311,1,1&1&5
311002,311,2,1&1&15
311003,311,3,1&1&25
311004,311,4,1&1&35
311005,311,5,1&1&45
312000,312,0,-1
312001,312,1,2&1&4
312002,312,2,2&1&12
312003,312,3,2&1&20
312004,312,4,2&1&28
312005,312,5,2&1&36
313000,313,0,-1
313001,313,1,5&1&2
313002,313,2,5&1&6
313003,313,3,5&1&10
313004,313,4,5&1&14
313005,313,5,5&1&18
314000,314,0,-1
314001,314,1,1&2&10
314002,314,2,1&2&20
314003,314,3,1&2&30
314004,314,4,1&2&40
314005,314,5,1&2&50
315000,315,0,-1
315001,315,1,2&2&5
315002,315,2,2&2&25
315003,315,3,2&2&45
315004,315,4,2&2&65
315005,315,5,2&2&85
316000,316,0,-1
316001,316,1,5&2&10
316002,316,2,5&2&20
316003,316,3,5&2&30
316004,316,4,5&2&40
316005,316,5,5&2&50
321000,321,0,-1
321001,321,1,1&1&10
321002,321,2,1&1&20
321003,321,3,1&1&30
321004,321,4,1&1&40
321005,321,5,1&1&50
321006,321,6,1&1&60
321007,321,7,1&1&70
321008,321,8,1&1&80
321009,321,9,1&1&90
321010,321,10,1&1&100
322000,322,0,-1
322001,322,1,2&1&6
322002,322,2,2&1&16
322003,322,3,2&1&26
322004,322,4,2&1&36
322005,322,5,2&1&46
322006,322,6,2&1&56
322007,322,7,2&1&66
322008,322,8,2&1&76
322009,322,9,2&1&86
322010,322,10,2&1&96
323000,323,0,-1
323001,323,1,5&1&3
323002,323,2,5&1&8
323003,323,3,5&1&13
323004,323,4,5&1&18
323005,323,5,5&1&23
323006,323,6,5&1&28
323007,323,7,5&1&33
323008,323,8,5&1&38
323009,323,9,5&1&43
323010,323,10,5&1&48
324000,324,0,-1
324001,324,1,1&2&10
324002,324,2,1&2&30
324003,324,3,1&2&50
324004,324,4,1&2&70
324005,324,5,1&2&90
324006,324,6,1&2&110
324007,324,7,1&2&130
324008,324,8,1&2&150
324009,324,9,1&2&170
324010,324,10,1&2&250
325000,325,0,-1
325001,325,1,2&2&10
325002,325,2,2&2&30
325003,325,3,2&2&50
325004,325,4,2&2&70
325005,325,5,2&2&90
325006,325,6,2&2&110
325007,325,7,2&2&130
325008,325,8,2&2&150
325009,325,9,2&2&170
325010,325,10,2&2&220
326000,326,0,-1
326001,326,1,5&2&8
326002,326,2,5&2&28
326003,326,3,5&2&48
326004,326,4,5&2&68
326005,326,5,5&2&88
326006,326,6,5&2&108
326007,326,7,5&2&128
326008,326,8,5&2&148
326009,326,9,5&2&168
326010,326,10,5&2&198
331000,331,0,-1
331001,331,1,1&1&15
331002,331,2,1&1&20
331003,331,3,1&1&25
331004,331,4,1&1&30
331005,331,5,1&1&35
331006,331,6,1&1&40
331007,331,7,1&1&45
331008,331,8,1&1&50
331009,331,9,1&1&55
331010,331,10,1&1&60
331011,331,11,1&1&65
331012,331,12,1&1&70
331013,331,13,1&1&75
331014,331,14,1&1&80
331015,331,15,1&1&85
332000,332,0,-1
332001,332,1,2&1&8
332002,332,2,2&1&21
332003,332,3,2&1&34
332004,332,4,2&1&47
332005,332,5,2&1&60
332006,332,6,2&1&73
332007,332,7,2&1&86
332008,332,8,2&1&99
332009,332,9,2&1&114
332010,332,10,2&1&129
332011,332,11,2&1&144
332012,332,12,2&1&159
332013,332,13,2&1&174
332014,332,14,2&1&189
332015,332,15,2&1&204
333000,333,0,-1
333001,333,1,5&1&5
333002,333,2,5&1&16
333003,333,3,5&1&27
333004,333,4,5&1&38
333005,333,5,5&1&49
333006,333,6,5&1&60
333007,333,7,5&1&71
333008,333,8,5&1&82
333009,333,9,5&1&93
333010,333,10,5&1&104
333011,333,11,5&1&115
333012,333,12,5&1&126
333013,333,13,5&1&137
333014,333,14,5&1&148
333015,333,15,5&1&159
334000,334,0,-1
334001,334,1,1&2&20
334002,334,2,1&2&70
334003,334,3,1&2&120
334004,334,4,1&2&170
334005,334,5,1&2&220
334006,334,6,1&2&270
334007,334,7,1&2&320
334008,334,8,1&2&370
334009,334,9,1&2&420
334010,334,10,1&2&470
334011,334,11,1&2&520
334012,334,12,1&2&570
334013,334,13,1&2&620
334014,334,14,1&2&670
334015,334,15,1&2&770
335000,335,0,-1
335001,335,1,2&2&20
335002,335,2,2&2&50
335003,335,3,2&2&80
335004,335,4,2&2&110
335005,335,5,2&2&140
335006,335,6,2&2&170
335007,335,7,2&2&200
335008,335,8,2&2&230
335009,335,9,2&2&260
335010,335,10,2&2&290
335011,335,11,2&2&320
335012,335,12,2&2&350
335013,335,13,2&2&380
335014,335,14,2&2&410
335015,335,15,2&2&500
336000,336,0,-1
336001,336,1,5&2&20
336002,336,2,5&2&55
336003,336,3,5&2&90
336004,336,4,5&2&125
336005,336,5,5&2&160
336006,336,6,5&2&195
336007,336,7,5&2&230
336008,336,8,5&2&265
336009,336,9,5&2&300
336010,336,10,5&2&335
336011,336,11,5&2&370
336012,336,12,5&2&405
336013,336,13,5&2&440
336014,336,14,5&2&475
336015,336,15,5&2&525
337000,337,0,-1
337001,337,1,20&2&30
337002,337,2,20&2&110
337003,337,3,20&2&190
337004,337,4,20&2&270
337005,337,5,20&2&350
337006,337,6,20&2&430
337007,337,7,20&2&510
337008,337,8,20&2&590
337009,337,9,20&2&670
337010,337,10,20&2&750
337011,337,11,20&2&830
337012,337,12,20&2&910
337013,337,13,20&2&990
337014,337,14,20&2&1070
337015,337,15,20&2&1230
338000,338,0,-1
338001,338,1,21&2&10
338002,338,2,21&2&40
338003,338,3,21&2&70
338004,338,4,21&2&100
338005,338,5,21&2&130
338006,338,6,21&2&160
338007,338,7,21&2&190
338008,338,8,21&2&220
338009,338,9,21&2&250
338010,338,10,21&2&280
338011,338,11,21&2&310
338012,338,12,21&2&340
338013,338,13,21&2&370
338014,338,14,21&2&400
338015,338,15,21&2&450
