ID,弹幕文件,子弹出屏裁剪,附带效果id,技能击中克制效果,技能击中效果,Leser类型控制
2001010202,2001010201,-1,2|2001010202,2001010101,2001010102,-1
2001010203,2001010201,-1,2|2001010203,2001010101,2001010102,-1
2001010204,2001010201,-1,2|2001010204,2001010101,2001010102,-1
2001010205,2001010201,-1,2|2001010205,2001010101,2001010102,-1
2001010300,2001010301,-1,2|2001010300,2001010101,2001010102,-1
2001010301,2001010301,-1,2|2001010301,2001010101,2001010102,-1
2001010302,2001010301,-1,2|2001010302,2001010101,2001010102,-1
2001010303,2001010301,-1,2|2001010303,2001010101,2001010102,-1
2001010304,2001010301,-1,2|2001010304,2001010101,2001010102,-1
2001010305,2001010301,-1,2|2001010305,2001010101,2001010102,-1
2001010306,2001010301,-1,2|2001010306,2001010101,2001010102,-1
2001010307,2001010301,-1,2|2001010307,2001010101,2001010102,-1
2001010308,2001010301,-1,2|2001010308,2001010101,2001010102,-1
2001010309,2001010301,-1,2|2001010309,2001010101,2001010102,-1
2001010310,2001010301,-1,2|2001010310,2001010101,2001010102,-1
2001010311,2001010311,-1,-1,2001010101,2001010102,-1
2001020101,2001020101,-1,-1,2001020101,2001020102,-1
2001020200,2001020201,-1,1|2001020200,2001020101,2001020102,-1
2001020201,2001020201,-1,1|2001020201,2001020101,2001020102,-1
2001020202,2001020201,-1,1|2001020202,2001020101,2001020102,-1
2001020203,2001020201,-1,1|2001020203,2001020101,2001020102,-1
2001020204,2001020201,-1,1|2001020204,2001020101,2001020102,-1
2001020205,2001020201,-1,1|2001020205,2001020101,2001020102,-1
2001020300,2001020301,-1,1|2001020300,2001020101,2001020102,-1
2001020301,2001020301,-1,1|2001020301,2001020101,2001020102,-1
2001020302,2001020301,-1,1|2001020302,2001020101,2001020102,-1
2001020303,2001020301,-1,1|2001020303,2001020101,2001020102,-1
2001020304,2001020301,-1,1|2001020304,2001020101,2001020102,-1
2001020305,2001020301,-1,1|2001020305,2001020101,2001020102,-1
2001020306,2001020301,-1,1|2001020306,2001020101,2001020102,-1
2001020307,2001020301,-1,1|2001020307,2001020101,2001020102,-1
2001020308,2001020301,-1,1|2001020308,2001020101,2001020102,-1
2001020309,2001020301,-1,1|2001020309,2001020101,2001020102,-1
2001020310,2001020301,-1,1|2001020310,2001020101,2001020102,-1
3001010101,3001010101,-1,-1,3001010101,3001010102,1|5
3001010200,3001010201,-1,1|3001010200,3001010101,3001010102,1|5
3001010201,3001010201,-1,1|3001010201,3001010101,3001010102,1|5
3001010202,3001010201,-1,1|3001010202,3001010101,3001010102,1|5
3001010203,3001010201,-1,1|3001010203,3001010101,3001010102,1|5
3001010204,3001010201,-1,1|3001010204,3001010101,3001010102,1|5
3001010205,3001010201,-1,1|3001010205,3001010101,3001010102,1|5
3001010300,3001010301,-1,1|3001010300,3001010101,3001010102,1|5
3001010301,3001010301,-1,1|3001010301,3001010101,3001010102,1|5
3001010302,3001010301,-1,1|3001010302,3001010101,3001010102,1|5
3001010303,3001010301,-1,1|3001010303,3001010101,3001010102,1|5
3001010304,3001010301,-1,1|3001010304,3001010101,3001010102,1|5
3001010305,3001010301,-1,1|3001010305,3001010101,3001010102,1|5
3001010306,3001010301,-1,1|3001010306,3001010101,3001010102,1|5
3001010307,3001010301,-1,1|3001010307,3001010101,3001010102,1|5
3001010308,3001010301,-1,1|3001010308,3001010101,3001010102,1|5
3001010309,3001010301,-1,1|3001010309,3001010101,3001010102,1|5
3001010310,3001010301,-1,1|3001010310,3001010101,3001010102,1|5
3001020101,3001020101,-1,-1,3001020101,3001020102,-1
3001020200,3001020201,-1,2|3001020200,3001020101,3001020102,-1
3001020201,3001020201,-1,2|3001020201,3001020101,3001020102,-1
3001020202,3001020201,-1,2|3001020202,3001020101,3001020102,-1
3001020203,3001020201,-1,2|3001020203,3001020101,3001020102,-1
3001020204,3001020201,-1,2|3001020204,3001020101,3001020102,-1
3001020205,3001020201,-1,2|3001020205,3001020101,3001020102,-1
3001020300,3001020301,-1,2|3001020300,3001020101,3001020102,-1
3001020301,3001020301,-1,2|3001020301,3001020101,3001020102,-1
3001020302,3001020301,-1,2|3001020302,3001020101,3001020102,-1
3001020303,3001020301,-1,2|3001020303,3001020101,3001020102,-1
3001020304,3001020301,-1,2|3001020304,3001020101,3001020102,-1
3001020305,3001020301,-1,2|3001020305,3001020101,3001020102,-1
3001020306,3001020301,-1,2|3001020306,3001020101,3001020102,-1
3001020307,3001020301,-1,2|3001020307,3001020101,3001020102,-1
3001020308,3001020301,-1,2|3001020308,3001020101,3001020102,-1
3001020309,3001020301,-1,2|3001020309,3001020101,3001020102,-1
3001020310,3001020301,-1,2|3001020310,3001020101,3001020102,-1
