ID,技能id,所属魔女ID,最大等级,释放类型,所属星级,弹幕文件,爆炸,技能CD,神火消耗类型,神火消耗,弹幕根数,单根弹幕伤害,真实伤害,攻击间隔,成长系数,技能效果,击中效果显示位置,技能展示用系数,dot展示用系数2,技能是否展示预览,出屏是否裁剪
62,100802,1008,20,13,1,witch/skill_xuli/1008,-1,7,1,0,6,1.167,0,2|6,15,-1,1,7,-1,1,1
63,100841,1008,20,1,1,witch/build/10080141,-1,0,1,0,2,1,0,6|0,3,-1,1,0.5,-1,1,0
64,100803,1008,20,10,1,witch/must/1008010300,100802.0,15,1,230000,1,0,0,0|1,15,-1,1,19.35,-1,1,1
65,100803,1008,20,10,2,witch/must/1008010300,100802.0,15,1,230000,1,0,0,0|1,15,-1,1,19.35,-1,1,1
66,100803,1008,20,10,3,witch/must/1008010400,100803.0,15,1,230000,1,0,0,0|1,15,-1,1,23.220000000000002,-1,1,1
67,100803,1008,20,10,4,witch/must/1008010400,100803.0,15,1,230000,1,0,0,0|1,15,100804.0,1,23.220000000000002,-1,1,1
68,100803,1008,20,10,5,witch/must/1008010600,-1,15,1,230000,1,1.451,0,0|1,15,100804|100806,1,29.025000000000002,-1,1,1
69,100803,1008,20,10,6,witch/must/1008010600,-1,15,1,230000,1,1.451,0,0|1,15,100804|100806,1,29.025000000000002,-1,1,1
70,100853,1008,20,11,1,witch/must/1008010300,-1,0,1,0,1,19.35,0,0|1,15,-1,1,19.35,-1,1,1
71,100853,1008,20,11,3,witch/must/1008010400,-1,0,1,0,1,23.22,0,0|1,15,-1,1,23.220000000000002,-1,1,1
72,100854,1008,20,11,5,witch/must/1008010601,-1,0,1,0,1,27.574,0,0|1,15,-1,1,29.025000000000002,-1,1,1
73,100901,1009,20,1,1,witch/barrage/1009011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,0.5,-1,1,1
74,100902,1009,20,13,1,witch/skill_xuli/1009,-1,9,1,0,14,0.694,0,0|1,15,-1,1,9.72,-1,1,0
75,100903,1009,20,10,1,witch/must/1009010300,-1,30,1,450000,43,0.62,0,0|1,15,-1,1,26.67,-1,1,0
76,100903,1009,20,10,2,witch/must/1009010300,-1,30,1,450000,43,0.62,0,0|1,15,-1,1,26.67,-1,1,0
77,100903,1009,20,10,3,witch/must/1009010300,-1,30,1,450000,43,0.62,0,0|1,15,100903.0,1,26.67,-1,1,0
78,100903,1009,20,10,4,witch/must/1009010600,-1,30,1,450000,65,0.533,0,0|1,15,100903|100904,1,34.67100000000001,-1,1,0
79,100903,1009,20,10,5,witch/must/1009010600|witch/must/1009010400,-1,30,1,450000,65,0.533,0,0|1,15,100903|100904,1,34.67100000000001,-1,1,0
80,100903,1009,20,10,6,witch/must/1009010600|witch/must/1009010400,-1,30,1,450000,65,0.533,0,0|1,15,100903|100904,1,34.67100000000001,-1,1,0
81,101001,1010,20,1,1,witch/barrage/1010011,-1,0,1,0,1,0.7,0,8|0,3,-1,1,0.7,-1,1,0
82,101002,1010,20,13,1,witch/skill_xuli/1010,-1,7,1,0,4,1.89,0,4|6,15,-1,1,7.56,-1,1,1
83,101041,1010,20,1,1,witch/build/10100141,-1,0,1,0,2,1,0,6|0,3,-1,1,0.5,-1,1,0
84,101003,1010,20,10,1,witch/must/1010010300,-1,30,1,500000,94,0.298,0,2|0,15,-1,1,28,-1,1,0
85,101003,1010,20,10,2,witch/must/1010010300,-1,30,1,500000,94,0.298,0,2|0,15,-1,1,28,-1,1,0
86,101003,1010,20,10,3,witch/must/1010010300,-1,30,1,500000,94,0.298,0,2|0,15,101003.0,1,28,-1,1,0
87,101003,1010,20,10,4,witch/must/1010010300,-1,30,1,500000,94,0.298,0,2|0,15,101003|101004,1,28,-1,1,0
88,101003,1010,20,10,5,witch/must/1010010300,-1,30,1,500000,94,0.298,0,2|0,15,101003|101004|101005,1,28,-1,1,0
89,101003,1010,20,10,6,witch/must/1010010300,-1,30,1,500000,94,0.298,0,2|0,15,101003|101004|101005,1,28,-1,1,0
90,101101,1011,20,1,1,witch/barrage/1011011,-1,0,1,0,2,0.5,0,0|1,3,100001.0,0,0.5,-1,1,1
91,101102,1011,20,13,1,witch/skill_xuli/1011,-1,10,1,0,10,1.5,0,0|1,15,-1,1,15,-1,1,0
92,101103,1011,20,10,1,witch/must/1011010300,-1,20,1,300000,8,2.715,0,2|4,15,-1,1,21.72,-1,1,0
93,101103,1011,20,10,2,witch/must/1011010300,-1,20,1,300000,8,2.715,0,2|4,15,-1,1,21.72,-1,1,0
94,101103,1011,20,10,3,witch/must/1011010300,-1,20,1,300000,8,2.715,0,2|4,15,101103.0,1,21.72,-1,1,0
95,101103,1011,20,10,4,witch/must/1011010600,-1,20,1,300000,12,2.353,0,2|4,15,101103.0,1,28.236,-1,1,0
96,101103,1011,20,10,5,witch/must/1011010600,-1,20,1,300000,12,2.353,0,2|4,15,101103.0,1,28.236,-1,1,0
97,101103,1011,20,10,6,witch/must/1011010600,-1,20,1,300000,12,2.353,0,2|4,15,101106.0,1,28.236,-1,1,0
98,101201,1012,20,1,1,witch/barrage/1012011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,0.5,-1,1,1
99,101202,1012,20,13,1,witch/skill_xuli/1012,-1,10,1,0,45,0.204,0,6|0,15,-1,1,9.2,-1,1,0
100,101203,1012,20,10,1,witch/must/1012010300,-1,15,1,225000,1,16.88,0,0|1,15,-1,1,16.88,-1,1,0
101,101203,1012,20,10,2,witch/must/1012010300,-1,15,1,225000,1,16.88,0,0|1,15,101202.0,1,16.88,-1,1,0
102,101203,1012,20,10,3,witch/must/1012010300,-1,12,1,225000,1,16.88,0,0|1,15,101202.0,1,16.88,-1,1,0
103,101203,1012,20,10,4,witch/must/1012010300,-1,12,1,225000,1,16.88,0,0|1,15,101202.0,1,16.88,-1,1,0
104,101203,1012,20,10,5,witch/must/1012010300,-1,12,1,225000,1,16.88,0,0|1,15,101205.0,1,16.88,-1,1,0
105,101203,1012,20,10,6,witch/must/1012010300,-1,12,1,225000,1,16.88,0,0|1,15,101205.0,1,16.88,-1,1,0
106,101301,1013,20,1,1,witch/barrage/1013011,-1,0,1,0,2,0.5,0,0|1,3,100001.0,0,0.5,-1,1,1
107,101302,1013,20,13,1,witch/skill_xuli/1013,-1,10,1,0,20,0.54,0,0|1,15,-1,1,10.8,-1,1,0
108,101303,1013,20,10,1,witch/must/1013010300,-1,30,1,450000,2,13.335,0,0|1,15,10130101|101301,1,26.67,-1,1,0
109,101303,1013,20,10,2,witch/must/1013010300,-1,30,1,450000,2,13.335,0,0|1,15,10130101|101301,1,26.67,0.7,1,0
110,101303,1013,20,10,3,witch/must/1013010300,-1,30,1,450000,2,13.335,0,0|1,15,10130101|101301|101303,1,26.67,0.7,1,0
111,101303,1013,20,10,4,witch/must/1013010300,-1,30,1,450000,2,13.335,0,0|1,15,10130101|101303|101304,1,26.67,1.778,1,0
112,101303,1013,20,10,5,witch/must/1013010300,-1,30,1,450000,2,13.335,0,0|1,15,10130101|101303|101304|101305,1,26.67,1.778,1,0
113,101303,1013,20,10,6,witch/must/1013010300,-1,30,1,450000,2,13.335,0,0|1,15,10130101|101303|101304|101305,1,26.67,1.778,1,0
114,101401,1014,20,1,1,witch/barrage/1014011,-1,0,1,0,4,0.6,0,0|1,3,-1,0,0.6,-1,1,0
115,101402,1014,20,13,1,witch/skill_xuli/1014,-1,9,1,0,7,2.571,0,0|1,15,-1,1,18,-1,1,0
116,101403,1014,20,10,1,witch/must/1014010300,-1,12,1,250000,4,4.633,0,0|1,15,-1,1,18.53,-1,1,0
117,101403,1014,20,10,2,witch/must/1014010300,-1,12,1,250000,4,4.633,0,0|1,15,101402.0,1,18.53,-1,1,0
118,101403,1014,20,10,3,witch/must/1014010300,-1,12,1,250000,4,4.633,0,0|1,15,101402|101403,1,18.53,-1,1,0
119,101403,1014,20,10,4,witch/must/1014010300,-1,12,1,250000,4,4.633,0,0|1,15,101402|101403,1,18.53,-1,1,0
120,101403,1014,20,10,5,witch/must/1014010300,-1,12,1,250000,4,4.633,0,0|1,15,101402|101403,1,18.53,-1,1,0
121,101403,1014,20,10,6,witch/must/1014010300,-1,12,1,250000,4,4.633,0,0|1,15,101402|101406,1,18.53,-1,1,0
122,101501,1015,20,1,1,witch/barrage/1015011,-1,0,1,0,1,0.7,0,8|0,3,-1,1,0.7,-1,1,0
123,101502,1015,20,13,1,witch/skill_xuli/1015,-1,7,1,0,6,1.073,0,4|6,15,-1,1,6.44,-1,1,0
124,101541,1015,20,1,1,witch/build/10150141,-1,0,1,0,2,1,0,6|0,3,-1,1,0.5,-1,1,0
125,101503,1015,20,10,1,witch/must/1015010300,-1,20,1,150000,-1,16.24,0,0|1,15,10150101|10150102,1,16.24,-1,1,0
126,101503,1015,20,10,2,witch/must/1015010300,-1,20,1,150000,-1,16.24,0,0|1,15,10150201|10150202,1,16.24,-1,1,0
127,101503,1015,20,10,3,witch/must/1015010300,-1,15,1,150000,-1,16.24,0,0|1,15,10150301|10150302,1,16.24,-1,1,0
128,101503,1015,20,10,4,witch/must/1015010300,-1,15,1,150000,-1,16.24,0,0|1,15,10150301|10150302,1,16.24,-1,1,0
129,101503,1015,20,10,5,witch/must/1015010300,-1,15,1,150000,-1,16.24,0,0|1,15,10150501|10150502,1,16.24,-1,1,0
130,101503,1015,20,10,6,witch/must/1015010300,-1,15,1,150000,-1,16.24,0,0|1,15,10150501|10150502,1,16.24,-1,1,0
131,101601,1016,20,1,1,witch/barrage/1016011,-1,0,1,0,4,0.6,0,0|1,3,-1,0,0.6,-1,1,0
132,101602,1016,20,13,1,witch/skill_xuli/1016,-1,10,1,0,3,6,0,3|3,15,-1,1,18,-1,1,0
133,101603,1016,20,10,1,witch/must/1016010300,-1,20,1,300000,6,3.62,0,6|6,15,101601.0,1,21.72,-1,1,0
134,101603,1016,20,10,2,witch/must/1016010300,-1,20,1,300000,6,3.62,0,6|6,15,101601.0,1,21.72,-1,1,0
135,101603,1016,20,10,3,witch/must/1016010300,-1,20,1,300000,6,3.62,0,6|6,15,101601|101603,1,21.72,-1,1,0
136,101603,1016,20,10,4,witch/must/1016010300,-1,20,1,300000,6,3.62,0,6|6,15,101601|101603|101604,1,21.72,-1,1,0
137,101603,1016,20,10,5,witch/must/1016010300,-1,20,1,300000,6,3.62,0,6|6,15,101601|101603|101604,1,21.72,-1,1,0
138,101603,1016,20,10,6,witch/must/1016010600,-1,20,1,300000,6,3.62,0,6|6,15,101601|101603|101604|101606,1,21.72,-1,1,0
139,101701,1017,20,1,1,witch/barrage/1017011,-1,0,1,0,3,0.45,0,0|1,3,-1,0,0.45,-1,1,1
140,101702,1017,20,13,1,witch/skill_xuli/1017,-1,7,1,0,5,1.288,0,0|1,15,-1,1,6.44,-1,1,0
141,101703,1017,20,10,1,witch/must/1017010300,-1,12,1,180000,6,2.51,0,0|1,15,-1,1,15.06,-1,1,0
142,101703,1017,20,10,2,witch/must/1017010300,-1,12,1,180000,6,2.51,0,0|1,15,101702.0,1,15.06,-1,1,0
143,101703,1017,20,10,3,witch/must/1017010400,-1,12,1,180000,12,2.51,0,0|1,15,101702.0,1,30.12,-1,1,0
144,101703,1017,20,10,4,witch/must/1017010400,-1,12,1,180000,12,2.51,0,0|1,15,101702.0,1,30.12,-1,1,0
145,101703,1017,20,10,5,witch/must/1017010400,-1,12,1,180000,12,2.51,0,0|1,15,101705.0,1,30.12,-1,1,0
146,101703,1017,20,10,6,witch/must/1017010400,-1,12,1,180000,12,2.51,0,0|1,15,101705.0,1,30.12,-1,1,0
147,101801,1018,20,1,1,witch/barrage/1018011,-1,0,1,0,3,0.45,0,0|1,3,-1,0,0.45,-1,1,1
148,101802,1018,20,13,1,witch/skill_xuli/1018,-1,7,1,0,5,1.288,0,0|1,15,-1,1,6.44,-1,1,0
149,101803,1018,20,10,1,witch/must/1018010300,-1,12,1,180000,12,1.318,0,0|1,15,-1,1,15.82,-1,1,0
150,101803,1018,20,10,2,witch/must/1018010300,-1,12,1,180000,12,1.318,0,0|1,15,101802.0,1,15.82,-1,1,0
151,101803,1018,20,10,3,witch/must/1018010400,-1,12,1,180000,12,1.318,0,0|1,15,101802.0,1,15.82,-1,1,0
152,101803,1018,20,10,4,witch/must/1018010400,-1,12,1,180000,12,1.318,0,0|1,15,101802.0,1,15.82,-1,1,0
153,101803,1018,20,10,5,witch/must/1018010600,-1,12,1,180000,24,0.989,0,0|1,15,101802|101805,1,23.73,-1,1,0
154,101803,1018,20,10,6,witch/must/1018010600,-1,12,1,180000,24,0.989,0,0|1,15,101802|101805,1,23.73,-1,1,0
155,101901,1019,20,1,1,witch/barrage/1019011,10190100.0,0,1,0,1,4.6,0,0|1,3,-1,0,4.6,-1,1,0
156,101902,1019,20,13,1,witch/skill_xuli/1019,-1,9,1,0,41,0.22,0,6|41,15,-1,1,9,-1,1,0
157,101903,1019,20,10,1,witch/must/1019010300,-1,15,1,230000,11,1.759,0,8|0,15,-1,1,19.35,-1,1,0
158,101903,1019,20,10,2,witch/must/1019010300,-1,15,1,230000,11,1.759,0,8|0,15,-1,1,19.35,-1,1,0
159,101903,1019,20,10,3,witch/must/1019010300,-1,15,1,230000,11,1.759,0,8|0,15,101903.0,1,19.35,-1,1,0
160,101903,1019,20,10,4,witch/must/1019010400,-1,15,1,230000,11,1.759,0,8|0,15,101903|101904,1,19.35,-1,1,0
161,101903,1019,20,10,5,witch/must/1019010400,-1,15,1,230000,11,1.759,0,8|0,15,101903|101904,1,19.35,-1,1,0
162,101903,1019,20,10,6,witch/must/1019010400,-1,15,1,230000,23,1.178,0,5|0,15,101903|101904,1,27.09,-1,1,0
163,102001,1020,20,1,1,witch/barrage/1020011,10200100.0,0,1,0,1,4.6,0,0|1,3,-1,0,4.6,-1,1,0
164,102002,1020,20,13,1,witch/skill_xuli/1020,-1,9,1,0,10,0.828,0,0|1,15,-1,1,8.28,-1,1,0
165,102003,1020,20,10,1,witch/must/1020010300,-1,20,1,300000,25,0.761,0,0|1,15,-1,1,19.03,-1,1,0
166,102003,1020,20,10,2,witch/must/1020010300,-1,20,1,300000,25,0.761,0,0|1,15,102002.0,1,19.03,-1,1,0
167,102003,1020,20,10,3,witch/must/1020010400,-1,20,1,300000,57,0.334,0,0|1,15,102002.0,1,19.03,-1,1,0
168,102003,1020,20,10,4,witch/must/1020010400,-1,20,1,300000,57,0.334,0,0|1,15,102002.0,1,19.03,-1,1,0
169,102003,1020,20,10,5,witch/must/1020010600,-1,20,1,300000,171,0.145,0,0|1,15,102002.0,1,24.739,-1,1,0
170,102003,1020,20,10,6,witch/must/1020010600,-1,20,1,300000,171,0.145,0,0|1,15,102002.0,1,24.739,-1,1,0
171,102101,1021,20,1,1,witch/barrage/1021011,-1,0,1,0,3,0.45,0,0|1,3,-1,0,0.45,-1,1,1
172,102102,1021,20,13,1,witch/skill_xuli/1021,-1,7,1,0,12,0.63,0,0|1,15,-1,1,7.56,-1,1,0
173,102103,1021,20,10,1,witch/must/1021010300|witch/must/1021010301,-1,40,1,50000,22,0.232,0,10|0,15,10210102.0,1,5.105,-1,1,0
174,102103,1021,20,10,2,witch/must/1021010300|witch/must/1021010301,-1,40,1,50000,22,0.232,0,10|0,15,10210102.0,1,5.105,-1,1,0
175,102103,1021,20,10,3,witch/must/1021010300|witch/must/1021010301,-1,40,1,50000,22,0.232,0,10|0,15,10210102|102103,1,5.105,-1,1,0
176,102103,1021,20,10,4,witch/must/1021010300|witch/must/1021010301,-1,40,1,50000,22,0.232,0,10|0,15,10210102|102103|102104,1,5.105,-1,1,0
177,102103,1021,20,10,5,witch/must/1021010300|witch/must/1021010301,-1,40,1,50000,22,0.232,0,10|0,15,10210102|102103|102104|102105,1,5.105,-1,1,0
178,102103,1021,20,10,6,witch/must/1021010300|witch/must/1021010301,-1,40,1,50000,22,0.232,0,10|0,15,10210102|102103|102104|102105,1,5.105,-1,1,0
179,102201,1022,20,1,1,witch/barrage/1022011,-1,0,1,0,3,0.45,0,0|1,3,-1,0,0.45,-1,1,1
180,102202,1022,20,13,1,witch/skill_xuli/1022,-1,10,1,0,6,1.8,0,0|1,15,-1,1,10.8,-1,1,0
181,102203,1022,20,10,1,witch/must/1022010300,-1,20,1,300000,6,3.91,0,8|6,15,102201.0,1,23.46,-1,1,0
182,102203,1022,20,10,2,witch/must/1022010300,-1,20,1,300000,6,3.91,0,8|6,15,102201.0,1,23.46,-1,1,0
183,102203,1022,20,10,3,witch/must/1022010300,-1,20,1,300000,6,3.91,0,8|6,15,102201|102203,1,23.46,-1,1,0
184,102203,1022,20,10,4,witch/must/1022010300,-1,20,1,300000,6,3.91,0,8|6,15,102201|102203|102204,1,23.46,-1,1,0
185,102203,1022,20,10,5,witch/must/1022010300,-1,20,1,300000,6,3.91,0,8|6,15,102201|102203|102204|10220501,1,23.46,-1,1,0
186,102203,1022,20,10,6,witch/must/1022010300,-1,20,1,300000,6,3.91,0,8|6,15,102201|102203|102204|10220501,1,23.46,-1,1,0
187,102253,1022,20,11,4,witch/must/1022010600,-1,0,1,0,6,0.782,0,8|6,15,-1,1,4.692,-1,1,0
188,102253,1022,20,11,5,witch/must/1022010600,-1,0,1,0,6,3.91,0,8|6,15,-1,1,23.46,-1,1,0
189,102253,1022,20,11,6,witch/must/1022010600,-1,0,1,0,6,3.91,0,8|6,15,-1,1,23.46,-1,1,0
190,102254,1022,20,11,6,witch/must/1022010600,-1,0,1,0,6,3.91,0,8|6,15,-1,1,23.46,-1,1,0
191,102301,1023,20,1,1,witch/barrage/1023011,-1,0,1,0,4,0.6,0,0|1,3,-1,0,0.6,-1,1,0
192,102302,1023,20,13,1,witch/skill_xuli/1023,-1,10,1,0,6,3.6,0,6|6,15,-1,1,21.6,-1,1,0
193,102303,1023,20,10,1,witch/must/1023010300,-1,25,1,380000,28,0.906,0,10|0,15,102301.0,1,25.36,-1,1,0
194,102303,1023,20,10,2,witch/must/1023010300,-1,25,1,380000,28,0.906,0,10|0,15,102301.0,1,25.36,-1,1,0
195,102303,1023,20,10,3,witch/must/1023010300,-1,25,1,380000,28,0.906,0,10|0,15,102301|102303,1,25.36,-1,1,0
196,102303,1023,20,10,4,witch/must/1023010300,-1,25,1,380000,28,0.906,0,10|0,15,102301|102303|102399,1,25.36,-1,1,0
197,102303,1023,20,10,5,witch/must/1023010300,-1,25,1,380000,28,0.906,0,10|0,15,102301|102303|102399|102305,1,25.36,-1,1,0
198,102303,1023,20,10,6,witch/must/1023010300,-1,25,1,380000,28,0.906,0,10|0,15,102301|102303|102399|102305,1,25.36,-1,1,0
199,102353,1023,20,11,6,witch/must/1023010300,-1,0,1,0,51,0.004,0,6|0,15,-1,1,1,-1,1,0
200,102401,1024,20,1,1,witch/barrage/1024011,10240100.0,0,1,0,1,4.6,0,0|1,3,-1,0,4.6,-1,1,0
201,102402,1024,20,13,1,witch/skill_xuli/1024,-1,10,1,0,41,0.263,0,6|41,15,-1,1,10.8,-1,1,0
202,102403,1024,20,10,1,witch/must/1024010300,-1,18,1,270000,1,22.52,0,0|1,15,-1,1,22.52,-1,1,0
