升阶id,魔女id,当前阶数,等级限制,材料1&数量,材料2&数量,材料3&数量,材料4&数量
102204,1022,4,30,9000202&60,-1,-1,-1
102205,1022,5,40,9000203&90,-1,-1,-1
102206,1022,6,50,9000203&120,-1,-1,-1
102207,1022,7,60,9000204&160,-1,-1,-1
102208,1022,8,70,9000205&200,-1,-1,-1
102209,1022,9,80,-1,-1,-1,-1
102301,1023,1,1,9000301&10,-1,-1,-1
102302,1023,2,10,9000301&20,-1,-1,-1
102303,1023,3,20,9000302&40,-1,-1,-1
102304,1023,4,30,9000302&60,-1,-1,-1
102305,1023,5,40,9000303&90,-1,-1,-1
102306,1023,6,50,9000303&120,-1,-1,-1
102307,1023,7,60,9000304&160,-1,-1,-1
102308,1023,8,70,9000305&200,-1,-1,-1
102309,1023,9,80,-1,-1,-1,-1
102401,1024,1,1,9000301&10,-1,-1,-1
102402,1024,2,10,9000301&20,-1,-1,-1
102403,1024,3,20,9000302&40,-1,-1,-1
102404,1024,4,30,9000302&60,-1,-1,-1
102405,1024,5,40,9000303&90,-1,-1,-1
102406,1024,6,50,9000303&120,-1,-1,-1
102407,1024,7,60,9000304&160,-1,-1,-1
102408,1024,8,70,9000305&200,-1,-1,-1
102409,1024,9,80,-1,-1,-1,-1
102501,1025,1,1,9000201&10,-1,-1,-1
102502,1025,2,10,9000201&20,-1,-1,-1
102503,1025,3,20,9000202&40,-1,-1,-1
102504,1025,4,30,9000202&60,-1,-1,-1
102505,1025,5,40,9000203&90,-1,-1,-1
102506,1025,6,50,9000203&120,-1,-1,-1
102507,1025,7,60,9000204&160,-1,-1,-1
102508,1025,8,70,9000205&200,-1,-1,-1
102509,1025,9,80,-1,-1,-1,-1
102801,1028,1,1,9000201&10,-1,-1,-1
102802,1028,2,10,9000201&20,-1,-1,-1
102803,1028,3,20,9000202&40,-1,-1,-1
102804,1028,4,30,9000202&60,-1,-1,-1
102805,1028,5,40,9000203&90,-1,-1,-1
102806,1028,6,50,9000203&120,-1,-1,-1
102807,1028,7,60,9000204&160,-1,-1,-1
102808,1028,8,70,9000205&200,-1,-1,-1
102809,1028,9,80,-1,-1,-1,-1
103001,1030,1,1,9000101&10,-1,-1,-1
103002,1030,2,10,9000101&20,-1,-1,-1
103003,1030,3,20,9000102&40,-1,-1,-1
103004,1030,4,30,9000102&60,-1,-1,-1
103005,1030,5,40,9000103&90,-1,-1,-1
103006,1030,6,50,9000103&120,-1,-1,-1
103007,1030,7,60,9000104&160,-1,-1,-1
103008,1030,8,70,9000105&200,-1,-1,-1
103009,1030,9,80,-1,-1,-1,-1
103501,1035,1,1,9000101&10,-1,-1,-1
103502,1035,2,10,9000101&20,-1,-1,-1
103503,1035,3,20,9000102&40,-1,-1,-1
103504,1035,4,30,9000102&60,-1,-1,-1
103505,1035,5,40,9000103&90,-1,-1,-1
103506,1035,6,50,9000103&120,-1,-1,-1
103507,1035,7,60,9000104&160,-1,-1,-1
103508,1035,8,70,9000105&200,-1,-1,-1
103509,1035,9,80,-1,-1,-1,-1
103601,1036,1,1,9000101&10,-1,-1,-1
103602,1036,2,10,9000101&20,-1,-1,-1
103603,1036,3,20,9000102&40,-1,-1,-1
103604,1036,4,30,9000102&60,-1,-1,-1
103605,1036,5,40,9000103&90,-1,-1,-1
103606,1036,6,50,9000103&120,-1,-1,-1
103607,1036,7,60,9000104&160,-1,-1,-1
103608,1036,8,70,9000105&200,-1,-1,-1
103609,1036,9,80,-1,-1,-1,-1
103801,1038,1,1,9000301&10,-1,-1,-1
103802,1038,2,10,9000301&20,-1,-1,-1
103803,1038,3,20,9000302&40,-1,-1,-1
103804,1038,4,30,9000302&60,-1,-1,-1
103805,1038,5,40,9000303&90,-1,-1,-1
103806,1038,6,50,9000303&120,-1,-1,-1
103807,1038,7,60,9000304&160,-1,-1,-1
103808,1038,8,70,9000305&200,-1,-1,-1
103809,1038,9,80,-1,-1,-1,-1
103901,1039,1,1,9000101&10,-1,-1,-1
103902,1039,2,10,9000101&20,-1,-1,-1
103903,1039,3,20,9000102&40,-1,-1,-1
103904,1039,4,30,9000102&60,-1,-1,-1
103905,1039,5,40,9000103&90,-1,-1,-1
103906,1039,6,50,9000103&120,-1,-1,-1
103907,1039,7,60,9000104&160,-1,-1,-1
103908,1039,8,70,9000105&200,-1,-1,-1
103909,1039,9,80,-1,-1,-1,-1
104201,1042,1,1,9000301&10,-1,-1,-1
104202,1042,2,10,9000301&20,-1,-1,-1
104203,1042,3,20,9000302&40,-1,-1,-1
104204,1042,4,30,9000302&60,-1,-1,-1
104205,1042,5,40,9000303&90,-1,-1,-1
104206,1042,6,50,9000303&120,-1,-1,-1
104207,1042,7,60,9000304&160,-1,-1,-1
104208,1042,8,70,9000305&200,-1,-1,-1
104209,1042,9,80,-1,-1,-1,-1
104401,1044,1,1,9000101&10,-1,-1,-1
104402,1044,2,10,9000101&20,-1,-1,-1
104403,1044,3,20,9000102&40,-1,-1,-1
104404,1044,4,30,9000102&60,-1,-1,-1
104405,1044,5,40,9000103&90,-1,-1,-1
104406,1044,6,50,9000103&120,-1,-1,-1
104407,1044,7,60,9000104&160,-1,-1,-1
104408,1044,8,70,9000105&200,-1,-1,-1
104409,1044,9,80,-1,-1,-1,-1
104501,1045,1,1,9000301&10,-1,-1,-1
104502,1045,2,10,9000301&20,-1,-1,-1
104503,1045,3,20,9000302&40,-1,-1,-1
104504,1045,4,30,9000302&60,-1,-1,-1
104505,1045,5,40,9000303&90,-1,-1,-1
104506,1045,6,50,9000303&120,-1,-1,-1
104507,1045,7,60,9000304&160,-1,-1,-1
104508,1045,8,70,9000305&200,-1,-1,-1
104509,1045,9,80,-1,-1,-1,-1
