id,中配,日配
104,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-55.077,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-55.077
105,event:/FightEffect/BossFight/Heinrich/Heinrich_Mutate_5,event:/FightEffect/BossFight/Heinrich/Heinrich_Mutate_5_JP
106,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_death_1-10.025,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_death_1-10.025
107,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_death_1-10.153,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_death_1-10.153
108,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_death_1-11.034,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_death_1-11.034
109,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_death_1-12.432,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_death_1-12.432
110,event:/FightEffect/BossFight/Heinrich/Heinrich_Mutate_2,event:/FightEffect/BossFight/Heinrich/Heinrich_Mutate_2_JP
111,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-50.668,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-50.668
112,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-50.069,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-50.069
113,event:/GameBgm/MusicBook-Heinrich_1,event:/GameBgm/MusicBook-Heinrich_1
114,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-50.668,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-50.668
115,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-51.695,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-51.695
116,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-52.864,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-52.864
117,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-53.321,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-53.321
118,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-55.077,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-55.077
119,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-56.154,event:/FightEffect/BossFight/Heinrich/haiyinlixi_2_enter_0-56.154
120,event:/FightEffect/BossFight/Hertha/Hertha_Attack_0ms,event:/FightEffect/BossFight/Hertha/Hertha_Attack_0ms
121,event:/FightEffect/BossFight/Hertha/Hertha_Attack_632ms,event:/FightEffect/BossFight/Hertha/Hertha_Attack_632ms
122,event:/FightEffect/BossFight/Hertha/Hertha_Attack_2987ms,event:/FightEffect/BossFight/Hertha/Hertha_Attack_2987ms
123,event:/FightEffect/BossFight/Hertha/Hertha_skill01_0ms,event:/FightEffect/BossFight/Hertha/Hertha_skill01_0ms
124,event:/FightEffect/BossFight/Hertha/Hertha_skill01_1571ms,event:/FightEffect/BossFight/Hertha/Hertha_skill01_1571ms
125,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Int,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Int
126,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Whoosh,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Whoosh
127,event:/FightEffect/BossFight/Karina/Karina-Cloth-Whoosh,event:/FightEffect/BossFight/Karina/Karina-Cloth-Whoosh
128,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Int,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Int
129,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Whoosh,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Whoosh
130,event:/FightEffect/BossFight/Karina/Karina-Cloth-Whoosh,event:/FightEffect/BossFight/Karina/Karina-Cloth-Whoosh
131,event:/FightEffect/BossFight/Karina/Karina-Cloth-Whoosh,event:/FightEffect/BossFight/Karina/Karina-Cloth-Whoosh
132,event:/FightEffect/BossFight/Karina/Karina-Bodyfall,event:/FightEffect/BossFight/Karina/Karina-Bodyfall
133,event:/FightEffect/BossFight/Karina/Karina-entrance,event:/FightEffect/BossFight/Karina/Karina-entrance
134,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Int,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Int
135,event:/FightEffect/BossFight/Karina/Karina_1,event:/FightEffect/BossFight/Karina/Karina_1_JP
136,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Whoosh,event:/FightEffect/BossFight/Karina/Karina-Chainsaw-Whoosh
137,event:/FightEffect/BossFight/Karina/Karina-Cloth-Whoosh,event:/FightEffect/BossFight/Karina/Karina-Cloth-Whoosh
138,event:/FightEffect/BossFight/Karina/Karina-M-attack03,event:/FightEffect/BossFight/Karina/Karina-M-attack03
139,event:/FightEffect/BossFight/Karina/Karina_Mutate_3,event:/FightEffect/BossFight/Karina/Karina_Mutate_3_JP
140,event:/FightEffect/BossFight/Karina/Karina-M-Death,event:/FightEffect/BossFight/Karina/Karina-M-Death
141,event:/FightEffect/BossFight/Karina/Karina-M-entrance-001,event:/FightEffect/BossFight/Karina/Karina-M-entrance-001
142,event:/FightEffect/BossFight/Karina/Karina-M-entrance-002,event:/FightEffect/BossFight/Karina/Karina-M-entrance-002
143,event:/FightEffect/BossFight/Karina/Karina-M-entrance-003,event:/FightEffect/BossFight/Karina/Karina-M-entrance-003
144,event:/FightEffect/BossFight/Karina/Karina-M-entrance-004,event:/FightEffect/BossFight/Karina/Karina-M-entrance-004
145,event:/FightEffect/BossFight/Karina/Karina_Mutate_2,event:/FightEffect/BossFight/Karina/Karina_Mutate_2_JP
146,event:/FightEffect/BossFight/Karina/Karina-M-skill02,event:/FightEffect/BossFight/Karina/Karina-M-skill02
147,event:/FightEffect/BossFight/Karina/Karina_Mutate_1,event:/FightEffect/BossFight/Karina/Karina_Mutate_1_JP
148,event:/FightEffect/BossFight/Karina/Karina-M-skill03-001,event:/FightEffect/BossFight/Karina/Karina-M-skill03-001
149,event:/FightEffect/BossFight/Karina/Karina-M-skill03-002,event:/FightEffect/BossFight/Karina/Karina-M-skill03-002
150,event:/FightEffect/BossFight/Sibyl/Sibyl-11,event:/FightEffect/BossFight/Sibyl/Sibyl-11
151,event:/FightEffect/BossFight/Sibyl/Sibyl-12,event:/FightEffect/BossFight/Sibyl/Sibyl-12
152,event:/FightEffect/BossFight/Sibyl/Sibyl-21,event:/FightEffect/BossFight/Sibyl/Sibyl-21
153,event:/FightEffect/BossFight/Sibyl/Sibyl-22,event:/FightEffect/BossFight/Sibyl/Sibyl-22
154,event:/FightEffect/BossFight/Rodrigo/Rodrigo_1,event:/FightEffect/BossFight/Rodrigo/Rodrigo_1_JP
155,event:/FightEffect/BossFight/Rodrigo/Rodrigo-att1-1,event:/FightEffect/BossFight/Rodrigo/Rodrigo-att1-1
156,event:/FightEffect/BossFight/Rodrigo/Rodrigo-att1-2,event:/FightEffect/BossFight/Rodrigo/Rodrigo-att1-2
157,event:/FightEffect/BossFight/Rodrigo/Rodrigo-att1-3,event:/FightEffect/BossFight/Rodrigo/Rodrigo-att1-3
158,event:/FightEffect/BossFight/Rodrigo/Rodrigo-change,event:/FightEffect/BossFight/Rodrigo/Rodrigo-change
159,event:/FightEffect/BossFight/Rodrigo/Rodrigo_3,event:/FightEffect/BossFight/Rodrigo/Rodrigo_3_JP
160,event:/GameBgm/MusicBook-Lodrigo_1,event:/GameBgm/MusicBook-Lodrigo_1
161,event:/FightEffect/BossFight/Rodrigo/Rodrigo_Mutate_4,event:/FightEffect/BossFight/Rodrigo/Rodrigo_Mutate_4_JP
162,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-death,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-death
163,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-crawl,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-crawl
164,event:/FightEffect/BossFight/Rodrigo/Rodrigo_Mutate_1,event:/FightEffect/BossFight/Rodrigo/Rodrigo_Mutate_1_JP
165,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill1-1,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill1-1
166,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill1-2,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill1-2
167,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill2and3,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill2and3
168,event:/FightEffect/BossFight/Rodrigo/Rodrigo_Mutate_3,event:/FightEffect/BossFight/Rodrigo/Rodrigo_Mutate_3_JP
169,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill2and3,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill2and3
170,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill4,event:/FightEffect/BossFight/Rodrigo/Rodrigo-M-skill4_JP
171,event:/FightEffect/BossFight/Shana/Shana-knife-1,event:/FightEffect/BossFight/Shana/Shana-knife-1
172,event:/FightEffect/BossFight/Shana/Shana-death,event:/FightEffect/BossFight/Shana/Shana-death
173,event:/FightEffect/BossFight/JohnYass/JohnYass-death,event:/FightEffect/BossFight/JohnYass/JohnYass-death
174,event:/FightEffect/BossFight/JohnYass/JohnYass-foley,event:/FightEffect/BossFight/JohnYass/JohnYass-foley
175,event:/FightEffect/BossFight/JohnYass/JohnYass-triple,event:/FightEffect/BossFight/JohnYass/JohnYass-triple
176,event:/FightEffect/BossFight/Rodrigo/Rodrigo_Mutate_1,event:/FightEffect/BossFight/Rodrigo/Rodrigo_Mutate_1_JP
177,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_7,event:/FightEffect/BossFight/Beholder/EvilEyeNazar_7_JP
178,event:/FightEffect/BossFight/Minos/Minos_1,event:/FightEffect/BossFight/Minos/Minos_1_JP
179,event:/FightEffect/BossFight/Minos/Minos_2,event:/FightEffect/BossFight/Minos/Minos_2_JP
180,event:/FightEffect/BossFight/Minos/Minos_3,event:/FightEffect/BossFight/Minos/Minos_3_JP
181,event:/FightEffect/BossFight/Minos/Minos_4,event:/FightEffect/BossFight/Minos/Minos_4_JP
182,event:/FightEffect/BossFight/Minos/Minos_5,event:/FightEffect/BossFight/Minos/Minos_5_JP
183,event:/FightEffect/BossFight/Minos/Minos_6,event:/FightEffect/BossFight/Minos/Minos_6_JP
184,event:/FightEffect/BossFight/Minos/Minos_7,event:/FightEffect/BossFight/Minos/Minos_7_JP
185,event:/FightEffect/BossFight/Minos/Minos_entrance,event:/FightEffect/BossFight/Minos/Minos_entrance
186,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_1_1,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_1_1
187,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_1_2,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_1_2
188,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_1_3,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_1_3
189,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_1_4,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_1_4
190,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_1,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_1
191,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_2,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_2
192,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_3,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_3
193,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_4,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_4
194,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_5,event:/FightEffect/BossFight/Dantalion/Dantalion_skill_2_5
195,event:/FightEffect/BossFight/Dantalion/Dantalion_entrance,event:/FightEffect/BossFight/Dantalion/Dantalion_entrance
196,event:/FightEffect/BossFight/Dantalion/Dantalion_1,event:/FightEffect/BossFight/Dantalion/Dantalion_1_JP
197,event:/FightEffect/BossFight/Dantalion/Dantalion_2,event:/FightEffect/BossFight/Dantalion/Dantalion_2_JP
198,event:/FightEffect/BossFight/Dantalion/Dantalion_3,event:/FightEffect/BossFight/Dantalion/Dantalion_3_JP
199,event:/FightEffect/BossFight/Dantalion/Dantalion_4,event:/FightEffect/BossFight/Dantalion/Dantalion_4_JP
200,event:/FightEffect/BossFight/Dantalion/Dantalion_5,event:/FightEffect/BossFight/Dantalion/Dantalion_5_JP
201,event:/FightEffect/BossFight/Dantalion/Dantalion_6,event:/FightEffect/BossFight/Dantalion/Dantalion_6_JP
202,event:/FightEffect/BossFight/Dantalion/Dantalion_7,event:/FightEffect/BossFight/Dantalion/Dantalion_7_JP
203,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_enter,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_enter_JP
204,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_skill1,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_skill1_JP
205,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_skill2,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_skill2_JP
206,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_skill3,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_skill3_JP
207,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_death,event:/FightEffect/BossFight/Janusia/Janusia_Boss_VO_death_JP
1000,event:/GameEffect/WitchSound/1001-skill_play,event:/GameEffect/WitchSound/JP/1001-skill_play_JP
1001,event:/GameEffect/WitchSound/1002-skill_play,event:/GameEffect/WitchSound/JP/1002-skill_play_JP
1002,event:/GameEffect/WitchSound/1003-skill_play,event:/GameEffect/WitchSound/JP/1003-skill_play_JP
1003,event:/GameEffect/WitchSound/1004-skill_play,event:/GameEffect/WitchSound/JP/1004-skill_play_JP
1004,event:/GameEffect/WitchSound/1005-skill_play,event:/GameEffect/WitchSound/JP/1005-skill_play_JP
1005,event:/GameEffect/WitchSound/1006-skill_play,event:/GameEffect/WitchSound/JP/1006-skill_play_JP
1006,event:/GameEffect/WitchSound/1007-skill_play,event:/GameEffect/WitchSound/JP/1007-skill_play_JP
1007,event:/GameEffect/WitchSound/1008-skill_play,event:/GameEffect/WitchSound/JP/1008-skill_play_JP
1008,event:/GameEffect/WitchSound/1009-skill_play,event:/GameEffect/WitchSound/JP/1009-skill_play_JP
