id,任务类型,时间id,任务重置周期,任务条件一,条件二
1205401,12054,0,1,-2,-2
1205402,12054,0,0,-2,-2
1205403,12054,101,0,-2,-2
1205404,12054,90001,0,-2,-2
1206101,12061,0,0,-2,-2
1206102,12061,90001,0,-2,-2
1210101,12101,0,0,-2,-2
1250201,12502,0,1,-2,-2
1250202,12502,0,0,-2,-2
1250203,12502,101,0,-2,-2
1250301,12503,0,0,8,-2
1250302,12503,0,0,6,-2
1250303,12503,0,0,4,-2
1300101,13001,0,1,4,-2
1300102,13001,0,0,10,-2
1300103,13001,0,0,4,-2
1300104,13001,0,2,9,-2
1300105,13001,0,1,2,-2
1300106,13001,0,2,10,-2
1300107,13001,0,2,4,-2
1301101,13011,0,2,201,-2
1301102,13011,0,2,203,-2
1301103,13011,0,2,205,-2
1301104,13011,0,2,204,-2
1301105,13011,0,1,901,-2
1301106,13011,0,1,902,-2
1301107,13011,0,1,102,-2
1301108,13011,0,0,204,-2
1301109,13011,0,0,201,-2
1301110,13011,0,0,203,-2
1301111,13011,0,0,205,-2
1301112,13011,101,0,802,-2
1310101,13101,0,2,4,1
1310102,13101,0,0,4,1
1310201,13102,0,1,1,-2
1310202,13102,0,1,2,-2
1310203,13102,0,1,3,-2
1310204,13102,0,0,1,-2
1310205,13102,0,0,2,-2
1310206,13102,0,0,3,-2
1310207,13102,12345,1,1,-2
1311101,13111,0,0,4,-2
1311102,13111,0,2,4,-2
1312101,13121,0,2,4,-2
1312102,13121,0,0,4,-2
1313101,13131,0,2,4,-2
1313102,13131,0,0,4,-2
1330101,13301,0,0,-2,-2
1330201,13302,0,2,2,-2
1330202,13302,0,1,3,-2
1330301,13303,0,1,4,-2
1330302,13303,0,0,8,-2
1350601,13506,0,2,1,-2
1350602,13506,0,0,0,-2
1350701,13507,0,2,-2,-2
1350801,13508,0,2,-2,-2
1360101,13601,0,0,-2,-2
1400101,14001,0,0,1,-2
1400102,14001,0,0,3,-2
1400103,14001,0,0,5,-2
1400104,14001,0,0,2,-2
1400105,14001,0,0,4,-2
1400106,14001,0,0,6,-2
1400301,14003,0,0,21,-2
1400501,14005,0,0,-2,-2
1410101,14101,0,1,-2,-2
1410102,14101,0,0,-2,-2
1410103,14101,101,0,-2,-2
1410104,14101,0,2,-2,-2
1410201,14102,0,0,-2,-2
1420101,14201,101,0,2002,-2
1420102,14201,90001,0,1010,-2
1500101,15001,0,0,1010001,-2
1501101,15011,0,1,1000098,-2
1501102,15011,0,1,1000001,-2
1501103,15011,0,0,1000098,-2
1501104,15011,0,0,1000001,-2
1501105,15011,12345,1,1000098,-2
1501106,15011,12345,1,1000002,-2
1501107,15011,0,2,1000098,-2
1501108,15011,0,0,8999998,-2
1501109,15011,0,0,8999995,-2
1501301,15013,0,1,702,-2
1501302,15013,0,1,710,-2
1510301,15103,0,2,201,-2
200301,2003,0,0,1002,-2
202501,2025,0,0,1001,-2
204301,2043,0,0,1001,-2
205501,2055,0,0,1001,-2
1205601,12056,0,0,1001,-2
210501,2105,0,0,1,-2
210701,2107,0,0,4,-2
1100901,11009,0,1,101,-2
1100902,11009,0,0,101,-2
1315101,13151,0,0,330007,-2
1315102,13151,0,0,330003,-2
1315103,13151,0,0,330001,-2
1360201,13602,0,0,-2,-2
1316101,13161,0,0,110608,-2
1316201,13162,0,0,401,-2
