层数,通关奖励,通关遗物奖励,周结算奖励,词缀使用
13,995013,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&20|1027&20|1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1041&25|1042&25|1043&25|1049&25|1050&25|1051&25|1052&25|1053&25|1057&25,996013,1|2
14,995014,-1,996014,1|2
15,995015,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&20|1027&20|1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1041&25|1042&25|1043&25|1049&25|1050&25|1051&25|1052&25|1053&25|1057&25,996015,1|2
16,995016,-1,996016,1|2
17,995017,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&20|1027&20|1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1041&25|1042&25|1043&25|1049&25|1050&25|1051&25|1052&25|1053&25|1057&25,996017,1|2
18,995018,-1,996018,1|2
19,995019,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&20|1027&20|1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1041&25|1042&25|1043&25|1049&25|1050&25|1051&25|1052&25|1053&25|1057&25,996019,1|2
20,995020,-1,996020,1|2
21,995021,1058&20|1059&20|1060&20|1061&20|1062&20|1063&20|1064&20|1065&20|1066&20|1067&20|1068&20|1069&20|1070&20|1071&20|1072&20|1073&20|1074&20|1081&20|1082&20|1083&20|1084&20,996021,1|2
22,995022,-1,996022,1|2
23,995023,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&0|1027&0|1028&45|1029&45|1030&45|1031&45|1032&45|1033&45|1034&45|1035&45|1036&45|1037&45|1038&45|1039&45|1041&45|1042&45|1043&45|1049&45|1050&45|1051&45|1052&45|1053&45|1057&45,996023,1|2
24,995024,-1,996024,1|2
25,995025,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&0|1027&0|1028&45|1029&45|1030&45|1031&45|1032&45|1033&45|1034&45|1035&45|1036&45|1037&45|1038&45|1039&45|1041&45|1042&45|1043&45|1049&45|1050&45|1051&45|1052&45|1053&45|1057&45,996025,1|2|3
26,995026,-1,996026,1|2|3
27,995027,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&0|1027&0|1028&45|1029&45|1030&45|1031&45|1032&45|1033&45|1034&45|1035&45|1036&45|1037&45|1038&45|1039&45|1041&45|1042&45|1043&45|1049&45|1050&45|1051&45|1052&45|1053&45|1057&45,996027,1|2|3
28,995028,-1,996028,1|2|3
29,995029,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&0|1027&0|1028&45|1029&45|1030&45|1031&45|1032&45|1033&45|1034&45|1035&45|1036&45|1037&45|1038&45|1039&45|1041&45|1042&45|1043&45|1049&45|1050&45|1051&45|1052&45|1053&45|1057&45,996029,1|2|3
30,995030,-1,996030,1|2|3
31,995031,1058&20|1059&20|1060&20|1061&20|1062&20|1063&20|1064&20|1065&20|1066&20|1067&20|1068&20|1069&20|1070&20|1071&20|1072&20|1073&20|1074&20|1075&20|1076&20|1077&20|1078&20|1079&20|1080&20|1081&20|1082&20|1083&20|1084&20,996031,1|2|3
32,995032,-1,996032,1|2|3
33,995033,1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1041&25|1042&25|1043&25|1049&25|1050&25|1051&25|1052&25|1052&25|1053&25|1057&25|1058&20|1059&20|1060&20|1061&20|1062&20|1063&20|1064&20|1065&20|1066&20|1067&20|1068&20|1069&20|1071&20|1072&20|1073&20|1074&20|1076&20|1077&20|1079&20|1081&20|1082&20|1083&20|1084&20,996033,1|2|3
34,995034,-1,996034,1|2|3
35,995035,1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1041&25|1042&25|1043&25|1049&25|1050&25|1051&25|1052&25|1052&25|1053&25|1057&25|1058&20|1059&20|1060&20|1061&20|1062&20|1063&20|1064&20|1065&20|1066&20|1067&20|1068&20|1069&20|1071&20|1072&20|1073&20|1074&20|1076&20|1077&20|1079&20|1081&20|1082&20|1083&20|1084&20,996035,1|2|3
36,995036,-1,996036,1|2|3
37,995037,1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1041&25|1042&25|1043&25|1049&25|1050&25|1051&25|1052&25|1052&25|1053&25|1057&25|1058&20|1059&20|1060&20|1061&20|1062&20|1063&20|1064&20|1065&20|1066&20|1067&20|1068&20|1069&20|1071&20|1072&20|1073&20|1074&20|1076&20|1077&20|1079&20|1081&20|1082&20|1083&20|1084&20,996037,1|2|3
38,995038,-1,996038,1|2|3
39,995039,1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1041&25|1042&25|1043&25|1049&25|1050&25|1051&25|1052&25|1052&25|1053&25|1057&25|1058&20|1059&20|1060&20|1061&20|1062&20|1063&20|1064&20|1065&20|1066&20|1067&20|1068&20|1069&20|1071&20|1072&20|1073&20|1074&20|1076&20|1077&20|1079&20|1081&20|1082&20|1083&20|1084&20,996039,1|2|3
40,995040,-1,996040,1|2|3
