id,释放必杀音效,人物入场,人物受击,人物死亡,获得新英雄,释放必杀音效,人物入场,人物受击,人物死亡,获得新英雄
1009,event:/GameEffect/WitchSound/1009-skill_play,event:/GameEffect/WitchSound/1009-fade_play,event:/GameEffect/WitchSound/1009-hit_play,event:/GameEffect/WitchSound/1009-dead_play,event:/GameEffect/WitchSound/1009-GetNewHero,1008,1043,1078,1113,1148
1010,event:/GameEffect/WitchSound/1010-skill_play,event:/GameEffect/WitchSound/1010-fade_play,event:/GameEffect/WitchSound/1010-hit_play,event:/GameEffect/WitchSound/1010-dead_play,event:/GameEffect/WitchSound/1010-GetNewHero,1009,1044,1079,1114,1149
1011,event:/GameEffect/WitchSound/1011-skill_play,event:/GameEffect/WitchSound/1011-fade_play,event:/GameEffect/WitchSound/1011-hit_play,event:/GameEffect/WitchSound/1011-dead_play,event:/GameEffect/WitchSound/1011-GetNewHero,1010,1045,1080,1115,1150
1012,event:/GameEffect/WitchSound/1012-skill_play,event:/GameEffect/WitchSound/1012-fade_play,event:/GameEffect/WitchSound/1012-hit_play,event:/GameEffect/WitchSound/1012-dead_play,event:/GameEffect/WitchSound/1012-GetNewHero,1011,1046,1081,1116,1151
1013,event:/GameEffect/WitchSound/1013-skill_play,event:/GameEffect/WitchSound/1013-fade_play,event:/GameEffect/WitchSound/1013-hit_play,event:/GameEffect/WitchSound/1013-dead_play,event:/GameEffect/WitchSound/1013-GetNewHero,1012,1047,1082,1117,1152
1014,event:/GameEffect/WitchSound/1014-skill_play,event:/GameEffect/WitchSound/1014-fade_play,event:/GameEffect/WitchSound/1014-hit_play,event:/GameEffect/WitchSound/1014-dead_play,event:/GameEffect/WitchSound/1014-GetNewHero,1013,1048,1083,1118,1153
1015,event:/GameEffect/WitchSound/1015-skill_play,event:/GameEffect/WitchSound/1015-fade_play,event:/GameEffect/WitchSound/1015-hit_play,event:/GameEffect/WitchSound/1015-dead_play,event:/GameEffect/WitchSound/1015-GetNewHero,1014,1049,1084,1119,1154
1016,event:/GameEffect/WitchSound/1016-skill_play,event:/GameEffect/WitchSound/1016-fade_play,event:/GameEffect/WitchSound/1016-hit_play,event:/GameEffect/WitchSound/1016-dead_play,event:/GameEffect/WitchSound/1016-GetNewHero,1015,1050,1085,1120,1155
1017,event:/GameEffect/WitchSound/1017-skill_play,event:/GameEffect/WitchSound/1017-fade_play,event:/GameEffect/WitchSound/1017-hit_play,event:/GameEffect/WitchSound/1017-dead_play,event:/GameEffect/WitchSound/1017-GetNewHero,1016,1051,1086,1121,1156
1018,event:/GameEffect/WitchSound/1018-skill_play,event:/GameEffect/WitchSound/1018-fade_play,event:/GameEffect/WitchSound/1018-hit_play,event:/GameEffect/WitchSound/1018-dead_play,event:/GameEffect/WitchSound/1018-GetNewHero,1017,1052,1087,1122,1157
1019,event:/GameEffect/WitchSound/1019-skill_play,event:/GameEffect/WitchSound/1019-fade_play,event:/GameEffect/WitchSound/1019-hit_play,event:/GameEffect/WitchSound/1019-dead_play,event:/GameEffect/WitchSound/1019-GetNewHero,1018,1053,1088,1123,1158
1020,event:/GameEffect/WitchSound/1020-skill_play,event:/GameEffect/WitchSound/1020-fade_play,event:/GameEffect/WitchSound/1020-hit_play,event:/GameEffect/WitchSound/1020-dead_play,event:/GameEffect/WitchSound/1020-GetNewHero,1019,1054,1089,1124,1159
1021,event:/GameEffect/WitchSound/1021-skill_play,event:/GameEffect/WitchSound/1021-fade_play,event:/GameEffect/WitchSound/1021-hit_play,event:/GameEffect/WitchSound/1021-dead_play,event:/GameEffect/WitchSound/1021-GetNewHero,1020,1055,1090,1125,1160
1022,event:/GameEffect/WitchSound/1022-skill_play,event:/GameEffect/WitchSound/1022-fade_play,event:/GameEffect/WitchSound/1022-hit_play,event:/GameEffect/WitchSound/1022-dead_play,event:/GameEffect/WitchSound/1022-GetNewHero,1021,1056,1091,1126,1161
1023,event:/GameEffect/WitchSound/1023-skill_play,event:/GameEffect/WitchSound/1023-fade_play,event:/GameEffect/WitchSound/1023-hit_play,event:/GameEffect/WitchSound/1023-dead_play,event:/GameEffect/WitchSound/1023-GetNewHero,1022,1057,1092,1127,1162
1024,event:/GameEffect/WitchSound/1024-skill_play,event:/GameEffect/WitchSound/1024-fade_play,event:/GameEffect/WitchSound/1024-hit_play,event:/GameEffect/WitchSound/1024-dead_play,event:/GameEffect/WitchSound/1024-GetNewHero,1023,1058,1093,1128,1163
1025,event:/GameEffect/WitchSound/1025-skill_play,event:/GameEffect/WitchSound/1025-fade_play,event:/GameEffect/WitchSound/1025-hit_play,event:/GameEffect/WitchSound/1025-dead_play,event:/GameEffect/WitchSound/1025-GetNewHero,1024,1059,1094,1129,1164
1028,event:/GameEffect/WitchSound/1028-skill_play,event:/GameEffect/WitchSound/1028-fade_play,event:/GameEffect/WitchSound/1028-hit_play,event:/GameEffect/WitchSound/1028-dead_play,event:/GameEffect/WitchSound/1028-GetNewHero,1025,1060,1095,1130,1165
1030,event:/GameEffect/WitchSound/1030-skill_play,event:/GameEffect/WitchSound/1030-fade_play,event:/GameEffect/WitchSound/1030-hit_play,event:/GameEffect/WitchSound/1030-dead_play,event:/GameEffect/WitchSound/1030-GetNewHero,1026,1061,1096,1131,1166
1031,event:/GameEffect/WitchSound/1031-skill_play,event:/GameEffect/WitchSound/1031-fade_play,event:/GameEffect/WitchSound/1031-hit_play,event:/GameEffect/WitchSound/1031-dead_play,event:/GameEffect/WitchSound/1031-GetNewHero,1027,1062,1097,1132,1167
1035,event:/GameEffect/WitchSound/1035-skill_play,event:/GameEffect/WitchSound/1035-fade_play,event:/GameEffect/WitchSound/1035-hit_play,event:/GameEffect/WitchSound/1035-dead_play,event:/GameEffect/WitchSound/1035-GetNewHero,1028,1063,1098,1133,1168
1036,event:/GameEffect/WitchSound/1036-skill_play,event:/GameEffect/WitchSound/1036-fade_play,event:/GameEffect/WitchSound/1036-hit_play,event:/GameEffect/WitchSound/1036-dead_play,event:/GameEffect/WitchSound/1036-GetNewHero,1029,1064,1099,1134,1169
1038,event:/GameEffect/WitchSound/1038-skill_play,event:/GameEffect/WitchSound/1038-fade_play,event:/GameEffect/WitchSound/1038-hit_play,event:/GameEffect/WitchSound/1038-dead_play,event:/GameEffect/WitchSound/1038-GetNewHero,1030,1065,1100,1135,1170
1039,event:/GameEffect/WitchSound/1039-skill_play,event:/GameEffect/WitchSound/1039-fade_play,event:/GameEffect/WitchSound/1039-hit_play,event:/GameEffect/WitchSound/1039-dead_play,event:/GameEffect/WitchSound/1039-GetNewHero,1031,1066,1101,1136,1171
1042,event:/GameEffect/WitchSound/1042-skill_play,event:/GameEffect/WitchSound/1042-fade_play,event:/GameEffect/WitchSound/1042-hit_play,event:/GameEffect/WitchSound/1042-dead_play,event:/GameEffect/WitchSound/1042-GetNewHero,1032,1067,1102,1137,1172
1044,event:/GameEffect/WitchSound/1044-skill_play,event:/GameEffect/WitchSound/1044-fade_play,event:/GameEffect/WitchSound/1044-hit_play,event:/GameEffect/WitchSound/1044-dead_play,event:/GameEffect/WitchSound/1044-GetNewHero,1033,1068,1103,-1,1173
1045,event:/GameEffect/WitchSound/1045-skill_play,event:/GameEffect/WitchSound/1045-fade_play,event:/GameEffect/WitchSound/1045-hit_play,event:/GameEffect/WitchSound/1045-dead_play,event:/GameEffect/WitchSound/1045-GetNewHero,1034,1069,1104,1139,1174
1050,event:/GameEffect/WitchSound/1050-skill_play,event:/GameEffect/WitchSound/1050-fade_play,event:/GameEffect/WitchSound/1050-hit_play,event:/GameEffect/WitchSound/1050-dead_play,event:/GameEffect/WitchSound/1050-GetNewHero,105001,105002,105003,105004,105005
1026,event:/GameEffect/WitchSound/1026-skill_play,event:/GameEffect/WitchSound/1026-fade_play,event:/GameEffect/WitchSound/1026-hit_play,event:/GameEffect/WitchSound/1026-dead_play,event:/GameEffect/WitchSound/1026-GetNewHero,102601,102602,102603,102604,102605
