ID,敌人震动,地形震动,魔女震动,弹幕震动,屏幕滤镜,屏幕震动强度,屏幕震动时间
1035001,-1,-1,-1,-1,-1,0.3,0.15
1036001,-1,-1,-1,-1,-1,0.3,0.15
1038001,-1,-1,-1,-1,-1,0.3,0.1
1039001,-1,-1,-1,-1,-1,0.2,0.15
1042001,-1,-1,-1,-1,-1,0.15,0.15
1042002,-1,-1,-1,-1,-1,0.2,0.1
1042003,-1,-1,-1,-1,-1,0.1,0.08
1044001,0.1|0.4,-1,-1,-1,2|4.3|0.23|0.45|0.85|0.5,0.125,0.15
1044002,-1,-1,0.04|4.3,0.2|4.3,2|4.3|0.23|0.45|0.81|0.5,-1,-1
1044003,0.3|0.5,-1,0.4|0.5,1.2|0.5,-1,-1,-1
1045001,-1,-1,-1,-1,-1,0.15,0.1
1031001,-1,-1,-1,-1,-1,0.15,0.1
1050001,-1,-1,-1,-1,-1,0.1,0.08
123006,-1,-1,-1,-1,-1,0.1,0.15
123002,-1,-1,-1,-1,-1,0.1,0.15
123005,-1,-1,-1,-1,-1,0.3,0.5
66001,0.04|0.1,-1,-1,-1,-1,0.05,0.05
66002,0.04|0.1,-1,-1,-1,-1,0.1,0.1
66003,0.04|0.1,-1,-1,-1,-1,0.15,0.15
66004,0.04|0.1,-1,-1,-1,-1,0.3,0.1
