唯一id,关卡id,怪物id,波数,波数批次,第几个,掉落1,掉落2,掉落3,掉落4,掉落5
51,100503,0,1,6,1,20001&10000,-1,-1,-1,-1
52,100503,0,2,2,1,20002&10000,-1,-1,-1,-1
53,100503,0,3,1,1,20001&10000,-1,-1,-1,-1
54,100503,0,5,1,1,20005&10000,-1,-1,-1,-1
55,100504,0,2,1,1,20001&10000,-1,-1,-1,-1
56,100504,0,2,4,1,20002&10000,-1,-1,-1,-1
57,100504,0,3,1,1,20001&10000,-1,-1,-1,-1
58,100505,0,1,6,1,20001&10000,-1,-1,-1,-1
59,100505,0,2,2,1,20002&10000,-1,-1,-1,-1
60,100505,0,3,1,1,20001&10000,-1,-1,-1,-1
61,100505,0,6,1,1,20005&10000,-1,-1,-1,-1
62,100506,0,2,1,1,20001&10000,-1,-1,-1,-1
63,100506,0,2,4,1,20002&10000,-1,-1,-1,-1
64,100506,0,3,1,1,20001&10000,-1,-1,-1,-1
65,100507,0,1,6,1,20001&10000,-1,-1,-1,-1
66,100507,0,2,2,1,20002&10000,-1,-1,-1,-1
67,100507,0,3,1,1,20001&10000,-1,-1,-1,-1
68,100507,0,4,1,1,20002&10000,-1,-1,-1,-1
69,100508,0,2,1,1,20001&10000,-1,-1,-1,-1
70,100508,0,2,4,1,20002&10000,-1,-1,-1,-1
71,100508,0,2,5,1,20001&10000,-1,-1,-1,-1
72,100601,0,3,6,1,20001&10000,-1,-1,-1,-1
73,100601,0,4,6,1,20002&10000,-1,-1,-1,-1
74,100601,0,6,6,1,20001&10000,-1,-1,-1,-1
75,100601,0,8,1,1,20005&10000,-1,-1,-1,-1
76,100602,0,2,6,1,20001&10000,-1,-1,-1,-1
77,100602,0,4,6,1,20002&10000,-1,-1,-1,-1
78,100602,0,5,6,1,20001&10000,-1,-1,-1,-1
79,100603,0,2,6,1,20001&10000,-1,-1,-1,-1
80,100603,0,3,6,1,20002&10000,-1,-1,-1,-1
81,100603,0,5,6,1,20001&10000,-1,-1,-1,-1
82,100603,0,6,1,1,20005&10000,-1,-1,-1,-1
83,100604,0,2,6,1,20001&10000,-1,-1,-1,-1
84,100604,0,4,6,1,20002&10000,-1,-1,-1,-1
85,100604,0,5,6,1,20001&10000,-1,-1,-1,-1
86,100605,0,2,6,1,20001&10000,-1,-1,-1,-1
87,100605,0,3,6,1,20002&10000,-1,-1,-1,-1
88,100605,0,5,6,1,20001&10000,-1,-1,-1,-1
89,100605,0,7,1,1,20005&10000,-1,-1,-1,-1
90,100606,0,2,6,1,20001&10000,-1,-1,-1,-1
91,100606,0,4,6,1,20002&10000,-1,-1,-1,-1
92,100606,0,5,6,1,20001&10000,-1,-1,-1,-1
93,100607,0,2,6,1,20001&10000,-1,-1,-1,-1
94,100607,0,3,6,1,20002&10000,-1,-1,-1,-1
95,100607,0,5,6,1,20001&10000,-1,-1,-1,-1
96,100607,0,6,1,1,20005&10000,-1,-1,-1,-1
97,100608,0,2,6,1,20001&10000,-1,-1,-1,-1
98,100608,0,4,6,1,20002&10000,-1,-1,-1,-1
99,100608,0,5,6,1,20001&10000,-1,-1,-1,-1
100,100701,0,3,6,1,20001&10000,-1,-1,-1,-1
101,100701,0,4,6,1,20002&10000,-1,-1,-1,-1
102,100701,0,6,6,1,20001&10000,-1,-1,-1,-1
103,100701,0,8,1,1,20005&10000,-1,-1,-1,-1
104,100704,0,2,6,1,20001&10000,-1,-1,-1,-1
105,100704,0,4,6,1,20002&10000,-1,-1,-1,-1
106,100704,0,5,6,1,20001&10000,-1,-1,-1,-1
107,100705,0,2,6,1,20001&10000,-1,-1,-1,-1
108,100705,0,3,6,1,20002&10000,-1,-1,-1,-1
109,100705,0,5,6,1,20001&10000,-1,-1,-1,-1
110,100705,0,7,1,1,20005&10000,-1,-1,-1,-1
111,100706,0,2,6,1,20001&10000,-1,-1,-1,-1
112,100706,0,4,6,1,20002&10000,-1,-1,-1,-1
113,100706,0,5,6,1,20001&10000,-1,-1,-1,-1
114,100707,0,2,6,1,20001&10000,-1,-1,-1,-1
115,100707,0,3,6,1,20002&10000,-1,-1,-1,-1
116,100707,0,5,6,1,20001&10000,-1,-1,-1,-1
117,100707,0,6,1,1,20005&10000,-1,-1,-1,-1
118,100708,0,2,6,1,20001&10000,-1,-1,-1,-1
119,100708,0,4,3,1,20002&10000,-1,-1,-1,-1
120,100708,0,5,1,1,20001&10000,-1,-1,-1,-1
121,100801,0,3,4,1,20001&10000,-1,-1,-1,-1
122,100801,0,4,1,1,20002&10000,-1,-1,-1,-1
123,100801,0,6,4,1,20001&10000,-1,-1,-1,-1
124,100801,0,9,1,1,20005&10000,-1,-1,-1,-1
125,100802,0,2,4,1,20001&10000,-1,-1,-1,-1
126,100802,0,4,4,1,20002&10000,-1,-1,-1,-1
127,100802,0,5,4,1,20001&10000,-1,-1,-1,-1
128,100803,0,2,4,1,20001&10000,-1,-1,-1,-1
129,100803,0,3,6,1,20002&10000,-1,-1,-1,-1
130,100803,0,5,4,1,20001&10000,-1,-1,-1,-1
131,100803,0,6,1,1,20005&10000,-1,-1,-1,-1
132,100804,0,2,4,1,20001&10000,-1,-1,-1,-1
133,100804,0,4,4,1,20002&10000,-1,-1,-1,-1
134,100804,0,5,4,1,20001&10000,-1,-1,-1,-1
135,100805,0,2,4,1,20001&10000,-1,-1,-1,-1
136,100805,0,3,6,1,20002&10000,-1,-1,-1,-1
137,100805,0,5,4,1,20001&10000,-1,-1,-1,-1
138,100805,0,7,1,1,20005&10000,-1,-1,-1,-1
139,100806,0,2,4,1,20001&10000,-1,-1,-1,-1
140,100806,0,4,4,1,20002&10000,-1,-1,-1,-1
141,100806,0,5,4,1,20001&10000,-1,-1,-1,-1
142,100807,0,2,4,1,20001&10000,-1,-1,-1,-1
143,100807,0,3,6,1,20002&10000,-1,-1,-1,-1
144,100807,0,5,4,1,20001&10000,-1,-1,-1,-1
145,100807,0,6,1,1,20005&10000,-1,-1,-1,-1
146,100808,0,2,4,1,20001&10000,-1,-1,-1,-1
147,100808,0,4,3,1,20002&10000,-1,-1,-1,-1
148,100808,0,5,1,1,20001&10000,-1,-1,-1,-1
149,100901,0,3,4,1,20001&10000,-1,-1,-1,-1
150,100901,0,4,1,1,20002&10000,-1,-1,-1,-1
151,100901,0,6,4,1,20001&10000,-1,-1,-1,-1
152,100901,0,7,1,1,20005&10000,-1,-1,-1,-1
153,100902,0,2,4,1,20001&10000,-1,-1,-1,-1
154,100902,0,4,4,1,20002&10000,-1,-1,-1,-1
155,100902,0,5,4,1,20001&10000,-1,-1,-1,-1
156,100903,0,2,4,1,20001&10000,-1,-1,-1,-1
157,100903,0,3,6,1,20002&10000,-1,-1,-1,-1
158,100903,0,5,4,1,20001&10000,-1,-1,-1,-1
159,100903,0,6,1,1,20005&10000,-1,-1,-1,-1
160,100904,0,2,4,1,20001&10000,-1,-1,-1,-1
161,100904,0,4,4,1,20002&10000,-1,-1,-1,-1
162,100904,0,5,4,1,20001&10000,-1,-1,-1,-1
163,100905,0,2,4,1,20001&10000,-1,-1,-1,-1
164,100905,0,3,6,1,20002&10000,-1,-1,-1,-1
165,100905,0,5,4,1,20001&10000,-1,-1,-1,-1
166,100905,0,7,1,1,20005&10000,-1,-1,-1,-1
167,100906,0,2,4,1,20001&10000,-1,-1,-1,-1
168,100906,0,4,4,1,20002&10000,-1,-1,-1,-1
169,100906,0,5,4,1,20001&10000,-1,-1,-1,-1
170,100907,0,2,4,1,20001&10000,-1,-1,-1,-1
171,100907,0,3,6,1,20002&10000,-1,-1,-1,-1
172,100907,0,5,4,1,20001&10000,-1,-1,-1,-1
173,100907,0,6,2,1,20005&10000,-1,-1,-1,-1
174,100908,0,2,4,1,20001&10000,-1,-1,-1,-1
175,100908,0,4,3,1,20002&10000,-1,-1,-1,-1
176,100908,0,5,1,1,20001&10000,-1,-1,-1,-1
177,101001,0,2,4,1,20001&10000,-1,-1,-1,-1
178,101001,0,3,4,1,20002&10000,-1,-1,-1,-1
179,101001,0,5,4,1,20001&10000,-1,-1,-1,-1
180,101001,0,8,1,1,20005&10000,-1,-1,-1,-1
181,101001,0,9,1,1,20005&10000,-1,-1,-1,-1
182,101002,0,2,4,1,20001&10000,-1,-1,-1,-1
183,101002,0,3,4,1,20002&10000,-1,-1,-1,-1
184,101002,0,6,4,1,20001&10000,-1,-1,-1,-1
185,101003,0,1,4,1,20001&10000,-1,-1,-1,-1
186,101003,0,2,4,1,20002&10000,-1,-1,-1,-1
187,101003,0,5,4,1,20001&10000,-1,-1,-1,-1
188,101003,0,7,1,1,20005&10000,-1,-1,-1,-1
189,101004,0,2,4,1,20001&10000,-1,-1,-1,-1
190,101004,0,3,4,1,20002&10000,-1,-1,-1,-1
191,101004,0,6,4,1,20001&10000,-1,-1,-1,-1
192,101005,0,1,4,1,20001&10000,-1,-1,-1,-1
193,101005,0,2,4,1,20002&10000,-1,-1,-1,-1
194,101005,0,4,4,1,20001&10000,-1,-1,-1,-1
195,101005,0,8,1,1,20005&10000,-1,-1,-1,-1
196,101006,0,2,4,1,20001&10000,-1,-1,-1,-1
197,101006,0,3,4,1,20002&10000,-1,-1,-1,-1
198,101006,0,6,4,1,20001&10000,-1,-1,-1,-1
199,101007,0,1,4,1,20001&10000,-1,-1,-1,-1
200,101007,0,2,4,1,20002&10000,-1,-1,-1,-1
201,101007,0,5,4,1,20001&10000,-1,-1,-1,-1
202,101007,0,7,1,1,20005&10000,-1,-1,-1,-1
203,101008,0,2,2,1,20001&10000,-1,-1,-1,-1
204,101008,0,3,4,1,20002&10000,-1,-1,-1,-1
205,101008,0,6,4,1,20001&10000,-1,-1,-1,-1
206,101101,0,2,4,1,20001&10000,-1,-1,-1,-1
207,101101,0,3,4,1,20002&10000,-1,-1,-1,-1
208,101101,0,6,4,1,20001&10000,-1,-1,-1,-1
209,101101,0,9,1,1,20005&10000,-1,-1,-1,-1
210,101101,0,10,1,1,20005&10000,-1,-1,-1,-1
211,101102,0,2,4,1,20001&10000,-1,-1,-1,-1
212,101102,0,3,4,1,20002&10000,-1,-1,-1,-1
213,101102,0,6,4,1,20001&10000,-1,-1,-1,-1
214,101103,0,1,4,1,20001&10000,-1,-1,-1,-1
215,101103,0,2,4,1,20002&10000,-1,-1,-1,-1
216,101103,0,5,4,1,20001&10000,-1,-1,-1,-1
217,101103,0,8,1,1,20005&10000,-1,-1,-1,-1
218,101104,0,2,4,1,20001&10000,-1,-1,-1,-1
219,101104,0,3,4,1,20002&10000,-1,-1,-1,-1
220,101104,0,6,4,1,20001&10000,-1,-1,-1,-1
221,101105,0,1,4,1,20001&10000,-1,-1,-1,-1
222,101105,0,2,4,1,20002&10000,-1,-1,-1,-1
223,101105,0,5,4,1,20001&10000,-1,-1,-1,-1
224,101105,0,9,1,1,20005&10000,-1,-1,-1,-1
225,101106,0,2,4,1,20001&10000,-1,-1,-1,-1
226,101106,0,3,4,1,20002&10000,-1,-1,-1,-1
227,101106,0,6,4,1,20001&10000,-1,-1,-1,-1
228,101107,0,1,4,1,20001&10000,-1,-1,-1,-1
229,101107,0,2,4,1,20002&10000,-1,-1,-1,-1
230,101107,0,5,4,1,20001&10000,-1,-1,-1,-1
231,101107,0,8,1,1,20005&10000,-1,-1,-1,-1
232,101108,0,2,2,1,20001&10000,-1,-1,-1,-1
233,101108,0,3,4,1,20002&10000,-1,-1,-1,-1
234,101108,0,6,4,1,20001&10000,-1,-1,-1,-1
235,110201,0,2,6,1,20001&10000,-1,-1,-1,-1
236,110201,0,3,2,1,20002&10000,-1,-1,-1,-1
237,110201,0,4,1,1,20001&10000,-1,-1,-1,-1
238,110201,0,7,1,1,20005&10000,-1,-1,-1,-1
239,110202,0,2,1,1,20001&10000,-1,-1,-1,-1
240,110202,0,2,4,1,20002&10000,-1,-1,-1,-1
241,110202,0,3,1,1,20001&10000,-1,-1,-1,-1
242,110203,0,1,6,1,20001&10000,-1,-1,-1,-1
243,110203,0,2,2,1,20002&10000,-1,-1,-1,-1
244,110203,0,3,1,1,20001&10000,-1,-1,-1,-1
245,110204,0,2,1,1,20001&10000,-1,-1,-1,-1
246,110204,0,2,4,1,20002&10000,-1,-1,-1,-1
247,110204,0,3,1,1,20001&10000,-1,-1,-1,-1
248,110205,0,1,6,1,20001&10000,-1,-1,-1,-1
249,110205,0,2,2,1,20002&10000,-1,-1,-1,-1
250,110205,0,3,1,1,20001&10000,-1,-1,-1,-1
251,110205,0,6,1,1,20005&10000,-1,-1,-1,-1
252,110206,0,2,1,1,20001&10000,-1,-1,-1,-1
253,110206,0,2,4,1,20002&10000,-1,-1,-1,-1
254,110206,0,3,1,1,20001&10000,-1,-1,-1,-1
255,110207,0,1,6,1,20001&10000,-1,-1,-1,-1
256,110207,0,2,2,1,20002&10000,-1,-1,-1,-1
257,110207,0,3,1,1,20001&10000,-1,-1,-1,-1
258,110208,0,2,1,1,20001&10000,-1,-1,-1,-1
259,110208,0,2,4,1,20002&10000,-1,-1,-1,-1
260,110208,0,2,5,1,20001&10000,-1,-1,-1,-1
261,110301,0,3,1,1,20001&10000,-1,-1,-1,-1
262,110301,0,4,1,1,20002&10000,-1,-1,-1,-1
263,110301,0,5,1,1,20001&10000,-1,-1,-1,-1
264,110301,0,6,1,1,20005&10000,-1,-1,-1,-1
265,110302,0,2,1,1,20001&10000,-1,-1,-1,-1
266,110302,0,3,1,1,20002&10000,-1,-1,-1,-1
267,110302,0,5,1,1,20001&10000,-1,-1,-1,-1
268,110303,0,4,1,1,20001&10000,-1,-1,-1,-1
269,110303,0,5,1,1,20002&10000,-1,-1,-1,-1
270,110304,0,2,1,1,20005&10000,-1,-1,-1,-1
271,110304,0,3,1,1,20001&10000,-1,-1,-1,-1
272,110304,0,5,1,1,20001&10000,-1,-1,-1,-1
273,110305,0,1,1,1,20002&10000,-1,-1,-1,-1
274,110305,0,2,1,1,20001&10000,-1,-1,-1,-1
275,110305,0,3,1,1,20001&10000,-1,-1,-1,-1
276,110305,0,5,1,1,20002&10000,-1,-1,-1,-1
277,110306,0,4,1,1,20001&10000,-1,-1,-1,-1
278,110307,0,1,1,1,20002&10000,-1,-1,-1,-1
279,110307,0,2,1,1,20001&10000,-1,-1,-1,-1
280,110307,0,4,1,1,20001&10000,-1,-1,-1,-1
281,110307,0,5,1,1,20002&10000,-1,-1,-1,-1
282,110308,0,2,1,1,20005&10000,-1,-1,-1,-1
283,110308,0,3,1,1,20001&10000,-1,-1,-1,-1
284,110401,0,2,1,1,20001&10000,-1,-1,-1,-1
285,110401,0,3,1,1,20002&10000,-1,-1,-1,-1
286,110401,0,5,1,1,20001&10000,-1,-1,-1,-1
287,110401,0,6,1,1,20001&10000,-1,-1,-1,-1
288,110402,0,2,1,1,20002&10000,-1,-1,-1,-1
289,110402,0,3,1,1,20005&10000,-1,-1,-1,-1
290,110403,0,2,1,1,20001&10000,-1,-1,-1,-1
291,110403,0,3,1,1,20001&10000,-1,-1,-1,-1
292,110403,0,4,1,1,20002&10000,-1,-1,-1,-1
293,110403,0,6,1,1,20001&10000,-1,-1,-1,-1
294,110405,0,2,1,1,20001&10000,-1,-1,-1,-1
295,110405,0,3,1,1,20002&10000,-1,-1,-1,-1
296,110405,0,4,1,4,20001&10000,-1,-1,-1,-1
297,110405,0,6,1,1,20005&10000,-1,-1,-1,-1
298,110406,0,2,1,1,20001&10000,-1,-1,-1,-1
299,110406,0,3,1,1,20002&10000,-1,-1,-1,-1
300,110407,0,2,1,1,20001&10000,-1,-1,-1,-1
301,110407,0,3,1,1,20001&10000,-1,-1,-1,-1
302,110407,0,5,1,1,20002&10000,-1,-1,-1,-1
303,110407,0,6,1,4,20005&10000,-1,-1,-1,-1
304,110408,0,2,1,1,20001&10000,-1,-1,-1,-1
305,110408,0,3,1,1,20001&10000,-1,-1,-1,-1
306,110501,0,2,6,1,20001&10000,-1,-1,-1,-1
307,110501,0,3,2,1,20002&10000,-1,-1,-1,-1
308,110501,0,4,1,1,20001&10000,-1,-1,-1,-1
309,110501,0,7,1,1,20005&10000,-1,-1,-1,-1
310,110502,0,2,1,1,20001&10000,-1,-1,-1,-1
311,110502,0,2,4,1,20002&10000,-1,-1,-1,-1
312,110502,0,3,1,1,20001&10000,-1,-1,-1,-1
313,110503,0,1,6,1,20001&10000,-1,-1,-1,-1
314,110503,0,2,2,1,20002&10000,-1,-1,-1,-1
315,110503,0,3,1,1,20001&10000,-1,-1,-1,-1
316,110503,0,5,1,1,20005&10000,-1,-1,-1,-1
317,110504,0,2,1,1,20001&10000,-1,-1,-1,-1
318,110504,0,2,4,1,20002&10000,-1,-1,-1,-1
319,110504,0,3,1,1,20001&10000,-1,-1,-1,-1
320,110505,0,1,6,1,20001&10000,-1,-1,-1,-1
321,110505,0,2,2,1,20002&10000,-1,-1,-1,-1
322,110505,0,3,1,1,20001&10000,-1,-1,-1,-1
323,110505,0,6,1,1,20005&10000,-1,-1,-1,-1
324,110506,0,2,1,1,20001&10000,-1,-1,-1,-1
325,110506,0,2,4,1,20002&10000,-1,-1,-1,-1
326,110506,0,3,1,1,20001&10000,-1,-1,-1,-1
327,110507,0,1,6,1,20001&10000,-1,-1,-1,-1
328,110507,0,2,2,1,20002&10000,-1,-1,-1,-1
329,110507,0,3,1,1,20001&10000,-1,-1,-1,-1
330,110507,0,4,1,1,20002&10000,-1,-1,-1,-1
331,110508,0,2,1,1,20001&10000,-1,-1,-1,-1
332,110508,0,2,4,1,20002&10000,-1,-1,-1,-1
333,110508,0,2,5,1,20001&10000,-1,-1,-1,-1
334,110601,0,3,6,1,20001&10000,-1,-1,-1,-1
335,110601,0,4,6,1,20002&10000,-1,-1,-1,-1
336,110601,0,6,6,1,20001&10000,-1,-1,-1,-1
337,110601,0,8,1,1,20005&10000,-1,-1,-1,-1
338,110602,0,2,6,1,20001&10000,-1,-1,-1,-1
339,110602,0,4,6,1,20002&10000,-1,-1,-1,-1
340,110602,0,5,6,1,20001&10000,-1,-1,-1,-1
341,110603,0,2,6,1,20001&10000,-1,-1,-1,-1
342,110603,0,3,6,1,20002&10000,-1,-1,-1,-1
343,110603,0,5,6,1,20001&10000,-1,-1,-1,-1
344,110603,0,6,1,1,20005&10000,-1,-1,-1,-1
345,110604,0,2,6,1,20001&10000,-1,-1,-1,-1
346,110604,0,4,6,1,20002&10000,-1,-1,-1,-1
347,110604,0,5,6,1,20001&10000,-1,-1,-1,-1
348,110605,0,2,6,1,20001&10000,-1,-1,-1,-1
349,110605,0,3,6,1,20002&10000,-1,-1,-1,-1
350,110605,0,5,6,1,20001&10000,-1,-1,-1,-1
351,110605,0,7,1,1,20005&10000,-1,-1,-1,-1
352,110606,0,2,6,1,20001&10000,-1,-1,-1,-1
353,110606,0,4,6,1,20002&10000,-1,-1,-1,-1
354,110606,0,5,6,1,20001&10000,-1,-1,-1,-1
355,110607,0,2,6,1,20001&10000,-1,-1,-1,-1
356,110607,0,3,6,1,20002&10000,-1,-1,-1,-1
357,110607,0,5,6,1,20001&10000,-1,-1,-1,-1
358,110607,0,6,1,1,20005&10000,-1,-1,-1,-1
359,110608,0,2,6,1,20001&10000,-1,-1,-1,-1
360,110608,0,4,6,1,20002&10000,-1,-1,-1,-1
361,110608,0,5,5,1,20001&10000,-1,-1,-1,-1
362,110701,0,3,6,1,20001&10000,-1,-1,-1,-1
363,110701,0,4,6,1,20002&10000,-1,-1,-1,-1
364,110701,0,6,6,1,20001&10000,-1,-1,-1,-1
365,110701,0,8,1,1,20005&10000,-1,-1,-1,-1
366,110702,0,2,6,1,20001&10000,-1,-1,-1,-1
367,110702,0,4,6,1,20002&10000,-1,-1,-1,-1
368,110702,0,5,6,1,20001&10000,-1,-1,-1,-1
369,110704,0,2,6,1,20001&10000,-1,-1,-1,-1
370,110704,0,4,6,1,20002&10000,-1,-1,-1,-1
371,110704,0,5,6,1,20001&10000,-1,-1,-1,-1
372,110705,0,2,6,1,20001&10000,-1,-1,-1,-1
373,110705,0,3,6,1,20002&10000,-1,-1,-1,-1
374,110705,0,5,6,1,20001&10000,-1,-1,-1,-1
375,110705,0,7,1,1,20005&10000,-1,-1,-1,-1
376,110706,0,2,6,1,20001&10000,-1,-1,-1,-1
377,110706,0,4,6,1,20002&10000,-1,-1,-1,-1
378,110706,0,5,6,1,20001&10000,-1,-1,-1,-1
379,110707,0,2,6,1,20001&10000,-1,-1,-1,-1
380,110707,0,3,6,1,20002&10000,-1,-1,-1,-1
381,110707,0,5,6,1,20001&10000,-1,-1,-1,-1
382,110707,0,6,1,1,20005&10000,-1,-1,-1,-1
383,110708,0,2,6,1,20001&10000,-1,-1,-1,-1
384,110708,0,4,3,1,20002&10000,-1,-1,-1,-1
385,110708,0,4,6,1,20001&10000,-1,-1,-1,-1
386,110801,0,3,4,1,20001&10000,-1,-1,-1,-1
387,110801,0,4,1,1,20002&10000,-1,-1,-1,-1
388,110801,0,6,4,1,20001&10000,-1,-1,-1,-1
389,110801,0,9,1,1,20005&10000,-1,-1,-1,-1
390,110802,0,2,4,1,20001&10000,-1,-1,-1,-1
391,110802,0,4,4,1,20002&10000,-1,-1,-1,-1
392,110802,0,5,4,1,20001&10000,-1,-1,-1,-1
393,110803,0,2,4,1,20001&10000,-1,-1,-1,-1
394,110803,0,3,6,1,20002&10000,-1,-1,-1,-1
395,110803,0,5,4,1,20001&10000,-1,-1,-1,-1
396,110803,0,6,1,1,20005&10000,-1,-1,-1,-1
397,110804,0,2,4,1,20001&10000,-1,-1,-1,-1
398,110804,0,4,4,1,20002&10000,-1,-1,-1,-1
399,110804,0,5,4,1,20001&10000,-1,-1,-1,-1
400,110805,0,2,4,1,20001&10000,-1,-1,-1,-1
401,110805,0,3,6,1,20002&10000,-1,-1,-1,-1
402,110805,0,5,4,1,20001&10000,-1,-1,-1,-1
403,110805,0,7,1,1,20005&10000,-1,-1,-1,-1
404,110806,0,2,4,1,20001&10000,-1,-1,-1,-1
405,110806,0,4,4,1,20002&10000,-1,-1,-1,-1
406,110806,0,5,4,1,20001&10000,-1,-1,-1,-1
407,110807,0,2,4,1,20001&10000,-1,-1,-1,-1
408,110807,0,3,6,1,20002&10000,-1,-1,-1,-1
409,110807,0,5,4,1,20001&10000,-1,-1,-1,-1
410,110807,0,6,1,1,20005&10000,-1,-1,-1,-1
411,110808,0,2,4,1,20001&10000,-1,-1,-1,-1
412,110808,0,4,3,1,20002&10000,-1,-1,-1,-1
413,110808,0,5,1,1,20001&10000,-1,-1,-1,-1
414,110901,0,3,4,1,20001&10000,-1,-1,-1,-1
415,110901,0,4,1,1,20002&10000,-1,-1,-1,-1
416,110901,0,6,4,1,20001&10000,-1,-1,-1,-1
417,110901,0,7,1,1,20005&10000,-1,-1,-1,-1
418,110902,0,2,4,1,20001&10000,-1,-1,-1,-1
419,110902,0,4,4,1,20002&10000,-1,-1,-1,-1
420,110902,0,5,4,1,20001&10000,-1,-1,-1,-1
421,110903,0,2,4,1,20001&10000,-1,-1,-1,-1
422,110903,0,3,6,1,20002&10000,-1,-1,-1,-1
423,110903,0,5,4,1,20001&10000,-1,-1,-1,-1
424,110903,0,6,1,1,20005&10000,-1,-1,-1,-1
425,110904,0,2,4,1,20001&10000,-1,-1,-1,-1
426,110904,0,4,4,1,20002&10000,-1,-1,-1,-1
427,110904,0,5,4,1,20001&10000,-1,-1,-1,-1
428,110905,0,2,4,1,20001&10000,-1,-1,-1,-1
429,110905,0,3,6,1,20002&10000,-1,-1,-1,-1
430,110905,0,5,4,1,20001&10000,-1,-1,-1,-1
431,110905,0,7,1,1,20005&10000,-1,-1,-1,-1
432,110906,0,2,4,1,20001&10000,-1,-1,-1,-1
433,110906,0,4,4,1,20002&10000,-1,-1,-1,-1
434,110906,0,5,4,1,20001&10000,-1,-1,-1,-1
435,110907,0,2,4,1,20001&10000,-1,-1,-1,-1
436,110907,0,3,6,1,20002&10000,-1,-1,-1,-1
437,110907,0,5,4,1,20001&10000,-1,-1,-1,-1
438,110907,0,6,2,1,20005&10000,-1,-1,-1,-1
439,110908,0,2,4,1,20001&10000,-1,-1,-1,-1
440,110908,0,4,3,1,20002&10000,-1,-1,-1,-1
441,110908,0,5,1,1,20001&10000,-1,-1,-1,-1
442,111001,0,2,4,1,20001&10000,-1,-1,-1,-1
443,111001,0,3,4,1,20002&10000,-1,-1,-1,-1
444,111001,0,5,4,1,20001&10000,-1,-1,-1,-1
445,111001,0,8,1,1,20005&10000,-1,-1,-1,-1
