ID,路径,类型,长度,Light(程序),场景特效,雾模式,雾【R/G/B/A/start/end】,云 【根据波次配置出现】,云
1026,M2_limbo04,1,0,prefab_light/M2_limbo04_Light,-1,1,80|25|75|255|75|225,-1,-1
1027,M2_desert01,0,550,prefab_light/M2_desert01_Light,-1,1,225|205|175|255|75|235,M2_Cloud_B_overcastsky|M2_Cloud_C_overcastsky,1|2
1028,M2_desert02,0,550,prefab_light/M2_desert02_Light,-1,1,145|65|50|255|70|210,M2_Cloud_B_redsun|M2_Cloud_C_redsun,1|2
1029,M2_desert03,1,0,prefab_light/M2_desert03_Light,-1,1,35|85|90|255|10.5|44.5,-1,-1
1030,M2_desert04,1,0,prefab_light/M2_desert04_Light,-1,1,135|35|15|255|25|275,-1,-1
1031,M2_desert02_daytime,0,550,prefab_light/M2_desert02_daytime_Light,-1,1,225|205|175|255|70|210,M2_Cloud_B_overcastsky|M2_Cloud_C_overcastsky,1|2
1032,M2_nightsea01,0,650,prefab_light/M2_nightsea01_Light,-1,1,100|100|100|255|-20|200,M2_Cloud_B_overcastsky|M2_Cloud_C_overcastsky,1|2
1033,M2_nightsea01_night,0,650,prefab_light/M2_nightsea01_night_Light,-1,1,30|25|50|255|-50|200,M2_Cloud_B_dark|M2_Cloud_C_dark,1|2
1034,M2_nightsea01_night,1,650,prefab_light/M2_nightsea01_night_Light,-1,1,30|25|50|255|-50|200,M2_Cloud_B_dark|M2_Cloud_C_dark,1|2
1035,M2_nightsea01_baozang,0,500,prefab_light/M2_nightsea01_baozang_Light,-1,1,55|60|40|255|-20|200,M2_Cloud_B_dark|M2_Cloud_C_dark,1|2
1036,M2_Heimamenni,1,0,prefab_light/M2_Heimamenni_Light,-1,1,115|115|115|255|30|100,M2_Cloud_B_dark|M2_Cloud_C_dark,1|2
1037,M2_shuangguan01,0,500,prefab_light/M2_shuangguan01_Light,-1,1,30|25|50|255|-50|200,M2_Cloud_B_dark|M2_Cloud_C_dark,1|2
1038,M2_nightingalewarp01,0,450,prefab_light/M2_nightingalewarp01_Light,-1,1,65|55|90|255|-50|200,M2_Cloud_B_purple|M2_Cloud_C_purple,1|2
1039,M2_nightingalewarp02,1,0,prefab_light/M2_nightingalewarp02_Light,-1,1,85|55|90|255|-45|225,-1,-1
1040,M2_Jidu01,0,450,prefab_light/M2_Jidu01_Light,-1,1,100|105|110|255|0|160,-1,-1
1041,M2_Jidu01_shenting,0,450,prefab_light/M2_Jidu01_shenting_Light,-1,1,175|115|65|255|0|160,-1,-1
1042,M2_desert05,0,573.5,prefab_light/M2_desert05_Light,-1,1,170|115|80|255|75|225,M2_Cloud_B_redsun|M2_Cloud_C_redsun,1|2
1043,M2_nightsea01_xueyue,1,0,prefab_light/M2_nightsea01_xueyue_Light,-1,1,30|25|50|255|-50|200,M2_Cloud_B_xueyue|M2_Cloud_C_xueyue,1|2
1044,M2_daily03_prison,1,0,prefab_light/M2_nightsea01_xueyue_Light,-1,1,15|15|30|255|60|300,-1,-1
