武器id,武器名称,武器描述,英文名称,ICON资源,符石唯一icon,种类,品质,星级,等级上限,获得途径(需修改）,武器专属类型,武器可装备系,升级魂晶需求系数,升级经验系数,升级经验组,装备出售经验返还系数,装备出售返还魂晶系数,装备被吞转换经验,升星材料,属性,属性加持类型,用于强化的经验,等级属性开启,初始属性,等级成长系数,品质加成,升星突破系数,套装系别参数,装备技能组id（指向EquipTalent表中的技能组ID）,商店价格,出售价格,养成属性上限,点击音效
7772632,777261,766261,WTF,SR2,105,2,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,2,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772633,777262,766261,WTF,SR3,105,3,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,3,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772634,777263,766261,WTF,SR4,105,4,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,4,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772635,777264,766261,WTF,SR5,105,5,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,5,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772636,777265,766261,WTF,SR6,105,6,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,5,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772641,777260,766261,WTF,SSR1,105,1,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,1,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772642,777261,766261,WTF,SSR2,105,2,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,2,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772643,777262,766261,WTF,SSR3,105,3,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,3,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772644,777263,766261,WTF,SSR4,105,4,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,4,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772645,777264,766261,WTF,SSR5,105,5,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,5,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7772646,777265,766261,WTF,SSR6,105,6,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,5,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,26,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770111,777010,766011,WTF,N1,101,1,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,1,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770112,777011,766011,WTF,N2,101,2,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,2,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770113,777012,766011,WTF,N3,101,3,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,3,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770114,777013,766011,WTF,N4,101,4,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,4,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770115,777014,766011,WTF,N5,101,5,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,5,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770116,777015,766011,WTF,N6,101,6,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,5,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770121,777010,766011,WTF,R1,101,1,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,1,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770122,777011,766011,WTF,R2,101,2,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,2,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770123,777012,766011,WTF,R3,101,3,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,3,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770124,777013,766011,WTF,R4,101,4,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,4,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770125,777014,766011,WTF,R5,101,5,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,5,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770126,777015,766011,WTF,R6,101,6,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,5,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770131,777010,766011,WTF,SR1,101,1,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,1,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770132,777011,766011,WTF,SR2,101,2,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,2,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770133,777012,766011,WTF,SR3,101,3,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,3,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770134,777013,766011,WTF,SR4,101,4,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,4,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770135,777014,766011,WTF,SR5,101,5,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,5,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770136,777015,766011,WTF,SR6,101,6,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,5,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770141,777010,766011,WTF,SSR1,101,1,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,1,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770142,777011,766011,WTF,SSR2,101,2,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,2,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770143,777012,766011,WTF,SSR3,101,3,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,3,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770144,777013,766011,WTF,SSR4,101,4,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,4,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770145,777014,766011,WTF,SSR5,101,5,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,5,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770146,777015,766011,WTF,SSR6,101,6,4,4,15,14&205&31001404|6&3&31000605,0,-1,20,10,4,1,0,1,5,0,-1,75,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,1,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770211,777020,766021,WTF,N1,102,1,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,1,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770212,777021,766021,WTF,N2,102,2,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,2,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770213,777022,766021,WTF,N3,102,3,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,3,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770214,777023,766021,WTF,N4,102,4,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,4,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770215,777024,766021,WTF,N5,102,5,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,5,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770216,777025,766021,WTF,N6,102,6,1,1,15,14&205&31001404,0,-1,20,10,1,1,0,1,5,0,-1,12,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770221,777020,766021,WTF,R1,102,1,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,1,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770222,777021,766021,WTF,R2,102,2,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,2,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770223,777022,766021,WTF,R3,102,3,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,3,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770224,777023,766021,WTF,R4,102,4,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,4,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770225,777024,766021,WTF,R5,102,5,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,5,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770226,777025,766021,WTF,R6,102,6,2,2,15,14&205&31001404,0,-1,20,10,2,1,0,1,5,0,-1,25,1&1|2&1|5&1|20&1|21&1|4&1,0,1&0.0227|2&0|3&0|4&0|5&0.005|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770231,777020,766021,WTF,SR1,102,1,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,1,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,1,1&0.023|2&0|3&0|4&0|5&0.0059|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770232,777021,766021,WTF,SR2,102,2,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,2,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,20,1&0|2&0.0071|3&0|4&0|5&0|20&0|21&2,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770233,777022,766021,WTF,SR3,102,3,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,3,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,2,1&0|2&0|3&0|4&0|5&0|20&2|21&4.5,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770234,777023,766021,WTF,SR4,102,4,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,4,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,21,1&0|2&0|3&0|4&2.25|5&0.0055|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
7770235,777024,766021,WTF,SR5,102,5,3,3,15,14&205&31001404|6&3&31000605,0,-1,20,10,3,1,0,1,5,0,-1,45,1&1|2&1|5&1|20&1|21&1|4&1,5,1&0.0033|2&0|3&0|4&0|5&0.0064|20&0|21&0,1&0|2&0|3&0|4&0|5&0|20&0|21&0,-1,2,-1,0&0,1000001&100,-1,event:/GameEffect/UIEffect/EquipXlsxCommon-Gem
