步骤id,大组id,小组id,下一个大组,引导类型,介绍面板,触发条件,完成条件,所在场景,引导强制圈可去除,引导范围,引导范围偏移,目标界面UID,点击的UI名称,结算界面退出指向,手指偏移位置,UI层级Order,对话文字,对话形象Spine,提交节点,引导掉落,是否触发点击事件,跳转指定魔女,是否允许跳过
70407,704,7,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelFightLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,1
70499,7041,1,0,3,tutorial_dir/source/img_xingshouyingdao_rchang_01,-1,-1,1,1,-1,-1,0,-1,0,-1,3300,-1,0,0,0,1,0,1
70498,7042,1,0,1,-1,-1,-1,1,1,-1,-1,0,-1,0,-1,3300,-1,0,0,0,1,0,1
70301,703,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170186,0,0,0,1,0,1
70302,703,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
70303,703,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/obj_tog_bg/show_type_2,0,-1,3300,-1,0,0,0,1,0,1
70304,703,4,0,1,-1,4&4,-1,2,1,960&200,5&0,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_2,0,-1,3300,10170187,0,0,0,1,0,1
70305,703,5,0,1,-1,-1,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelLayer/pnl_remain/button_click,0,-1,3300,10170185,0,0,0,1,0,1
70306,703,6,0,1,-1,4&4,-1,2,1,835&170,-1,0,prefab_canvas(Clone)/_layer/DailyLevelLayer/scrollview/viewport/content/item1/button_click,0,-1,3300,-1,0,0,0,1,0,1
70307,703,7,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelFightLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,1
70399,7031,1,0,3,tutorial_dir/source/img_xingshouyingdao_rchang_02,-1,-1,1,1,-1,-1,0,-1,0,-1,3300,-1,0,0,0,1,0,1
70398,7032,1,0,1,-1,-1,-1,1,1,-1,-1,0,-1,0,-1,3300,-1,0,0,0,1,0,1
70101,701,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170192,0,0,0,1,0,1
70102,701,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
70103,701,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/obj_tog_bg/show_type_2,0,-1,3300,-1,0,0,0,1,0,1
70104,701,4,0,1,-1,4&4,-1,2,1,960&200,5&0,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_3,0,-1,3300,10170194,0,0,0,1,0,1
70105,701,5,0,1,-1,-1,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelLayer/pnl_remain/button_click,0,-1,3300,10170193,0,0,0,1,0,1
70106,701,6,0,1,-1,4&4,-1,2,1,835&170,-1,0,prefab_canvas(Clone)/_layer/DailyLevelLayer/scrollview/viewport/content/item1/button_click,0,-1,3300,-1,0,0,0,1,0,1
70107,701,7,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelFightLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,1
70199,7011,1,0,3,tutorial_dir/source/img_xingshouyingdao_rchang_03,-1,-1,1,1,-1,-1,0,-1,0,-1,3300,-1,0,0,0,1,0,1
70501,705,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170195,0,0,0,1,0,1
70502,705,2,0,1,-1,-1,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
70503,705,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/obj_tog_bg/show_type_2,0,-1,3300,-1,0,0,0,1,0,1
70504,705,4,0,1,-1,4&4,-1,2,1,960&200,5&0,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_4,0,-1,3300,10170197,0,0,0,1,0,1
70505,705,5,0,1,-1,-1,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelLayer/pnl_remain/button_click,0,-1,3300,10170196,0,0,0,1,0,1
70506,705,6,0,1,-1,4&4,-1,2,1,835&170,-1,0,prefab_canvas(Clone)/_layer/DailyLevelLayer/scrollview/viewport/content/item1/button_click,0,-1,3300,-1,0,0,0,1,0,1
70507,705,7,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/DailyLevelFightLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,1
17001,801,1,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ArchiveMainLayer/container/ui_parent/ArchiveLayer/container/TableViewController/TableView/Content/cell_1/prefab_1,0,0&-200,3300,10170066,0,0,0,1,0,1
19001,1001,1,0,1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,3300,10170198,0,0,0,1,0,1
19002,1002,1,0,1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,3300,-1,0,0,0,1,0,1
19003,1003,1,0,1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,3300,-1,0,0,0,1,0,1
20001,1101,0,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170073,0,0,0,1,0,1
20002,1101,0,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFortress,0,50&-50,3300,10170074,0,0,0,1,0,1
20003,1101,0,0,2,-1,-1,-1,3,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,-1,3300,10170075,0,0,0,1,0,1
20004,1101,0,0,1,-1,-1,-1,3,1,-1,-1,0,prefab_canvas(Clone)/_layer/FortressLobbyLayer/Rooms/Room1,0,-1,3300,10170076,0,0,0,1,0,1
20005,1101,0,0,1,-1,-1,-1,3,1,-1,-1,0,prefab_canvas(Clone)/_layer/FortressMusicHallLayer/button_setting,0,-1,3300,10170077,0,0,0,1,0,1
20006,1101,0,0,1,-1,-1,-1,3,1,-1,-1,0,prefab_canvas(Clone)/_layer/FortressDispatchLayer/container/witches/heroitem_1,0,-1,3300,10170078,0,0,0,0,0,1
21001,1201,1,0,1,-1,4&4,-1,3,1,-1,-1,0,prefab_canvas(Clone)/_layer/PrepareLayer/content/ui_left/btn_instrument,0,-1,3300,10170079,0,0,0,0,0,1
21002,1201,2,0,1,-1,4&4,-1,3,1,-1,-1,0,prefab_canvas(Clone)/_layer/PrepareLayer/content/ui_left/btn_music_shop,0,-1,3300,10170080,0,0,0,0,0,1
21003,1201,3,0,1,-1,4&4,-1,3,1,-1,-1,0,prefab_canvas(Clone)/_layer/PrepareLayer/content/ui_right/btn_package,0,-1,3300,10170081,0,0,0,0,0,1
21004,1201,4,0,1,-1,4&4,-1,3,1,-1,-1,0,prefab_canvas(Clone)/_layer/PrepareLayer/content/ui_right/btn_task,0,-1,3300,10170082,0,0,0,0,0,1
130101,1301,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,-1,0,0,0,1,1001,1
130102,1301,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonWitch,0,-1,3300,10170188,0,0,0,1,0,1
130103,1301,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainWitchLayer/container/main_buttons/button_favour,0,-1,3300,-1,0,0,0,1,0,1
130104,1301,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,0&-500,3300,10170083,0,0,500104,1,0,1
130105,1301,5,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LibraryMainLayer/trans_ui_parent/FetterLayer/main_buttons/button_gift,0,-1,3300,10170084,0,0,0,1,0,1
130106,1301,6,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LibraryMainLayer/trans_ui_parent/GiftLayer/ListPanel/info/button_gift,0,-1,3300,10170085,0,0,0,1,0,1
130107,1301,7,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,0&-500,3300,-1,0,0,0,1,0,1
130108,1301,8,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LibraryMainLayer/trans_ui_parent/FetterLayer/btn_hide_gift,0,-1,3300,-1,0,0,0,1,0,1
130109,1301,9,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LibraryMainLayer/trans_ui_parent/FetterLayer/main_buttons/btn_sublimation,0,-1,3300,-1,0,0,0,1,0,1
130110,1301,10,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/_component/SublimationTipsLayer/trans_container/trans_scrub/trans_dialog/btn_close_layer,0,-1,3300,-1,0,0,0,1,0,1
130111,1301,11,0,1,-1,5&0.3,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LibraryMainLayer/trans_ui_parent/FetterLayer/main_buttons/btn_sublimation,0,-1,3300,10170086,0,0,0,1,0,1
130112,1301,12,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/_component/SublimationTipsLayer/trans_container/trans_sublimation/info_up/btn_sublimation,0,-1,3300,-1,0,0,0,1,0,1
130113,1301,13,0,1,-1,5&0,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/UI_MessageBox(Clone)/MainBox/SureButton,0,-1,4100,-1,0,0,0,1,0,1
130114,1301,14,0,1,-1,5&2,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/_component/SublimationTipsLayer/trans_container/trans_lock_back/trans_dialog/txt_next_tips,0,-1,3300,-1,0,0,0,1,0,1
130115,1301,15,0,1,-1,5&3,-1,2,-1,-1,-1,0,prefab_canvas(Clone)/_layer/_component/SublimationTipsLayer/trans_container/trans_lock_back/trans_dialog/txt_next_tips,0,-1,3300,-1,0,0,0,1,0,1
130116,1301,16,0,1,-1,5&0.5,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/CGetTipsLayer/button_back,0,0&-500,3300,-1,0,0,0,1,0,1
130117,1301,17,0,1,-1,5&0.2,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,1
130118,1301,18,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,1
130119,1301,19,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonFight,0,-1,3300,-1,0,0,0,1,0,1
130120,1301,20,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_1,0,-1,3300,-1,0,0,0,1,0,1
130121,1301,21,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ChapterLayer/trans_container/scrollview/viewport/content/cell_1,0,-1,3300,-1,0,0,0,1,0,1
130122,1301,22,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/LevelLayer/button_fight,0,-1,3300,-1,0,0,0,1,0,1
25001,1601,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,2,-1,3300,10170094,0,0,0,1,0,1
25002,1601,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/BackLayer/button_back,0,0&67,3300,-1,0,0,0,1,0,1
25003,1601,3,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/TableViewController/TableView/Content/cell_1,0,-1,3300,-1,0,0,0,1,0,1
25004,1601,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ChapterLayer/trans_container/trans_level_bg/btn_hard,0,-1,3300,10170097,0,0,0,1,0,1
25005,1601,5,0,1,-1,4&4,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ChapterLayer/trans_container/scrollview/viewport/content/cell_1,0,0&-100,3300,10170098,0,0,0,1,0,1
26001,1701,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170099,0,0,0,1,0,1
26002,1701,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/HomeLayer/Home_ButtonWitch,0,-1,3300,-1,0,0,0,1,1001,1
26003,1701,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainWitchLayer/container/info_mark/button_mark,0,-1,3300,10170101,0,0,0,1,0,1
29001,2001,1,0,1,-1,-1,-1,1,1,-1,-1,0,Canvas/FightWinLayer/button_back,1,-1,3300,10170117,0,0,0,1,0,1
29002,2001,2,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainLayer/Home_BottomPanel/Home_ButtonWitch,0,-1,3300,-1,0,0,0,1,1001,1
29003,2001,3,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/MainWitchLayer/main_buttons/button_info,0,-1,3300,-1,0,0,0,1,0,1
29004,2001,4,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchComLayer/childlayer/WitchInfoLayer/container/info_step/button_step,0,-1,3300,-1,0,0,0,1,0,1
29005,2001,5,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchStepLayer/container/info_step/button_step,0,-1,3300,10170121,0,0,0,1,0,1
29006,2001,6,0,1,-1,3&1308,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/WitchStepLayer/container/button_back,0,-1,3300,10170122,0,0,0,1,0,1
29007,2001,7,0,1,-1,4&4,-1,2,1,160&160,0&-45,0,prefab_canvas(Clone)/_layer/MainLayer/Home_BottomPanel/Home_ButtonFight,0,0&-39,3300,-1,0,0,0,1,0,1
29008,2001,8,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/PlotLayer/ScrollView/Viewport/Content/item1,0,-1,3300,-1,0,0,0,1,0,1
29009,2001,9,0,1,-1,-1,-1,2,1,-1,-1,0,prefab_canvas(Clone)/_layer/ChapterLayer/container/button_mode_102,0,-1,3300,10170125,0,0,0,1,0,1
