对话ID,回看头像id,名称,表情设置,字出现速度
10855,2000004,安迪,2,0.01
10856,2000004,安迪,2,0.01
10857,10090001,玛丽,4,0.01
10863,2000004,安迪,2,0.01
10864,2000004,安迪,2,0.01
10865,2000004,安迪,2,0.01
10867,10010001,安娜,1,0.01
10868,2000004,安迪,-1,0.01
10872,10010001,安娜,1,0.01
10873,10010001,安娜,1,0.01
10875,10090001,玛丽,5,0.01
10876,10030001,希贝尔,4,0.01
10877,10010001,安娜,6,0.01
10878,10030001,希贝尔,4,0.01
10879,10010001,安娜,6,0.01
10880,10440001,雅努西娅,11,0.01
10882,10090001,玛丽,4,0.01
10883,10090001,玛丽,4,0.01
10884,10010001,安娜,6,0.01
10885,2000004,安迪,2,0.01
10886,2000004,安迪,2,0.01
10887,110,？？？,-1,0.01
10888,110,？？？,-1,0.01
10897,10010001,安娜,6,0.01
10889,2000,安利丝,-1,0.01
10920,10090001,玛丽,4,0.01
10921,10010001,安娜,1,0.01
10922,2000004,安迪,2,0.01
10890,10100010,该阿法,-1,0.01
10900,10100010,该阿法,-1,0.01
10901,10100010,该阿法,-1,0.01
11170,10090001,玛丽,5,0.01
11180,10100010,该阿法,-1,0.01
11190,10090001,玛丽,4,0.01
11211,10100010,该阿法,-1,0.01
11220,10010001,安娜,5,0.01
11230,10100010,该阿法,-1,0.01
11260,10030001,希贝尔,5,0.01
11270,10030001,希贝尔,4,0.01
11310,10100010,该阿法,-1,0.01
11320,10090001,玛丽,-1,0.01
11330,10090001,玛丽,4,0.01
11340,10100010,该阿法,-1,0.01
11344,-1,-1,-1,0.01
11341,-1,-1,-1,0.01
11342,10100010,该阿法,-1,0.01
11343,10100010,该阿法,-1,0.01
12181,10090001,玛丽,5,0.01
12182,10010001,安娜,3,0.01
12183,10440001,雅努西娅,11,0.01
12184,10030001,希贝尔,6,0.01
12185,10090001,玛丽,5,0.01
12186,10030001,希贝尔,5,0.01
12187,10010001,安娜,3,0.01
12188,10440001,雅努西娅,11,0.01
12190,-1,-1,-1,0.01
12198,10100010,该阿法,-1,0.01
12191,10010001,安娜,5,0.01
12193,2000,安利丝,-1,0.01
12194,10010001,安娜,5,0.01
12196,10100010,该阿法,-1,0.01
12197,10100010,该阿法,-1,0.01
12310,10100010,该阿法,-1,0.01
12312,10010001,安娜,6,0.01
12320,-1,-1,-1,0.01
12330,-1,-1,-1,0.01
12340,-1,-1,-1,0.01
12314,10090001,玛丽,5,0.01
12315,10440001,雅努西娅,11,0.01
12316,10030001,希贝尔,5,0.01
12317,10100010,该阿法,-1,0.01
12318,10030001,希贝尔,5,0.01
12319,10100010,该阿法,-1,0.01
12321,10030001,希贝尔,4,0.01
12322,10100010,该阿法,-1,0.01
12323,10090001,玛丽,4,0.01
12324,10100010,该阿法,-1,0.01
12360,10090001,玛丽,5,0.01
12362,-1,-1,-1,0.01
12363,-1,-1,-1,0.01
12361,10030001,希贝尔,5,0.01
12370,10010001,安娜,5,0.01
12390,10440001,雅努西娅,5,0.01
12520,10090001,玛丽,4,0.01
12521,-1,-1,-1,0.01
12530,10090001,玛丽,4,0.01
12540,10010001,安娜,3,0.01
12550,10030001,希贝尔,4,0.01
12551,10090001,玛丽,4,0.01
12552,10030001,希贝尔,2,0.01
12553,10090001,玛丽,5,0.01
12554,10090001,玛丽,5,0.01
12555,10090001,玛丽,5,0.01
12556,10440001,雅努西娅,5,0.01
12557,10030001,希贝尔,5,0.01
12560,10010001,安娜,5,0.01
12570,10090001,玛丽,4,0.01
12571,-1,-1,-1,0.01
12580,10440001,雅努西娅,5,0.01
12590,10010001,安娜,-1,0.01
12600,10030001,希贝尔,-1,0.01
12610,10090001,玛丽,-1,0.01
12620,10090001,玛丽,-1,0.01
12630,-1,-1,-1,0.01
12640,-1,-1,-1,0.01
12650,-1,-1,-1,0.01
12660,-1,-1,-1,0.01
12670,-1,-1,-1,0.01
12680,-1,-1,-1,0.01
12690,-1,-1,-1,0.01
12700,-1,-1,-1,0.01
13000,-1,-1,-1,0.01
13100,-1,-1,-1,0.01
13180,110,？？？,-1,0.01
13190,1000,我,-1,0.01
13191,110,？？？,-1,0.01
13192,1000,我,-1,0.01
13193,110,？？？,-1,0.01
13200,110,？？？,-1,0.01
13210,1000,我,-1,0.01
13220,-1,-1,-1,0.01
13230,-1,-1,-1,0.01
13231,-1,-1,-1,0.01
13240,10010001,少女,-1,0.01
13250,2000,安利丝,-1,0.01
13260,10010001,少女,-1,0.01
13270,2000,安利丝,-1,0.01
13280,-1,-1,-1,0.01
13281,-1,-1,-1,0.01
13290,1000,我,-1,0.01
13291,-1,-1,-1,0.01
13300,10010001,安娜,6,0.01
13310,10010001,安娜,6,0.01
13320,-1,-1,-1,0.01
13321,-1,-1,-1,0.01
13330,-1,-1,-1,0.01
13332,-1,-1,-1,0.01
13350,2000,安利丝,-1,0.01
13360,10010001,安娜,5,0.01
13370,-1,-1,-1,0.01
13380,2000,安利丝,-1,0.01
13390,-1,-1,-1,0.01
13410,-1,-1,-1,0.01
13430,-1,-1,-1,0.01
13440,-1,-1,-1,0.01
13450,10010001,安娜,6,0.01
13460,-1,-1,-1,0.01
13470,10010001,安娜,6,0.01
13480,10010001,安娜,6,0.01
13490,-1,-1,-1,0.01
13500,-1,-1,-1,0.01
13510,-1,-1,-1,0.01
13520,-1,-1,-1,0.01
13540,-1,-1,-1,0.01
13550,-1,-1,-1,0.01
13640,10010001,安娜,7,0.01
13650,-1,-1,-1,0.01
13660,1000,我,-1,0.01
13670,10010001,安娜,6,0.01
13680,2000,安利丝,-1,0.01
13690,1000,我,-1,0.01
13700,10010001,安娜,7,0.01
13710,10010001,安娜,6,0.01
13720,10010001,安娜,3,0.01
13730,1000,我,-1,0.01
13740,-1,-1,-1,0.01
13770,2000,安利丝,-1,0.01
13780,2000,安利丝,-1,0.01
13790,-1,-1,-1,0.01
13800,10010001,安娜,14,0.01
13801,-1,-1,-1,0.01
13802,10010001,安娜,15,0.01
13803,2000,安利丝,-1,0.01
13804,1000,我,-1,0.01
13805,-1,-1,-1,0.01
13806,-1,-1,-1,0.01
13807,1000,我,-1,0.01
13810,1000,我,-1,0.01
13820,10010001,安娜,7,0.01
13830,1000,我,-1,0.01
13840,1000,我,-1,0.01
13850,1000,我,-1,0.01
13860,10010001,安娜,6,0.01
13870,1000,我,-1,0.01
13880,10010001,安娜,6,0.01
13890,1000,我,-1,0.01
13891,10010001,安娜,1,0.01
13900,1000,我,-1,0.01
13910,10010001,安娜,6,0.01
13920,-1,-1,-1,0.01
13950,1000,我,-1,0.01
13960,-1,-1,-1,0.01
13970,10010001,安娜,6,0.01
13980,2000,安利丝,-1,0.01
13990,10010001,安娜,14,0.01
14000,1000,我,-1,0.01
14010,10010001,安娜,7,0.01
14011,-1,-1,-1,0.01
14020,1000,我,-1,0.01
14021,10010001,安娜,15,0.01
14022,1000,我,-1,0.01
14030,1000,我,-1,0.01
14040,1000,我,-1,0.01
14050,1000,我,-1,0.01
14060,1000,我,-1,0.01
14070,10010001,安娜,6,0.01
14071,2000,安利丝,-1,0.01
14080,1000,我,-1,0.01
14090,2000,安利丝,-1,0.01
14100,1000,我,-1,0.01
14110,10010001,安娜,6,0.01
14120,2000,安利丝,-1,0.01
14130,10010001,安娜,1,0.01
14131,1000,我,-1,0.01
14140,10010001,安娜,1,0.01
14150,2000,安利丝,-1,0.01
14170,1000,我,-1,0.01
14180,1000,我,-1,0.01
14190,-1,-1,-1,0.01
14200,10010001,安娜,6,0.01
14210,2000,安利丝,-1,0.01
14220,10010001,安娜,6,0.01
14230,1000,我,-1,0.01
14240,1000,我,-1,0.01
14250,2000,安利丝,-1,0.01
14260,2000,安利丝,-1,0.01
14270,1000,我,-1,0.01
14280,10010001,安娜,6,0.01
14290,-1,-1,-1,0.01
14300,-1,-1,-1,0.01
14310,1000,我,-1,0.01
14320,2000,安利丝,-1,0.01
14330,10010001,安娜,6,0.01
14340,2000,安利丝,-1,0.01
14350,10010001,安娜,1,0.01
14351,1000,我,-1,0.01
14360,2000,安利丝,-1,0.01
14370,1000,我,-1,0.01
14380,2000,安利丝,-1,0.01
14390,2000,安利丝,-1,0.01
14400,1000,我,-1,0.01
14401,-1,-1,-1,0.01
14410,1000,我,-1,0.01
14420,10010001,安娜,6,0.01
14430,1000,我,-1,0.01
14440,2000,安利丝,-1,0.01
14450,10010001,安娜,7,0.01
14460,2000,安利丝,-1,0.01
14470,10010001,安娜,6,0.01
14480,10010001,安娜,6,0.01
14490,2000,安利丝,-1,0.01
14500,2000,安利丝,-1,0.01
14510,1000,我,-1,0.01
14520,-1,-1,-1,0.01
14540,1000,我,-1,0.01
14550,1000,我,-1,0.01
14560,1000,我,-1,0.01
14570,-1,-1,-1,0.01
14580,10010001,安娜,14,0.01
14590,10010001,安娜,14,0.01
14600,10010001,安娜,14,0.01
14610,-1,-1,-1,0.01
14620,1000,我,-1,0.01
14630,-1,-1,-1,0.01
14640,-1,-1,-1,0.01
14650,2000,安利丝,-1,0.01
14660,10010001,安娜,1,0.01
14670,2000,安利丝,-1,0.01
14680,10010001,安娜,8,0.01
14690,10010001,安娜,7,0.01
14700,-1,-1,-1,0.01
14710,2000,安利丝,-1,0.01
14720,1000,我,-1,0.01
14730,10010001,安娜,6,0.01
14731,2000,安利丝,-1,0.01
14740,10010001,安娜,7,0.01
14750,1000,我,-1,0.01
14751,2000,安利丝,-1,0.01
14760,-1,-1,-1,0.01
14761,-1,-1,-1,0.01
14770,1000,我,-1,0.01
14780,10010001,安娜,6,0.01
14790,1000,我,-1,0.01
14800,10010001,安娜,6,0.01
14810,-1,-1,-1,0.01
14820,1000,我,-1,0.01
14830,10010001,安娜,1,0.01
14840,1000,我,-1,0.01
14850,1000,我,-1,0.01
14860,10010001,安娜,1,0.01
14870,2000,安利丝,-1,0.01
14880,10010001,安娜,1,0.01
14890,10010001,安娜,1,0.01
14910,-1,-1,-1,0.01
14911,10010001,安娜,7,0.01
14920,2000,安利丝,-1,0.01
14940,10010001,安娜,7,0.01
14945,1000,我,-1,0.01
14950,10010001,安娜,8,0.01
14960,2000,安利丝,-1,0.01
14970,10010001,安娜,14,0.01
14980,2000,安利丝,-1,0.01
14990,10010001,安娜,5,0.01
15090,10030001,少女,-1,0.01
15100,-1,-1,-1,0.01
15110,-1,-1,-1,0.01
15120,-1,-1,-1,0.01
15130,-1,-1,-1,0.01
15140,10010001,安娜,7,0.01
15150,10010001,安娜,6,0.01
15160,10030001,希贝尔,-1,0.01
15170,10030001,希贝尔,6,0.01
15180,1000,我,-1,0.01
15190,-1,-1,-1,0.01
15200,10030001,希贝尔,-1,0.01
15210,10030001,希贝尔,2,0.01
15220,10010001,安娜,6,0.01
15230,10030001,希贝尔,4,0.01
15240,10030001,希贝尔,4,0.01
15250,-1,-1,-1,0.01
15260,10010001,安娜,6,0.01
15270,10030001,希贝尔,4,0.01
15280,10030001,希贝尔,4,0.01
15290,10030001,希贝尔,2,0.01
15300,1000,我,-1,0.01
15310,10030001,希贝尔,2,0.01
15320,10030001,希贝尔,2,0.01
15330,10010001,安娜,1,0.01
15340,1000,我,-1,0.01
15350,10030001,希贝尔,-1,0.01
15360,2000,安利丝,-1,0.01
15370,1000,我,-1,0.01
15380,10010001,安娜,6,0.01
15390,1000,我,-1,0.01
15400,10030001,希贝尔,6,0.01
15410,10030001,希贝尔,6,0.01
15420,10030001,希贝尔,-1,0.01
15430,1000,我,-1,0.01
15440,1000,我,-1,0.01
15450,10030001,希贝尔,4,0.01
15460,10010001,安娜,6,0.01
15470,10030001,希贝尔,4,0.01
15480,10030001,希贝尔,4,0.01
15490,1000,我,-1,0.01
15500,10010001,安娜,1,0.01
15510,10030001,希贝尔,2,0.01
15520,10030001,希贝尔,4,0.01
15530,10010001,安娜,1,0.01
15531,10030001,希贝尔,6,0.01
15540,10010001,安娜,14,0.01
15550,2000,安利丝,-1,0.01
15560,10010001,安娜,6,0.01
15590,10030001,希贝尔,5,0.01
15600,1000,我,-1,0.01
15610,10030001,希贝尔,-1,0.01
15620,10101009,魔物,-1,0.01
15630,10010001,安娜,6,0.01
15640,1000,我,-1,0.01
15650,1000,我,-1,0.01
15660,1000,我,-1,0.01
15670,10030001,希贝尔,4,0.01
15680,10010001,安娜,6,0.01
15690,2000,安利丝,-1,0.01
15700,1000,我,-1,0.01
15710,-1,-1,-1,0.01
15720,1000,我,-1,0.01
15730,-1,-1,-1,0.01
15740,10010001,安娜,7,0.01
15750,10030001,希贝尔,1,0.01
15760,2000,安利丝,-1,0.01
15770,10010001,安娜,14,0.01
15780,2000,安利丝,-1,0.01
15790,10010001,安娜,14,0.01
15791,10010001,安娜,7,0.01
15800,10030001,希贝尔,1,0.01
15810,10010001,安娜,6,0.01
15820,10030001,希贝尔,1,0.01
15830,10030001,希贝尔,9,0.01
15840,1000,我,-1,0.01
15850,1000,我,-1,0.01
15860,1000,我,-1,0.01
15870,1000,我,-1,0.01
15880,1000,我,-1,0.01
15890,1000,我,-1,0.01
15900,10030001,希贝尔,6,0.01
15910,10010001,安娜,7,0.01
15920,10010001,安娜,6,0.01
15930,10030001,希贝尔,1,0.01
15940,-1,-1,-1,0.01
15950,-1,-1,-1,0.01
15960,-1,-1,-1,0.01
15970,-1,-1,-1,0.01
15980,1000,我,-1,0.01
16000,10030001,希贝尔,-1,0.01
16010,10030001,希贝尔,-1,0.01
16020,1000,我,-1,0.01
16030,10030001,希贝尔,-1,0.01
16040,10030001,希贝尔,-1,0.01
16050,1000,我,-1,0.01
16060,10030001,希贝尔,4,0.01
16070,1000,我,-1,0.01
16080,10030001,希贝尔,6,0.01
16090,10030001,希贝尔,6,0.01
16100,1000,我,-1,0.01
16110,10030001,希贝尔,5,0.01
16120,10030001,希贝尔,5,0.01
16130,1000,我,-1,0.01
16140,1000,我,-1,0.01
16150,1000,我,-1,0.01
16151,1000,我,-1,0.01
16152,1000,我,-1,0.01
16153,1000,我,-1,0.01
16154,1000,我,-1,0.01
16170,1000,我,-1,0.01
16180,1000,我,-1,0.01
16190,10030001,希贝尔,-1,0.01
16200,1000,我,-1,0.01
16210,1000,我,-1,0.01
16220,1000,我,-1,0.01
16230,10030001,希贝尔,4,0.01
16240,10030001,希贝尔,5,0.01
16250,10030001,希贝尔,5,0.01
16251,10030001,希贝尔,4,0.01
16260,1000,我,-1,0.01
16270,10030001,希贝尔,6,0.01
16280,10010001,安娜,15,0.01
16290,10010001,安娜,14,0.01
16300,2000,安利丝,-1,0.01
16310,10010001,安娜,14,0.01
16320,10030001,希贝尔,-1,0.01
16330,10030001,希贝尔,-1,0.01
16340,10010001,安娜,6,0.01
16350,10030001,希贝尔,2,0.01
16360,10010001,安娜,8,0.01
16370,10010001,安娜,8,0.01
16380,10030001,希贝尔,2,0.01
16390,10030001,希贝尔,2,0.01
16400,1000,我,-1,0.01
16410,10030001,希贝尔,2,0.01
16420,10030001,希贝尔,-1,0.01
16430,10010001,安娜,7,0.01
16431,10010001,安娜,6,0.01
16440,10030001,希贝尔,-1,0.01
16450,10030001,希贝尔,-1,0.01
16460,10010001,安娜,6,0.01
16470,2000,安利丝,-1,0.01
16480,10010001,安娜,7,0.01
16481,2000,安利丝,-1,0.01
16482,10010001,安娜,1,0.01
16490,2000,安利丝,-1,0.01
16500,10010001,安娜,14,0.01
16510,2000,安利丝,-1,0.01
16520,10010001,安娜,14,0.01
16530,2000,安利丝,-1,0.01
16540,10010001,安娜,8,0.01
16550,-1,-1,-1,0.01
16551,10010001,安娜,7,0.01
16560,10030001,希贝尔,2,0.01
16570,-1,-1,-1,0.01
16580,1000,我,-1,0.01
16590,-1,-1,-1,0.01
16600,-1,-1,-1,0.01
16610,1000,我,-1,0.01
16620,10010001,安娜,7,0.01
16630,1000,我,-1,0.01
16640,-1,-1,-1,0.01
16650,-1,-1,-1,0.01
16670,1000,我,-1,0.01
16680,10030001,希贝尔,6,0.01
16690,1000,我,-1,0.01
16700,10010001,安娜,6,0.01
16710,1000,我,-1,0.01
16720,110,？？？,-1,0.01
16725,-1,-1,-1,0.01
16730,10030001,希贝尔,5,0.01
16740,110,？？？,-1,0.01
16750,10010001,安娜,8,0.01
16760,10010001,安娜,8,0.01
16770,110,？？？,-1,0.01
16780,10010001,安娜,8,0.01
16790,1000,我,-1,0.01
16800,-1,-1,-1,0.01
16810,10030001,希贝尔,5,0.01
16820,-1,-1,-1,0.01
16830,-1,-1,-1,0.01
16840,-1,-1,-1,0.01
16850,10010001,安娜,15,0.01
16860,10010001,安娜,15,0.01
16870,1000,我,-1,0.01
16880,10030001,希贝尔,4,0.01
16890,10010001,安娜,15,0.01
16900,10010001,安娜,6,0.01
16910,1000,我,-1,0.01
16920,10101013,温迪戈,-1,0.01
16930,10101013,温迪戈,-1,0.01
16940,10010001,安娜,6,0.01
16950,10101013,温迪戈,-1,0.01
16960,10101013,温迪戈,-1,0.01
16961,10101013,温迪戈,-1,0.01
16970,10030001,希贝尔,5,0.01
16980,10101013,温迪戈,-1,0.01
16990,1000,我,-1,0.01
17070,10101013,温迪戈,-1,0.01
17080,10101013,温迪戈,-1,0.01
17090,10010001,安娜,6,0.01
17100,10101013,温迪戈,-1,0.01
17120,1000,我,-1,0.01
17130,1000,我,-1,0.01
17140,10101013,温迪戈,-1,0.01
17160,10101013,温迪戈,-1,0.01
17170,10010001,安娜,6,0.01
17190,10101013,温迪戈,-1,0.01
17210,10101013,温迪戈,-1,0.01
17220,10030001,希贝尔,5,0.01
17230,10101013,温迪戈,-1,0.01
17240,10101013,温迪戈,-1,0.01
17250,10010001,安娜,6,0.01
17260,10101013,温迪戈,-1,0.01
17270,10101013,温迪戈,-1,0.01
17280,1000,我,-1,0.01
17290,1000,我,-1,0.01
17300,10101013,温迪戈,-1,0.01
17310,10101013,温迪戈,-1,0.01
17320,1000,我,-1,0.01
17321,1000,我,-1,0.01
17322,10101013,温迪戈,-1,0.01
17323,1000,我,-1,0.01
17324,1000,我,-1,0.01
17325,10010001,安娜,6,0.01
17326,1000,我,-1,0.01
17327,10101013,温迪戈,-1,0.01
17328,1000,我,-1,0.01
17329,10101013,温迪戈,-1,0.01
17330,10101013,温迪戈,-1,0.01
17331,10101013,温迪戈,-1,0.01
17332,1000,我,-1,0.01
17370,10010001,安娜,5,0.01
17380,10101013,温迪戈,-1,0.01
17390,10010001,安娜,6,0.01
17400,10101013,温迪戈,-1,0.01
17410,10101013,温迪戈,-1,0.01
17420,10010001,安娜,15,0.01
17440,10101013,温迪戈,-1,0.01
17460,10101013,温迪戈,-1,0.01
17470,10101013,温迪戈,-1,0.01
17480,1000,我,-1,0.01
17490,10030001,希贝尔,6,0.01
17500,1000,我,-1,0.01
17520,10101013,温迪戈,-1,0.01
17530,10101013,温迪戈,-1,0.01
17540,10101013,温迪戈,-1,0.01
17550,10101013,温迪戈,-1,0.01
17551,10010001,安娜,5,0.01
17552,10030001,希贝尔,5,0.01
17560,-1,-1,-1,0.01
17580,10010001,安娜,6,0.01
17590,1000,我,-1,0.01
17600,10010001,安娜,14,0.01
17610,10030001,希贝尔,1,0.01
17620,10010001,安娜,6,0.01
17630,10010001,安娜,6,0.01
17670,10030001,希贝尔,4,0.01
17710,10030001,希贝尔,4,0.01
17730,10030001,希贝尔,4,0.01
17780,1000,我,-1,0.01
17810,10010001,安娜,6,0.01
17820,1000,我,-1,0.01
17830,1000,我,-1,0.01
17840,10010001,安娜,6,0.01
17850,2000,安利丝,-1,0.01
17860,10030001,希贝尔,4,0.01
17870,1000,我,-1,0.01
17880,1000,我,-1,0.01
17882,1000,我,-1,0.01
17890,10030001,希贝尔,-1,0.01
17900,-1,-1,-1,0.01
17910,-1,-1,-1,0.01
17920,10010001,安娜,6,0.01
17921,-1,-1,-1,0.01
17930,1000,我,-1,0.01
17940,10030001,希贝尔,6,0.01
17950,1000,我,-1,0.01
17960,10010001,安娜,1,0.01
17970,1000,我,-1,0.01
17980,-1,-1,-1,0.01
17990,-1,-1,-1,0.01
18000,-1,-1,-1,0.01
18010,10010001,安娜,6,0.01
18020,-1,-1,-1,0.01
18030,10030001,希贝尔,-1,0.01
18050,10010001,安娜,6,0.01
18060,10030001,希贝尔,4,0.01
18070,10010001,安娜,6,0.01
18090,10030001,希贝尔,-1,0.01
18100,10010001,安娜,7,0.01
18110,10030001,希贝尔,2,0.01
18130,10010001,安娜,6,0.01
18140,-1,-1,-1,0.01
18150,10030001,希贝尔,2,0.01
18170,1000,我,-1,0.01
18180,1000,我,-1,0.01
18200,-1,-1,-1,0.01
18210,10030001,希贝尔,6,0.01
18220,1000,我,-1,0.01
18230,10030001,希贝尔,6,0.01
18240,1000,我,-1,0.01
18250,1000,我,-1,0.01
18270,10030001,希贝尔,5,0.01
18280,1000,我,-1,0.01
18285,-1,-1,-1,0.01
18290,-1,-1,-1,0.01
18300,-1,-1,-1,0.01
18310,1000,我,-1,0.01
18320,10010001,安娜,7,0.01
18330,-1,-1,-1,0.01
18340,1000,我,-1,0.01
18350,10030001,希贝尔,-1,0.01
18360,10030001,希贝尔,2,0.01
18370,1000,我,-1,0.01
18380,10030001,希贝尔,4,0.01
18390,1000,我,-1,0.01
18400,10030001,希贝尔,4,0.01
18410,-1,-1,-1,0.01
18420,1000,我,-1,0.01
18430,1000,我,-1,0.01
18440,10010001,安娜,7,0.01
18450,1000,我,-1,0.01
18460,10010001,安娜,6,0.01
18470,2000,安利丝,-1,0.01
18480,10010001,安娜,8,0.01
18490,2000,安利丝,-1,0.01
18491,10010001,安娜,6,0.01
18500,1000,我,-1,0.01
18510,-1,-1,-1,0.01
18520,-1,-1,-1,0.01
18530,1000,我,-1,0.01
18540,10010001,安娜,7,0.01
18550,-1,-1,-1,0.01
18560,10030001,希贝尔,6,0.01
18570,-1,-1,-1,0.01
18580,1000,我,-1,0.01
18590,10030001,希贝尔,4,0.01
18600,10010001,安娜,6,0.01
18610,1000,我,-1,0.01
18620,-1,-1,-1,0.01
18630,-1,-1,-1,0.01
18640,-1,-1,-1,0.01
18641,10030001,希贝尔,4,0.01
18650,1000,我,-1,0.01
18660,10030001,希贝尔,-1,0.01
18670,10030001,希贝尔,4,0.01
18690,10030001,希贝尔,-1,0.01
18710,10030001,希贝尔,4,0.01
18730,10030001,希贝尔,4,0.01
18740,10030001,希贝尔,4,0.01
18741,10010001,安娜,6,0.01
18750,1000,我,-1,0.01
18760,10030001,希贝尔,-1,0.01
18770,10030001,希贝尔,-1,0.01
18780,10030001,希贝尔,-1,0.01
18790,10030001,希贝尔,4,0.01
18810,10010001,安娜,6,0.01
18820,10010001,安娜,6,0.01
18830,10030001,希贝尔,4,0.01
18840,10030001,希贝尔,4,0.01
18860,10010001,安娜,7,0.01
18870,10010001,安娜,7,0.01
18880,2000,安利丝,-1,0.01
18890,10010001,安娜,14,0.01
18900,1000,我,-1,0.01
18980,1000,我,-1,0.01
18990,1000,我,-1,0.01
19000,10030001,希贝尔,6,0.01
19010,1000,我,-1,0.01
19020,1000,我,-1,0.01
19030,10010001,安娜,7,0.01
19031,10030001,希贝尔,6,0.01
19040,10010001,安娜,7,0.01
19050,2000,安利丝,-1,0.01
19060,10030001,希贝尔,2,0.01
19070,1000,我,-1,0.01
19080,10030001,希贝尔,6,0.01
19090,1000,我,-1,0.01
19100,10030001,希贝尔,6,0.01
19110,1000,我,-1,0.01
19120,10010001,安娜,6,0.01
19130,1000,我,-1,0.01
19140,10010001,安娜,6,0.01
19150,10010001,安娜,7,0.01
19160,1000,我,-1,0.01
19170,1000,我,-1,0.01
19180,10030001,希贝尔,6,0.01
19190,1000,我,-1,0.01
19200,10030001,希贝尔,6,0.01
19201,10030001,希贝尔,5,0.01
19210,-1,-1,-1,0.01
19220,10010001,安娜,7,0.01
19230,1000,我,-1,0.01
19240,10030001,希贝尔,2,0.01
19250,2000,安利丝,-1,0.01
19260,10010001,安娜,15,0.01
19270,1000,我,-1,0.01
19280,1000,我,-1,0.01
19290,1000,我,-1,0.01
19300,1000,我,-1,0.01
19310,1000,我,-1,0.01
19320,10010001,安娜,15,0.01
19330,10010001,安娜,14,0.01
19340,-1,-1,-1,0.01
19350,1000,我,-1,0.01
19360,10010001,安娜,7,0.01
19370,1000,我,-1,0.01
19380,10010001,安娜,15,0.01
19390,2000,安利丝,-1,0.01
19400,2000,安利丝,-1,0.01
19410,10010001,安娜,14,0.01
19420,1000,我,-1,0.01
19430,10010001,安娜,15,0.01
19440,10010001,安娜,8,0.01
19450,2000,安利丝,-1,0.01
