指数id,选项内容,指数需求,增加指数,跳转行为id
193,医术不是万能的。,-1,-1,620080
194,我们来得太晚了。,-1,-1,620090
195,但愿会有那么一天。,-1,-1,620620
196,可惜很难实现。,-1,-1,620630
197,直接绕开他的身边，准备前进。,-1,-1,642670
198,轻轻拍了拍他的肩，以示安慰。,-1,-1,642680
199,她确实疯了。,-1,-1,660810
200,她很危险。,-1,-1,660820
201,所以她的爱转变为了恨。,-1,-1,680300
202,得而复失，比从未得到更易让人疯狂。,-1,-1,680310
203,甩开。,-1,-1,710330
204,出声询问。,-1,-1,710340
205,我同意。,-1,-1,720340
206,不要伤到人。,-1,-1,720350
207,那就不好办了……,-1,-1,730500
208,只能试一试了……,-1,-1,730510
209,拉住她。,-1,-1,741250
210,拦在两人中间。,-1,-1,741260
211,解决他。,-1,-1,745170
212,以其人之道还治其人之身。,-1,-1,745180
213,夜莺森林的魔女不会如此就退却。,-1,-1,760210
214,我们不仅是为了圣摩拉而来……,-1,-1,760220
215,是巧合吗？,-1,-1,780720
216,是阴谋吗？,-1,-1,780730
217,那就好。,-1,-1,810140
218,不必逞强。,-1,-1,810150
219,了然。,-1,-1,810290
220,询问。,-1,-1,810300
221,一定会的。,-1,-1,811650
222,可能不会回来了。,-1,-1,811660
223,快到了。,-1,-1,812150
224,天黑吧。,-1,-1,812160
225,说点什么转移话题。,-1,-1,812460
226,聊聊希贝尔的父亲。,-1,-1,812470
227,听希贝尔的。,-1,-1,812890
228,听安娜的。,-1,-1,812900
229,带上她。,-1,-1,815220
230,拒绝她。,-1,-1,815230
231,喝。,-1,-1,820120
232,不喝。,-1,-1,820130
233,询问这座塔的历史。,-1,-1,820410
234,提出疑问。,-1,-1,820420
235,阅读。,-1,-1,845560
236,跳过。,-1,-1,845570
237,阅读。,-1,-1,845840
238,跳过。,-1,-1,845850
239,查看水壶。,-1,-1,846100
240,查看食物。,-1,-1,846110
241,拿起布娃娃。,-1,-1,846240
242,拿起项链。,-1,-1,846250
243,赞同希贝尔。,-1,-1,860220
244,觉得不对劲。,-1,-1,860230
245,救人。,-1,-1,880450
246,犹豫一下。,-1,-1,880460
247,感慨。,-1,-1,910270
248,疑惑。,-1,-1,910280
249,如此残忍。,-1,-1,910580
250,战争是无情的。,-1,-1,910590
251,问问地狱之王是个什么样的人。,-1,-1,915240
252,问问地狱之王应战了吗。,-1,-1,915250
253,询问恶魔公爵是什么样的人。,-1,-1,920090
254,评价恶魔公爵。,-1,-1,920100
255,起风了。,-1,-1,940310
256,有危险。,-1,-1,940320
257,询问艾米以前是否见过这样的恶魔。,-1,-1,945120
258,思考这种魔蚊强大的原因。,-1,-1,945130
259,不是没有这种可能。,-1,-1,945290
260,应该不是。,-1,-1,945300
261,顺着马蹄印走。,-1,-1,960240
262,放弃研究马蹄印。,-1,-1,960250
263,非进不可。,-1,-1,980940
264,问问还有没有别的入口。,-1,-1,980950
265,救人。,-1,-1,985350
266,犹豫。,-1,-1,985360
267,我也听到了。,-1,-1,1010450
268,能听见它们已经不错了，希贝尔。,-1,-1,1010460
269,因为亡灵法杖。,-1,-1,1012480
270,因为冥蝶。,-1,-1,1012490
271,这个人对你很重要吗？,-1,-1,1020920
272,这个传说对你很重要吗？,-1,-1,1020930
273,不敢当。,-1,-1,1045630
274,我对统治世界没有兴趣。,-1,-1,1045640
275,希贝尔最后。,-1,-1,1060740
276,坚持自己走最后。,-1,-1,1060750
277,看来他们并没有抓到玛丽。,-1,-1,1085120
278,看来玛丽确实来到了深渊。,-1,-1,1085130
279,表示同情。,-1,-1,1110250
280,认为人应该有信仰。,-1,-1,1110260
281,恶魔不可信。,-1,-1,1145080
282,好，我会放过你。,-1,-1,1145090
283,希望她同行。,-1,-1,1145350
284,劝说其离开。,-1,-1,1145360
285,休息一下。,-1,-1,1168380
286,继续前进。,-1,-1,1168390
287,为何杀安娜？,-1,-1,1185290
288,为何救我们？,-1,-1,1185300
289,也许会吧……,-1,-1,510110
290,不会立刻消散——,-1,-1,510120
291,让它自己在这呆着也是可以的。,-1,-1,510860
292,那我留在这里的话……,-1,-1,510870
293,如实回答。,-1,-1,515220
294,藏敛心事。,-1,-1,515230
295,圣摩拉现在处处危机，要格外留意。,-1,-1,520390
296,这辆马车大抵是在去耀堂时遭遇了不测。,-1,-1,520400
297,很像恶魔。,-1,-1,541180
298,应该是人类。,-1,-1,541190
299,我也有点好奇。,-1,-1,560390
300,是否发生过什么不幸的事。,-1,-1,560400
301,或许她之前与人交过手。,-1,-1,585240
302,她似乎在守护什么。,-1,-1,585250
303,希贝尔说得没错。,-1,-1,6130180
304,神并不是真的残忍。,-1,-1,6130190
305,原生恶魔,-1,-1,1240220
306,堕落的亡灵,-1,-1,1240230
307,可能是因为我的魔力比较温和……,-1,-1,6230330
308,……原来这在你预料之外吗？？,-1,-1,6230340
309,优先支撑墙面。,-1,-1,6210240
310,优先保护妮蔻拉丝。,-1,-1,6210250
311,事态紧急，出发吧。,-1,-1,6210540
312,让我稍加准备，带上些卷轴和魔药。,-1,-1,6210550
313,别告诉我你没听到？,-1,-1,6220420
314,孩子的……哭声，你仔细听，我可没开玩笑。,-1,-1,6220430
315,我来帮你。,-1,-1,6221050
316,别太勉强自己。,-1,-1,6221060
317,不舍是正常的。,-1,-1,6230550
318,我不这么认为。,-1,-1,6230560
319,保持沉默。,-1,-1,6245560
320,阻止妮蔻拉丝。,-1,-1,6245570
321,虽然过去无法改变，这至少在此刻——,-1,-1,6250690
322,解决它，便可以离开这里了。,-1,-1,6250700
323,暂且收手吧……,-1,-1,6265600
324,设法维持住法阵……,-1,-1,6265610
