id,分数组,分数起始,基础掉落,条件,数值起始,描述1,描述2
43003002,35003,28800,5532,4,20,880022,880026
43003003,35003,45680,5533,4,30,880023,880027
43003004,35003,62080,5534,4,43,880024,880028
43004001,35004,0,5541,4,0,880021,880025
43004002,35004,31200,5542,4,20,880022,880026
43004003,35004,48120,5543,4,30,880023,880027
43004004,35004,64520,5544,4,43,880024,880028
43005001,35005,0,5551,4,0,880021,880025
43005002,35005,31200,5552,4,20,880022,880026
43005003,35005,57350,5553,4,30,880023,880027
43005004,35005,82850,5554,4,43,880024,880028
43006001,35006,0,5561,4,0,880021,880025
43006002,35006,33600,5562,4,20,880022,880026
43006003,35006,59800,5563,4,30,880023,880027
43006004,35006,85300,5564,4,43,880024,880028
43007001,35007,0,5571,4,0,880021,880025
43007002,35007,33600,5572,4,20,880022,880026
43007003,35007,61890,5573,4,30,880023,880027
43007004,35007,100000,5574,4,43,880024,880028
43008001,35008,0,5581,4,0,880021,880025
43008002,35008,36000,5582,4,20,880022,880026
43008003,35008,64350,5583,4,30,880023,880027
43008004,35008,110000,5584,4,43,880024,880028
43001101,35101,0,5611,4,0,880021,880025
43001102,35101,24000,5612,4,20,880022,880026
43001103,35101,33600,5613,4,30,880023,880027
43001104,35101,42900,5614,4,43,880024,880028
43002101,35102,0,5621,4,0,880021,880025
43002102,35102,26400,5622,4,20,880022,880026
43002103,35102,36030,5623,4,30,880023,880027
43002104,35102,50000,5624,4,43,880024,880028
43003101,35103,0,5631,4,0,880021,880025
43003102,35103,28800,5632,4,20,880022,880026
43003103,35103,45680,5633,4,30,880023,880027
43003104,35103,62080,5634,4,43,880024,880028
43004101,35104,0,5641,4,0,880021,880025
43004102,35104,31200,5642,4,20,880022,880026
43004103,35104,48120,5643,4,30,880023,880027
43004104,35104,64520,5644,4,43,880024,880028
43005101,35105,0,5651,4,0,880021,880025
43005102,35105,31200,5652,4,20,880022,880026
43005103,35105,57350,5653,4,30,880023,880027
43005104,35105,82850,5654,4,43,880024,880028
43006101,35106,0,5661,4,0,880021,880025
43006102,35106,33600,5662,4,20,880022,880026
43006103,35106,59800,5663,4,30,880023,880027
43006104,35106,85300,5664,4,43,880024,880028
43007101,35107,0,5671,4,0,880021,880025
43007102,35107,33600,5672,4,20,880022,880026
43007103,35107,61890,5673,4,30,880023,880027
43007104,35107,100000,5674,4,43,880024,880028
43008101,35108,0,5681,4,0,880021,880025
43008102,35108,36000,5682,4,20,880022,880026
43008103,35108,64350,5683,4,30,880023,880027
43008104,35108,110000,5684,4,43,880024,880028
