ID,章节名称ID,章节描述ID,章节简称ID,幕间动画文字,满星宝箱,章节开放等级,章节名称图片,章节立绘,关卡大类,关卡小类,第一个关卡,解锁难度章节ID,前置章节,下一章,可购买挑战次数,奖励次数,入场券id,是否可以托管,开放时间,是否重置,对应排行榜,英文名称,分组ID,章节开放需星级,章节挑战次数
17001,10090017,20090017,30090017,40090017,1161|1162|1163,58,source_home/fight/background/1,1013,1,101,101601,17002,16001,18001,-1,0,0,1,0,0,0,Farhacue,3,0,0
18001,10090018,20090018,30090018,40090018,1171|1172|1173,60,source_home/fight/background/1,1013,1,101,101701,18002,17001,19001,-1,0,0,1,0,0,0,Tuvodi wizer,3,0,0
19001,10090019,20090019,30090019,40090019,1181|1182|1183,0,source_home/fight/background/1,1013,1,101,101801,19002,18001,20001,-1,0,0,1,0,0,0,Harhutue,3,0,0
20001,10090020,20090020,30090020,40090020,1191|1192|1193,0,source_home/fight/background/1,1013,1,101,101901,20002,19001,21001,-1,0,0,1,0,0,0,Bontim,3,0,0
21001,10090021,20090021,30090021,40090021,1201|1202|1203,0,source_home/fight/background/1,1013,1,101,102001,21002,20001,0,-1,0,0,1,0,0,0,Charvodi,3,0,0
2002,10090002,20090002,30090201,-1,2011|2012|2013,5,source_home/fight/chapter/text_story_1,1001,1,102,110101,0,3001,0,-1,0,0,1,0,0,0,Wime en charike,1,0,0
3002,10090003,20090003,30090202,-1,2021|2022|2023,18,source_home/fight/chapter/text_story_2,1003,1,102,110201,0,2002,0,-1,0,0,1,0,0,0,Povifobe,1,0,0
4002,10090004,20090004,30090203,-1,2031|2032|2033,22,source_home/fight/chapter/text_story_3,1006,1,102,110301,0,5001|3002,0,-1,0,0,1,0,0,0,Sibel,1,0,0
5002,10090005,20090005,30090204,-1,2041|2042|2043,28,source_home/fight/chapter/text_story_4,1004,1,102,110401,0,5501|4002,0,-1,0,0,1,0,0,0,Hufache,1,0,0
6002,10090006,20090006,30090205,-1,2051|2052|2053,32,source_home/fight/chapter/text_story_5,1012,1,102,110501,0,7001|5502,0,-1,0,0,1,0,0,0,Promiche shevodic,2,0,0
7002,10090007,20090007,30090206,-1,2061|2062|2063,34,source_home/fight/chapter/text_story_6,1019,1,102,110601,0,8001|6002,0,-1,0,0,1,0,0,0,Obise fim tumidi,2,0,0
8002,10090008,20090008,30090207,-1,2071|2072|2073,37,source_home/fight/chapter/text_story_7,1015,1,102,110701,0,9001|7002,0,-1,0,0,1,0,0,0,Bontim fim wimor,2,0,0
9002,10090009,20090009,30090208,-1,2081|2082|2083,39,source_home/fight/chapter/text_story_8,1011,1,102,110801,0,10001|8002,0,-1,0,0,1,0,0,0,Disuobe wimori,2,0,0
10002,10090010,20090010,30090209,-1,2091|2092|2093,41,source_home/fight/chapter/text_story_9,1011,1,102,110901,0,11001|9002,0,-1,0,0,1,0,0,0,Toevodi ron siharma,2,0,0
11002,10090011,20090011,30090210,-1,2101|2102|2103,44,source_home/fight/chapter/text_story_10,1022,1,102,111001,0,12001|10002,0,-1,0,0,1,0,0,0,Desichi,2,0,0
12002,10090012,20090012,30090211,-1,2111|2112|2113,47,source_home/fight/chapter/text_story_11,1044,1,102,111101,0,11002,0,-1,0,0,1,0,0,0,Ar ron Här omik,2,0,0
13002,10090013,20090013,30090212,-1,2121|2122|2123,50,source_home/fight/chapter/text_story_12,1009,1,102,111201,0,14001|12002,0,-1,0,0,1,0,0,0,Här omik,2,0,0
14002,10090014,20090014,30090213,-1,2131|2132|2133,53,source_home/fight/chapter/text_story_13,1013,1,102,111301,0,15001|13002,0,-1,0,0,1,0,0,0,Todioche,3,0,0
15002,10090015,20090015,30090214,-1,2141|2142|2143,58,source_home/fight/chapter/text_story_14,1013,1,102,111401,0,16001|14002,0,-1,0,0,1,0,0,0,Disechi fim bumchi,3,0,0
16002,10090016,20090016,30090215,-1,2151|2152|2153,60,source_home/fight/background/1,1013,1,102,111501,0,17001|15002,0,-1,0,0,1,0,0,0,Dokaomi,3,0,0
17002,10090017,20090017,30090216,-1,2161|2162|2163,0,source_home/fight/background/1,1013,1,102,111601,0,18001|16002,0,-1,0,0,1,0,0,0,Farhacue,3,0,0
18002,10090018,20090018,30090217,-1,2171|2172|2173,0,source_home/fight/background/1,1013,1,102,111701,0,19001|17002,0,-1,0,0,1,0,0,0,Tuvodi wizer,3,0,0
19002,10090019,20090019,30090218,-1,2181|2182|2183,0,source_home/fight/background/1,1013,1,102,111801,0,20001|18002,0,-1,0,0,1,0,0,0,Harhutue,3,0,0
20002,10090020,20090020,30090219,-1,2191|2192|2193,0,source_home/fight/background/1,1013,1,102,111901,0,21001|19002,0,-1,0,0,1,0,0,0,Bontim,3,0,0
21002,10090021,20090021,30090220,-1,2201|2202|2203,0,source_home/fight/background/1,1013,1,102,112001,0,21001|20002,0,-1,0,0,1,0,0,0,Charvodi,3,0,0
2501,10091001,20091001,30091001,-1,3101|3102|3103,1,source_home/fight/chapter/text_memory_1,1008,1,101,130301,0,2001,0,-1,0,0,1,0,0,0,-1,2,0,0
5501,10091002,20091002,30091002,40091002,1041|1042|1043,20,source_home/fight/chapter/text_memory_2,1005,1,101,130101,0,5001,6001,-1,0,0,1,0,0,0,-1,2,0,0
5502,10091002,20091002,30091202,40091002,1041|1042|1043,30,source_home/fight/chapter/text_memory_2,1005,1,102,120101,0,6001|5002,0,-1,0,0,1,0,0,0,-1,2,0,0
8501,10091003,20091003,30091003,40091003,1071|1072|1073,33,source_home/fight/chapter/text_memory_3,1001,1,101,130201,0,8001,9001,-1,0,0,1,0,0,0,-1,2,0,0
8502,10091003,20091003,30091203,40091003,1071|1072|1073,38,source_home/fight/chapter/text_memory_3,1001,1,102,120201,0,9001|8002,0,-1,0,0,1,0,0,0,-1,2,0,0
1601,10091911,20091911,30091911,-1,-1,1,source_home/fight/background/1,-1,11,1101,0,0,0,0,-1,0,0,2,0,0,0,-1,0,0,4
330001,10092001,20092003,30092003,-1,-1,0,source_home/fight/background/3,-1,2,201,200001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330003,10092002,20092002,30092002,-1,-1,0,source_home/fight/background/2,-1,2,203,210001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330007,10092003,20092001,30092001,-1,-1,0,source_home/fight/background/8,-1,2,204,220001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330008,10092004,20092004,30092004,-1,-1,0,source_home/fight/background/4,-1,2,205,230001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330009,10092005,20092005,30092005,-1,-1,0,source_home/fight/background/4,-1,2,205,240001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330010,10092006,20092006,30092006,-1,-1,0,source_home/fight/background/4,-1,2,205,250001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330011,10092007,20092007,30092007,-1,-1,0,source_home/fight/background/4,-1,2,205,260001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330012,10092008,20092008,30092008,-1,-1,0,source_home/fight/background/4,-1,2,205,270001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330013,10092009,20092009,30092009,-1,-1,0,source_home/fight/background/4,-1,2,205,280001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
330014,10092010,20092010,30092010,-1,-1,0,source_home/fight/background/4,-1,2,205,290001,0,0,0,1000002&40|1000002&60|1000002&100,2,0,1,0,0,0,-1,0,0,0
360001,10093001,20091006,30093001,40091006,4001|4002|4003,20,source_home/fight/background/1,1044,8,801,300001,360002,0,0,-1,0,0,1,101,1,0,-1,0,0,0
360002,10093001,20091006,30093002,-1,4004|4005|4006,20,source_home/fight/background/1,1044,8,802,310001,0,0,0,-1,0,8999999,1,101,1,0,-1,0,0,0
360003,10093001,20091006,30093003,-1,-1,20,source_home/fight/background/1,10440003,8,803,320001,0,0,0,-1,0,0,1,101,0,0,-1,0,0,0
360004,10091007,20091007,30093004,40091007,4007|4008|4009,20,source_home/fight/background/1,-1,8,804,300101,360005,0,360005,-1,0,0,1,37002,1,0,-1,0,0,0
360005,10091007,20091007,30093005,-1,4010|4011|4012,20,source_home/fight/background/1,-1,8,805,310101,0,360004,0,-1,0,0,1,37002,1,0,-1,0,0,0
350001,10094001,20094001,30094001,-1,-1,0,source_home/fight/background/7_1,-1,4,401,0,0,0,0,-1,0,0,0,0,0,1,FIKUFE,0,0,0
350002,10094002,20094002,30094002,-1,-1,0,source_home/fight/background/7_2,-1,4,401,0,0,0,0,-1,0,0,0,0,0,1,FIKUFE,0,0,0
350003,10094003,20094003,30094003,-1,-1,0,source_home/fight/background/7_3,-1,4,401,0,0,0,0,-1,0,0,0,0,0,1,FIKUFE,0,0,0
350004,10094004,20094004,30094004,-1,-1,0,source_home/fight/background/7_4,-1,4,401,0,0,0,0,-1,0,0,0,0,0,1,FIKUFE,0,0,0
350005,10094004,20094004,30094004,-1,-1,0,source_home/fight/background/7_4,-1,4,401,0,0,0,0,-1,0,0,0,0,0,1,FIKUFE,0,0,0
350006,10094004,20094004,30094004,-1,-1,0,source_home/fight/background/7_4,-1,4,401,0,0,0,0,-1,0,0,0,0,0,1,FIKUFE,0,0,0
70000,10094101,20094101,30094101,-1,-1,0,-1,-1,7,701,-1,0,0,0,-1,3,0,0,0,0,0,-1,0,0,0
370001,10094201,20094201,30094201,-1,-1,40,source_home/fight/background/Img_YiTiao_Boss_1,-1,9,901,0,0,0,0,-1,0,0,0,0,0,1,SUBONE RON NAKAENOBA,0,0,0
370002,10094202,20094202,30094202,-1,-1,50,source_home/fight/background/Img_YiTiao_Boss_2,-1,9,902,0,0,0,0,-1,0,0,0,0,0,1,SUBONE RON NAKAENOBA,0,0,0
370003,10094203,20094203,30094203,-1,-1,60,source_home/fight/background/Img_YiTiao_Boss_3,-1,9,903,0,0,0,0,-1,0,0,0,101,0,1,SUBONE RON NAKAENOBA,0,0,0
370004,10094204,20094204,30094204,-1,-1,70,source_home/fight/background/Img_YiTiao_Boss_4,-1,9,904,0,0,0,0,-1,0,0,0,101,0,1,SUBONE RON NAKAENOBA,0,0,0
380001,10094301,20094301,30094301,-1,-1,0,source_home/fight/background/7_1,-1,10,1001,0,0,0,0,-1,0,0,0,0,0,1,CHAEME RON HARISA,0,0,0
380002,10094302,20094302,30094302,-1,-1,0,source_home/fight/background/7_1,-1,10,1002,0,0,0,0,-1,0,0,0,0,0,1,CHAEME RON HARISA,0,0,0
