id,颜色,初始位置,目标位置,初始半径,目标半径,初始硬度,目标硬度,时间,下一个视野ID
100107004,0&0&0&1,0.5&0.5,0.5&0.5,2.3,2.3,0.28,0.28,2.5,100107005
100107005,0&0&0&1,0.5&0.5,0.5&0.5,2.3,2.3,0.28,0.28,1,100107006
100107006,0&0&0&1,0.5&0.5,0.5&0.5,2.3,2.3,0.28,0.28,3.5,100107007
100107007,0&0&0&1,0.5&0.5,0.5&0.5,2.3,2.3,0.28,0.28,1,100107008
100107008,0&0&0&1,0.5&0.5,0.5&0.5,2.3,2.3,0.28,0.28,2.5,100107009
100107009,0&0&0&1,0.5&0.5,0.4&0.5,2.3,2.3,0.28,0.28,0.5,100107010
100107010,0&0&0&1,0.4&0.5,0.6&0.5,2.3,2.3,0.28,0.28,1.5,100107011
100107011,0&0&0&1,0.6&0.5,0.4&0.5,2.3,2.7,0.28,0.24,2,100107012
100107012,0&0&0&1,0.4&0.5,0.6&0.5,2.7,2.7,0.24,0.24,1,100107013
100107013,0&0&0&1,0.6&0.5,0.5&0.5,2.7,2.5,0.24,0.26,1.5,100107014
100107014,0&0&0&1,0.5&0.5,0.6&0.5,2.5,2.3,0.26,0.28,1,100107015
100107015,0&0&0&1,0.6&0.5,0.6&0.5,2.3,2.2,0.28,0.29,1.5,100107016
100107016,0&0&0&1,0.6&0.5,0.6&0.5,2.2,2.1,0.29,0.3,1,100107017
100107017,0&0&0&1,0.6&0.5,0.5&0.5,2.1,2,0.3,0.31,0.5,100107018
100107018,0&0&0&1,0.5&0.5,0.5&0.5,2,2,0.31,0.31,5,100107019
100107019,0&0&0&1,0.5&0.5,0.5&0.5,2,2,0.31,0.31,1,100107020
100107020,0&0&0&1,0.5&0.5,0.5&0.5,2,2,0.31,0.31,30,100107021
100107021,0&0&0&1,0.5&0.5,0.4&0.5,2,2.1,0.31,0.3,0.5,100107022
100107022,0&0&0&1,0.4&0.5,0.5&0.5,2.1,2.2,0.3,0.29,1,100107023
100107023,0&0&0&1,0.5&0.5,0.6&0.5,2.2,2.3,0.29,0.28,0.5,100107024
100107024,0&0&0&1,0.6&0.5,0.4&0.5,2.3,2.1,0.28,0.3,1,100107025
100107025,0&0&0&1,0.4&0.5,0.6&0.5,2.1,2.1,0.3,0.3,1.5,100107026
100107026,0&0&0&1,0.6&0.5,0.6&0.5,2.1,2.2,0.3,0.29,3,100107027
100107027,0&0&0&1,0.6&0.5,0.4&0.5,2.2,2.2,0.29,0.29,1,100107028
100107028,0&0&0&1,0.4&0.5,0.6&0.5,2.2,2.2,0.29,0.29,1,100107029
100107029,0&0&0&1,0.6&0.5,0.5&0.5,2.2,2.2,0.29,0.29,1.5,100107030
100107030,0&0&0&1,0.5&0.5,0.5&0.5,2.2,2.2,0.29,0.29,1,100107031
100107031,0&0&0&1,0.5&0.5,0.4&0.5,2.2,2,0.29,0.31,1,100107032
100107032,0&0&0&1,0.4&0.5,0.4&0.5,2,2,0.31,0.31,4.5,100107033
100107033,0&0&0&1,0.4&0.5,0.6&0.5,2,2,0.31,0.31,1,100107034
100107034,0&0&0&1,0.6&0.5,0.6&0.5,2,2,0.31,0.31,5,100107035
100107035,0&0&0&1,0.6&0.5,0.5&0.5,2,2.3,0.31,0.28,0.5,100107036
100107036,0&0&0&1,0.5&0.5,0.5&0.5,2.3,2.3,0.28,0.28,5.5,100107037
100107037,0&0&0&1,0.5&0.5,0.5&0.5,2.3,2.2,0.28,0.29,1,100107038
100107038,0&0&0&1,0.5&0.5,0.5&0.5,2.2,2,0.29,0.31,1.5,100107039
100107039,0&0&0&1,0.5&0.5,0.5&0.5,2,2,0.31,0.31,2,100107040
100107040,0&0&0&1,0.5&0.5,0.5&0.5,2,2,0.31,0.31,3,100107041
100107041,0&0&0&1,0.5&0.5,0.5&0.5,2,2,0.31,0.31,3.5,100107042
100107042,0&0&0&1,0.5&0.5,0.5&0.5,2,0.1,0.31,0.5,8,100107001
