id,组,等级,经验,奖励,解锁音乐厅加成效果,好感关系,解锁表情,对话,语音
63,1004,3,30,4&1000002&5|4&3000004&3,-1,20180002,-1,10180063,1004016.0
64,1004,4,80,4&1000002&5,-1,20180003,-1,10180064,1004017.0
65,1004,5,160,4&1000002&5|4&3000004&3,-1,20180003,-1,10180065,1004017.0
66,1004,6,280,4&1000002&5,-1,20180004,-1,10180066,1004018.0
67,1004,7,440,4&1000002&5|4&3000004&5,-1,20180004,-1,10180067,1004018.0
68,1004,8,640,4&1000002&5,-1,20180005,-1,10180068,1004019.0
69,1004,9,840,4&1000002&5,-1,20180005,-1,10180069,1004019.0
70,1004,10,1040,4&1000002&5|4&3000004&5,-1,20180005,-1,10180070,1004019.0
71,1004,11,1240,4&1000002&5,-1,20180006,-1,10180071,1004020.0
72,1004,12,1540,4&1000002&5,-1,20180006,-1,10180072,1004020.0
73,1004,13,1840,4&1000002&5|4&3000004&5,-1,20180006,-1,10180073,1004020.0
74,1004,14,2140,4&1000002&5,-1,20180007,-1,10180074,1004021.0
75,1004,15,2440,4&1000002&5,-1,20180007,-1,10180075,1004021.0
76,1004,16,2740,4&1000002&5|4&3000004&8,-1,20180007,-1,10180076,1004021.0
77,1004,17,3040,4&1000002&5,-1,20180008,-1,10180077,1004022.0
78,1004,18,3340,4&1000002&5,-1,20180008,-1,10180078,1004022.0
79,1004,19,3640,4&1000002&5|4&3000004&8,-1,20180008,-1,10180079,1004022.0
80,1004,20,-1,-1,-1,20180009,-1,10180080,1004023.0
81,1005,1,5,4&1000002&5|4&3000005&3,-1,20180001,-1,10180081,1005015.0
82,1005,2,15,4&1000002&5,-1,20180002,-1,10180082,1005016.0
83,1005,3,30,4&1000002&5|4&3000005&3,-1,20180002,-1,10180083,1005016.0
84,1005,4,80,4&1000002&5,-1,20180003,-1,10180084,1005017.0
85,1005,5,160,4&1000002&5|4&3000005&3,-1,20180003,-1,10180085,1005017.0
86,1005,6,280,4&1000002&5,-1,20180004,-1,10180086,1005018.0
87,1005,7,440,4&1000002&5|4&3000005&5,-1,20180004,-1,10180087,1005018.0
88,1005,8,640,4&1000002&5,-1,20180005,-1,10180088,1005019.0
89,1005,9,840,4&1000002&5,-1,20180005,-1,10180089,1005019.0
90,1005,10,1040,4&1000002&5|4&3000005&5,-1,20180005,-1,10180090,1005019.0
91,1005,11,1240,4&1000002&5,-1,20180006,-1,10180091,1005020.0
92,1005,12,1540,4&1000002&5,-1,20180006,-1,10180092,1005020.0
93,1005,13,1840,4&1000002&5|4&3000005&5,-1,20180006,-1,10180093,1005020.0
94,1005,14,2140,4&1000002&5,-1,20180007,-1,10180094,1005021.0
95,1005,15,2440,4&1000002&5,-1,20180007,-1,10180095,1005021.0
96,1005,16,2740,4&1000002&5|4&3000005&8,-1,20180007,-1,10180096,1005021.0
97,1005,17,3040,4&1000002&5,-1,20180008,-1,10180097,1005022.0
98,1005,18,3340,4&1000002&5,-1,20180008,-1,10180098,1005022.0
99,1005,19,3640,4&1000002&5|4&3000005&8,-1,20180008,-1,10180099,1005022.0
100,1005,20,-1,-1,-1,20180009,-1,10180100,1005023.0
101,1006,1,5,4&1000002&5|4&3000006&3,-1,20180001,-1,10180101,1006015.0
102,1006,2,15,4&1000002&5,-1,20180002,-1,10180102,1006016.0
103,1006,3,30,4&1000002&5|4&3000006&3,-1,20180002,-1,10180103,1006016.0
104,1006,4,80,4&1000002&5,-1,20180003,-1,10180104,1006017.0
105,1006,5,160,4&1000002&5|4&3000006&3,-1,20180003,-1,10180105,1006017.0
106,1006,6,280,4&1000002&5,-1,20180004,-1,10180106,1006018.0
107,1006,7,440,4&1000002&5|4&3000006&5,-1,20180004,-1,10180107,1006018.0
108,1006,8,640,4&1000002&5,-1,20180005,-1,10180108,1006019.0
109,1006,9,840,4&1000002&5,-1,20180005,-1,10180109,1006019.0
110,1006,10,1040,4&1000002&5|4&3000006&5,-1,20180005,-1,10180110,1006019.0
111,1006,11,1240,4&1000002&5,-1,20180006,-1,10180111,1006020.0
112,1006,12,1540,4&1000002&5,-1,20180006,-1,10180112,1006020.0
113,1006,13,1840,4&1000002&5|4&3000006&5,-1,20180006,-1,10180113,1006020.0
114,1006,14,2140,4&1000002&5,-1,20180007,-1,10180114,1006021.0
115,1006,15,2440,4&1000002&5,-1,20180007,-1,10180115,1006021.0
116,1006,16,2740,4&1000002&5|4&3000006&8,-1,20180007,-1,10180116,1006021.0
117,1006,17,3040,4&1000002&5,-1,20180008,-1,10180117,1006022.0
118,1006,18,3340,4&1000002&5,-1,20180008,-1,10180118,1006022.0
119,1006,19,3640,4&1000002&5|4&3000006&8,-1,20180008,-1,10180119,1006022.0
120,1006,20,-1,-1,-1,20180009,-1,10180120,1006023.0
121,1007,1,5,4&1000002&5|4&3000007&3,-1,20180001,-1,10180121,1007015.0
122,1007,2,15,4&1000002&5,-1,20180002,-1,10180122,1007016.0
123,1007,3,30,4&1000002&5|4&3000007&3,-1,20180002,-1,10180123,1007016.0
124,1007,4,80,4&1000002&5,-1,20180003,-1,10180124,1007017.0
125,1007,5,160,4&1000002&5|4&3000007&3,-1,20180003,-1,10180125,1007017.0
126,1007,6,280,4&1000002&5,-1,20180004,-1,10180126,1007018.0
127,1007,7,440,4&1000002&5|4&3000007&5,-1,20180004,-1,10180127,1007018.0
128,1007,8,640,4&1000002&5,-1,20180005,-1,10180128,1007019.0
129,1007,9,840,4&1000002&5,-1,20180005,-1,10180129,1007019.0
130,1007,10,1040,4&1000002&5|4&3000007&5,-1,20180005,-1,10180130,1007019.0
131,1007,11,1240,4&1000002&5,-1,20180006,-1,10180131,1007020.0
132,1007,12,1540,4&1000002&5,-1,20180006,-1,10180132,1007020.0
133,1007,13,1840,4&1000002&5|4&3000007&5,-1,20180006,-1,10180133,1007020.0
134,1007,14,2140,4&1000002&5,-1,20180007,-1,10180134,1007021.0
135,1007,15,2440,4&1000002&5,-1,20180007,-1,10180135,1007021.0
136,1007,16,2740,4&1000002&5|4&3000007&8,-1,20180007,-1,10180136,1007021.0
137,1007,17,3040,4&1000002&5,-1,20180008,-1,10180137,1007022.0
138,1007,18,3340,4&1000002&5,-1,20180008,-1,10180138,1007022.0
139,1007,19,3640,4&1000002&5|4&3000007&8,-1,20180008,-1,10180139,1007022.0
140,1007,20,-1,-1,-1,20180009,-1,10180140,1007023.0
141,1008,1,5,4&1000002&8|4&3000008&3,-1,20180001,-1,10180141,1008015.0
142,1008,2,15,4&1000002&8,-1,20180002,-1,10180142,1007015.0
143,1008,3,30,4&1000002&8|4&3000008&3,-1,20180002,-1,10180143,1007015.0
144,1008,4,80,4&1000002&8,-1,20180003,-1,10180144,1008017.0
145,1008,5,160,4&1000002&8|4&3000008&3,-1,20180003,-1,10180145,1008017.0
146,1008,6,280,4&1000002&8,-1,20180004,-1,10180146,1008018.0
147,1008,7,440,4&1000002&8|4&3000008&5,-1,20180004,-1,10180147,1008018.0
148,1008,8,640,4&1000002&8,-1,20180005,-1,10180148,1008019.0
149,1008,9,840,4&1000002&8,-1,20180005,-1,10180149,1008019.0
150,1008,10,1040,4&1000002&8|4&3000008&5,-1,20180005,-1,10180150,1008019.0
151,1008,11,1240,4&1000002&8,-1,20180006,-1,10180151,1008020.0
152,1008,12,1540,4&1000002&8,-1,20180006,-1,10180152,1008020.0
153,1008,13,1840,4&1000002&8|4&3000008&5,-1,20180006,-1,10180153,1008020.0
154,1008,14,2140,4&1000002&8,-1,20180007,-1,10180154,1008021.0
155,1008,15,2440,4&1000002&8,-1,20180007,-1,10180155,1008021.0
156,1008,16,2740,4&1000002&8|4&3000008&8,-1,20180007,-1,10180156,1008021.0
157,1008,17,3040,4&1000002&8,-1,20180008,-1,10180157,1008022.0
158,1008,18,3340,4&1000002&8,-1,20180008,-1,10180158,1008022.0
159,1008,19,3640,4&1000002&8|4&3000008&8,-1,20180008,-1,10180159,1008022.0
160,1008,20,-1,-1,-1,20180009,-1,10180160,1008023.0
161,1009,1,5,4&1000002&10|4&3000009&3,-1,20180001,-1,10180161,1009015.0
162,1009,2,15,4&1000002&10,-1,20180002,-1,10180162,1009016.0
163,1009,3,30,4&1000002&10|4&3000009&3,-1,20180002,-1,10180163,1009016.0
164,1009,4,80,4&1000002&10,-1,20180003,-1,10180164,1009017.0
165,1009,5,160,4&1000002&10|4&3000009&3,-1,20180003,-1,10180165,1009017.0
166,1009,6,280,4&1000002&10,-1,20180004,-1,10180166,1009018.0
167,1009,7,440,4&1000002&10|4&3000009&5,-1,20180004,-1,10180167,1009018.0
168,1009,8,640,4&1000002&10,-1,20180005,-1,10180168,1009019.0
169,1009,9,840,4&1000002&10,-1,20180005,-1,10180169,1009019.0
170,1009,10,1040,4&1000002&10|4&3000009&5,-1,20180005,-1,10180170,1009019.0
171,1009,11,1240,4&1000002&10,-1,20180006,-1,10180171,1009020.0
172,1009,12,1540,4&1000002&10,-1,20180006,-1,10180172,1009020.0
173,1009,13,1840,4&1000002&10|4&3000009&5,-1,20180006,-1,10180173,1009020.0
174,1009,14,2140,4&1000002&10,-1,20180007,-1,10180174,1009021.0
175,1009,15,2440,4&1000002&10,-1,20180007,-1,10180175,1009021.0
176,1009,16,2740,4&1000002&10|4&3000009&8,-1,20180007,-1,10180176,1009021.0
177,1009,17,3040,4&1000002&10,-1,20180008,-1,10180177,1009022.0
178,1009,18,3340,4&1000002&10,-1,20180008,-1,10180178,1009022.0
179,1009,19,3640,4&1000002&10|4&3000009&8,-1,20180008,-1,10180179,1009022.0
180,1009,20,-1,-1,-1,20180009,-1,10180180,1009023.0
181,1010,1,5,4&1000002&10|4&3000010&3,-1,20180001,-1,10180181,1010015.0
182,1010,2,15,4&1000002&10,-1,20180002,-1,10180182,1010016.0
183,1010,3,30,4&1000002&10|4&3000010&3,-1,20180002,-1,10180183,1010016.0
184,1010,4,80,4&1000002&10,-1,20180003,-1,10180184,1010017.0
185,1010,5,160,4&1000002&10|4&3000010&3,-1,20180003,-1,10180185,1010017.0
186,1010,6,280,4&1000002&10,-1,20180004,-1,10180186,1010018.0
187,1010,7,440,4&1000002&10|4&3000010&5,-1,20180004,-1,10180187,1010018.0
188,1010,8,640,4&1000002&10,-1,20180005,-1,10180188,1010019.0
189,1010,9,840,4&1000002&10,-1,20180005,-1,10180189,1010019.0
190,1010,10,1040,4&1000002&10|4&3000010&5,-1,20180005,-1,10180190,1010019.0
191,1010,11,1240,4&1000002&10,-1,20180006,-1,10180191,1010020.0
192,1010,12,1540,4&1000002&10,-1,20180006,-1,10180192,1010020.0
193,1010,13,1840,4&1000002&10|4&3000010&5,-1,20180006,-1,10180193,1010020.0
194,1010,14,2140,4&1000002&10,-1,20180007,-1,10180194,1010021.0
195,1010,15,2440,4&1000002&10,-1,20180007,-1,10180195,1010021.0
196,1010,16,2740,4&1000002&10|4&3000010&8,-1,20180007,-1,10180196,1010021.0
197,1010,17,3040,4&1000002&10,-1,20180008,-1,10180197,1010022.0
198,1010,18,3340,4&1000002&10,-1,20180008,-1,10180198,1010022.0
199,1010,19,3640,4&1000002&10|4&3000010&8,-1,20180008,-1,10180199,1010022.0
200,1010,20,-1,-1,-1,20180009,-1,10180200,1010023.0
201,1011,1,5,4&1000002&8|4&3000011&3,-1,20180001,-1,10180201,1011015.0
202,1011,2,15,4&1000002&8,-1,20180002,-1,10180202,1011016.0
203,1011,3,30,4&1000002&8|4&3000011&3,-1,20180002,-1,10180203,1011016.0
204,1011,4,80,4&1000002&8,-1,20180003,-1,10180204,1011017.0
205,1011,5,160,4&1000002&8|4&3000011&3,-1,20180003,-1,10180205,1011017.0
206,1011,6,280,4&1000002&8,-1,20180004,-1,10180206,1011018.0
207,1011,7,440,4&1000002&8|4&3000011&5,-1,20180004,-1,10180207,1011018.0
208,1011,8,640,4&1000002&8,-1,20180005,-1,10180208,1011019.0
209,1011,9,840,4&1000002&8,-1,20180005,-1,10180209,1011019.0
210,1011,10,1040,4&1000002&8|4&3000011&5,-1,20180005,-1,10180210,1011019.0
211,1011,11,1240,4&1000002&8,-1,20180006,-1,10180211,1011020.0
212,1011,12,1540,4&1000002&8,-1,20180006,-1,10180212,1011020.0
213,1011,13,1840,4&1000002&8|4&3000011&5,-1,20180006,-1,10180213,1011020.0
214,1011,14,2140,4&1000002&8,-1,20180007,-1,10180214,1011021.0
215,1011,15,2440,4&1000002&8,-1,20180007,-1,10180215,1011021.0
216,1011,16,2740,4&1000002&8|4&3000011&8,-1,20180007,-1,10180216,1011021.0
217,1011,17,3040,4&1000002&8,-1,20180008,-1,10180217,1011022.0
218,1011,18,3340,4&1000002&8,-1,20180008,-1,10180218,1011022.0
219,1011,19,3640,4&1000002&8|4&3000011&8,-1,20180008,-1,10180219,1011022.0
220,1011,20,-1,-1,-1,20180009,-1,10180220,1011023.0
221,1012,1,5,4&1000002&5|4&3000012&3,-1,20180001,-1,10180221,1012015.0
222,1012,2,15,4&1000002&5,-1,20180002,-1,10180222,1012016.0
223,1012,3,30,4&1000002&5|4&3000012&3,-1,20180002,-1,10180223,1012016.0
224,1012,4,80,4&1000002&5,-1,20180003,-1,10180224,1012017.0
225,1012,5,160,4&1000002&5|4&3000012&3,-1,20180003,-1,10180225,1012017.0
226,1012,6,280,4&1000002&5,-1,20180004,-1,10180226,1012018.0
227,1012,7,440,4&1000002&5|4&3000012&5,-1,20180004,-1,10180227,1012018.0
228,1012,8,640,4&1000002&5,-1,20180005,-1,10180228,1012019.0
229,1012,9,840,4&1000002&5,-1,20180005,-1,10180229,1012019.0
230,1012,10,1040,4&1000002&5|4&3000012&5,-1,20180005,-1,10180230,1012019.0
231,1012,11,1240,4&1000002&5,-1,20180006,-1,10180231,1012020.0
232,1012,12,1540,4&1000002&5,-1,20180006,-1,10180232,1012020.0
233,1012,13,1840,4&1000002&5|4&3000012&5,-1,20180006,-1,10180233,1012020.0
234,1012,14,2140,4&1000002&5,-1,20180007,-1,10180234,1012021.0
235,1012,15,2440,4&1000002&5,-1,20180007,-1,10180235,1012021.0
236,1012,16,2740,4&1000002&5|4&3000012&8,-1,20180007,-1,10180236,1012021.0
237,1012,17,3040,4&1000002&5,-1,20180008,-1,10180237,1012022.0
238,1012,18,3340,4&1000002&5,-1,20180008,-1,10180238,1012022.0
239,1012,19,3640,4&1000002&5|4&3000012&8,-1,20180008,-1,10180239,1012022.0
240,1012,20,-1,-1,-1,20180009,-1,10180240,1012023.0
241,1013,1,5,4&1000002&10|4&3000013&3,-1,20180001,-1,10180241,1013015.0
242,1013,2,15,4&1000002&10,-1,20180002,-1,10180242,1013016.0
243,1013,3,30,4&1000002&10|4&3000013&3,-1,20180002,-1,10180243,1013016.0
244,1013,4,80,4&1000002&10,-1,20180003,-1,10180244,1013017.0
245,1013,5,160,4&1000002&10|4&3000013&3,-1,20180003,-1,10180245,1013017.0
246,1013,6,280,4&1000002&10,-1,20180004,-1,10180246,1013018.0
247,1013,7,440,4&1000002&10|4&3000013&5,-1,20180004,-1,10180247,1013018.0
248,1013,8,640,4&1000002&10,-1,20180005,-1,10180248,1013019.0
249,1013,9,840,4&1000002&10,-1,20180005,-1,10180249,1013019.0
250,1013,10,1040,4&1000002&10|4&3000013&5,-1,20180005,-1,10180250,1013019.0
251,1013,11,1240,4&1000002&10,-1,20180006,-1,10180251,1013020.0
252,1013,12,1540,4&1000002&10,-1,20180006,-1,10180252,1013020.0
253,1013,13,1840,4&1000002&10|4&3000013&5,-1,20180006,-1,10180253,1013020.0
254,1013,14,2140,4&1000002&10,-1,20180007,-1,10180254,1013021.0
255,1013,15,2440,4&1000002&10,-1,20180007,-1,10180255,1013021.0
256,1013,16,2740,4&1000002&10|4&3000013&8,-1,20180007,-1,10180256,1013021.0
257,1013,17,3040,4&1000002&10,-1,20180008,-1,10180257,1013022.0
258,1013,18,3340,4&1000002&10,-1,20180008,-1,10180258,1013022.0
259,1013,19,3640,4&1000002&10|4&3000013&8,-1,20180008,-1,10180259,1013022.0
260,1013,20,-1,-1,-1,20180009,-1,10180260,1013023.0
261,1014,1,5,4&1000002&8|4&3000014&3,-1,20180001,-1,10180261,1014015.0
262,1014,2,15,4&1000002&8,-1,20180002,-1,10180262,1014016.0
263,1014,3,30,4&1000002&8|4&3000014&3,-1,20180002,-1,10180263,1014016.0
264,1014,4,80,4&1000002&8,-1,20180003,-1,10180264,1014017.0
265,1014,5,160,4&1000002&8|4&3000014&3,-1,20180003,-1,10180265,1014017.0
266,1014,6,280,4&1000002&8,-1,20180004,-1,10180266,1014018.0
267,1014,7,440,4&1000002&8|4&3000014&5,-1,20180004,-1,10180267,1014018.0
268,1014,8,640,4&1000002&8,-1,20180005,-1,10180268,1014019.0
269,1014,9,840,4&1000002&8,-1,20180005,-1,10180269,1014019.0
270,1014,10,1040,4&1000002&8|4&3000014&5,-1,20180005,-1,10180270,1014019.0
271,1014,11,1240,4&1000002&8,-1,20180006,-1,10180271,1014020.0
272,1014,12,1540,4&1000002&8,-1,20180006,-1,10180272,1014020.0
273,1014,13,1840,4&1000002&8|4&3000014&5,-1,20180006,-1,10180273,1014020.0
274,1014,14,2140,4&1000002&8,-1,20180007,-1,10180274,1014021.0
275,1014,15,2440,4&1000002&8,-1,20180007,-1,10180275,1014021.0
276,1014,16,2740,4&1000002&8|4&3000014&8,-1,20180007,-1,10180276,1014021.0
277,1014,17,3040,4&1000002&8,-1,20180008,-1,10180277,1014022.0
278,1014,18,3340,4&1000002&8,-1,20180008,-1,10180278,1014022.0
279,1014,19,3640,4&1000002&8|4&3000014&8,-1,20180008,-1,10180279,1014022.0
280,1014,20,-1,-1,-1,20180009,-1,10180280,1014023.0
281,1015,1,5,4&1000002&5|4&3000015&3,-1,20180001,-1,10180281,1015015.0
282,1015,2,15,4&1000002&5,-1,20180002,-1,10180282,1015016.0
283,1015,3,30,4&1000002&5|4&3000015&3,-1,20180002,-1,10180283,1015016.0
284,1015,4,80,4&1000002&5,-1,20180003,-1,10180284,1015017.0
285,1015,5,160,4&1000002&5|4&3000015&3,-1,20180003,-1,10180285,1015017.0
286,1015,6,280,4&1000002&5,-1,20180004,-1,10180286,1015018.0
287,1015,7,440,4&1000002&5|4&3000015&5,-1,20180004,-1,10180287,1015018.0
288,1015,8,640,4&1000002&5,-1,20180005,-1,10180288,1015019.0
289,1015,9,840,4&1000002&5,-1,20180005,-1,10180289,1015019.0
290,1015,10,1040,4&1000002&5|4&3000015&5,-1,20180005,-1,10180290,1015019.0
291,1015,11,1240,4&1000002&5,-1,20180006,-1,10180291,1015020.0
292,1015,12,1540,4&1000002&5,-1,20180006,-1,10180292,1015020.0
293,1015,13,1840,4&1000002&5|4&3000015&5,-1,20180006,-1,10180293,1015020.0
294,1015,14,2140,4&1000002&5,-1,20180007,-1,10180294,1015021.0
295,1015,15,2440,4&1000002&5,-1,20180007,-1,10180295,1015021.0
296,1015,16,2740,4&1000002&5|4&3000015&8,-1,20180007,-1,10180296,1015021.0
297,1015,17,3040,4&1000002&5,-1,20180008,-1,10180297,1015022.0
298,1015,18,3340,4&1000002&5,-1,20180008,-1,10180298,1015022.0
299,1015,19,3640,4&1000002&5|4&3000015&8,-1,20180008,-1,10180299,1015022.0
300,1015,20,-1,-1,-1,20180009,-1,10180300,1015023.0
301,1016,1,5,4&1000002&8|4&3000016&3,-1,20180001,-1,10180301,1016015.0
302,1016,2,15,4&1000002&8,-1,20180002,-1,10180302,1016016.0
303,1016,3,30,4&1000002&8|4&3000016&3,-1,20180002,-1,10180303,1016016.0
304,1016,4,80,4&1000002&8,-1,20180003,-1,10180304,1016017.0
305,1016,5,160,4&1000002&8|4&3000016&3,-1,20180003,-1,10180305,1016017.0
306,1016,6,280,4&1000002&8,-1,20180004,-1,10180306,1016018.0
307,1016,7,440,4&1000002&8|4&3000016&5,-1,20180004,-1,10180307,1016018.0
308,1016,8,640,4&1000002&8,-1,20180005,-1,10180308,1016019.0
309,1016,9,840,4&1000002&8,-1,20180005,-1,10180309,1016019.0
310,1016,10,1040,4&1000002&8|4&3000016&5,-1,20180005,-1,10180310,1016019.0
311,1016,11,1240,4&1000002&8,-1,20180006,-1,10180311,1016020.0
312,1016,12,1540,4&1000002&8,-1,20180006,-1,10180312,1016020.0
313,1016,13,1840,4&1000002&8|4&3000016&5,-1,20180006,-1,10180313,1016020.0
314,1016,14,2140,4&1000002&8,-1,20180007,-1,10180314,1016021.0
315,1016,15,2440,4&1000002&8,-1,20180007,-1,10180315,1016021.0
316,1016,16,2740,4&1000002&8|4&3000016&8,-1,20180007,-1,10180316,1016021.0
317,1016,17,3040,4&1000002&8,-1,20180008,-1,10180317,1016022.0
318,1016,18,3340,4&1000002&8,-1,20180008,-1,10180318,1016022.0
319,1016,19,3640,4&1000002&8|4&3000016&8,-1,20180008,-1,10180319,1016022.0
320,1016,20,-1,-1,-1,20180009,-1,10180320,1016023.0
321,1017,1,5,4&1000002&5|4&3000017&3,-1,20180001,-1,10180321,1017015.0
322,1017,2,15,4&1000002&5,-1,20180002,-1,10180322,1017016.0
323,1017,3,30,4&1000002&5|4&3000017&3,-1,20180002,-1,10180323,1017016.0
324,1017,4,80,4&1000002&5,-1,20180003,-1,10180324,1017017.0
325,1017,5,160,4&1000002&5|4&3000017&3,-1,20180003,-1,10180325,1017017.0
326,1017,6,280,4&1000002&5,-1,20180004,-1,10180326,1017018.0
327,1017,7,440,4&1000002&5|4&3000017&5,-1,20180004,-1,10180327,1017018.0
328,1017,8,640,4&1000002&5,-1,20180005,-1,10180328,1017019.0
329,1017,9,840,4&1000002&5,-1,20180005,-1,10180329,1017019.0
330,1017,10,1040,4&1000002&5|4&3000017&5,-1,20180005,-1,10180330,1017019.0
331,1017,11,1240,4&1000002&5,-1,20180006,-1,10180331,1017020.0
332,1017,12,1540,4&1000002&5,-1,20180006,-1,10180332,1017020.0
333,1017,13,1840,4&1000002&5|4&3000017&5,-1,20180006,-1,10180333,1017020.0
334,1017,14,2140,4&1000002&5,-1,20180007,-1,10180334,1017021.0
335,1017,15,2440,4&1000002&5,-1,20180007,-1,10180335,1017021.0
336,1017,16,2740,4&1000002&5|4&3000017&8,-1,20180007,-1,10180336,1017021.0
337,1017,17,3040,4&1000002&5,-1,20180008,-1,10180337,1017022.0
338,1017,18,3340,4&1000002&5,-1,20180008,-1,10180338,1017022.0
339,1017,19,3640,4&1000002&5|4&3000017&8,-1,20180008,-1,10180339,1017022.0
340,1017,20,-1,-1,-1,20180009,-1,10180340,1017023.0
341,1018,1,5,4&1000002&5|4&3000018&3,-1,20180001,-1,10180341,1018015.0
342,1018,2,15,4&1000002&5,-1,20180002,-1,10180342,1018016.0
