升级消耗id,组id,等级,消耗货币,材料1&数量,材料2&数量,材料3&数量,策划专用（货币系数）
12101510,121015,10,1000001&80000,4000301&26,4000304&13,4000305&7,10
12102101,121021,1,1000001&8000,4000201&6,0,0,10
12102102,121021,2,1000001&16000,4000201&10,4000204&5,0,10
12102103,121021,3,1000001&24000,4000301&6,4000204&6,4000206&3,10
12102104,121021,4,1000001&32000,4000301&10,4000304&5,0,10
12102105,121021,5,1000001&40000,4000301&14,4000304&7,0,10
12102106,121021,6,1000001&48000,4000301&18,4000304&9,4000306&5,10
12102107,121021,7,1000001&56000,4000301&22,4000304&11,4000306&6,10
12102108,121021,8,1000001&64000,4000401&10,4000304&13,4000306&7,10
12102109,121021,9,1000001&72000,4000401&14,4000304&15,4000306&8,10
12102110,121021,10,1000001&80000,4000401&18,4000304&17,4000306&9,10
12102201,121022,1,1000001&8000,4000201&6,0,0,10
12102202,121022,2,1000001&16000,4000201&10,4000204&5,0,10
12102203,121022,3,1000001&24000,4000301&6,4000204&6,4000206&3,10
12102204,121022,4,1000001&32000,4000301&10,4000304&5,0,10
12102205,121022,5,1000001&40000,4000301&14,4000304&7,0,10
12102206,121022,6,1000001&48000,4000301&18,4000304&9,4000306&5,10
12102207,121022,7,1000001&56000,4000301&22,4000304&11,4000306&6,10
12102208,121022,8,1000001&64000,4000401&10,4000304&13,4000306&7,10
12102209,121022,9,1000001&72000,4000401&14,4000304&15,4000306&8,10
12102210,121022,10,1000001&80000,4000401&18,4000304&17,4000306&9,10
12102501,121025,1,1000001&8000,4000201&6,0,0,10
12102502,121025,2,1000001&16000,4000201&10,4000204&5,0,10
12102503,121025,3,1000001&24000,4000301&6,4000204&6,4000206&3,10
12102504,121025,4,1000001&32000,4000301&10,4000304&5,0,10
12102505,121025,5,1000001&40000,4000301&14,4000304&7,0,10
12102506,121025,6,1000001&48000,4000301&18,4000304&9,4000306&5,10
12102507,121025,7,1000001&56000,4000301&22,4000304&11,4000306&6,10
12102508,121025,8,1000001&64000,4000401&10,4000304&13,4000306&7,10
12102509,121025,9,1000001&72000,4000401&14,4000304&15,4000306&8,10
12102510,121025,10,1000001&80000,4000401&18,4000304&17,4000306&9,10
13151101,131511,1,1000001&12000,4000201&6,4000204&3,0,15
13151102,131511,2,1000001&24000,4000201&10,4000204&5,0,15
13151103,131511,3,1000001&36000,4000201&14,4000204&7,4000205&4,15
13151104,131511,4,1000001&48000,4000301&8,4000204&9,4000205&5,15
13151105,131511,5,1000001&60000,4000301&12,4000304&6,0,15
13151106,131511,6,1000001&72000,4000301&16,4000304&8,0,15
13151107,131511,7,1000001&84000,4000301&20,4000304&10,4000305&5,15
13151108,131511,8,1000001&96000,4000301&24,4000304&12,4000305&6,15
13151109,131511,9,1000001&108000,4000401&10,4000304&14,4000305&7,15
13151110,131511,10,1000001&120000,4000401&14,4000404&7,0,15
13151111,131511,11,1000001&132000,4000401&18,4000404&9,0,15
13151112,131511,12,1000001&144000,4000401&22,4000404&11,0,15
13151113,131511,13,1000001&156000,4000401&26,4000404&13,4000405&7,15
13151114,131511,14,1000001&168000,4000401&30,4000404&15,4000405&8,15
13151115,131511,15,1000001&180000,4000401&34,4000404&17,4000405&9,15
13151201,131512,1,1000001&12000,4000201&6,4000204&3,0,15
13151202,131512,2,1000001&24000,4000201&10,4000204&5,0,15
13151203,131512,3,1000001&36000,4000201&14,4000204&7,4000205&4,15
13151204,131512,4,1000001&48000,4000301&8,4000204&9,4000205&5,15
13151205,131512,5,1000001&60000,4000301&12,4000304&6,0,15
13151206,131512,6,1000001&72000,4000301&16,4000304&8,0,15
13151207,131512,7,1000001&84000,4000301&20,4000304&10,4000305&5,15
13151208,131512,8,1000001&96000,4000301&24,4000304&12,4000305&6,15
13151209,131512,9,1000001&108000,4000401&10,4000304&14,4000305&7,15
13151210,131512,10,1000001&120000,4000401&14,4000404&7,0,15
13151211,131512,11,1000001&132000,4000401&18,4000404&9,0,15
13151212,131512,12,1000001&144000,4000401&22,4000404&11,0,15
13151213,131512,13,1000001&156000,4000401&26,4000404&13,4000405&7,15
13151214,131512,14,1000001&168000,4000401&30,4000404&15,4000405&8,15
13151215,131512,15,1000001&180000,4000401&34,4000404&17,4000405&9,15
13151501,131515,1,1000001&12000,4000201&6,4000204&3,0,15
13151502,131515,2,1000001&24000,4000201&10,4000204&5,0,15
13151503,131515,3,1000001&36000,4000201&14,4000204&7,4000205&4,15
13151504,131515,4,1000001&48000,4000301&8,4000204&9,4000205&5,15
13151505,131515,5,1000001&60000,4000301&12,4000304&6,0,15
13151506,131515,6,1000001&72000,4000301&16,4000304&8,0,15
13151507,131515,7,1000001&84000,4000301&20,4000304&10,4000305&5,15
13151508,131515,8,1000001&96000,4000301&24,4000304&12,4000305&6,15
13151509,131515,9,1000001&108000,4000401&10,4000304&14,4000305&7,15
13151510,131515,10,1000001&120000,4000401&14,4000404&7,0,15
13151511,131515,11,1000001&132000,4000401&18,4000404&9,0,15
13151512,131515,12,1000001&144000,4000401&22,4000404&11,0,15
13151513,131515,13,1000001&156000,4000401&26,4000404&13,4000405&7,15
13151514,131515,14,1000001&168000,4000401&30,4000404&15,4000405&8,15
13151515,131515,15,1000001&180000,4000401&34,4000404&17,4000405&9,15
13152101,131521,1,1000001&12000,4000301&4,0,0,15
13152102,131521,2,1000001&24000,4000301&8,4000304&4,0,15
13152103,131521,3,1000001&36000,4000301&12,4000304&6,4000306&3,15
13152104,131521,4,1000001&48000,4000301&16,4000304&8,4000306&4,15
13152105,131521,5,1000001&60000,4000301&20,4000304&10,4000306&5,15
13152106,131521,6,1000001&72000,4000301&24,4000304&12,4000306&6,15
13152107,131521,7,1000001&84000,4000301&28,4000304&14,4000306&7,15
13152108,131521,8,1000001&96000,4000401&8,4000304&16,4000306&8,15
13152109,131521,9,1000001&108000,4000401&12,4000404&6,0,15
13152110,131521,10,1000001&120000,4000401&16,4000404&8,0,15
13152111,131521,11,1000001&132000,4000401&20,4000404&10,4000406&5,15
13152112,131521,12,1000001&144000,4000401&24,4000404&12,4000406&6,15
13152113,131521,13,1000001&156000,4000401&28,4000404&14,4000406&7,15
13152114,131521,14,1000001&168000,4000401&32,4000404&16,4000406&8,15
13152115,131521,15,1000001&180000,4000401&36,4000404&18,4000406&9,15
13152201,131522,1,1000001&12000,4000301&4,0,0,15
13152202,131522,2,1000001&24000,4000301&8,4000304&4,0,15
13152203,131522,3,1000001&36000,4000301&12,4000304&6,4000306&3,15
13152204,131522,4,1000001&48000,4000301&16,4000304&8,4000306&4,15
13152205,131522,5,1000001&60000,4000301&20,4000304&10,4000306&5,15
13152206,131522,6,1000001&72000,4000301&24,4000304&12,4000306&6,15
13152207,131522,7,1000001&84000,4000301&28,4000304&14,4000306&7,15
13152208,131522,8,1000001&96000,4000401&8,4000304&16,4000306&8,15
13152209,131522,9,1000001&108000,4000401&12,4000404&6,0,15
13152210,131522,10,1000001&120000,4000401&16,4000404&8,0,15
13152211,131522,11,1000001&132000,4000401&20,4000404&10,4000406&5,15
13152212,131522,12,1000001&144000,4000401&24,4000404&12,4000406&6,15
13152213,131522,13,1000001&156000,4000401&28,4000404&14,4000406&7,15
13152214,131522,14,1000001&168000,4000401&32,4000404&16,4000406&8,15
13152215,131522,15,1000001&180000,4000401&36,4000404&18,4000406&9,15
13152501,131525,1,1000001&12000,4000301&4,0,0,15
13152502,131525,2,1000001&24000,4000301&8,4000304&4,0,15
13152503,131525,3,1000001&36000,4000301&12,4000304&6,4000306&3,15
13152504,131525,4,1000001&48000,4000301&16,4000304&8,4000306&4,15
13152505,131525,5,1000001&60000,4000301&20,4000304&10,4000306&5,15
13152506,131525,6,1000001&72000,4000301&24,4000304&12,4000306&6,15
13152507,131525,7,1000001&84000,4000301&28,4000304&14,4000306&7,15
13152508,131525,8,1000001&96000,4000401&8,4000304&16,4000306&8,15
13152509,131525,9,1000001&108000,4000401&12,4000404&6,0,15
13152510,131525,10,1000001&120000,4000401&16,4000404&8,0,15
13152511,131525,11,1000001&132000,4000401&20,4000404&10,4000406&5,15
13152512,131525,12,1000001&144000,4000401&24,4000404&12,4000406&6,15
13152513,131525,13,1000001&156000,4000401&28,4000404&14,4000406&7,15
13152514,131525,14,1000001&168000,4000401&32,4000404&16,4000406&8,15
13152515,131525,15,1000001&180000,4000401&36,4000404&18,4000406&9,15
13152701,131527,1,1000001&12000,4000401&1,0,0,15
13152702,131527,2,1000001&24000,4000401&6,4000404&3,0,15
13152703,131527,3,1000001&36000,4000401&10,4000404&5,4000405&3,15
13152704,131527,4,1000001&48000,4000401&14,4000404&7,4000405&4,15
13152705,131527,5,1000001&60000,4000401&18,4000404&9,4000405&5,15
13152801,131528,1,1000001&12000,4000401&1,0,0,15
13152802,131528,2,1000001&24000,4000401&6,4000404&3,0,15
13152803,131528,3,1000001&36000,4000401&10,4000404&5,4000406&3,15
13152804,131528,4,1000001&48000,4000401&14,4000404&7,4000406&4,15
13152805,131528,5,1000001&60000,4000401&18,4000404&9,4000406&5,15
21051101,210511,1,1000001&4000,4000102&6,0,0,5
21051102,210511,2,1000001&8000,4000102&8,4000105&4,0,5
21051103,210511,3,1000001&12000,4000102&10,4000105&5,0,5
21051104,210511,4,1000001&16000,4000202&8,4000105&6,0,5
21051105,210511,5,1000001&20000,4000202&10,4000105&7,4000106&4,5
21051201,210512,1,1000001&4000,4000102&6,0,0,5
21051202,210512,2,1000001&8000,4000102&8,4000105&4,0,5
21051203,210512,3,1000001&12000,4000102&10,4000105&5,0,5
21051204,210512,4,1000001&16000,4000202&8,4000105&6,0,5
21051205,210512,5,1000001&20000,4000202&10,4000105&7,4000106&4,5
21051501,210515,1,1000001&4000,4000102&6,0,0,5
21051502,210515,2,1000001&8000,4000102&8,4000105&4,0,5
21051503,210515,3,1000001&12000,4000102&10,4000105&5,0,5
21051504,210515,4,1000001&16000,4000202&8,4000105&6,0,5
21051505,210515,5,1000001&20000,4000202&10,4000105&7,4000106&4,5
21052101,210521,1,1000001&4000,4000202&6,0,0,5
21052102,210521,2,1000001&8000,4000202&8,4000105&4,0,5
21052103,210521,3,1000001&12000,4000202&10,4000105&5,0,5
21052104,210521,4,1000001&16000,4000302&8,4000205&4,0,5
21052105,210521,5,1000001&20000,4000302&10,4000205&5,4000204&3,5
21052201,210522,1,1000001&4000,4000202&6,0,0,5
21052202,210522,2,1000001&8000,4000202&8,4000105&4,0,5
21052203,210522,3,1000001&12000,4000202&10,4000105&5,0,5
21052204,210522,4,1000001&16000,4000302&8,4000205&4,0,5
21052205,210522,5,1000001&20000,4000302&10,4000205&5,4000204&3,5
21052501,210525,1,1000001&4000,4000202&6,0,0,5
21052502,210525,2,1000001&8000,4000202&8,4000105&4,0,5
21052503,210525,3,1000001&12000,4000202&10,4000105&5,0,5
21052504,210525,4,1000001&16000,4000302&8,4000205&4,0,5
21052505,210525,5,1000001&20000,4000302&10,4000205&5,4000204&3,5
22101101,221011,1,1000001&8000,4000102&6,0,0,10
22101102,221011,2,1000001&16000,4000102&10,4000105&5,0,10
22101103,221011,3,1000001&24000,4000202&6,4000105&6,4000106&3,10
22101104,221011,4,1000001&32000,4000202&10,4000205&5,0,10
22101105,221011,5,1000001&40000,4000202&14,4000205&7,0,10
22101106,221011,6,1000001&48000,4000302&10,4000205&9,4000206&5,10
22101107,221011,7,1000001&56000,4000302&14,4000205&11,4000206&6,10
22101108,221011,8,1000001&64000,4000302&18,4000305&9,0,10
22101109,221011,9,1000001&72000,4000302&22,4000305&11,0,10
22101110,221011,10,1000001&80000,4000302&26,4000305&13,4000306&7,10
22101201,221012,1,1000001&8000,4000102&6,0,0,10
22101202,221012,2,1000001&16000,4000102&10,4000105&5,0,10
22101203,221012,3,1000001&24000,4000202&6,4000105&6,4000106&3,10
22101204,221012,4,1000001&32000,4000202&10,4000205&5,0,10
22101205,221012,5,1000001&40000,4000202&14,4000205&7,0,10
22101206,221012,6,1000001&48000,4000302&10,4000205&9,4000206&5,10
22101207,221012,7,1000001&56000,4000302&14,4000205&11,4000206&6,10
22101208,221012,8,1000001&64000,4000302&18,4000305&9,0,10
22101209,221012,9,1000001&72000,4000302&22,4000305&11,0,10
22101210,221012,10,1000001&80000,4000302&26,4000305&13,4000306&7,10
22101501,221015,1,1000001&8000,4000102&6,0,0,10
22101502,221015,2,1000001&16000,4000102&10,4000105&5,0,10
22101503,221015,3,1000001&24000,4000202&6,4000105&6,4000106&3,10
22101504,221015,4,1000001&32000,4000202&10,4000205&5,0,10
22101505,221015,5,1000001&40000,4000202&14,4000205&7,0,10
22101506,221015,6,1000001&48000,4000302&10,4000205&9,4000206&5,10
22101507,221015,7,1000001&56000,4000302&14,4000205&11,4000206&6,10
22101508,221015,8,1000001&64000,4000302&18,4000305&9,0,10
22101509,221015,9,1000001&72000,4000302&22,4000305&11,0,10
22101510,221015,10,1000001&80000,4000302&26,4000305&13,4000306&7,10
22102101,221021,1,1000001&8000,4000202&6,0,0,10
22102102,221021,2,1000001&16000,4000202&10,4000205&5,0,10
22102103,221021,3,1000001&24000,4000302&6,4000205&6,4000204&3,10
22102104,221021,4,1000001&32000,4000302&10,4000305&5,0,10
22102105,221021,5,1000001&40000,4000302&14,4000305&7,0,10
22102106,221021,6,1000001&48000,4000302&18,4000305&9,4000304&5,10
22102107,221021,7,1000001&56000,4000302&22,4000305&11,4000304&6,10
22102108,221021,8,1000001&64000,4000402&10,4000305&13,4000304&7,10
22102109,221021,9,1000001&72000,4000402&14,4000305&15,4000304&8,10
22102110,221021,10,1000001&80000,4000402&18,4000305&17,4000304&9,10
22102201,221022,1,1000001&8000,4000202&6,0,0,10
22102202,221022,2,1000001&16000,4000202&10,4000205&5,0,10
22102203,221022,3,1000001&24000,4000302&6,4000205&6,4000204&3,10
22102204,221022,4,1000001&32000,4000302&10,4000305&5,0,10
22102205,221022,5,1000001&40000,4000302&14,4000305&7,0,10
22102206,221022,6,1000001&48000,4000302&18,4000305&9,4000304&5,10
22102207,221022,7,1000001&56000,4000302&22,4000305&11,4000304&6,10
22102208,221022,8,1000001&64000,4000402&10,4000305&13,4000304&7,10
22102209,221022,9,1000001&72000,4000402&14,4000305&15,4000304&8,10
22102210,221022,10,1000001&80000,4000402&18,4000305&17,4000304&9,10
22102501,221025,1,1000001&8000,4000202&6,0,0,10
22102502,221025,2,1000001&16000,4000202&10,4000205&5,0,10
22102503,221025,3,1000001&24000,4000302&6,4000205&6,4000204&3,10
22102504,221025,4,1000001&32000,4000302&10,4000305&5,0,10
22102505,221025,5,1000001&40000,4000302&14,4000305&7,0,10
22102506,221025,6,1000001&48000,4000302&18,4000305&9,4000304&5,10
22102507,221025,7,1000001&56000,4000302&22,4000305&11,4000304&6,10
22102508,221025,8,1000001&64000,4000402&10,4000305&13,4000304&7,10
22102509,221025,9,1000001&72000,4000402&14,4000305&15,4000304&8,10
22102510,221025,10,1000001&80000,4000402&18,4000305&17,4000304&9,10
23151101,231511,1,1000001&12000,4000202&6,4000205&3,0,15
23151102,231511,2,1000001&24000,4000202&10,4000205&5,0,15
23151103,231511,3,1000001&36000,4000202&14,4000205&7,4000206&4,15
23151104,231511,4,1000001&48000,4000302&8,4000205&9,4000206&5,15
23151105,231511,5,1000001&60000,4000302&12,4000305&6,0,15
23151106,231511,6,1000001&72000,4000302&16,4000305&8,0,15
23151107,231511,7,1000001&84000,4000302&20,4000305&10,4000306&5,15
23151108,231511,8,1000001&96000,4000302&24,4000305&12,4000306&6,15
23151109,231511,9,1000001&108000,4000402&10,4000305&14,4000306&7,15
23151110,231511,10,1000001&120000,4000402&14,4000405&7,0,15
23151111,231511,11,1000001&132000,4000402&18,4000405&9,0,15
23151112,231511,12,1000001&144000,4000402&22,4000405&11,0,15
23151113,231511,13,1000001&156000,4000402&26,4000405&13,4000406&7,15
23151114,231511,14,1000001&168000,4000402&30,4000405&15,4000406&8,15
23151115,231511,15,1000001&180000,4000402&34,4000405&17,4000406&9,15
23151201,231512,1,1000001&12000,4000202&6,4000205&3,0,15
23151202,231512,2,1000001&24000,4000202&10,4000205&5,0,15
23151203,231512,3,1000001&36000,4000202&14,4000205&7,4000206&4,15
23151204,231512,4,1000001&48000,4000302&8,4000205&9,4000206&5,15
23151205,231512,5,1000001&60000,4000302&12,4000305&6,0,15
23151206,231512,6,1000001&72000,4000302&16,4000305&8,0,15
23151207,231512,7,1000001&84000,4000302&20,4000305&10,4000306&5,15
23151208,231512,8,1000001&96000,4000302&24,4000305&12,4000306&6,15
23151209,231512,9,1000001&108000,4000402&10,4000305&14,4000306&7,15
23151210,231512,10,1000001&120000,4000402&14,4000405&7,0,15
23151211,231512,11,1000001&132000,4000402&18,4000405&9,0,15
23151212,231512,12,1000001&144000,4000402&22,4000405&11,0,15
23151213,231512,13,1000001&156000,4000402&26,4000405&13,4000406&7,15
23151214,231512,14,1000001&168000,4000402&30,4000405&15,4000406&8,15
23151215,231512,15,1000001&180000,4000402&34,4000405&17,4000406&9,15
23151501,231515,1,1000001&12000,4000202&6,4000205&3,0,15
23151502,231515,2,1000001&24000,4000202&10,4000205&5,0,15
23151503,231515,3,1000001&36000,4000202&14,4000205&7,4000206&4,15
23151504,231515,4,1000001&48000,4000302&8,4000205&9,4000206&5,15
23151505,231515,5,1000001&60000,4000302&12,4000305&6,0,15
23151506,231515,6,1000001&72000,4000302&16,4000305&8,0,15
23151507,231515,7,1000001&84000,4000302&20,4000305&10,4000306&5,15
23151508,231515,8,1000001&96000,4000302&24,4000305&12,4000306&6,15
23151509,231515,9,1000001&108000,4000402&10,4000305&14,4000306&7,15
23151510,231515,10,1000001&120000,4000402&14,4000405&7,0,15
23151511,231515,11,1000001&132000,4000402&18,4000405&9,0,15
23151512,231515,12,1000001&144000,4000402&22,4000405&11,0,15
23151513,231515,13,1000001&156000,4000402&26,4000405&13,4000406&7,15
23151514,231515,14,1000001&168000,4000402&30,4000405&15,4000406&8,15
23151515,231515,15,1000001&180000,4000402&34,4000405&17,4000406&9,15
23152101,231521,1,1000001&12000,4000302&4,0,0,15
23152102,231521,2,1000001&24000,4000302&8,4000305&4,0,15
23152103,231521,3,1000001&36000,4000302&12,4000305&6,4000304&3,15
23152104,231521,4,1000001&48000,4000302&16,4000305&8,4000304&4,15
23152105,231521,5,1000001&60000,4000302&20,4000305&10,4000304&5,15
23152106,231521,6,1000001&72000,4000302&24,4000305&12,4000304&6,15
23152107,231521,7,1000001&84000,4000302&28,4000305&14,4000304&7,15
23152108,231521,8,1000001&96000,4000402&8,4000305&16,4000304&8,15
23152109,231521,9,1000001&108000,4000402&12,4000405&6,0,15
23152110,231521,10,1000001&120000,4000402&16,4000405&8,0,15
23152111,231521,11,1000001&132000,4000402&20,4000405&10,4000404&5,15
23152112,231521,12,1000001&144000,4000402&24,4000405&12,4000404&6,15
23152113,231521,13,1000001&156000,4000402&28,4000405&14,4000404&7,15
23152114,231521,14,1000001&168000,4000402&32,4000405&16,4000404&8,15
23152115,231521,15,1000001&180000,4000402&36,4000405&18,4000404&9,15
23152201,231522,1,1000001&12000,4000302&4,0,0,15
23152202,231522,2,1000001&24000,4000302&8,4000305&4,0,15
23152203,231522,3,1000001&36000,4000302&12,4000305&6,4000304&3,15
23152204,231522,4,1000001&48000,4000302&16,4000305&8,4000304&4,15
23152205,231522,5,1000001&60000,4000302&20,4000305&10,4000304&5,15
23152206,231522,6,1000001&72000,4000302&24,4000305&12,4000304&6,15
23152207,231522,7,1000001&84000,4000302&28,4000305&14,4000304&7,15
23152208,231522,8,1000001&96000,4000402&8,4000305&16,4000304&8,15
23152209,231522,9,1000001&108000,4000402&12,4000405&6,0,15
23152210,231522,10,1000001&120000,4000402&16,4000405&8,0,15
23152211,231522,11,1000001&132000,4000402&20,4000405&10,4000404&5,15
23152212,231522,12,1000001&144000,4000402&24,4000405&12,4000404&6,15
23152213,231522,13,1000001&156000,4000402&28,4000405&14,4000404&7,15
23152214,231522,14,1000001&168000,4000402&32,4000405&16,4000404&8,15
23152215,231522,15,1000001&180000,4000402&36,4000405&18,4000404&9,15
23152501,231525,1,1000001&12000,4000302&4,0,0,15
23152502,231525,2,1000001&24000,4000302&8,4000305&4,0,15
23152503,231525,3,1000001&36000,4000302&12,4000305&6,4000304&3,15
23152504,231525,4,1000001&48000,4000302&16,4000305&8,4000304&4,15
23152505,231525,5,1000001&60000,4000302&20,4000305&10,4000304&5,15
23152506,231525,6,1000001&72000,4000302&24,4000305&12,4000304&6,15
23152507,231525,7,1000001&84000,4000302&28,4000305&14,4000304&7,15
23152508,231525,8,1000001&96000,4000402&8,4000305&16,4000304&8,15
23152509,231525,9,1000001&108000,4000402&12,4000405&6,0,15
23152510,231525,10,1000001&120000,4000402&16,4000405&8,0,15
23152511,231525,11,1000001&132000,4000402&20,4000405&10,4000404&5,15
23152512,231525,12,1000001&144000,4000402&24,4000405&12,4000404&6,15
23152513,231525,13,1000001&156000,4000402&28,4000405&14,4000404&7,15
23152514,231525,14,1000001&168000,4000402&32,4000405&16,4000404&8,15
23152515,231525,15,1000001&180000,4000402&36,4000405&18,4000404&9,15
23152701,231527,1,1000001&12000,4000402&1,0,0,15
23152702,231527,2,1000001&24000,4000402&6,4000405&3,0,15
23152703,231527,3,1000001&36000,4000402&10,4000405&5,4000406&3,15
23152704,231527,4,1000001&48000,4000402&14,4000405&7,4000406&4,15
23152705,231527,5,1000001&60000,4000402&18,4000405&9,4000406&5,15
23152801,231528,1,1000001&12000,4000402&1,0,0,15
23152802,231528,2,1000001&24000,4000402&6,4000405&3,0,15
23152803,231528,3,1000001&36000,4000402&10,4000405&5,4000404&3,15
23152804,231528,4,1000001&48000,4000402&14,4000405&7,4000404&4,15
23152805,231528,5,1000001&60000,4000402&18,4000405&9,4000404&5,15
31051101,310511,1,1000001&4000,4000103&6,0,0,5
31051102,310511,2,1000001&8000,4000103&8,4000106&4,0,5
31051103,310511,3,1000001&12000,4000103&10,4000106&5,0,5
31051104,310511,4,1000001&16000,4000203&8,4000106&6,0,5
31051105,310511,5,1000001&20000,4000203&10,4000106&7,4000104&4,5
31051201,310512,1,1000001&4000,4000103&6,0,0,5
31051202,310512,2,1000001&8000,4000103&8,4000106&4,0,5
31051203,310512,3,1000001&12000,4000103&10,4000106&5,0,5
31051204,310512,4,1000001&16000,4000203&8,4000106&6,0,5
31051205,310512,5,1000001&20000,4000203&10,4000106&7,4000104&4,5
31051501,310515,1,1000001&4000,4000103&6,0,0,5
31051502,310515,2,1000001&8000,4000103&8,4000106&4,0,5
31051503,310515,3,1000001&12000,4000103&10,4000106&5,0,5
31051504,310515,4,1000001&16000,4000203&8,4000106&6,0,5
31051505,310515,5,1000001&20000,4000203&10,4000106&7,4000104&4,5
31052101,310521,1,1000001&4000,4000203&6,0,0,5
31052102,310521,2,1000001&8000,4000203&8,4000106&4,0,5
31052103,310521,3,1000001&12000,4000203&10,4000106&5,0,5
31052104,310521,4,1000001&16000,4000303&8,4000206&4,0,5
31052105,310521,5,1000001&20000,4000303&10,4000206&5,4000205&3,5
31052201,310522,1,1000001&4000,4000203&6,0,0,5
31052202,310522,2,1000001&8000,4000203&8,4000106&4,0,5
31052203,310522,3,1000001&12000,4000203&10,4000106&5,0,5
31052204,310522,4,1000001&16000,4000303&8,4000206&4,0,5
31052205,310522,5,1000001&20000,4000303&10,4000206&5,4000205&3,5
31052501,310525,1,1000001&4000,4000203&6,0,0,5
31052502,310525,2,1000001&8000,4000203&8,4000106&4,0,5
31052503,310525,3,1000001&12000,4000203&10,4000106&5,0,5
31052504,310525,4,1000001&16000,4000303&8,4000206&4,0,5
31052505,310525,5,1000001&20000,4000303&10,4000206&5,4000205&3,5
32101101,321011,1,1000001&8000,4000103&6,0,0,10
