附加效果id,属性BUFF,回血,改变技能,分身相关信息,Debuff,Dot,特殊技能额外效果,弹幕替代式,范围性技能,电流,蜜糖领域,清弹后效果强化,力场
80060301,-1,-1,-1,-1,2&1&100&15&3&5&1&20&15,-1,-1,-1,-1,-1,-1,-1,-1
100703,-1,-1,-1,2|3|2,-1,-1,-1,-1,-1,-1,-1,-1,-1
200703,-1,-1,-1,2|3.5|2,-1,-1,-1,-1,-1,-1,-1,-1,-1
300703,-1,-1,-1,2|4|2,-1,-1,-1,-1,-1,-1,-1,-1,-1
400703,-1,-1,-1,2|4.5|2,-1,-1,-1,-1,-1,-1,-1,-1,-1
500703,-1,-1,-1,2|5|2,-1,-1,-1,-1,-1,-1,-1,-1,-1
600703,-1,-1,-1,2|5.5|2,-1,-1,-1,-1,-1,-1,-1,-1,-1
700703,-1,-1,-1,2|6|2,-1,-1,-1,-1,-1,-1,-1,-1,-1
800703,-1,-1,-1,2|6.5|2,-1,-1,-1,-1,-1,-1,-1,-1,-1
100802,-1,-1,-1,-1,1&1&100&10&3&1&100802|100803&200803&300803&400803&500803&600803&700803&800803,-1,-1,-1,-1,-1,-1,-1,-1
200802,-1,-1,-1,-1,1&1&100&10&3&1&100802|100803&200803&300803&400803&500803&600803&700803&800803,-1,-1,-1,-1,-1,-1,-1,-1
300802,-1,-1,-1,-1,1&1&100&10&3&1&100802|100803&200803&300803&400803&500803&600803&700803&800803,-1,-1,-1,-1,-1,-1,-1,-1
400802,-1,-1,-1,-1,1&1&100&10&3&1&100802|100803&200803&300803&400803&500803&600803&700803&800803,-1,-1,-1,-1,-1,-1,-1,-1
500802,-1,-1,-1,-1,1&1&100&10&3&1&100802|100803&200803&300803&400803&500803&600803&700803&800803,-1,-1,-1,-1,-1,-1,-1,-1
600802,-1,-1,-1,-1,1&1&100&10&3&1&100802|100803&200803&300803&400803&500803&600803&700803&800803,-1,-1,-1,-1,-1,-1,-1,-1
700802,-1,-1,-1,-1,1&1&100&10&3&1&100802|100803&200803&300803&400803&500803&600803&700803&800803,-1,-1,-1,-1,-1,-1,-1,-1
800802,-1,-1,-1,-1,1&1&100&10&3&1&100802|100803&200803&300803&400803&500803&600803&700803&800803,-1,-1,-1,-1,-1,-1,-1,-1
101102,2&1&3&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201102,2&1&5&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301102,2&1&7&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401102,2&1&9&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
501102,2&1&11&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
601102,2&1&13&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
701102,2&1&15&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
801102,2&1&17&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101202,-1,-1,-1,-1,1&1&100&10&1&1&101202|101203&201203&301203&401203&501203&601203&701203&801203,-1,-1,-1,-1,-1,-1,-1,-1
201202,-1,-1,-1,-1,1&1&100&10&1&1&101202|101203&201203&301203&401203&501203&601203&701203&801203,-1,-1,-1,-1,-1,-1,-1,-1
301202,-1,-1,-1,-1,1&1&100&10&1&1&101202|101203&201203&301203&401203&501203&601203&701203&801203,-1,-1,-1,-1,-1,-1,-1,-1
401202,-1,-1,-1,-1,1&1&100&10&1&1&101202|101203&201203&301203&401203&501203&601203&701203&801203,-1,-1,-1,-1,-1,-1,-1,-1
501202,-1,-1,-1,-1,1&1&100&10&1&1&101202|101203&201203&301203&401203&501203&601203&701203&801203,-1,-1,-1,-1,-1,-1,-1,-1
601202,-1,-1,-1,-1,1&1&100&10&1&1&101202|101203&201203&301203&401203&501203&601203&701203&801203,-1,-1,-1,-1,-1,-1,-1,-1
701202,-1,-1,-1,-1,1&1&100&10&1&1&101202|101203&201203&301203&401203&501203&601203&701203&801203,-1,-1,-1,-1,-1,-1,-1,-1
801202,-1,-1,-1,-1,1&1&100&10&1&1&101202|101203&201203&301203&401203&501203&601203&701203&801203,-1,-1,-1,-1,-1,-1,-1,-1
101303,-1,-1,-1,-1,-1,-1,1&6.6&15,-1,-1,-1,-1,-1,-1
201303,-1,-1,-1,-1,-1,-1,1&6.3&16,-1,-1,-1,-1,-1,-1
301303,-1,-1,-1,-1,-1,-1,1&5.9&17,-1,-1,-1,-1,-1,-1
401303,-1,-1,-1,-1,-1,-1,1&5.6&18,-1,-1,-1,-1,-1,-1
501303,-1,-1,-1,-1,-1,-1,1&5.3&19,-1,-1,-1,-1,-1,-1
601303,-1,-1,-1,-1,-1,-1,1&5&20,-1,-1,-1,-1,-1,-1
701303,-1,-1,-1,-1,-1,-1,1&4.7&21,-1,-1,-1,-1,-1,-1
801303,-1,-1,-1,-1,-1,-1,1&4.6&22,-1,-1,-1,-1,-1,-1
101402,-1,-1,-1,-1,-1,-1,-1,10140201&10140202&10140203&10140204|101403&201403&301403&401403&501403&601403&701403&801403,-1,-1,-1,-1,-1
201402,-1,-1,-1,-1,-1,-1,-1,10140201&10140202&10140203&10140204|101403&201403&301403&401403&501403&601403&701403&801403,-1,-1,-1,-1,-1
301402,-1,-1,-1,-1,-1,-1,-1,10140201&10140202&10140203&10140204|101403&201403&301403&401403&501403&601403&701403&801403,-1,-1,-1,-1,-1
401402,-1,-1,-1,-1,-1,-1,-1,10140201&10140202&10140203&10140204|101403&201403&301403&401403&501403&601403&701403&801403,-1,-1,-1,-1,-1
501402,-1,-1,-1,-1,-1,-1,-1,10140201&10140202&10140203&10140204|101403&201403&301403&401403&501403&601403&701403&801403,-1,-1,-1,-1,-1
601402,-1,-1,-1,-1,-1,-1,-1,10140201&10140202&10140203&10140204|101403&201403&301403&401403&501403&601403&701403&801403,-1,-1,-1,-1,-1
701402,-1,-1,-1,-1,-1,-1,-1,10140201&10140202&10140203&10140204|101403&201403&301403&401403&501403&601403&701403&801403,-1,-1,-1,-1,-1
801402,-1,-1,-1,-1,-1,-1,-1,10140201&10140202&10140203&10140204|101403&201403&301403&401403&501403&601403&701403&801403,-1,-1,-1,-1,-1
101403,2&1&15&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201403,2&1&17&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301403,2&1&19&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401403,2&1&21&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
501403,2&1&23&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
601403,2&1&25&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
701403,2&1&27&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
801403,2&1&29&5&1&3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101503,5&1&10&8&1&4&101503&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201503,5&1&15&8&1&4&101503&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301503,5&1&20&8&1&4&101503&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401503,5&1&25&8&1&4&101503&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
501503,5&1&30&8&1&4&101503&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
601503,5&1&35&8&1&4&101503&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
701503,5&1&40&8&1&4&101503&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
801503,5&1&45&8&1&4&101503&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101602,20&2&200&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201602,20&2&250&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301602,20&2&300&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401602,20&2&350&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
501602,20&2&400&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
601602,20&2&450&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
701602,20&2&500&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
801602,20&2&550&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101702,20&2&100&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201702,20&2&150&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301702,20&2&200&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401702,20&2&250&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
501702,20&2&300&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
601702,20&2&350&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
701702,20&2&400&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
801702,20&2&450&5&1&3&6&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101703,-1,-1,-1,-1,2&2&100&8&1&5&1&5&15,-1,-1,-1,-1,-1,-1,-1,-1
201703,-1,-1,-1,-1,2&2&100&8&1&5&1&6&15,-1,-1,-1,-1,-1,-1,-1,-1
301703,-1,-1,-1,-1,2&2&100&8&1&5&1&7&15,-1,-1,-1,-1,-1,-1,-1,-1
401703,-1,-1,-1,-1,2&2&100&8&1&5&1&8&15,-1,-1,-1,-1,-1,-1,-1,-1
501703,-1,-1,-1,-1,2&2&100&8&1&5&1&9&15,-1,-1,-1,-1,-1,-1,-1,-1
601703,-1,-1,-1,-1,2&2&100&8&1&5&1&10&15,-1,-1,-1,-1,-1,-1,-1,-1
701703,-1,-1,-1,-1,2&2&100&8&1&5&1&11&15,-1,-1,-1,-1,-1,-1,-1,-1
801703,-1,-1,-1,-1,2&2&100&8&1&5&1&12&15,-1,-1,-1,-1,-1,-1,-1,-1
101902,2&2&300&6&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201902,2&2&400&6&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301902,2&2&500&6&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401902,2&2&600&6&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
501902,2&2&700&6&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
601902,2&2&800&6&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
701902,2&2&900&6&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
801902,2&2&1000&6&1&4&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101903,-1,-1,-1,-1,2&2&100&7&1&5&1&5&15,-1,-1,-1,-1,-1,-1,-1,-1
201903,-1,-1,-1,-1,2&2&100&7&1&5&1&10&15,-1,-1,-1,-1,-1,-1,-1,-1
301903,-1,-1,-1,-1,2&2&100&7&1&5&1&15&15,-1,-1,-1,-1,-1,-1,-1,-1
401903,-1,-1,-1,-1,2&2&100&7&1&5&1&20&15,-1,-1,-1,-1,-1,-1,-1,-1
501903,-1,-1,-1,-1,2&2&100&7&1&5&1&25&15,-1,-1,-1,-1,-1,-1,-1,-1
601903,-1,-1,-1,-1,2&2&100&7&1&5&1&30&15,-1,-1,-1,-1,-1,-1,-1,-1
701903,-1,-1,-1,-1,2&2&100&7&1&5&1&35&15,-1,-1,-1,-1,-1,-1,-1,-1
801903,-1,-1,-1,-1,2&2&100&7&1&5&1&40&15,-1,-1,-1,-1,-1,-1,-1,-1
102002,4&2&1000&5&1&4&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202002,4&2&1000&5.5&1&4&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302002,4&2&1000&6&1&4&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402002,4&2&1000&6.5&1&4&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
502002,4&2&1000&7&1&4&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
602002,4&2&1000&7.5&1&4&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
702002,4&2&1000&8&1&4&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
802002,4&2&1000&8.5&1&4&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102103,-1,-1,-1,-1,3&4&0.25&0.25&0.25&4&4,-1,-1,-1,-1,-1,-1,-1,-1
202103,-1,-1,-1,-1,3&4.5&0.25&0.25&0.25&4&4,-1,-1,-1,-1,-1,-1,-1,-1
302103,-1,-1,-1,-1,3&5&0.25&0.25&0.25&4&4,-1,-1,-1,-1,-1,-1,-1,-1
402103,-1,-1,-1,-1,3&5.5&0.25&0.25&0.25&4&4,-1,-1,-1,-1,-1,-1,-1,-1
502103,-1,-1,-1,-1,3&6&0.25&0.25&0.25&4&4,-1,-1,-1,-1,-1,-1,-1,-1
602103,-1,-1,-1,-1,3&6.5&0.25&0.25&0.25&4&4,-1,-1,-1,-1,-1,-1,-1,-1
702103,-1,-1,-1,-1,3&7&0.25&0.25&0.25&4&4,-1,-1,-1,-1,-1,-1,-1,-1
802103,-1,-1,-1,-1,3&7.5&0.25&0.25&0.25&4&4,-1,-1,-1,-1,-1,-1,-1,-1
102202,-1,-1,-1,-1,1&1&100&10&3&1&102202|102203&202203&302203&402203&502203&602203&702203&802203,-1,-1,-1,-1,-1,-1,-1,-1
202202,-1,-1,-1,-1,1&1&100&10&3&1&102202|102203&202203&302203&402203&502203&602203&702203&802203,-1,-1,-1,-1,-1,-1,-1,-1
302202,-1,-1,-1,-1,1&1&100&10&3&1&102202|102203&202203&302203&402203&502203&602203&702203&802203,-1,-1,-1,-1,-1,-1,-1,-1
402202,-1,-1,-1,-1,1&1&100&10&3&1&102202|102203&202203&302203&402203&502203&602203&702203&802203,-1,-1,-1,-1,-1,-1,-1,-1
502202,-1,-1,-1,-1,1&1&100&10&3&1&102202|102203&202203&302203&402203&502203&602203&702203&802203,-1,-1,-1,-1,-1,-1,-1,-1
602202,-1,-1,-1,-1,1&1&100&10&3&1&102202|102203&202203&302203&402203&502203&602203&702203&802203,-1,-1,-1,-1,-1,-1,-1,-1
702202,-1,-1,-1,-1,1&1&100&10&3&1&102202|102203&202203&302203&402203&502203&602203&702203&802203,-1,-1,-1,-1,-1,-1,-1,-1
802202,-1,-1,-1,-1,1&1&100&10&3&1&102202|102203&202203&302203&402203&502203&602203&702203&802203,-1,-1,-1,-1,-1,-1,-1,-1
102302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|102302|1|12|prefab_barrage/playerBarrage_1023/barrage_102302_1,-1,-1,-1
202302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|102302|1|12|prefab_barrage/playerBarrage_1023/barrage_102302_1,-1,-1,-1
302302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|102302|1|12|prefab_barrage/playerBarrage_1023/barrage_102302_1,-1,-1,-1
402302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|102302|1|12|prefab_barrage/playerBarrage_1023/barrage_102302_1,-1,-1,-1
502302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|102302|1|12|prefab_barrage/playerBarrage_1023/barrage_102302_1,-1,-1,-1
602302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|102302|1|12|prefab_barrage/playerBarrage_1023/barrage_102302_1,-1,-1,-1
702302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|102302|1|12|prefab_barrage/playerBarrage_1023/barrage_102302_1,-1,-1,-1
802302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5|102302|1|12|prefab_barrage/playerBarrage_1023/barrage_102302_1,-1,-1,-1
102303,-1,-1,-1,-1,2&2&100&10&1&2&1&30&15,-1,-1,-1,-1,-1,-1,-1,-1
202303,-1,-1,-1,-1,2&2&100&10&1&2&1&35&15,-1,-1,-1,-1,-1,-1,-1,-1
302303,-1,-1,-1,-1,2&2&100&10&1&2&1&40&15,-1,-1,-1,-1,-1,-1,-1,-1
402303,-1,-1,-1,-1,2&2&100&10&1&2&1&45&15,-1,-1,-1,-1,-1,-1,-1,-1
502303,-1,-1,-1,-1,2&2&100&10&1&2&1&50&15,-1,-1,-1,-1,-1,-1,-1,-1
602303,-1,-1,-1,-1,2&2&100&10&1&2&1&55&15,-1,-1,-1,-1,-1,-1,-1,-1
702303,-1,-1,-1,-1,2&2&100&10&1&2&1&60&15,-1,-1,-1,-1,-1,-1,-1,-1
802303,-1,-1,-1,-1,2&2&100&10&1&2&1&65&15,-1,-1,-1,-1,-1,-1,-1,-1
102402,6&2&2&4&1&4&5&100,-1,5|3&102404#202404#302404#402404#502404#602404#702404#802404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202402,6&2&2.2&4&1&4&5&100,-1,5|3&102404#202404#302404#402404#502404#602404#702404#802404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302402,6&2&2.4&4&1&4&5&100,-1,5|3&102404#202404#302404#402404#502404#602404#702404#802404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402402,6&2&2.6&4&1&4&5&100,-1,5|3&102404#202404#302404#402404#502404#602404#702404#802404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
502402,6&2&2.8&4&1&4&5&100,-1,5|3&102404#202404#302404#402404#502404#602404#702404#802404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
602402,6&2&3&4&1&4&5&100,-1,5|3&102404#202404#302404#402404#502404#602404#702404#802404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
702402,6&2&3.2&4&1&4&5&100,-1,5|3&102404#202404#302404#402404#502404#602404#702404#802404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
802402,6&2&3.4&4&1&4&5&100,-1,5|3&102404#202404#302404#402404#502404#602404#702404#802404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2&2&200&5&3&3&1&100|20&2&100&5&3&3&6&100|21&2&100&5&3&3&7&100,-1,-1
202503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2&2&220&5&3&3&1&100|20&2&110&5&3&3&6&100|21&2&110&5&3&3&7&100,-1,-1
302503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2&2&240&5&4&3&1&100|20&2&120&5&4&3&6&100|21&2&120&5&4&3&7&100,-1,-1
402503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2&2&260&5&4&3&1&100|20&2&130&5&4&3&6&100|21&2&130&5&4&3&7&100,-1,-1
502503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2&2&280&5&5&3&1&100|20&2&140&5&5&3&6&100|21&2&140&5&5&3&7&100,-1,-1
602503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2&2&300&5&5&3&1&100|20&2&150&5&5&3&6&100|21&2&150&5&5&3&7&100,-1,-1
702503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2&2&320&5&6&3&1&100|20&2&160&5&6&3&6&100|21&2&160&5&6&3&7&100,-1,-1
802503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2&2&340&5&6&3&1&100|20&2&170&5&6&3&6&100|21&2&170&5&6&3&7&100,-1,-1
102602,6&2&5&3&1&4&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202602,6&2&6&3&1&4&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302602,6&2&7&3&1&4&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402602,6&2&8&3&1&4&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
502602,6&2&8&3&1&4&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
602602,6&2&8&3&1&4&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
702602,6&2&8&3&1&4&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
802602,6&2&8&3&1&4&4&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102603,101&1&35&3&1&1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202603,101&1&35&3&1&1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302603,101&1&35&3&1&1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402603,101&1&35&3&1&1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
502603,101&1&35&3&1&1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
602603,101&1&35&3&1&1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
702603,101&1&35&3&1&1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
802603,101&1&35&3&1&1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102702,-1,-1,-1,-1,-1,2&100&5&50&1&1006&5&1,-1,-1,-1,-1,-1,-1,-1
202702,-1,-1,-1,-1,-1,2&100&6&60&1&1006&6&1,-1,-1,-1,-1,-1,-1,-1
302702,-1,-1,-1,-1,-1,2&100&7&70&1&1006&7&1,-1,-1,-1,-1,-1,-1,-1
402702,-1,-1,-1,-1,-1,2&100&8&80&1&1006&8&1,-1,-1,-1,-1,-1,-1,-1
502702,-1,-1,-1,-1,-1,2&100&8&80&1&1006&8&1,-1,-1,-1,-1,-1,-1,-1
602702,-1,-1,-1,-1,-1,2&100&8&80&1&1006&8&1,-1,-1,-1,-1,-1,-1,-1
702702,-1,-1,-1,-1,-1,2&100&8&80&1&1006&8&1,-1,-1,-1,-1,-1,-1,-1
802702,-1,-1,-1,-1,-1,2&100&8&80&1&1006&8&1,-1,-1,-1,-1,-1,-1,-1
102703,-1,-1,-1,-1,5&2&100&5&2&0.5&1&1,-1,-1,-1,-1,-1,-1,-1,-1
202703,-1,-1,-1,-1,5&2&100&5&2&0.5&1&1,-1,-1,-1,-1,-1,-1,-1,-1
302703,-1,-1,-1,-1,5&2&100&5&2&0.5&1&1,-1,-1,-1,-1,-1,-1,-1,-1
