ID,组id,技能等级,下一级技能(0为不能升级),最大等级,释放类型,技能基础伤害百分比,施法音效,受击音效
id,groupID,Skilllevel,NextSkill,MaxLevel,playType,HurtRate,PlaySound,HitSound
number,number,number,number,number,array_|,number,string,string
1001020101,10010201,0,0,1,1|1001020101,3,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020200,10010202,0,1001020201,5,1|1001020200,1.7999999999999998,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020201,10010202,1,1001020202,5,1|1001020201,1.8199999999999998,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020202,10010202,2,1001020203,5,1|1001020202,1.8399999999999999,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020203,10010202,3,1001020204,5,1|1001020203,1.8599999999999999,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020204,10010202,4,1001020205,5,1|1001020204,1.88,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020205,10010202,5,0,5,1|1001020205,1.9,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020300,10010203,0,1001020301,10,1|1001020300,1.5,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020301,10010203,1,1001020302,10,1|1001020301,1.53,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020302,10010203,2,1001020303,10,1|1001020302,1.56,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020303,10010203,3,1001020304,10,1|1001020303,1.59,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020304,10010203,4,1001020305,10,1|1001020304,1.62,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020305,10010203,5,1001020306,10,1|1001020305,1.6500000000000001,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020306,10010203,6,1001020307,10,1|1001020306,1.6800000000000002,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020307,10010203,7,1001020308,10,1|1001020307,1.7100000000000002,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020308,10010203,8,1001020309,10,1|1001020308,1.7400000000000002,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020309,10010203,9,1001020310,10,1|1001020309,1.7700000000000002,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001020310,10010203,10,0,10,1|1001020310,1.8000000000000003,event:/FightEffect/PetSkills-1001020101-PlaySound,event:/FightEffect/PetSkills-1001020101-HitSound
1001030101,10010301,0,0,1,1|1001030101,2.7,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030200,10010302,0,1001030201,5,1|1001030200,2.16,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030201,10010302,1,1001030202,5,1|1001030201,2.17,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030202,10010302,2,1001030203,5,1|1001030202,2.1799999999999997,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030203,10010302,3,1001030204,5,1|1001030203,2.1899999999999995,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030204,10010302,4,1001030205,5,1|1001030204,2.1999999999999993,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030205,10010302,5,0,5,1|1001030205,2.209999999999999,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030300,10010303,0,1001030301,10,1|1001030300,1.62,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030301,10010303,1,1001030302,10,1|1001030301,1.6400000000000001,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030302,10010303,2,1001030303,10,1|1001030302,1.6600000000000001,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030303,10010303,3,1001030304,10,1|1001030303,1.6800000000000002,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030304,10010303,4,1001030305,10,1|1001030304,1.7000000000000002,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030305,10010303,5,1001030306,10,1|1001030305,1.7200000000000002,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030306,10010303,6,1001030307,10,1|1001030306,1.7400000000000002,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030307,10010303,7,1001030308,10,1|1001030307,1.7600000000000002,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030308,10010303,8,1001030309,10,1|1001030308,1.7800000000000002,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030309,10010303,9,1001030310,10,1|1001030309,1.8000000000000003,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
1001030310,10010303,10,0,10,1|1001030310,1.8200000000000003,event:/FightEffect/PetSkills-1001030101-PlaySound,event:/FightEffect/PetSkills-1001030101-HitSound
2001010101,20010101,0,0,1,1|2001010101,3,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010200,20010102,0,2001010201,5,1|2001010200,1.55,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010201,20010102,1,2001010202,5,1|2001010201,1.56,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010202,20010102,2,2001010203,5,1|2001010202,1.57,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010203,20010102,3,2001010204,5,1|2001010203,1.58,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010204,20010102,4,2001010205,5,1|2001010204,1.59,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010205,20010102,5,0,5,1|2001010205,1.6,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010300,20010103,0,2001010301,10,1|2001010300,1.57,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010301,20010103,1,2001010302,10,1|2001010301,1.59,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010302,20010103,2,2001010303,10,1|2001010302,1.61,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010303,20010103,3,2001010304,10,1|2001010303,1.6300000000000001,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010304,20010103,4,2001010305,10,1|2001010304,1.6500000000000001,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010305,20010103,5,2001010306,10,1|2001010305,1.6700000000000002,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010306,20010103,6,2001010307,10,1|2001010306,1.6900000000000002,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010307,20010103,7,2001010308,10,1|2001010307,1.7100000000000002,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010308,20010103,8,2001010309,10,1|2001010308,1.7300000000000002,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010309,20010103,9,2001010310,10,1|2001010309,1.7500000000000002,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010310,20010103,10,0,10,1|2001010310,1.7700000000000002,event:/FightEffect/PetSkills-2001010101-PlaySound,event:/FightEffect/PetSkills-2001010101-HitSound
2001010311,-1,0,0,1,1|2001010311,3.8,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010312,-1,0,0,1,1|2001010311,3.9,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010313,-1,0,0,1,1|2001010311,4.1,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010314,-1,0,0,1,1|2001010311,4.3,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010315,-1,0,0,1,1|2001010311,4.5,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010316,-1,0,0,1,1|2001010311,3.9,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010317,-1,0,0,1,1|2001010311,4,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010318,-1,0,0,1,1|2001010311,4.1,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010319,-1,0,0,1,1|2001010311,4.199999999999999,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010320,-1,0,0,1,1|2001010311,4.299999999999999,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010321,-1,0,0,1,1|2001010311,4.399999999999999,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010322,-1,0,0,1,1|2001010311,4.499999999999998,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010323,-1,0,0,1,1|2001010311,4.599999999999998,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010324,-1,0,0,1,1|2001010311,4.6999999999999975,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001010325,-1,0,0,1,1|2001010311,4.799999999999997,event:/FightEffect/PetSkills-2001010311-PlaySound,event:/FightEffect/PetSkills-2001010311-HitSound
2001020101,20010201,0,0,1,1|2001020101,2.8,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020200,20010202,0,2001020201,5,1|2001020200,2.82,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020201,20010202,1,2001020202,5,1|2001020201,2.8299999999999996,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020202,20010202,2,2001020203,5,1|2001020202,2.8399999999999994,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020203,20010202,3,2001020204,5,1|2001020203,2.849999999999999,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020204,20010202,4,2001020205,5,1|2001020204,2.859999999999999,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020205,20010202,5,0,5,1|2001020205,2.8699999999999988,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020300,20010203,0,2001020301,10,1|2001020300,2.85,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020301,20010203,1,2001020302,10,1|2001020301,2.87,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020302,20010203,2,2001020303,10,1|2001020302,2.89,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020303,20010203,3,2001020304,10,1|2001020303,2.91,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020304,20010203,4,2001020305,10,1|2001020304,2.93,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020305,20010203,5,2001020306,10,1|2001020305,2.95,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020306,20010203,6,2001020307,10,1|2001020306,2.97,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020307,20010203,7,2001020308,10,1|2001020307,2.99,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020308,20010203,8,2001020309,10,1|2001020308,3.0100000000000002,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020309,20010203,9,2001020310,10,1|2001020309,3.0300000000000002,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001020310,20010203,10,0,10,1|2001020310,3.0500000000000003,event:/FightEffect/PetSkills-2001020101-PlaySound,event:/FightEffect/PetSkills-2001020101-HitSound
2001030101,20010301,0,0,1,2|2001030101,3.8,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030200,20010302,0,2001030201,5,2|2001030200,3.82,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030201,20010302,1,2001030202,5,2|2001030201,3.8299999999999996,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030202,20010302,2,2001030203,5,2|2001030202,3.8399999999999994,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030203,20010302,3,2001030204,5,2|2001030203,3.849999999999999,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030204,20010302,4,2001030205,5,2|2001030204,3.859999999999999,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030205,20010302,5,0,5,2|2001030205,3.8699999999999988,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030300,20010303,0,2001030301,10,2|2001030300,3.84,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030301,20010303,1,2001030302,10,2|2001030301,3.86,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030302,20010303,2,2001030303,10,2|2001030302,3.88,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030303,20010303,3,2001030304,10,2|2001030303,3.9,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030304,20010303,4,2001030305,10,2|2001030304,3.92,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030305,20010303,5,2001030306,10,2|2001030305,3.94,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030306,20010303,6,2001030307,10,2|2001030306,3.96,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030307,20010303,7,2001030308,10,2|2001030307,3.98,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030308,20010303,8,2001030309,10,2|2001030308,4,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030309,20010303,9,2001030310,10,2|2001030309,4.02,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
2001030310,20010303,10,0,10,2|2001030310,4.039999999999999,event:/FightEffect/PetSkills-2001030101-PlaySound,event:/FightEffect/PetSkills-2001030101-HitSound
3001010101,30010101,0,0,1,1|3001010101,2.9,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010200,30010102,0,3001010201,5,1|3001010200,3,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010201,30010102,1,3001010202,5,1|3001010201,3.02,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010202,30010102,2,3001010203,5,1|3001010202,3.04,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010203,30010102,3,3001010204,5,1|3001010203,3.06,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010204,30010102,4,3001010205,5,1|3001010204,3.08,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010205,30010102,5,0,5,1|3001010205,3.1,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010300,30010103,0,3001010301,10,1|3001010300,3.07,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010301,30010103,1,3001010302,10,1|3001010301,3.0999999999999996,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010302,30010103,2,3001010303,10,1|3001010302,3.1299999999999994,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010303,30010103,3,3001010304,10,1|3001010303,3.1599999999999993,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010304,30010103,4,3001010305,10,1|3001010304,3.189999999999999,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010305,30010103,5,3001010306,10,1|3001010305,3.219999999999999,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010306,30010103,6,3001010307,10,1|3001010306,3.2499999999999987,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010307,30010103,7,3001010308,10,1|3001010307,3.2799999999999985,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010308,30010103,8,3001010309,10,1|3001010308,3.3099999999999983,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010309,30010103,9,3001010310,10,1|3001010309,3.339999999999998,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001010310,30010103,10,0,10,1|3001010310,3.369999999999998,event:/FightEffect/PetSkills-3001010101-PlaySound,event:/FightEffect/PetSkills-3001010101-HitSound
3001020101,30010201,0,0,1,1|3001020101,2.9,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020200,30010202,0,3001020201,5,1|3001020200,3,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020201,30010202,1,3001020202,5,1|3001020201,3.01,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020202,30010202,2,3001020203,5,1|3001020202,3.0199999999999996,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020203,30010202,3,3001020204,5,1|3001020203,3.0299999999999994,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020204,30010202,4,3001020205,5,1|3001020204,3.039999999999999,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020205,30010202,5,0,5,1|3001020205,3.049999999999999,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020300,30010203,0,3001020301,10,1|3001020300,2.9,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020301,30010203,1,3001020302,10,1|3001020301,2.9299999999999997,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020302,30010203,2,3001020303,10,1|3001020302,2.9599999999999995,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020303,30010203,3,3001020304,10,1|3001020303,2.9899999999999993,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020304,30010203,4,3001020305,10,1|3001020304,3.019999999999999,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020305,30010203,5,3001020306,10,1|3001020305,3.049999999999999,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020306,30010203,6,3001020307,10,1|3001020306,3.0799999999999987,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020307,30010203,7,3001020308,10,1|3001020307,3.1099999999999985,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020308,30010203,8,3001020309,10,1|3001020308,3.1399999999999983,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020309,30010203,9,3001020310,10,1|3001020309,3.169999999999998,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001020310,30010203,10,0,10,1|3001020310,3.199999999999998,event:/FightEffect/PetSkills-3001020101-PlaySound,event:/FightEffect/PetSkills-3001020101-HitSound
3001030101,30010301,0,0,1,2|3001030101,2.5,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030200,30010302,0,3001030201,5,2|3001030200,2.6,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030201,30010302,1,3001030202,5,2|3001030201,2.62,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030202,30010302,2,3001030203,5,2|3001030202,2.64,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030203,30010302,3,3001030204,5,2|3001030203,2.66,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030204,30010302,4,3001030205,5,2|3001030204,2.68,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030205,30010302,5,0,5,2|3001030205,2.7,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
3001030300,30010303,0,3001030301,10,2|3001030300,2.65,event:/FightEffect/PetSkills-3001030101-PlaySound,event:/FightEffect/PetSkills-3001030101-HitSound
