id,皮肤名称,皮肤英文,皮肤描述,购买途径,来源描述,皮肤技能数据,皮肤表现,皮肤构筑,普通爆炸特效ID,是否拥有显示,专属渠道,看板娘是否显示,所属魔女,预览按钮,蓄力技动作偏移,皮肤品质标签,皮肤主题标签
10250002,10380047,Husi en hufehesa,20380047,2,30380002,102501|102503|102502,102501|102503|102502,28|39|45|47|62|72,-1,-1,-1,-1,1025,1,0.3,2,-1
10260001,10380048,Laine,20380048,-1,-1,100101|100103|100102,100101|100103|100102,28|39|45|47|62|61,-1,-1,-1,1,1026,1,1,0,-1
10270001,10380049,Shufene Sibel,20380049,-1,-1,100101|100103|100102,100101|100103|100102,28|39|45|47|62|61,-1,-1,-1,1,1027,1,1,0,-1
10280001,10380050,Angelika,20380050,-1,-1,102801|102803|102802,102801|102803|102802,33|40|46|53|106,140002,-1,-1,1,1028,1,1,0,-1
10280002,10380080,Kosuhufe tuvemfik,20380081,2,30380002,102801|102803|102802,10280101|10280301|10280201,33|40|46|53|106,140003,-1,-1,1,1028,1,1,2,source_common/ImageText/text_pifubiaoqian_wanshengmofaye
10290001,10380051,Evelin,20380051,-1,-1,100101|100103|100102,100101|100103|100102,33|40|46|53,-1,-1,-1,1,1029,1,1,0,-1
10300001,10380052,Scarlit,20380052,-1,-1,103001|103003|103002,103001|103003|103002,32|40|46|53|106,140006,-1,-1,1,1030,1,0.78,0,-1
10310001,10380053,Usiditie,20380053,-1,-1,103101|103103|103102,103101|103103|103102,201|40|46|53|106,140003,-1,-1,1,1031,1,7.1,0,-1
10320001,10380054,Olivia,20380054,-1,-1,100101|100103|100102,100101|100103|100102,32|40|46|53,-1,-1,-1,1,1032,1,1,0,-1
10330001,10380055,Freia,20380055,-1,-1,100101|100103|100102,100101|100103|100102,32|40|46|53,-1,-1,-1,1,1033,1,1,0,-1
10340001,10380056,Sharlote,20380056,-1,-1,100101|100103|100102,100101|100103|100102,32|40|46|53,-1,-1,-1,1,1034,1,1,0,-1
10350001,10380057,Alsa,20380057,-1,-1,103501|103503|103502,103501|103503|103502,21|38|44|75|51|777,140001,-1,-1,1,1035,1,0.6,0,-1
10350002,10380058,Cordufusi,20380058,2,30380002,103501|103503|103502,103501|103503|103502,21|38|44|48|51|777,-1,-1,-1,-1,1035,1,0.6,2,-1
10350003,10380059,Fusi ron Elsa,20380059,2,30380002,103501|103503|103502,103501|103503|103502,21|38|44|48|51|777,-1,-1,-1,-1,1035,1,0.6,2,-1
10360001,10380060,Noel,20380060,-1,-1,103601|103603|103602,103601|103603|103602,6|35|41|50|56|101,140005,-1,-1,1,1036,1,0.85,0,-1
10370001,10380061,Tuwifosi,20380061,-1,-1,100101|100103|100102,100101|100103|100102,6|35|41|50|56,-1,-1,-1,1,1037,1,1,0,-1
10380001,10380062,Kallia,20380062,-1,-1,103801|103803|103802,103801|103803|103802,8|36|42|55|76|59|102,-1,-1,-1,1,1038,1,0.18,0,-1
10390001,10380063,Kabella,20380063,-1,-1,103901|103903|103902,103901|103903|103902,3|35|41|50|56|101,140005,-1,-1,1,1039,1,-0.45,0,-1
10390002,10380064,Kacim·Tumahesi,20380064,2,30380002,103901|103903|103902,10390101|10390301|10390201,3|35|41|50|56|101,140002,-1,-1,1,1039,1,-0.45,5,-1
10400001,10380065,Suceche,20380065,-1,-1,100101|100103|100102,100101|100103|100102,3|35|41|50|56,-1,-1,-1,1,1040,1,1,0,-1
10410001,10380066,Dorosi,20380066,-1,-1,100101|100103|100102,100101|100103|100102,3|35|41|50|56,-1,-1,-1,1,1041,1,1,0,-1
10420001,10380067,Sluder,20380067,-1,-1,104201|104203|104202,104201|104203|104202,24|39|45|47|49|61,-1,-1,-1,1,1042,1,0.8,0,-1
10420002,10380073,Furemzui ron Robot,20380073,2,30380004,104201|104203|104202,994201|994203|994202,24|39|45|47|49|61,-1,-1,-1,1,1042,1,0.9,1,-1
10430001,10380068,Sitoradi,20380068,-1,-1,100101|100103|100102,100101|100103|100102,24|39|45|47|49|61,-1,-1,-1,1,1043,1,1,0,-1
10440001,10380069,Ianusia,20380069,-1,-1,104401|104403|104402,104401|104403|104402,16|37|43|68|60|103,-1,-1,-1,1,1044,1,0.8,0,-1
10440002,10380070,Susime ron Moro,20380070,2,30380002,104401|104403|104402,104401|104403|104402,16|37|43|68|60|103,-1,1,-1,-1,1044,-1,0.8,2,-1
10440003,10380071,Hesifusi,20380071,2,30380002,104401|104403|104402,10440102|10440302|10440202,16|37|43|68|60|103,-1,-1,-1,1,1044,1,0.8,2,source_common/ImageText/text_pifubiaoqian_diliufengyin
10450001,10380072,Doris,20380072,-1,-1,104501|104503|104502,104501|104503|104502,15|37|43|69|60|103,-1,-1,-1,1,1045,1,0.8,0,-1
10500001,10380079,Luna,20380080,-1,-1,105001|105003|105002,105001|105003|105002,77|35|41|50|56|101,140004,-1,-1,1,1050,1,0.92,0,-1
