ID,魔弹/步枪/直线,吸血,构筑等级,无,无,无,无,吸血百分比,吸血固定值,结算时间,比例上限,无,伤害系数增幅
40,6,2,4,-1,-1,-1,-1,0|0.1|0.2|0.3|0.4,0|0.15|0.3|0.45|0.58,-1,-1,-1,-1
41,1,4,4,-1,-1,-1,-1,0|0.2|0.4|0.6|0.8,-1,-1,-1,-1,0|0.16|0.28|0.56|0.82
42,2,4,4,-1,-1,-1,-1,0|0.2|0.4|0.6|0.8,-1,-1,-1,-1,0|0.3|0.5|0.7|0.9
43,3,4,4,-1,-1,-1,-1,0|0.2|0.3|0.4|0.5,-1,-1,-1,-1,0|0.1|0.2|0.3|0.4
44,4,4,4,-1,-1,-1,-1,0|0.2|0.3|0.4|0.6,-1,-1,-1,-1,0|0.3|0.55|0.8|1.1
45,5,4,4,-1,-1,-1,-1,0|0.2|0.3|0.4|0.5,-1,-1,-1,-1,0|0.234|0.378|0.738|1.08
46,6,4,4,-1,-1,-1,-1,0|0.2|0.4|0.6|0.8,-1,-1,-1,-1,0|0.156|0.252|0.492|0.72
47,5,5,4,890000|890001|890002|890003|890004,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,2,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0|0.3|0.5
49,5,7,2,0|1042012|1042013,-1,-1,-1,0|0.05|0.1,-1,-1,-1,-1,-1
62,5,7,2,0|1025012|1025013,-1,-1,-1,0|0.05|0.1,-1,-1,-1,-1,-1
63,5,7,2,0|1024012|1024013,-1,-1,-1,0|0.05|0.1,-1,-1,-1,-1,-1
70,5,7,2,0|1019012|1019013,-1,-1,-1,0|0.05|0.1,-1,-1,-1,-1,-1
71,5,7,2,0|1020012|1020013,-1,-1,-1,0|0.05|0.1,-1,-1,-1,-1,-1
50,1,8,4,-1,-1,-1,-1,0|1.5|2|2.5|3,0|0.005|0.005|0.005|0.005,-1,-1,-1,0|0.21|0.42|0.63|0.83
51,4,8,4,-1,-1,-1,-1,0|1.5|2|2.5|3,0|0.005|0.005|0.005|0.005,-1,-1,-1,0|0.25|0.5|0.75|1
52,5,8,4,-1,-1,-1,-1,0|2.5|3|3.5|4,0|0.005|0.005|0.005|0.005,-1,-1,-1,0|0.375|0.75|1.125|1.5
53,6,8,4,-1,-1,-1,-1,0|1.5|2|2.5|3,0|0.005|0.005|0.005|0.005,-1,-1,-1,0|0.16|0.31|0.47|0.63
54,1,9,4,-1,-1,-1,-1,0|1|2|3|4,-0.05,-1,-1,-1,0|0.6|0.8|1.2|1.6
55,2,9,4,-1,-1,-1,-1,0|1|2|3|4,-0.05,-1,-1,-1,0|0.6|0.8|1.2|1.6
56,1,10,4,0|1|2|3|4,-1,-1,-1,0|-0.45|-0.4|-0.35|-0.3,0|5|5|5|5,-1,-1,-1,-1
57,2,10,4,0|1|2|3|4,-1,-1,-1,-0.45,0|5|5|5|5,-1,-1,-1,-1
59,2,13,1,1|1,-1,-1,-1,-0.25|-0.05,-1,-1,-1,-1,0|0.3
60,3,14,2,-1,-1,-1,-1,0.2|0.2|0.2,0.08|0.12|0.16,2|3|4,0.25|0.165|0.125,1|1.5|2,-1
61,5,15,4,10420100|10420101|10420102|10420103|10420104,10420110|10420111|10420112|10420113|10420114,10420120|10420121|10420122|10420123|10420124,-1,-1,-1,-1,-1,-1,0|0.375|0.75|1.125|1.5
64,5,15,4,10240100|10240101|10240102|10240103|10240104,10240110|10240111|10240112|10240113|10240114,10240120|10240121|10240122|10240123|10240124,-1,-1,-1,-1,-1,-1,0|0.375|0.75|1.125|1.5
72,5,15,4,10250100|10250101|10250102|10250103|10250104,10250110|10250111|10250112|10250113|10250114,10250120|10250121|10250122|10250123|10250124,-1,-1,-1,-1,-1,-1,0|0.375|0.75|1.125|1.5
73,5,15,4,10190100|10190101|10190102|10190103|10190104,10190110|10190111|10190112|10190113|10190114,10190120|10190121|10190122|10190123|10190124,-1,-1,-1,-1,-1,-1,0|0.375|0.75|1.125|1.5
74,5,15,4,10200100|10200101|10200102|10200103|10200104,10200110|10200111|10200112|10200113|10200114,10200120|10200121|10200122|10200123|10200124,-1,-1,-1,-1,-1,-1,0|0.375|0.75|1.125|1.5
65,3,16,4,0|100841,-1,-1,-1,10,19,0|0.44|0.72|1|1.4,0|4|6|8|10,-1,-1
66,3,16,4,0|101041,-1,-1,-1,10,19,0|0.44|0.72|1|1.4,0|4|6|8|10,-1,-1
67,3,16,4,0|101541,-1,-1,-1,10,19,0|0.44|0.72|1|1.4,0|4|6|8|10,-1,-1
68,3,16,4,0|104441,-1,-1,-1,10,19,0|0.44|0.72|1|1.4,0|4|6|8|10,-1,-1
69,3,16,4,0|104541,-1,-1,-1,10,19,0|0.44|0.72|1|1.4,0|4|6|8|10,-1,-1
13,3,17,4,0|10080121|10080122|10080123|10080124,-1,-1,-1,10,0|2.18|2.68|3.28|4,0|1|2|3|4,-1,-1,-1
14,3,17,4,0|10100121|10100122|10100123|10100124,-1,-1,-1,10,0|2.18|2.68|3.28|4,0|1|2|3|4,-1,-1,-1
15,3,17,4,0|10450121|10450122|10450123|10450124,-1,-1,-1,10,0|2.18|2.68|3.28|4,0|1|2|3|4,-1,-1,-1
16,3,17,4,0|10440121|10440122|10440123|10440124,-1,-1,-1,10,0|2.18|2.68|3.28|4,0|1|2|3|4,-1,-1,-1
17,3,17,4,0|10150121|10150122|10150123|10150124,-1,-1,-1,10,0|2.18|2.68|3.28|4,0|1|2|3|4,-1,-1,-1
75,4,18,2,0|320|320,0|2|3,-1,-1,0|8|8,0|10|10,-1,-1,-1,-1
101,1,19,4,-1,-1,-1,-1,0|0.01|0.015|0.02|0.025,-1,0.1,0.002,-1,-1
102,2,20,4,-1,-1,-1,-1,0.02|0.03|0.04|0.05|0.06,-1,-1,-1,-1,0|0.2|0.3|0.4|0.5
103,3,21,4,32|32|32|32|32,-1,-1,-1,1.6|3.2|4.8|6.4|8,-1,-1,-1,-1,-1
104,4,22,4,-1,-1,-1,-1,0|0.1|0.15|0.2|0.25,0|9|9|9|9,0|15|13|11|9,-1,-1,-1
106,6,23,4,0|882301|882302|882303|882304,-1,-1,-1,0|0.4|0.5|0.6|0.7,0|5|5|5|5,0|15|13|12|11,-1,-1,-1
201,6,1,4,0|103101|103102|103103|103104,-1,-1,-1,0|0.23|0.253|0.287|0.322,-1,-1,-1,-1,-1
9903,2,1,4,0|990301|990302|990303|990304,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
9922,2,1,4,0|992201|992202|992203|992204,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
9822,2,1,4,0|982201|982202|982203|982204,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
9913,6,1,4,0|991301|991302|991303|991304,-1,-1,-1,0|0.23|0.253|0.287|0.322,-1,-1,-1,-1,-1
9909,1,1,4,0|990901|990902|990903|990904,-1,-1,-1,0|0.36|0.4|0.44|0.5,-1,-1,-1,-1,-1
9944,3,17,4,0|994401|994402|994403|994404,-1,-1,-1,10,0|2.18|2.43|2.66|3,0|1|2|3|4,-1,-1,-1
9921,2,1,4,0|992101|992102|992103|992104,-1,-1,-1,0|0.23|0.253|0.287|0.322,-1,-1,-1,-1,-1
99440,3,16,4,0|10444102,-1,-1,-1,8,19,0|0.37|0.61|0.83|1.17,0|4|6|8|12,-1,-1
777,4,24,4,32|32|32|32|32,-1,-1,-1,10|10|10|10|10,0.5|0.5|0.5|0.5|0.5,0.03|0.04|0.05|0.06|0.08,-1,-1,-1
