id,对应Chargegiftid,奖励条件,条件数值,见习奖励,精英奖励,解锁消耗,目标奖励显示
1050,8001,1,98000,4&99101&20,4&1000009&15|4&8800017&1,1000002&150,4&99101&20|4&1000009&15|4&8800017&1
1051,8001,1,100000,4&8999994&5,4&1000001&6000|4&3000000&1,1000002&150,-1
1052,8001,1,102000,4&4200003&10,4&4200004&10|4&7000005&1,1000002&150,-1
1053,8001,1,104000,4&4600001&20,4&4600002&20|4&4600003&10,1000002&150,-1
1054,8001,1,106000,4&8007001&5,4&8007003&5|4&4100004&5,1000002&150,-1
1055,8001,1,108000,4&1000002&20,4&1000002&50|4&7000102&5,1000002&150,-1
1056,8001,1,110000,4&1000001&3000,4&1000001&6000|4&7000132&1,1000002&150,-1
1057,8001,1,112000,4&4200003&10,4&4200004&10|4&7000005&1,1000002&150,-1
1058,8001,1,114000,4&4600001&20,4&4600002&20|4&4600003&10,1000002&150,-1
1059,8001,1,116000,4&8007001&5,4&8007003&5|4&4100004&5,1000002&150,-1
1060,8001,1,118000,4&99904&1,4&99904&2|4&1000002&100,1000002&150,4&99904&1|4&99904&2|4&1000002&100
1061,8001,1,120000,4&8999994&5,4&1000001&6000|4&3000000&1,1000002&150,-1
1062,8001,1,122000,4&4200003&10,4&4200004&10|4&7000005&1,1000002&150,-1
1063,8001,1,124000,4&4600001&20,4&4600002&20|4&4600003&10,1000002&150,-1
1064,8001,1,126000,4&8007001&5,4&8007003&5|4&4100004&5,1000002&150,-1
1065,8001,1,128000,4&1000001&3000,4&1000001&6000|4&3000000&1,1000002&150,4&1000001&3000|4&1000001&6000|4&3000000&1
1066,8001,1,130000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1067,8001,1,132000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1068,8001,1,134000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1069,8001,1,136000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1070,8001,1,138000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1071,8001,1,140000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1072,8001,1,142000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1073,8001,1,144000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1074,8001,1,146000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1075,8001,1,148000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1076,8001,1,150000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1077,8001,1,152000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1078,8001,1,154000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1079,8001,1,156000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,-1
1080,8001,1,158000,4&1000002&20,4&1000002&20|4&7000102&2,1000002&150,4&1000002&20|4&1000002&20|4&7000102&2
2001,8002,2,5,4&1000002&50,4&1000002&60,-1,-1
2002,8002,2,10,4&1000002&60,4&1000002&120,-1,-1
2003,8002,2,15,4&1000002&70,4&1000002&200,-1,-1
2004,8002,2,20,4&1000002&80,4&1000002&250,-1,-1
2005,8002,2,25,4&1000002&90,4&1000002&350,-1,-1
2006,8002,2,30,4&1000002&100,4&1000002&400,-1,-1
2007,8002,2,35,4&1000002&110,4&1000002&450,-1,-1
2008,8002,2,40,4&1000002&120,4&1000002&550,-1,-1
2009,8002,2,45,4&1000002&130,4&1000002&630,-1,-1
3001,8003,2,50,4&1000002&140,4&1000002&700,-1,-1
3002,8003,2,55,4&1000002&150,4&1000002&770,-1,-1
3003,8003,2,60,4&1000002&160,4&1000002&850,-1,-1
3004,8003,2,65,4&1000002&170,4&1000002&950,-1,-1
3005,8003,2,70,4&1000002&180,4&1000002&1050,-1,-1
3006,8003,2,75,4&1000002&190,4&1000002&1150,-1,-1
3007,8003,2,80,4&1000002&200,4&1000002&1300,-1,-1
4001,8004,1,0,4&4200001&1,4&4200001&2|4&7000005&1,-1,-1
4002,8004,1,2000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4003,8004,1,4000,4&4600001&1,4&4600001&2|4&7000102&1,1000002&150,-1
4004,8004,1,6000,4&4100001&1,4&4100001&2|4&1000009&1,1000002&150,-1
4005,8004,1,8000,4&5002001&1,4&5002001&1|4&5003001&1,1000002&150,-1
4006,8004,1,10000,4&1000001&1000,4&1000001&2000|4&7000102&1,1000002&150,-1
4007,8004,1,12000,4&4200001&1,4&4200001&2|4&99902&1,1000002&150,-1
4008,8004,1,14000,4&4100001&1,4&4100001&2|4&1000009&1,1000002&150,-1
4009,8004,1,16000,4&1000001&1000,4&1000001&2000|4&3000000&1,1000002&150,-1
4010,8004,1,18000,4&7000007&1,4&7000007&2|4&1000002&100,1000002&150,4&7000007&1|4&7000007&2|4&1000002&100
4011,8004,1,20000,4&5001001&1,4&5001001&1|4&5004002&1,1000002&150,-1
4012,8004,1,22000,4&99101&1,4&99102&2|4&99103&2,1000002&150,-1
4013,8004,1,24000,4&4600001&1,4&4600001&2|4&7000102&1,1000002&150,-1
4014,8004,1,26000,4&4200001&1,4&4200001&2|4&7000005&1,1000002&150,-1
4015,8004,1,28000,4&4100001&1,4&4100001&2|4&99902&1,1000002&150,-1
4016,8004,1,30000,4&5002001&1,4&5002001&1|4&5003001&1,1000002&150,-1
4017,8004,1,32000,4&4306001&1,4&4306001&2|4&1000001&2000,1000002&150,-1
4018,8004,1,34000,4&8800001&1,4&8800001&2|4&7000112&1,1000002&150,-1
4019,8004,1,36000,4&4600004&1,4&4600004&2|4&1000009&1,1000002&150,-1
4020,8004,1,38000,4&7000007&1,4&7000007&1|4&3000000&2,1000002&150,4&7000007&1|4&7000007&1|4&3000000&2
4021,8004,1,40000,4&1000001&1000,4&4100003&2|4&1000001&2000,1000002&150,-1
4022,8004,1,42000,4&4100003&1,4&4100003&2|4&1000002&10,1000002&150,-1
4023,8004,1,44000,4&4200001&1,4&4200001&2|4&1000001&2000,1000002&150,-1
4024,8004,1,46000,4&4600001&1,4&4600001&2|4&7000005&1,1000002&150,-1
4025,8004,1,48000,4&5001002&1,4&5001002&1|4&7000112&1,1000002&150,-1
4026,8004,1,50000,4&99201&1,4&99202&2|4&99203&2,1000002&150,-1
4027,8004,1,52000,4&4200002&1,4&4200002&2|4&1000001&2000,1000002&150,-1
4028,8004,1,54000,4&4306001&1,4&4306001&2|4&1000001&2000,1000002&150,-1
4029,8004,1,56000,4&8800002&1,4&8800002&2|4&1000009&1,1000002&150,-1
4030,8004,1,58000,4&7000007&1,4&7000007&2|4&1000002&100,1000002&150,4&7000007&1|4&7000007&2|4&1000002&100
4031,8004,1,60000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4032,8004,1,62000,4&4100003&1,4&4100003&2|4&1000001&2000,1000002&150,-1
4033,8004,1,64000,4&5001003&1,4&5001003&1|4&5004003&1,1000002&150,-1
4034,8004,1,66000,4&4200002&1,4&4200002&2|4&7000112&1,1000002&150,-1
4035,8004,1,68000,4&4600002&1,4&4600002&2|4&7000005&1,1000002&150,-1
4036,8004,1,70000,4&99902&1,4&99903&1|4&1000001&2000,1000002&150,-1
4037,8004,1,72000,4&4600004&1,4&4600004&2|4&1000001&2000,1000002&150,-1
4038,8004,1,74000,4&8800003&1,4&8800003&2|4&8800004&2,1000002&150,-1
4039,8004,1,76000,4&4100003&1,4&4100003&2|4&1000009&1,1000002&150,-1
4040,8004,1,78000,4&7000007&1,4&7000007&1|4&3000000&3,1000002&150,4&7000007&1|4&7000007&1|4&3000000&3
4041,8004,1,80000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4042,8004,1,82000,4&4200002&1,4&4200002&2|4&1000002&10,1000002&150,-1
4043,8004,1,84000,4&99902&1,4&99903&1|4&1000001&2000,1000002&150,-1
4044,8004,1,86000,4&4600002&1,4&4600002&2|4&1000001&2000,1000002&150,-1
4045,8004,1,88000,4&5002002&1,4&5002002&1|4&5003002&1,1000002&150,-1
4046,8004,1,90000,4&4100004&1,4&4100004&2|4&7000005&1,1000002&150,-1
4047,8004,1,92000,4&99902&1,4&99903&1|4&1000001&2000,1000002&150,-1
4048,8004,1,94000,4&4200002&1,4&4200002&2|4&1000001&2000,1000002&150,-1
4049,8004,1,96000,4&4306001&1,4&4306001&2|4&1000009&1,1000002&150,-1
4050,8004,1,98000,4&7000007&1,4&7000007&2|4&1000002&100,1000002&150,4&7000007&1|4&7000007&2|4&1000002&100
4051,8004,1,100000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4052,8004,1,102000,4&4200003&1,4&4200003&2|4&1000002&10,1000002&150,-1
4053,8004,1,104000,4&4600003&1,4&4600003&2|4&1000001&2000,1000002&150,-1
4054,8004,1,106000,4&4100004&1,4&4100004&2|4&1000001&2000,1000002&150,-1
4055,8004,1,108000,4&1000002&10,4&1000002&20|4&7000005&1,1000002&150,-1
4056,8004,1,110000,4&1000001&1000,4&1000001&2000|4&7000122&1,1000002&150,-1
4057,8004,1,112000,4&5002003&1,4&5002003&1|4&5003003&1,1000002&150,-1
4058,8004,1,114000,4&4200003&1,4&4200003&2|4&1000001&2000,1000002&150,-1
4059,8004,1,116000,4&5001004&1,4&5001004&1|4&5002004&1,1000002&150,-1
4060,8004,1,118000,4&99904&1,4&7000007&1|4&99904&1,1000002&150,4&99904&1|4&7000007&1|4&99904&1
4061,8004,1,120000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4062,8004,1,122000,4&4600003&1,4&4600003&2|4&7000122&1,1000002&150,-1
4063,8004,1,124000,4&4100005&1,4&4100005&2|4&7000005&1,1000002&150,-1
4064,8004,1,126000,4&4200004&1,4&4200004&2|4&1000009&1,1000002&150,-1
4065,8004,1,128000,4&7000007&1,4&7000007&1|4&1000002&50,1000002&150,4&7000007&1|4&7000007&1|4&1000002&50
4066,8004,1,130000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4067,8004,1,132000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4068,8004,1,134000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4069,8004,1,136000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,-1
4070,8004,1,138000,4&1000001&1000,4&1000001&2000|4&1000001&2000,1000002&150,4&1000001&1000|4&1000001&2000|4&1000001&2000
