id,组,等级,需要经验,乐谱基础奖励,基础观众数,音符币转换系数,公演完毕额外奖励系数
108,6001018,6,0,6001018,1000,0.1,0.2
109,6001019,1,1000,6001019,1000,0.1,0.2
110,6001019,2,2000,6001019,1000,0.1,0.2
111,6001019,3,4000,6001019,1000,0.1,0.2
112,6001019,4,6000,6001019,1000,0.1,0.2
113,6001019,5,8000,6001019,1000,0.1,0.2
114,6001019,6,0,6001019,1000,0.1,0.2
115,6001020,1,1000,6001020,1000,0.1,0.2
116,6001020,2,2000,6001020,1000,0.1,0.2
117,6001020,3,4000,6001020,1000,0.1,0.2
118,6001020,4,6000,6001020,1000,0.1,0.2
119,6001020,5,8000,6001020,1000,0.1,0.2
120,6001020,6,0,6001020,1000,0.1,0.2
