索引id,具体掉落
200100101,4&1000001&3&10000&316|4&1000001&3&20000&189|4&1000001&3&50000&602|4&4200001&1&30&602|4&4200002&1&15&506|4&4200003&2&8&307|4&4200004&3&3&189|4&4200005&4&2&104|4&3000000&4&3&100|4&4306001&4&8&379|4&4901007&3&5&379|4&4100003&2&10&379|4&4100004&3&5&254|4&4100005&4&2&127|4&5001001&1&10&632|4&5001002&2&6&379|4&5001003&3&4&253|4&5001004&4&2&127|4&5002001&1&10&632|4&5002002&2&6&379|4&5002003&3&4&254|4&5002004&4&2&127|4&5003001&1&10&633|4&5003002&2&6&379|4&5003003&3&4&253|4&5003004&4&2&127|4&5004001&1&10&632|4&5004002&2&6&379|4&5004003&3&4&254|4&5004004&4&2&127
200101101,4&1000001&3&10000&316|4&1000001&3&20000&189|4&1000001&3&50000&602|4&4200001&1&30&602|4&4200002&1&15&506|4&4200003&2&8&307|4&4200004&3&3&189|4&4200005&4&2&104|4&3000000&4&3&100|4&4306001&4&8&379|4&4901007&3&5&379|4&4100003&2&10&379|4&4100004&3&5&254|4&4100005&4&2&127|4&5001001&1&10&632|4&5001002&2&6&379|4&5001003&3&4&253|4&5001004&4&2&127|4&5002001&1&10&632|4&5002002&2&6&379|4&5002003&3&4&254|4&5002004&4&2&127|4&5003001&1&10&633|4&5003002&2&6&379|4&5003003&3&4&253|4&5003004&4&2&127|4&5004001&1&10&632|4&5004002&2&6&379|4&5004003&3&4&254|4&5004004&4&2&127
99002,-1
100100601,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&311|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&12|1&1021&4&1&12|1&1031&4&1&12|1&1010&4&1&11|1&1013&4&1&100|1&1022&4&1&12|1&1023&4&1&12|1&1024&4&1&12|1&1025&4&1&12|1&1035&4&1&12
100101601,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&311|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&12|1&1021&4&1&12|1&1031&4&1&12|1&1010&4&1&11|1&1013&4&1&100|1&1022&4&1&12|1&1023&4&1&12|1&1024&4&1&12|1&1025&4&1&12|1&1035&4&1&12
100100701,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&311|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&12|1&1021&4&1&12|1&1031&4&1&12|1&1010&4&1&11|1&1013&4&1&12|1&1022&4&1&12|1&1023&4&1&100|1&1024&4&1&12|1&1025&4&1&12|1&1035&4&1&12
100101701,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&311|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&12|1&1021&4&1&12|1&1031&4&1&12|1&1010&4&1&11|1&1013&4&1&12|1&1022&4&1&12|1&1023&4&1&100|1&1024&4&1&12|1&1025&4&1&12|1&1035&4&1&12
100100801,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&311|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&12|1&1021&4&1&12|1&1031&4&1&12|1&1010&4&1&11|1&1013&4&1&12|1&1022&4&1&12|1&1023&4&1&12|1&1024&4&1&12|1&1025&4&1&100|1&1035&4&1&12
100101801,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&311|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&12|1&1021&4&1&12|1&1031&4&1&12|1&1010&4&1&11|1&1013&4&1&12|1&1022&4&1&12|1&1023&4&1&12|1&1024&4&1&12|1&1025&4&1&100|1&1035&4&1&12
99003,1&1009&4&1&3333|1&1013&4&1&3333|1&1022&4&1&3334
990031,1&1001&2&1&508|1&1004&2&1&508|1&1005&2&1&508|1&1007&2&1&508|1&1012&2&1&508|1&1014&3&1&325|1&1015&2&1&508|1&1017&2&1&508|1&1018&2&1&509|1&1020&2&1&509|1&1030&2&1&509|1&1039&2&1&509|1&1003&3&1&325|1&1008&3&1&325|1&1006&2&1&508|1&1016&3&1&325|1&1011&3&1&325|1&1019&3&1&325|1&1028&3&1&325|1&1002&3&1&325|1&1036&3&1&325|1&1038&3&1&325|1&1042&3&1&325|1&1045&3&1&325|1&1009&4&1&0|1&1013&4&1&0|1&1022&4&1&0
100100901,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&10|1&1021&4&1&10|1&1031&4&1&10|1&1010&4&1&10|1&1013&4&1&10|1&1022&4&1&10|1&1023&4&1&10|1&1024&4&1&10|1&1025&4&1&10|1&1035&4&1&10|1&1044&4&1&100
100101901,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&10|1&1021&4&1&10|1&1031&4&1&10|1&1010&4&1&10|1&1013&4&1&10|1&1022&4&1&10|1&1023&4&1&10|1&1024&4&1&10|1&1025&4&1&10|1&1035&4&1&10|1&1044&4&1&100
100301001,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&10|1&1021&4&1&10|1&1031&4&1&10|1&1010&4&1&10|1&1013&4&1&10|1&1022&4&1&10|1&1023&4&1&10|1&1024&4&1&10|1&1025&4&1&10|1&1035&4&1&100|1&1044&4&1&10
100302001,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&10|1&1021&4&1&10|1&1031&4&1&10|1&1010&4&1&10|1&1013&4&1&10|1&1022&4&1&10|1&1023&4&1&10|1&1024&4&1&10|1&1025&4&1&10|1&1035&4&1&100|1&1044&4&1&10
100301002,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&10|1&1021&4&1&100|1&1031&4&1&10|1&1010&4&1&10|1&1013&4&1&10|1&1022&4&1&10|1&1023&4&1&10|1&1024&4&1&10|1&1025&4&1&10|1&1035&4&1&10|1&1044&4&1&10
100302002,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&10|1&1021&4&1&100|1&1031&4&1&10|1&1010&4&1&10|1&1013&4&1&10|1&1022&4&1&10|1&1023&4&1&10|1&1024&4&1&10|1&1025&4&1&10|1&1035&4&1&10|1&1044&4&1&10
100301003,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&100|1&1026&4&1&9|1&1021&4&1&9|1&1031&4&1&9|1&1010&4&1&9|1&1013&4&1&9|1&1022&4&1&9|1&1023&4&1&9|1&1024&4&1&9|1&1025&4&1&9|1&1035&4&1&10|1&1044&4&1&9
100302003,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&100|1&1026&4&1&9|1&1021&4&1&9|1&1031&4&1&9|1&1010&4&1&9|1&1013&4&1&9|1&1022&4&1&9|1&1023&4&1&9|1&1024&4&1&9|1&1025&4&1&9|1&1035&4&1&10|1&1044&4&1&9
100301004,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&9|1&1026&4&1&9|1&1021&4&1&9|1&1031&4&1&9|1&1010&4&1&100|1&1013&4&1&9|1&1022&4&1&9|1&1023&4&1&9|1&1024&4&1&9|1&1025&4&1&9|1&1035&4&1&10|1&1044&4&1&9
100302004,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&9|1&1026&4&1&9|1&1021&4&1&9|1&1031&4&1&9|1&1010&4&1&100|1&1013&4&1&9|1&1022&4&1&9|1&1023&4&1&9|1&1024&4&1&9|1&1025&4&1&9|1&1035&4&1&10|1&1044&4&1&9
100401001,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&9|1&1026&4&1&100|1&1021&4&1&9|1&1031&4&1&9|1&1010&4&1&9|1&1013&4&1&9|1&1022&4&1&9|1&1023&4&1&9|1&1024&4&1&9|1&1025&4&1&9|1&1035&4&1&10|1&1044&4&1&9
100402001,1&1001&2&1&680|1&1004&2&1&680|1&1005&2&1&680|1&1007&2&1&680|1&1012&2&1&680|1&1006&2&1&680|1&1015&2&1&680|1&1017&2&1&318|1&1018&2&1&680|1&1020&2&1&680|1&1030&2&1&680|1&1039&2&1&680|1&1003&3&1&154|1&1008&3&1&154|1&1014&3&1&154|1&1016&3&1&154|1&1011&3&1&154|1&1019&3&1&154|1&1028&3&1&154|1&1002&3&1&154|1&1036&3&1&154|1&1038&3&1&154|1&1042&3&1&154|1&1050&3&1&154|1&1045&3&1&154|1&1009&4&1&9|1&1026&4&1&100|1&1021&4&1&9|1&1031&4&1&9|1&1010&4&1&9|1&1013&4&1&9|1&1022&4&1&9|1&1023&4&1&9|1&1024&4&1&9|1&1025&4&1&9|1&1035&4&1&10|1&1044&4&1&9
