id,类型,等级,最终生命,最终攻击,最终防御,擦弹分,死亡分数,神火,时间
id,enemy_type,level,hp,atk,def,cadan,die_Score,gf,add_time
int,int,int,number,number,number,number,number,array_|,number
68,1,68,2100000000,22782,9492,9250,187500000,1|15,20
69,1,69,2100000000,22884,9537,9250,187500000,1|15,20
70,1,70,2100000000,27156,11316,9250,187500000,1|15,20
71,1,71,2100000000,27264,11361,13000,268750000,1|15,20
72,1,72,2100000000,27372,11406,13000,268750000,1|15,20
73,1,73,2100000000,28128,11718,13000,268750000,1|15,20
74,1,74,2100000000,28236,11763,13000,268750000,1|15,20
75,1,75,2100000000,28344,11811,13000,268750000,1|15,20
76,1,76,2100000000,28452,11856,13000,268750000,1|15,20
77,1,77,2100000000,28560,11901,13000,268750000,1|15,20
78,1,78,2100000000,28668,11946,13000,268750000,1|15,20
79,1,79,2100000000,28776,11991,13000,268750000,1|15,20
80,1,80,2100000000,32568,13569,13000,268750000,1|15,20
81,1,81,2100000000,32568,13569,13000,268750000,1|15,20
82,1,82,2100000000,32568,13569,13000,268750000,1|15,20
83,1,83,2100000000,32568,13569,13000,268750000,1|15,20
84,1,84,2100000000,32568,13569,13000,268750000,1|15,20
85,1,85,2100000000,32568,13569,13000,268750000,1|15,20
86,1,86,2100000000,32568,13569,13000,268750000,1|15,20
87,1,87,2100000000,32568,13569,13000,268750000,1|15,20
88,1,88,2100000000,32568,13569,13000,268750000,1|15,20
89,1,89,2100000000,32568,13569,13000,268750000,1|15,20
90,1,90,2100000000,32568,13569,13000,268750000,1|15,20
91,1,91,2100000000,32568,13569,13000,268750000,1|15,20
92,1,92,2100000000,32568,13569,13000,268750000,1|15,20
93,1,93,2100000000,32994,13749,13000,268750000,1|15,20
94,1,94,2100000000,33426,13926,13000,268750000,1|15,20
95,1,95,2100000000,33426,13926,13000,268750000,1|15,20
96,1,96,2100000000,33426,13926,13000,268750000,1|15,20
97,1,97,2100000000,33426,13926,13000,268750000,1|15,20
98,1,98,2100000000,33426,13926,13000,268750000,1|15,20
99,1,99,2100000000,33426,13926,13000,268750000,1|15,20
100,1,100,2100000000,33426,13926,13000,268750000,1|15,20
101,2,1,44310,906,504,250,4000,1|10,0
102,2,2,51750,981,546,250,4000,1|10,0
103,2,3,65790,1095,609,250,4000,1|10,0
104,2,4,75570,1170,651,250,4000,1|10,0
105,2,5,85950,1248,693,250,4000,1|10,0
106,2,6,103170,1323,735,250,4000,1|10,0
107,2,7,118740,1431,795,250,4000,1|10,0
108,2,8,132630,1509,837,250,4000,1|10,0
109,2,9,155580,1584,879,250,4000,1|10,0
110,2,10,241080,2403,1335,250,4000,1|10,0
111,2,11,262860,2481,1377,250,4000,1|10,0
112,2,12,302820,2556,1419,250,4000,1|10,0
113,2,13,328230,2628,1461,250,4000,1|10,0
114,2,14,354990,2706,1503,250,4000,1|10,0
115,2,15,403050,2781,1545,250,4000,1|10,0
116,2,16,434040,2859,1587,250,4000,1|10,0
117,2,17,466500,2934,1629,250,4000,1|10,0
118,2,18,525930,3006,1671,250,4000,1|10,0
119,2,19,563250,3084,1713,250,4000,1|10,0
120,2,20,664320,3519,1956,250,4000,1|10,0
121,2,21,738420,3597,1998,1875,4000,1|10,0
122,2,22,785850,3672,2040,1875,4000,1|10,0
123,2,23,834780,3750,2082,1875,4000,1|10,0
124,2,24,928560,3825,2124,1875,4000,1|10,0
125,2,25,983610,3903,2169,1875,4000,1|10,0
126,2,26,1041000,3978,2211,1875,4000,1|10,0
127,2,27,1146240,4056,2253,1875,4000,1|10,0
128,2,28,1211010,4131,2295,1875,4000,1|10,0
129,2,29,1277520,4209,2337,1875,4000,1|10,0
130,2,30,1516710,4671,2595,1875,4000,1|10,0
131,2,31,1594740,4749,2637,1875,4000,1|10,0
132,2,32,2625210,7953,4419,1875,4000,1|10,0
133,2,33,2898960,8181,4545,1875,4000,1|10,0
134,2,34,3022980,8259,4590,1875,4000,1|10,0
135,2,35,3152280,8340,4632,1875,4000,1|10,0
136,2,36,3412440,8415,4674,1875,4000,1|10,0
137,2,37,3551610,8493,4719,1875,4000,1|10,0
138,2,38,3695700,8568,4761,1875,4000,1|10,0
139,2,39,3990600,8646,4803,1875,4000,1|10,0
140,2,40,4545750,9666,5370,1875,30000,1|10,0
141,2,41,4719510,9744,5412,6250,30000,1|10,0
142,2,42,5053440,9825,5457,6250,30000,1|10,0
143,2,43,5240520,9900,5502,6250,30000,1|10,0
144,2,44,5432610,9981,5544,6250,30000,1|10,0
145,2,45,5834880,10059,5589,6250,30000,1|10,0
146,2,46,6043080,10134,5631,6250,30000,1|10,0
147,2,47,6255030,10215,5676,6250,30000,1|10,0
148,2,48,6673440,10296,5718,6250,30000,1|10,0
149,2,49,6900180,10374,5763,6250,30000,1|10,0
150,2,50,8287350,12363,6870,6250,30000,1|10,0
151,2,51,8861100,12444,6915,6250,30000,1|10,0
152,2,52,9146010,12525,6957,6250,30000,1|10,0
153,2,53,9643140,12921,7179,6250,30000,1|10,0
154,2,54,10242420,13002,7221,6250,30000,1|10,0
155,2,55,10555890,13077,7266,6250,30000,1|10,0
156,2,56,10875210,13158,7311,6250,30000,1|10,0
157,2,57,11530620,13239,7356,6250,30000,1|10,0
158,2,58,11873430,13320,7401,6250,30000,1|10,0
159,2,59,12223890,13401,7443,6250,30000,1|10,0
160,2,60,15008490,16440,9135,6250,100000,1|10,0
161,2,61,15425280,16521,9180,9250,100000,1|10,0
162,2,62,15850500,16602,9222,9250,100000,1|10,0
163,2,63,16281420,16683,9267,9250,100000,1|10,0
164,2,64,16717350,16764,9312,9250,100000,1|10,0
165,2,65,17162460,16845,9357,9250,100000,1|10,0
166,2,66,17614740,16926,9402,9250,100000,1|10,0
167,2,67,18072090,17007,9447,9250,100000,1|10,0
168,2,68,18538920,17088,9492,9250,100000,1|10,0
169,2,69,19010730,17163,9537,9250,100000,1|10,0
170,2,70,22599750,20367,11316,9250,150000,1|10,0
171,2,71,23151720,20448,11361,13000,150000,1|10,0
172,2,72,23711850,20529,11406,13000,150000,1|10,0
173,2,73,24783930,21096,11718,13000,150000,1|10,0
174,2,74,25370220,21177,11763,13000,150000,1|10,0
175,2,75,25963020,21258,11811,13000,150000,1|10,0
176,2,76,26565990,21339,11856,13000,150000,1|10,0
177,2,77,27177390,21420,11901,13000,150000,1|10,0
178,2,78,27797280,21501,11946,13000,150000,1|10,0
179,2,79,28428420,21582,11991,13000,150000,1|10,0
180,2,80,32328060,24426,13569,13000,215000,1|10,0
181,2,81,32328060,24426,13569,13000,215000,1|10,0
182,2,82,32328060,24426,13569,13000,215000,1|10,0
183,2,83,32328060,24426,13569,13000,215000,1|10,0
184,2,84,32328060,24426,13569,13000,215000,1|10,0
185,2,85,32328060,24426,13569,13000,215000,1|10,0
186,2,86,32328060,24426,13569,13000,215000,1|10,0
187,2,87,32328060,24426,13569,13000,215000,1|10,0
188,2,88,32328060,24426,13569,13000,215000,1|10,0
189,2,89,32328060,24426,13569,13000,215000,1|10,0
190,2,90,32328060,24426,13569,13000,215000,1|10,0
191,2,91,32328060,24426,13569,13000,215000,1|10,0
192,2,92,32328060,24426,13569,13000,215000,1|10,0
193,2,93,32701710,24747,13749,13000,215000,1|10,0
194,2,94,33079710,25071,13926,13000,215000,1|10,0
195,2,95,33079710,25071,13926,13000,215000,1|10,0
196,2,96,33079710,25071,13926,13000,215000,1|10,0
197,2,97,33079710,25071,13926,13000,215000,1|10,0
198,2,98,33079710,25071,13926,13000,215000,1|10,0
199,2,99,33079710,25071,13926,13000,215000,1|10,0
200,2,100,33079710,25071,13926,13000,215000,1|10,0
201,3,1,148,603,504,250,4000,0.07|2,0
202,3,2,173,654,546,250,4000,0.07|2,0
203,3,3,219,729,609,250,4000,0.07|2,0
204,3,4,252,780,651,250,4000,0.07|2,0
205,3,5,287,831,693,250,4000,0.07|2,0
206,3,6,344,882,735,250,4000,0.07|2,0
207,3,7,396,954,795,250,4000,0.07|2,0
208,3,8,442,1005,837,250,4000,0.07|2,0
209,3,9,519,1056,879,250,4000,0.07|2,0
210,3,10,804,1602,1335,250,4000,0.07|2,0
211,3,11,876,1653,1377,250,4000,0.07|2,0
212,3,12,1009,1704,1419,250,4000,0.07|2,0
213,3,13,1094,1752,1461,250,4000,0.07|2,0
214,3,14,1183,1803,1503,250,4000,0.07|2,0
215,3,15,1344,1854,1545,250,4000,0.07|2,0
216,3,16,1447,1905,1587,250,4000,0.07|2,0
217,3,17,1555,1956,1629,250,4000,0.07|2,0
218,3,18,1753,2004,1671,250,4000,0.07|2,0
219,3,19,1878,2055,1713,250,4000,0.07|2,0
220,3,20,2214,2346,1956,250,4000,0.07|2,0
221,3,21,2461,2397,1998,1875,4000,0.07|2,0
222,3,22,2620,2448,2040,1875,4000,0.07|2,0
223,3,23,2783,2499,2082,1875,4000,0.07|2,0
224,3,24,3095,2550,2124,1875,4000,0.07|2,0
225,3,25,3279,2601,2169,1875,4000,0.07|2,0
226,3,26,3470,2652,2211,1875,4000,0.07|2,0
227,3,27,3821,2703,2253,1875,4000,0.07|2,0
228,3,28,4037,2754,2295,1875,4000,0.07|2,0
229,3,29,4258,2805,2337,1875,4000,0.07|2,0
230,3,30,5056,3114,2595,1875,4000,0.07|2,0
231,3,31,5316,3165,2637,1875,4000,0.07|2,0
232,3,32,8751,5301,4419,1875,4000,0.07|2,0
233,3,33,9663,5454,4545,1875,4000,0.07|2,0
234,3,34,10077,5505,4590,1875,4000,0.07|2,0
235,3,35,10508,5559,4632,1875,4000,0.07|2,0
236,3,36,11375,5610,4674,1875,4000,0.07|2,0
237,3,37,11839,5661,4719,1875,4000,0.07|2,0
238,3,38,12319,5712,4761,1875,4000,0.07|2,0
239,3,39,13302,5763,4803,1875,4000,0.07|2,0
240,3,40,15153,6444,5370,1875,30000,0.07|2,0
241,3,41,15732,6495,5412,6250,30000,0.07|2,0
242,3,42,16845,6549,5457,6250,30000,0.07|2,0
243,3,43,17468,6600,5502,6250,30000,0.07|2,0
244,3,44,18109,6654,5544,6250,30000,0.07|2,0
245,3,45,19450,6705,5589,6250,30000,0.07|2,0
246,3,46,20144,6756,5631,6250,30000,0.07|2,0
247,3,47,20850,6810,5676,6250,30000,0.07|2,0
248,3,48,22245,6864,5718,6250,30000,0.07|2,0
249,3,49,23001,6915,5763,6250,30000,0.07|2,0
250,3,50,27625,8241,6870,6250,30000,0.07|2,0
251,3,51,29537,8295,6915,6250,30000,0.07|2,0
252,3,52,30487,8349,6957,6250,30000,0.07|2,0
253,3,53,32144,8613,7179,6250,30000,0.07|2,0
254,3,54,34141,8667,7221,6250,30000,0.07|2,0
255,3,55,35186,8718,7266,6250,30000,0.07|2,0
256,3,56,36251,8772,7311,6250,30000,0.07|2,0
257,3,57,38435,8826,7356,6250,30000,0.07|2,0
258,3,58,39578,8880,7401,6250,30000,0.07|2,0
259,3,59,40746,8934,7443,6250,30000,0.07|2,0
260,3,60,50028,10959,9135,6250,100000,0.07|2,0
261,3,61,51418,11013,9180,9250,100000,0.07|2,0
262,3,62,52835,11067,9222,9250,100000,0.07|2,0
263,3,63,54271,11121,9267,9250,100000,0.07|2,0
264,3,64,55725,11175,9312,9250,100000,0.07|2,0
265,3,65,57208,11229,9357,9250,100000,0.07|2,0
266,3,66,58716,11283,9402,9250,100000,0.07|2,0
267,3,67,60240,11337,9447,9250,100000,0.07|2,0
268,3,68,61796,11391,9492,9250,100000,0.07|2,0
269,3,69,63369,11442,9537,9250,100000,0.07|2,0
270,3,70,75333,13578,11316,9250,150000,0.07|2,0
271,3,71,77172,13632,11361,13000,150000,0.07|2,0
272,3,72,79040,13686,11406,13000,150000,0.07|2,0
273,3,73,82613,14064,11718,13000,150000,0.07|2,0
274,3,74,84567,14118,11763,13000,150000,0.07|2,0
275,3,75,86543,14172,11811,13000,150000,0.07|2,0
276,3,76,88553,14226,11856,13000,150000,0.07|2,0
277,3,77,90591,14280,11901,13000,150000,0.07|2,0
278,3,78,92658,14334,11946,13000,150000,0.07|2,0
279,3,79,94761,14388,11991,13000,150000,0.07|2,0
280,3,80,107760,16284,13569,13000,215000,0.07|2,0
281,3,81,107760,16284,13569,13000,215000,0.07|2,0
282,3,82,107760,16284,13569,13000,215000,0.07|2,0
283,3,83,107760,16284,13569,13000,215000,0.07|2,0
284,3,84,107760,16284,13569,13000,215000,0.07|2,0
285,3,85,107760,16284,13569,13000,215000,0.07|2,0
286,3,86,107760,16284,13569,13000,215000,0.07|2,0
287,3,87,107760,16284,13569,13000,215000,0.07|2,0
288,3,88,107760,16284,13569,13000,215000,0.07|2,0
289,3,89,107760,16284,13569,13000,215000,0.07|2,0
290,3,90,107760,16284,13569,13000,215000,0.07|2,0
291,3,91,107760,16284,13569,13000,215000,0.07|2,0
292,3,92,107760,16284,13569,13000,215000,0.07|2,0
293,3,93,109006,16497,13749,13000,215000,0.07|2,0
294,3,94,110266,16713,13926,13000,215000,0.07|2,0
295,3,95,110266,16713,13926,13000,215000,0.07|2,0
296,3,96,110266,16713,13926,13000,215000,0.07|2,0
297,3,97,110266,16713,13926,13000,215000,0.07|2,0
298,3,98,110266,16713,13926,13000,215000,0.07|2,0
299,3,99,110266,16713,13926,13000,215000,0.07|2,0
300,3,100,110266,16713,13926,13000,215000,0.07|2,0
301,4,1,591,603,504,250,4000,0.07|2,0
302,4,2,690,654,546,250,4000,0.07|2,0
303,4,3,877,729,609,250,4000,0.07|2,0
304,4,4,1008,780,651,250,4000,0.07|2,0
305,4,5,1146,831,693,250,4000,0.07|2,0
306,4,6,1376,882,735,250,4000,0.07|2,0
307,4,7,1583,954,795,250,4000,0.07|2,0
308,4,8,1768,1005,837,250,4000,0.07|2,0
309,4,9,2074,1056,879,250,4000,0.07|2,0
310,4,10,3214,1602,1335,250,4000,0.07|2,0
311,4,11,3505,1653,1377,250,4000,0.07|2,0
312,4,12,4038,1704,1419,250,4000,0.07|2,0
313,4,13,4376,1752,1461,250,4000,0.07|2,0
314,4,14,4733,1803,1503,250,4000,0.07|2,0
315,4,15,5374,1854,1545,250,4000,0.07|2,0
316,4,16,5787,1905,1587,250,4000,0.07|2,0
317,4,17,6220,1956,1629,250,4000,0.07|2,0
318,4,18,7012,2004,1671,250,4000,0.07|2,0
319,4,19,7510,2055,1713,250,4000,0.07|2,0
320,4,20,8858,2346,1956,250,4000,0.07|2,0
321,4,21,9846,2397,1998,1875,4000,0.07|2,0
322,4,22,10478,2448,2040,1875,4000,0.07|2,0
323,4,23,11130,2499,2082,1875,4000,0.07|2,0
324,4,24,12381,2550,2124,1875,4000,0.07|2,0
325,4,25,13115,2601,2169,1875,4000,0.07|2,0
326,4,26,13880,2652,2211,1875,4000,0.07|2,0
327,4,27,15283,2703,2253,1875,4000,0.07|2,0
328,4,28,16147,2754,2295,1875,4000,0.07|2,0
329,4,29,17034,2805,2337,1875,4000,0.07|2,0
330,4,30,20223,3114,2595,1875,4000,0.07|2,0
331,4,31,21263,3165,2637,1875,4000,0.07|2,0
332,4,32,35003,5301,4419,1875,4000,0.07|2,0
333,4,33,38653,5454,4545,1875,4000,0.07|2,0
334,4,34,40306,5505,4590,1875,4000,0.07|2,0
335,4,35,42030,5559,4632,1875,4000,0.07|2,0
336,4,36,45499,5610,4674,1875,4000,0.07|2,0
337,4,37,47355,5661,4719,1875,4000,0.07|2,0
338,4,38,49276,5712,4761,1875,4000,0.07|2,0
339,4,39,53208,5763,4803,1875,4000,0.07|2,0
340,4,40,60610,6444,5370,1875,30000,0.07|2,0
341,4,41,62927,6495,5412,6250,30000,0.07|2,0
342,4,42,67379,6549,5457,6250,30000,0.07|2,0
343,4,43,69874,6600,5502,6250,30000,0.07|2,0
344,4,44,72435,6654,5544,6250,30000,0.07|2,0
345,4,45,77798,6705,5589,6250,30000,0.07|2,0
346,4,46,80574,6756,5631,6250,30000,0.07|2,0
347,4,47,83400,6810,5676,6250,30000,0.07|2,0
348,4,48,88979,6864,5718,6250,30000,0.07|2,0
349,4,49,92002,6915,5763,6250,30000,0.07|2,0
350,4,50,110498,8241,6870,6250,30000,0.07|2,0
351,4,51,118148,8295,6915,6250,30000,0.07|2,0
352,4,52,121947,8349,6957,6250,30000,0.07|2,0
353,4,53,128575,8613,7179,6250,30000,0.07|2,0
354,4,54,136566,8667,7221,6250,30000,0.07|2,0
355,4,55,140745,8718,7266,6250,30000,0.07|2,0
356,4,56,145003,8772,7311,6250,30000,0.07|2,0
357,4,57,153742,8826,7356,6250,30000,0.07|2,0
358,4,58,158312,8880,7401,6250,30000,0.07|2,0
359,4,59,162985,8934,7443,6250,30000,0.07|2,0
360,4,60,200113,10959,9135,6250,100000,0.07|2,0
361,4,61,205670,11013,9180,9250,100000,0.07|2,0
362,4,62,211340,11067,9222,9250,100000,0.07|2,0
363,4,63,217086,11121,9267,9250,100000,0.07|2,0
364,4,64,222898,11175,9312,9250,100000,0.07|2,0
365,4,65,228833,11229,9357,9250,100000,0.07|2,0
366,4,66,234863,11283,9402,9250,100000,0.07|2,0
367,4,67,240961,11337,9447,9250,100000,0.07|2,0
368,4,68,247186,11391,9492,9250,100000,0.07|2,0
369,4,69,253476,11442,9537,9250,100000,0.07|2,0
370,4,70,301330,13578,11316,9250,150000,0.07|2,0
371,4,71,308690,13632,11361,13000,150000,0.07|2,0
372,4,72,316158,13686,11406,13000,150000,0.07|2,0
373,4,73,330452,14064,11718,13000,150000,0.07|2,0
374,4,74,338270,14118,11763,13000,150000,0.07|2,0
375,4,75,346174,14172,11811,13000,150000,0.07|2,0
376,4,76,354213,14226,11856,13000,150000,0.07|2,0
377,4,77,362365,14280,11901,13000,150000,0.07|2,0
378,4,78,370630,14334,11946,13000,150000,0.07|2,0
379,4,79,379046,14388,11991,13000,150000,0.07|2,0
380,4,80,431041,16284,13569,13000,215000,0.07|2,0
381,4,81,431041,16284,13569,13000,215000,0.07|2,0
382,4,82,431041,16284,13569,13000,215000,0.07|2,0
383,4,83,431041,16284,13569,13000,215000,0.07|2,0
384,4,84,431041,16284,13569,13000,215000,0.07|2,0
385,4,85,431041,16284,13569,13000,215000,0.07|2,0
386,4,86,431041,16284,13569,13000,215000,0.07|2,0
387,4,87,431041,16284,13569,13000,215000,0.07|2,0
388,4,88,431041,16284,13569,13000,215000,0.07|2,0
389,4,89,431041,16284,13569,13000,215000,0.07|2,0
390,4,90,431041,16284,13569,13000,215000,0.07|2,0
391,4,91,431041,16284,13569,13000,215000,0.07|2,0
392,4,92,431041,16284,13569,13000,215000,0.07|2,0
393,4,93,436023,16497,13749,13000,215000,0.07|2,0
394,4,94,441063,16713,13926,13000,215000,0.07|2,0
395,4,95,441063,16713,13926,13000,215000,0.07|2,0
396,4,96,441063,16713,13926,13000,215000,0.07|2,0
397,4,97,441063,16713,13926,13000,215000,0.07|2,0
398,4,98,441063,16713,13926,13000,215000,0.07|2,0
399,4,99,441063,16713,13926,13000,215000,0.07|2,0
400,4,100,441063,16713,13926,13000,215000,0.07|2,0
401,5,1,1477,603,504,250,4000,0.07|2,0
402,5,2,1725,654,546,250,4000,0.07|2,0
403,5,3,2193,729,609,250,4000,0.07|2,0
404,5,4,2519,780,651,250,4000,0.07|2,0
405,5,5,2865,831,693,250,4000,0.07|2,0
406,5,6,3439,882,735,250,4000,0.07|2,0
407,5,7,3958,954,795,250,4000,0.07|2,0
408,5,8,4421,1005,837,250,4000,0.07|2,0
409,5,9,5186,1056,879,250,4000,0.07|2,0
410,5,10,8036,1602,1335,250,4000,0.07|2,0
411,5,11,8762,1653,1377,250,4000,0.07|2,0
412,5,12,10094,1704,1419,250,4000,0.07|2,0
413,5,13,10941,1752,1461,250,4000,0.07|2,0
414,5,14,11833,1803,1503,250,4000,0.07|2,0
415,5,15,13435,1854,1545,250,4000,0.07|2,0
416,5,16,14468,1905,1587,250,4000,0.07|2,0
417,5,17,15550,1956,1629,250,4000,0.07|2,0
418,5,18,17531,2004,1671,250,4000,0.07|2,0
419,5,19,18775,2055,1713,250,4000,0.07|2,0
420,5,20,22144,2346,1956,250,4000,0.07|2,0
421,5,21,24614,2397,1998,1875,4000,0.07|2,0
422,5,22,26195,2448,2040,1875,4000,0.07|2,0
423,5,23,27826,2499,2082,1875,4000,0.07|2,0
424,5,24,30952,2550,2124,1875,4000,0.07|2,0
425,5,25,32787,2601,2169,1875,4000,0.07|2,0
426,5,26,34700,2652,2211,1875,4000,0.07|2,0
427,5,27,38208,2703,2253,1875,4000,0.07|2,0
428,5,28,40367,2754,2295,1875,4000,0.07|2,0
429,5,29,42584,2805,2337,1875,4000,0.07|2,0
430,5,30,50557,3114,2595,1875,4000,0.07|2,0
431,5,31,53158,3165,2637,1875,4000,0.07|2,0
432,5,32,87507,5301,4419,1875,4000,0.07|2,0
433,5,33,96632,5454,4545,1875,4000,0.07|2,0
434,5,34,100766,5505,4590,1875,4000,0.07|2,0
435,5,35,105076,5559,4632,1875,4000,0.07|2,0
436,5,36,113748,5610,4674,1875,4000,0.07|2,0
437,5,37,118387,5661,4719,1875,4000,0.07|2,0
438,5,38,123190,5712,4761,1875,4000,0.07|2,0
439,5,39,133020,5763,4803,1875,4000,0.07|2,0
440,5,40,151525,6444,5370,1875,30000,0.07|2,0
441,5,41,157317,6495,5412,6250,30000,0.07|2,0
442,5,42,168448,6549,5457,6250,30000,0.07|2,0
443,5,43,174684,6600,5502,6250,30000,0.07|2,0
444,5,44,181087,6654,5544,6250,30000,0.07|2,0
445,5,45,194496,6705,5589,6250,30000,0.07|2,0
446,5,46,201436,6756,5631,6250,30000,0.07|2,0
447,5,47,208501,6810,5676,6250,30000,0.07|2,0
448,5,48,222448,6864,5718,6250,30000,0.07|2,0
449,5,49,230006,6915,5763,6250,30000,0.07|2,0
450,5,50,276245,8241,6870,6250,30000,0.07|2,0
451,5,51,295370,8295,6915,6250,30000,0.07|2,0
452,5,52,304867,8349,6957,6250,30000,0.07|2,0
453,5,53,321438,8613,7179,6250,30000,0.07|2,0
454,5,54,341414,8667,7221,6250,30000,0.07|2,0
455,5,55,351863,8718,7266,6250,30000,0.07|2,0
456,5,56,362507,8772,7311,6250,30000,0.07|2,0
457,5,57,384354,8826,7356,6250,30000,0.07|2,0
458,5,58,395781,8880,7401,6250,30000,0.07|2,0
459,5,59,407463,8934,7443,6250,30000,0.07|2,0
460,5,60,500283,10959,9135,6250,100000,0.07|2,0
461,5,61,514176,11013,9180,9250,100000,0.07|2,0
462,5,62,528350,11067,9222,9250,100000,0.07|2,0
463,5,63,542714,11121,9267,9250,100000,0.07|2,0
464,5,64,557245,11175,9312,9250,100000,0.07|2,0
465,5,65,572082,11229,9357,9250,100000,0.07|2,0
466,5,66,587158,11283,9402,9250,100000,0.07|2,0
467,5,67,602403,11337,9447,9250,100000,0.07|2,0
468,5,68,617964,11391,9492,9250,100000,0.07|2,0
469,5,69,633691,11442,9537,9250,100000,0.07|2,0
470,5,70,753325,13578,11316,9250,150000,0.07|2,0
471,5,71,771724,13632,11361,13000,150000,0.07|2,0
472,5,72,790395,13686,11406,13000,150000,0.07|2,0
473,5,73,826131,14064,11718,13000,150000,0.07|2,0
474,5,74,845674,14118,11763,13000,150000,0.07|2,0
475,5,75,865434,14172,11811,13000,150000,0.07|2,0
476,5,76,885533,14226,11856,13000,150000,0.07|2,0
477,5,77,905913,14280,11901,13000,150000,0.07|2,0
478,5,78,926576,14334,11946,13000,150000,0.07|2,0
479,5,79,947614,14388,11991,13000,150000,0.07|2,0
480,5,80,1077602,16284,13569,13000,215000,0.07|2,0
481,5,81,1077602,16284,13569,13000,215000,0.07|2,0
482,5,82,1077602,16284,13569,13000,215000,0.07|2,0
483,5,83,1077602,16284,13569,13000,215000,0.07|2,0
