id,魔女id,解锁条件,解锁条件2特殊配置,解锁奖励,升级消耗组,心之纹章额外技能,心之纹章技能图标
25,1005,1&2&0,-1,4&1000002&10,101,-1,-1
26,1005,1&5&0|4&1005&35,-1,4&1000002&20,201,-1,-1
27,1005,1&8&0|4&1005&40,-1,4&1000002&20,301,-1,-1
28,1005,1&12&0|3&1006&0,-1,4&1000002&25,401,-1,-1
29,1005,1&18&0,1012&10030801,4&1000002&25,501,-1,-1
30,1005,5&35&0|4&1005&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
31,1006,1&2&0,-1,4&1000002&10,101,-1,-1
32,1006,1&5&0|4&1006&35,-1,4&1000002&20,201,-1,-1
33,1006,1&8&0|4&1006&40,-1,4&1000002&20,301,-1,-1
34,1006,1&12&0|3&1007&0,-1,4&1000002&25,401,-1,-1
35,1006,1&18&0,1005&10030401,4&1000002&25,501,-1,-1
36,1006,5&35&0|4&1006&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
37,1007,1&2&0,-1,4&1000002&10,101,-1,-1
38,1007,1&5&0|4&1007&35,-1,4&1000002&20,201,-1,-1
39,1007,1&8&0|4&1007&40,-1,4&1000002&20,301,-1,-1
40,1007,1&12&0|3&1008&0,-1,4&1000002&25,401,-1,-1
41,1007,1&18&0,1017&40030401,4&1000002&25,501,-1,-1
42,1007,5&35&0|4&1007&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
43,1008,1&2&0,-1,4&1000002&10,101,-1,-1
44,1008,1&5&0|4&1008&35,-1,4&1000002&20,201,-1,-1
45,1008,1&8&0|4&1008&40,-1,4&1000002&20,301,-1,-1
46,1008,1&12&0|3&1009&0,-1,4&1000002&25,401,-1,-1
47,1008,1&18&0,1021&30030401,4&1000002&25,501,-1,-1
48,1008,5&35&0|4&1008&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
49,1009,1&2&0,-1,4&1000002&10,101,-1,-1
50,1009,1&5&0|4&1009&35,-1,4&1000002&20,201,-1,-1
51,1009,1&8&0|4&1009&40,-1,4&1000002&20,301,-1,-1
52,1009,1&12&0|3&1010&0,-1,4&1000002&25,401,-1,-1
53,1009,1&18&0,1013&50030401,4&1000002&25,501,-1,-1
54,1009,5&35&0|4&1009&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
55,1010,1&2&0,-1,4&1000002&10,101,-1,-1
56,1010,1&5&0|4&1010&35,-1,4&1000002&20,201,-1,-1
57,1010,1&8&0|4&1010&40,-1,4&1000002&20,301,-1,-1
58,1010,1&12&0|3&1011&0,-1,4&1000002&25,401,-1,-1
59,1010,1&18&0,1025&20030401,4&1000002&25,501,-1,-1
60,1010,5&35&0|4&1010&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
61,1011,1&2&0,-1,4&1000002&10,101,-1,-1
62,1011,1&5&0|4&1011&35,-1,4&1000002&20,201,-1,-1
63,1011,1&8&0|4&1011&40,-1,4&1000002&20,301,-1,-1
64,1011,1&12&0|3&1012&0,-1,4&1000002&25,401,-1,-1
65,1011,1&18&0,1045&40030801,4&1000002&25,501,-1,-1
66,1011,5&35&0|4&1011&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
67,1012,1&2&0,-1,4&1000002&10,101,-1,-1
68,1012,1&5&0|4&1012&35,-1,4&1000002&20,201,-1,-1
69,1012,1&8&0|4&1012&40,-1,4&1000002&20,301,-1,-1
70,1012,1&12&0|3&1013&0,-1,4&1000002&25,401,-1,-1
71,1012,1&18&0,1009&50030801,4&1000002&25,501,-1,-1
72,1012,5&35&0|4&1012&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
73,1013,1&2&0,-1,4&1000002&10,101,-1,-1
74,1013,1&5&0|4&1013&35,-1,4&1000002&20,201,-1,-1
75,1013,1&8&0|4&1013&40,-1,4&1000002&20,301,-1,-1
76,1013,1&12&0|3&1014&0,-1,4&1000002&25,401,-1,-1
77,1013,1&18&0,1010&10030801,4&1000002&25,501,-1,-1
78,1013,5&35&0|4&1013&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
79,1014,1&2&0,-1,4&1000002&10,101,-1,-1
80,1014,1&5&0|4&1014&35,-1,4&1000002&20,201,-1,-1
81,1014,1&8&0|4&1014&40,-1,4&1000002&20,301,-1,-1
82,1014,1&12&0|3&1015&0,-1,4&1000002&25,401,-1,-1
83,1014,1&18&0,1016&10030401,4&1000002&25,501,-1,-1
84,1014,5&35&0|4&1014&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
85,1015,1&2&0,-1,4&1000002&10,101,-1,-1
86,1015,1&5&0|4&1015&35,-1,4&1000002&20,201,-1,-1
87,1015,1&8&0|4&1015&40,-1,4&1000002&20,301,-1,-1
88,1015,1&12&0|3&1016&0,-1,4&1000002&25,401,-1,-1
89,1015,1&18&0,1002&20030801,4&1000002&25,501,-1,-1
90,1015,5&35&0|4&1015&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
91,1016,1&2&0,-1,4&1000002&10,101,-1,-1
92,1016,1&5&0|4&1016&35,-1,4&1000002&20,201,-1,-1
93,1016,1&8&0|4&1016&40,-1,4&1000002&20,301,-1,-1
94,1016,1&12&0|3&1017&0,-1,4&1000002&25,401,-1,-1
95,1016,1&18&0,1023&30030801,4&1000002&25,501,-1,-1
96,1016,5&35&0|4&1016&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
97,1017,1&2&0,-1,4&1000002&10,101,-1,-1
98,1017,1&5&0|4&1017&35,-1,4&1000002&20,201,-1,-1
99,1017,1&8&0|4&1017&40,-1,4&1000002&20,301,-1,-1
100,1017,1&12&0|3&1018&0,-1,4&1000002&25,401,-1,-1
101,1017,1&18&0,1019&40030801,4&1000002&25,501,-1,-1
102,1017,5&35&0|4&1017&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
103,1018,1&2&0,-1,4&1000002&10,101,-1,-1
104,1018,1&5&0|4&1018&35,-1,4&1000002&20,201,-1,-1
105,1018,1&8&0|4&1018&40,-1,4&1000002&20,301,-1,-1
106,1018,1&12&0|3&1019&0,-1,4&1000002&25,401,-1,-1
107,1018,1&18&0,1036&50030801,4&1000002&25,501,-1,-1
108,1018,5&35&0|4&1018&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
109,1019,1&2&0,-1,4&1000002&10,101,-1,-1
110,1019,1&5&0|4&1019&35,-1,4&1000002&20,201,-1,-1
111,1019,1&8&0|4&1019&40,-1,4&1000002&20,301,-1,-1
112,1019,1&12&0|3&1020&0,-1,4&1000002&25,401,-1,-1
113,1019,1&18&0,1002&50030401,4&1000002&25,501,-1,-1
114,1019,5&35&0|4&1019&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
115,1020,1&2&0,-1,4&1000002&10,101,-1,-1
116,1020,1&5&0|4&1020&35,-1,4&1000002&20,201,-1,-1
117,1020,1&8&0|4&1020&40,-1,4&1000002&20,301,-1,-1
118,1020,1&12&0|3&1021&0,-1,4&1000002&25,401,-1,-1
119,1020,1&18&0,1001&20030401,4&1000002&25,501,-1,-1
120,1020,5&35&0|4&1020&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
121,1021,1&2&0,-1,4&1000002&10,101,-1,-1
122,1021,1&5&0|4&1021&35,-1,4&1000002&20,201,-1,-1
123,1021,1&8&0|4&1021&40,-1,4&1000002&20,301,-1,-1
124,1021,1&12&0|3&1022&0,-1,4&1000002&25,401,-1,-1
125,1021,1&18&0,1025&40030801,4&1000002&25,501,-1,-1
126,1021,5&35&0|4&1021&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
127,1022,1&2&0,-1,4&1000002&10,101,-1,-1
128,1022,1&5&0|4&1022&35,-1,4&1000002&20,201,-1,-1
129,1022,1&8&0|4&1022&40,-1,4&1000002&20,301,-1,-1
130,1022,1&12&0|3&1023&0,-1,4&1000002&25,401,-1,-1
131,1022,1&18&0,1028&50030801,4&1000002&25,501,-1,-1
132,1022,5&35&0|4&1022&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
133,1023,1&2&0,-1,4&1000002&10,101,-1,-1
134,1023,1&5&0|4&1023&35,-1,4&1000002&20,201,-1,-1
135,1023,1&8&0|4&1023&40,-1,4&1000002&20,301,-1,-1
136,1023,1&12&0|3&1024&0,-1,4&1000002&25,401,-1,-1
137,1023,1&18&0,1024&10030801,4&1000002&25,501,-1,-1
138,1023,5&35&0|4&1023&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
139,1024,1&2&0,-1,4&1000002&10,101,-1,-1
140,1024,1&5&0|4&1024&35,-1,4&1000002&20,201,-1,-1
141,1024,1&8&0|4&1024&40,-1,4&1000002&20,301,-1,-1
142,1024,1&12&0|3&1025&0,-1,4&1000002&25,401,-1,-1
143,1024,1&18&0,1023&30030801,4&1000002&25,501,-1,-1
144,1024,5&35&0|4&1024&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
145,1025,1&2&0,-1,4&1000002&10,101,-1,-1
146,1025,1&5&0|4&1025&35,-1,4&1000002&20,201,-1,-1
147,1025,1&8&0|4&1025&40,-1,4&1000002&20,301,-1,-1
148,1025,1&12&0|3&1028&0,-1,4&1000002&25,401,-1,-1
149,1025,1&18&0,1013&40030801,4&1000002&25,501,-1,-1
150,1025,5&35&0|4&1025&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
151,1028,1&2&0,-1,4&1000002&10,101,-1,-1
152,1028,1&5&0|4&1028&35,-1,4&1000002&20,201,-1,-1
153,1028,1&8&0|4&1028&40,-1,4&1000002&20,301,-1,-1
154,1028,1&12&0|3&1030&0,-1,4&1000002&25,401,-1,-1
155,1028,1&18&0,1025&50030801,4&1000002&25,501,-1,-1
156,1028,5&35&0|4&1028&55,-1,4&1000002&30,611,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
157,1030,1&2&0,-1,4&1000002&10,101,-1,-1
158,1030,1&5&0|4&1030&35,-1,4&1000002&20,201,-1,-1
159,1030,1&8&0|4&1030&40,-1,4&1000002&20,301,-1,-1
160,1030,1&12&0|3&1035&0,-1,4&1000002&25,401,-1,-1
161,1030,1&18&0,1019&10030801,4&1000002&25,501,-1,-1
162,1030,5&35&0|4&1030&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
163,1035,1&2&0,-1,4&1000002&10,101,-1,-1
164,1035,1&5&0|4&1035&35,-1,4&1000002&20,201,-1,-1
165,1035,1&8&0|4&1035&40,-1,4&1000002&20,301,-1,-1
166,1035,1&12&0|3&1036&0,-1,4&1000002&25,401,-1,-1
167,1035,1&18&0,1002&10030401,4&1000002&25,501,-1,-1
168,1035,5&35&0|4&1035&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
169,1036,1&2&0,-1,4&1000002&10,101,-1,-1
170,1036,1&5&0|4&1036&35,-1,4&1000002&20,201,-1,-1
171,1036,1&8&0|4&1036&40,-1,4&1000002&20,301,-1,-1
172,1036,1&12&0|3&1038&0,-1,4&1000002&25,401,-1,-1
173,1036,1&18&0,1019&40030401,4&1000002&25,501,-1,-1
174,1036,5&35&0|4&1036&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
175,1038,1&2&0,-1,4&1000002&10,101,-1,-1
176,1038,1&5&0|4&1038&35,-1,4&1000002&20,201,-1,-1
177,1038,1&8&0|4&1038&40,-1,4&1000002&20,301,-1,-1
178,1038,1&12&0|3&1039&0,-1,4&1000002&25,401,-1,-1
179,1038,1&18&0,1030&30030401,4&1000002&25,501,-1,-1
180,1038,5&35&0|4&1038&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
181,1039,1&2&0,-1,4&1000002&10,101,-1,-1
182,1039,1&5&0|4&1039&35,-1,4&1000002&20,201,-1,-1
183,1039,1&8&0|4&1039&40,-1,4&1000002&20,301,-1,-1
184,1039,1&12&0|3&1042&0,-1,4&1000002&25,401,-1,-1
185,1039,1&18&0,1018&50030401,4&1000002&25,501,-1,-1
186,1039,5&35&0|4&1039&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
187,1042,1&2&0,-1,4&1000002&10,101,-1,-1
188,1042,1&5&0|4&1042&35,-1,4&1000002&20,201,-1,-1
189,1042,1&8&0|4&1042&40,-1,4&1000002&20,301,-1,-1
190,1042,1&12&0|3&1038&0,-1,4&1000002&25,401,-1,-1
191,1042,1&18&0,1014&20030401,4&1000002&25,501,-1,-1
192,1042,5&35&0|4&1042&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
193,1044,1&2&0,-1,4&1000002&10,101,-1,-1
194,1044,1&5&0|4&1044&35,-1,4&1000002&20,201,-1,-1
195,1044,1&8&0|4&1044&40,-1,4&1000002&20,301,-1,-1
196,1044,1&12&0|3&1045&0,-1,4&1000002&25,401,-1,-1
197,1044,1&18&0,1045&20030801,4&1000002&25,501,-1,-1
198,1044,5&35&0|4&1044&55,-1,4&1000002&30,601,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
199,1045,1&2&0,-1,4&1000002&10,101,-1,-1
200,1045,1&5&0|4&1045&35,-1,4&1000002&20,201,-1,-1
201,1045,1&8&0|4&1045&40,-1,4&1000002&20,301,-1,-1
202,1045,1&12&0|3&1036&0,-1,4&1000002&25,401,-1,-1
203,1045,1&18&0,1008&30030801,4&1000002&25,501,-1,-1
204,1045,5&35&0|4&1045&55,-1,4&1000002&30,621,4&60000001|7&60000002|10&60000003,60000001|60000002|60000003
