ID,被动类型,属性BUFF（类型1生效）,额外伤害（类型12生效）,免伤护盾BUFF（类型11生效）,最终伤害提升（类型10生效）,属性转换（类型8生效）,免死BUFF（类型2生效）,无敌BUFF（类型3生效）,回血（类型4生效）,回血（类型9生效）,BOSS击杀时间增加（类型5有效）,刷新球（类型6有效）,神火减少消耗（类型7有效）,被动技能描述,星级,品质,Debuff（类型13）,魔女技能增强（类型14）,防御特殊增幅（类型15）,暴击特殊增幅（类型16）,是否效果唯一
10,1,4&1&5&5&1&3&1#9&5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360010,-1,-1,-1,-1,-1,-1,-1
11,1,6&2&5&5&1&3&1#9&5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360011,-1,-1,-1,-1,-1,-1,-1
12,1,16&2&5&5&1&3&1#9&5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360012,-1,-1,-1,-1,-1,-1,-1
13,1,2&1&5&5&1&3&1#9&5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360013,-1,-1,-1,-1,-1,-1,-1
14,3,-1,-1,-1,-1,-1,-1,5&1&5&1,-1,-1,-1,-1,-1,10360014,-1,-1,-1,-1,-1,-1,-1
15,4,-1,-1,-1,-1,-1,-1,-1,1&20&1&1&3&100,-1,-1,-1,-1,10360015,-1,-1,-1,-1,-1,-1,-1
16,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05,10360016,-1,-1,-1,-1,-1,-1,-1
17,1,5&1&5&5&3&1&1#5&1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360017,-1,-1,-1,-1,-1,-1,-1
18,1,20&1&5&5&3&3&1#5&1|21&1&5&5&3&3&1#5&1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360018,-1,-1,-1,-1,-1,-1,-1
19,1,2&1&5&999999999&3&1&1#5&1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360019,-1,-1,-1,-1,-1,-1,-1
20,1,2&1&20&999999999&1&4&1#8&3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360020,-1,-1,-1,-1,-1,-1,-1
21,4,-1,-1,-1,-1,-1,-1,-1,1&20&1&1&3&100,-1,-1,-1,-1,10360021,-1,-1,-1,-1,-1,-1,-1
22,8,-1,-1,-1,-1,5&2&1&1.5,-1,-1,-1,-1,-1,-1,-1,10360022,-1,-1,-1,-1,-1,-1,-1
23,1,4&1&5&999999999&1&3&1#1&0|20&1&15&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360023,-1,-1,-1,-1,-1,-1,-1
24,1,16&2&5&999999999&1&3&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360024,-1,-1,-1,-1,-1,-1,-1
25,1,18&2&1&999999999&1&3&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360025,-1,-1,-1,-1,-1,-1,-1
26,1,18&2&1&999999999&3&3&1#9&50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360026,-1,-1,-1,-1,-1,-1,-1
27,1,6&2&5&5&1&4&1#5&1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360027,-1,-1,-1,-1,-1,-1,-1
28,1,20&1&15&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360028,-1,-1,-1,-1,-1,-1,-1
29,1,2&1&1&10&10&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360029,-1,-1,-1,-1,-1,-1,-1
30,1,2&1&15&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360030,-1,-1,-1,-1,-1,-1,-1
31,1,21&1&10&999999999&1&3&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360031,-1,-1,-1,-1,-1,-1,-1
32,1,2&1&10&999999999&1&3&1#3&1&10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360032,-1,-1,-1,-1,-1,-1,-1
33,8,-1,-1,-1,-1,1&2&100&1.5,-1,-1,-1,-1,-1,-1,-1,10360033,-1,-1,-1,-1,-1,-1,-1
34,1,2&1&5&999999999&20&3&1#5&1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360034,-1,-1,-1,-1,-1,-1,-1
35,1,5&1&10&999999999&1&3&1#2&1&70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360035,-1,-1,-1,-1,-1,-1,-1
36,1,6&2&5&999999999&1&4&1#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360036,-1,-1,-1,-1,-1,-1,-1
37,1,2&1&5&5&1&3&1#9&100|20&1&5&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360037,-1,-1,-1,-1,-1,-1,-1
38,1,20&1&5&5&1&3&1#9&100|21&1&5&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360038,-1,-1,-1,-1,-1,-1,-1
39,1,5&1&10&999999999&1&3&1#2&1&70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360039,-1,-1,-1,-1,-1,-1,-1
40,1,5&1&100&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360040,-1,-1,-1,-1,-1,-1,-1
41,1,2&1&10&999999999&1&3&1#3&1&10|20&1&10&999999999&1&3&1#3&1&10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360041,-1,-1,-1,-1,-1,-1,-1
42,1,18&2&1&999999999&1&3&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360042,-1,-1,-1,-1,-1,-1,-1
43,1,6&2&50&1&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360043,-1,-1,-1,-1,-1,-1,-1
44,9,-1,-1,-1,-1,-1,-1,-1,-1,1&20&3&1&50,-1,-1,-1,10360044,-1,-1,-1,-1,-1,-1,-1
45,1,6&2&5&5&1&3&1#11&5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360045,-1,-1,-1,-1,-1,-1,-1
46,10,-1,-1,-1,1&10&1&70,-1,-1,-1,-1,-1,-1,-1,-1,10360046,-1,-1,-1,-1,-1,-1,-1
47,10,-1,-1,-1,1&10&2&30,-1,-1,-1,-1,-1,-1,-1,-1,10360047,-1,-1,-1,-1,-1,-1,-1
48,1,5&1&5&999999999&10&3&1#12&3&1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360048,-1,-1,-1,-1,-1,-1,-1
49,1,2&1&1&5&10&3&1#11&40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360049,-1,-1,-1,-1,-1,-1,-1
50,1,21&1&1&5&10&3&1#11&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360050,-1,-1,-1,-1,-1,-1,-1
51,11,-1,-1,1&100&2&13,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360051,-1,-1,-1,-1,-1,-1,-1
52,12,-1,1&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360052,-1,-1,-1,-1,-1,-1,-1
53,4,-1,-1,-1,-1,-1,-1,-1,1&5&-1&2&3&40,-1,-1,-1,-1,10360053,-1,-1,-1,-1,-1,-1,-1
54,1,2&1&5&999999999&1&7&1#16&3&1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360054,-1,-1,-1,-1,-1,-1,-1
55,9,-1,-1,-1,-1,-1,-1,-1,-1,1&50&3&2&-1,-1,-1,-1,10360055,-1,-1,-1,-1,-1,-1,-1
56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360056,-1,-1,-1,-1,-1,1|3|100,-1
6001,1,2&1&5&15&1&3&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360057,-1,-1,-1,-1,-1,-1,-1
6002,1,5&1&5&15&1&3&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360058,-1,-1,-1,-1,-1,-1,-1
6003,1,20&1&5&15&1&3&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360059,-1,-1,-1,-1,-1,-1,-1
6004,1,21&1&5&15&1&3&7#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360060,-1,-1,-1,-1,-1,-1,-1
6005,1,4&1&5&15&1&3&3#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360061,-1,-1,-1,-1,-1,-1,-1
2000101,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,-1,-1,10360062,-1,-1,-1,-1,-1,-1,-1
2000201,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1&1,-1,10360063,-1,-1,-1,-1,-1,-1,-1
2000301,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1,10360064,-1,-1,-1,-1,-1,-1,-1
2000401,1,24&2&0.1&999999999&1&3&11#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360065,-1,-1,-1,-1,-1,-1,-1
2000501,4,-1,-1,-1,-1,-1,-1,-1,1&50&1&1&3&100,-1,-1,-1,-1,10360066,-1,-1,-1,-1,-1,-1,-1
100101,1,2&1&1&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360067,1.0,R,-1,-1,-1,-1,-1
100102,1,2&1&2&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360068,2.0,-1,-1,-1,-1,-1,-1
100103,1,2&1&10&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360069,3.0,SR,-1,-1,-1,-1,-1
100104,1,2&1&20&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360070,4.0,-1,-1,-1,-1,-1,-1
100105,1,2&1&30&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360071,5.0,SSR,-1,-1,-1,-1,-1
100106,1,2&1&40&5&1&3&1#9&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360072,6.0,-1,-1,-1,-1,-1,-1
101101,9,-1,-1,-1,-1,-1,-1,-1,-1,1&0.5&12&3&-1&1,-1,-1,-1,10360073,1.0,-1,-1,-1,-1,-1,-1
101102,9,-1,-1,-1,-1,-1,-1,-1,-1,1&1&12&3&-1&1,-1,-1,-1,10360074,2.0,SR,-1,-1,-1,-1,-1
101103,9,-1,-1,-1,-1,-1,-1,-1,-1,1&1&12&3&-1&1,-1,-1,-1,10360075,3.0,-1,-1,-1,-1,-1,-1
101104,9,-1,-1,-1,-1,-1,-1,-1,-1,1&2&12&3&-1&1,-1,-1,-1,10360076,4.0,SSR,-1,-1,-1,-1,-1
101105,9,-1,-1,-1,-1,-1,-1,-1,-1,1&3&12&3&-1&1,-1,-1,-1,10360077,5.0,-1,-1,-1,-1,-1,-1
101106,9,-1,-1,-1,-1,-1,-1,-1,-1,1&5&12&3&-1&1,-1,-1,-1,10360078,6.0,UR,-1,-1,-1,-1,-1
100301,1,16&2&0.5&999999999&1&3&8#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360079,1.0,-1,-1,-1,-1,-1,-1
100302,1,16&2&0.8&999999999&1&3&8#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360080,2.0,SR,-1,-1,-1,-1,-1
100303,1,16&2&1&999999999&1&3&8#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360081,3.0,-1,-1,-1,-1,-1,-1
100304,1,16&2&2&999999999&1&3&8#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360082,4.0,SSR,-1,-1,-1,-1,-1
100305,1,16&2&3&999999999&1&3&8#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360083,5.0,-1,-1,-1,-1,-1,-1
100306,1,16&2&4&999999999&1&3&8#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360084,6.0,UR,-1,-1,-1,-1,-1
100401,1,1&2&100&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360085,1.0,R,-1,-1,-1,-1,-1
100402,1,1&2&150&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360086,2.0,-1,-1,-1,-1,-1,-1
100403,1,1&2&300&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360087,3.0,SR,-1,-1,-1,-1,-1
100404,1,1&2&800&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360088,4.0,-1,-1,-1,-1,-1,-1
100405,1,1&2&1300&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360089,5.0,SSR,-1,-1,-1,-1,-1
100406,1,1&2&2000&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360090,6.0,-1,-1,-1,-1,-1,-1
100501,1,2&1&1&999999999&1&10&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360091,1.0,R,-1,-1,-1,-1,-1
100502,1,2&1&2&999999999&1&10&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360092,2.0,-1,-1,-1,-1,-1,-1
100503,1,2&1&2&999999999&1&10&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360093,3.0,SR,-1,-1,-1,-1,-1
100504,1,2&1&4&999999999&1&10&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360094,4.0,-1,-1,-1,-1,-1,-1
100505,1,2&1&6&999999999&1&10&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360095,5.0,SSR,-1,-1,-1,-1,-1
100506,1,2&1&8&999999999&1&10&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360096,6.0,-1,-1,-1,-1,-1,-1
100601,1,18&2&0.4&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360097,1.0,R,-1,-1,-1,-1,-1
100602,1,18&2&0.8&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360098,2.0,-1,-1,-1,-1,-1,-1
100603,1,18&2&3&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360099,3.0,SR,-1,-1,-1,-1,-1
100604,1,18&2&5&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360100,4.0,-1,-1,-1,-1,-1,-1
100605,1,18&2&7&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360101,5.0,SSR,-1,-1,-1,-1,-1
100606,1,18&2&9&999999999&1&3&9#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360102,6.0,-1,-1,-1,-1,-1,-1
100701,1,2&1&1&999999999&1&9&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360103,1.0,R,-1,-1,-1,-1,-1
100702,1,2&1&2&999999999&1&9&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360104,2.0,-1,-1,-1,-1,-1,-1
100703,1,2&1&2&999999999&1&9&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360105,3.0,SR,-1,-1,-1,-1,-1
100704,1,2&1&4&999999999&1&9&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360106,4.0,-1,-1,-1,-1,-1,-1
100705,1,2&1&6&999999999&1&9&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360107,5.0,SSR,-1,-1,-1,-1,-1
100706,1,2&1&8&999999999&1&9&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360108,6.0,-1,-1,-1,-1,-1,-1
100801,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360109,1.0,-1,-1,3|3,-1,-1,-1
100802,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360110,2.0,SR,-1,3|5,-1,-1,-1
100803,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360111,3.0,-1,-1,3|3,-1,-1,-1
100804,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360112,4.0,SSR,-1,3|7,-1,-1,-1
100805,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360113,5.0,-1,-1,3|11,-1,-1,-1
100806,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360114,6.0,UR,-1,3|15,-1,-1,-1
100901,12,-1,3&1&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360115,1.0,-1,-1,-1,-1,-1,-1
100902,12,-1,3&3&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360116,2.0,-1,-1,-1,-1,-1,-1
100903,12,-1,3&5&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360117,3.0,SSR,-1,-1,-1,-1,-1
100904,12,-1,3&15&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360118,4.0,-1,-1,-1,-1,-1,-1
100905,12,-1,3&25&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360119,5.0,UR,-1,-1,-1,-1,-1
100906,12,-1,3&35&100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360120,6.0,-1,-1,-1,-1,-1,-1
101001,1,2&1&5&999999999&1&3&1#14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360121,1.0,-1,-1,-1,-1,-1,-1
101002,1,2&1&8&999999999&1&3&1#14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360122,2.0,-1,-1,-1,-1,-1,-1
101003,1,2&1&5&999999999&1&3&1#14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360123,3.0,SSR,-1,-1,-1,-1,-1
101004,1,2&1&10&999999999&1&3&1#14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360124,4.0,-1,-1,-1,-1,-1,-1
101005,1,2&1&20&999999999&1&3&1#14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360125,5.0,UR,-1,-1,-1,-1,-1
101006,1,2&1&30&999999999&1&3&1#14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360126,6.0,-1,-1,-1,-1,-1,-1
100201,1,2&1&2&999999999&1&3&1#3&1&30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360127,1.0,R,-1,-1,-1,-1,-1
100202,1,2&1&2.5&999999999&1&3&1#3&1&30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360128,2.0,-1,-1,-1,-1,-1,-1
100203,1,2&1&5&999999999&1&3&1#3&1&30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360129,3.0,SR,-1,-1,-1,-1,-1
100204,1,2&1&9&999999999&1&3&1#3&1&30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360130,4.0,-1,-1,-1,-1,-1,-1
100205,1,2&1&13&999999999&1&3&1#3&1&30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360131,5.0,SSR,-1,-1,-1,-1,-1
100206,1,2&1&18&999999999&1&3&1#3&1&30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360132,6.0,-1,-1,-1,-1,-1,-1
101201,1,6&2&0.5&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360133,1.0,R,-1,-1,-1,-1,-1
101202,1,6&2&1&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360134,2.0,-1,-1,-1,-1,-1,-1
101203,1,6&2&0.5&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360135,3.0,SR,-1,-1,-1,-1,-1
101204,1,6&2&1&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360136,4.0,-1,-1,-1,-1,-1,-1
101205,1,6&2&1.5&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360137,5.0,SSR,-1,-1,-1,-1,-1
101206,1,6&2&2&999999999&1&4&5#6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360138,6.0,-1,-1,-1,-1,-1,-1
101301,1,2&1&1&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360139,1.0,-1,-1,-1,-1,-1,-1
101302,1,2&1&2&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360140,2.0,-1,-1,-1,-1,-1,-1
101303,1,2&1&6&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360141,3.0,SSR,-1,-1,-1,-1,-1
101304,1,2&1&9&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360142,4.0,-1,-1,-1,-1,-1,-1
101305,1,2&1&12&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360143,5.0,UR,-1,-1,-1,-1,-1
101306,1,2&1&15&999999999&1&4&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360144,6.0,-1,-1,-1,-1,-1,-1
101401,1,2&2&100&999999999&1&11&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360145,1.0,-1,-1,-1,-1,-1,-1
101402,1,2&2&150&999999999&1&11&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360146,2.0,SR,-1,-1,-1,-1,-1
101403,1,2&2&150&999999999&1&11&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360147,3.0,-1,-1,-1,-1,-1,-1
101404,1,2&2&300&999999999&1&11&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360148,4.0,SSR,-1,-1,-1,-1,-1
101405,1,2&2&500&999999999&1&11&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360149,5.0,-1,-1,-1,-1,-1,-1
101406,1,2&2&800&999999999&1&11&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360150,6.0,UR,-1,-1,-1,-1,-1
101501,1,5&2&50&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360151,1.0,R,-1,-1,-1,-1,-1
101502,1,5&2&100&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360152,2.0,-1,-1,-1,-1,-1,-1
101503,1,5&2&100&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360153,3.0,SR,-1,-1,-1,-1,-1
101504,1,5&2&200&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360154,4.0,-1,-1,-1,-1,-1,-1
101505,1,5&2&300&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360155,5.0,SSR,-1,-1,-1,-1,-1
101506,1,5&2&500&999999999&1&4&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360156,6.0,-1,-1,-1,-1,-1,-1
101601,1,20&1&0.5&999999999&1&4&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360157,1.0,-1,-1,-1,-1,-1,-1
101602,1,20&1&1&999999999&1&4&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360158,2.0,SR,-1,-1,-1,-1,-1
101603,1,20&1&2&999999999&1&4&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360159,3.0,-1,-1,-1,-1,-1,-1
101604,1,20&1&4&999999999&1&4&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360160,4.0,SSR,-1,-1,-1,-1,-1
101605,1,20&1&7&999999999&1&4&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360161,5.0,-1,-1,-1,-1,-1,-1
101606,1,20&1&10&999999999&1&4&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360162,6.0,UR,-1,-1,-1,-1,-1
101701,1,20&1&1&999999999&1&3&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360163,1.0,R,-1,-1,-1,-1,-1
101702,1,20&1&2&999999999&1&3&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360164,2.0,-1,-1,-1,-1,-1,-1
101703,1,20&1&2&999999999&1&3&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360165,3.0,SR,-1,-1,-1,-1,-1
