遗物id,遗物等级,词缀名称,英文名称,图标,作用目标,描述,关卡buff
1021,1,10300021,CHIN NIK,source_icon/rift/yiwu/1021,2&4,20300021,450021.0
1022,1,10300022,HARCI RI MENSA,source_icon/rift/yiwu/1022,2&2,20300022,450022.0
1023,1,10300023,TUCAF NIK,source_icon/rift/yiwu/1023,2&6,20300023,450023.0
1024,1,10300024,CEKI HARCI,source_icon/rift/yiwu/1024,2&5,20300024,450024.0
1025,2,10300025,CHIN NIK,source_icon/rift/yiwu/1025,2&1,20300025,450025.0
1026,2,10300026,HARCI RI MENSA,source_icon/rift/yiwu/1026,2&3,20300026,450026.0
1027,2,10300027,HARCI RI MENSA,source_icon/rift/yiwu/1027,2&4,20300027,450027.0
1028,2,10300028,HARCI RI MENSA,source_icon/rift/yiwu/1001,2&2,20300028,450028.0
1029,2,10300029,HARCI RI MENSA,source_icon/rift/yiwu/1002,2&6,20300029,450029.0
1030,2,10300030,HARCI RI MENSA,source_icon/rift/yiwu/1003,2&5,20300030,450030.0
1031,3,10300031,HARCI RI MENSA,source_icon/rift/yiwu/1004,2&1,20300031,450031.0
1032,3,10300032,HARCI RI MENSA,source_icon/rift/yiwu/1005,2&3,20300032,450032.0
1033,3,10300033,HARCI RI MENSA,source_icon/rift/yiwu/1006,2&4,20300033,450033.0
1034,3,10300034,HARCI RI MENSA,source_icon/rift/yiwu/1007,2&2,20300034,450034.0
1035,3,10300035,HARCI RI MENSA,source_icon/rift/yiwu/1035,2&6,20300035,450035.0
1036,3,10300036,HARCI RI MENSA,source_icon/rift/yiwu/1008,2&5,20300036,450036.0
1037,1,10300037,HARCI RI MENSA,source_icon/rift/yiwu/1009,0.0,20300037,450037.0
1038,1,10300038,HARCI RI MENSA,source_icon/rift/yiwu/1010,1&1,20300038,450038.0
1039,1,10300039,HARCI RI MENSA,source_icon/rift/yiwu/1011,1&2,20300039,450039.0
1040,1,10300040,HARCI RI MENSA,source_icon/rift/yiwu/1012,1&3,20300040,450040.0
1041,1,10300041,HARCI RI MENSA,source_icon/rift/yiwu/1014,0.0,20300041,450041.0
1042,2,10300042,HARCI RI MENSA,source_icon/rift/yiwu/1015,3&1010,20300042,450042.0
1043,2,10300043,HARCI RI MENSA,source_icon/rift/yiwu/1016,3&1038,20300043,450043.0
1044,2,10300044,HARCI RI MENSA,source_icon/rift/yiwu/1044,3&1023,20300044,450044.0
1045,3,10300045,HARCI RI MENSA,source_icon/rift/yiwu/1045,3&1035,20300045,450045.0
1046,3,10300046,HARCI RI MENSA,source_icon/rift/yiwu/1046,3&1021,20300046,450046.0
1047,1,10300047,HARCI RI MENSA,source_icon/rift/yiwu/1047,0.0,20300047,450047.0
1048,2,10300048,HARCI RI MENSA,source_icon/rift/yiwu/1048,0.0,20300048,450048.0
1049,3,10300049,HARCI RI MENSA,source_icon/rift/yiwu/1049,0.0,20300049,450049.0
1050,1,10300050,HARCI RI MENSA,source_icon/rift/yiwu/1017,0.0,20300050,450050.0
1051,2,10300051,HARCI RI MENSA,source_icon/rift/yiwu/1018,0.0,20300051,450051.0
1052,1,10300052,HARCI RI MENSA,source_icon/rift/yiwu/1019,0.0,20300052,450052.0
1054,2,10300053,HARCI RI MENSA,source_icon/rift/yiwu/1020,0.0,20300053,450053.0
1056,2,10300054,HARCI RI MENSA,source_icon/rift/yiwu/1021,0.0,20300054,450054.0
1058,2,10300055,HARCI RI MENSA,source_icon/rift/yiwu/1022,0.0,20300055,450055.0
1059,3,10300056,HARCI RI MENSA,source_icon/rift/yiwu/1023,0.0,20300056,450056.0
1060,1,10300057,HARCI RI MENSA,source_icon/rift/yiwu/1027,0.0,20300057,450057.0
1061,2,10300058,HARCI RI MENSA,source_icon/rift/yiwu/1001,0.0,20300058,450058.0
1062,3,10300059,HARCI RI MENSA,source_icon/rift/yiwu/1002,0.0,20300059,450059.0
1063,1,10300060,HARCI RI MENSA,source_icon/rift/yiwu/1003,0.0,20300060,450060.0
1064,2,10300061,HARCI RI MENSA,source_icon/rift/yiwu/1004,0.0,20300061,450061.0
1065,2,10300062,HARCI RI MENSA,source_icon/rift/yiwu/1005,0.0,20300062,450062.0
1066,2,10300063,HARCI RI MENSA,source_icon/rift/yiwu/1006,0.0,20300063,450063.0
1067,1,10300064,HARCI RI MENSA,source_icon/rift/yiwu/1007,0.0,20300064,450064.0
1068,2,10300065,HARCI RI MENSA,source_icon/rift/yiwu/1035,0.0,20300065,450065.0
1069,1,10300066,HARCI RI MENSA,source_icon/rift/yiwu/1008,0.0,20300066,450066.0
1070,2,10300067,HARCI RI MENSA,source_icon/rift/yiwu/1009,0.0,20300067,450067.0
1071,2,10300068,HARCI RI MENSA,source_icon/rift/yiwu/1010,0.0,20300068,4500681|4500682|4500683|4500684|4500685
1072,2,10300069,CEKI HARCI,source_icon/rift/yiwu/1011,0.0,20300069,450069.0
1076,1,10300070,CEKI HARCI,source_icon/rift/yiwu/1012,0.0,20300070,450070.0
1077,2,10300071,CEKI HARCI,source_icon/rift/yiwu/1014,0.0,20300071,450071.0
1078,3,10300072,CEKI HARCI,source_icon/rift/yiwu/1015,0.0,20300072,450072.0
1079,3,10300073,CEKI HARCI,source_icon/rift/yiwu/1016,0.0,20300073,450073.0
1080,1,10300074,CEKI HARCI,source_icon/rift/yiwu/1074,0.0,20300074,450074.0
1081,1,10300075,CEKI HARCI,source_icon/rift/yiwu/1075,0.0,20300075,450075.0
1082,2,10300076,CEKI HARCI,source_icon/rift/yiwu/1076,0.0,20300076,450076.0
1083,3,10300077,CEKI HARCI,source_icon/rift/yiwu/1077,0.0,20300077,450077.0
1084,3,10300078,CEKI HARCI,source_icon/rift/yiwu/1078,0.0,20300078,450078.0
1085,1,10300079,CEKI HARCI,source_icon/rift/yiwu/1079,0.0,20300079,450079.0
1086,1,10300080,CEKI HARCI,source_icon/rift/yiwu/1080,0.0,20300080,450080.0
1088,2,10300081,CEKI HARCI,source_icon/rift/yiwu/1017,0.0,20300081,450081.0
1090,3,10300082,CEKI HARCI,source_icon/rift/yiwu/1018,0.0,20300082,450082.0
1092,2,10300083,CEKI HARCI,source_icon/rift/yiwu/1019,0.0,20300083,450083.0
1093,3,10300084,CEKI HARCI,source_icon/rift/yiwu/1027,0.0,20300084,450084.0
1094,1,10300094,CEKI HARCI,source_icon/rift/yiwu/1044,0.0,20300094,450085.0
1095,1,10300095,CEKI HARCI,source_icon/rift/yiwu/1045,0.0,20300095,450086.0
1096,2,10300096,CEKI HARCI,source_icon/rift/yiwu/1047,0.0,20300096,450087.0
1097,3,10300097,CEKI HARCI,source_icon/rift/yiwu/1049,0.0,20300097,450088.0
1098,2,10300098,CEKI HARCI,source_icon/rift/yiwu/1075,0.0,20300098,450089.0
1099,3,10300099,CEKI HARCI,source_icon/rift/yiwu/1076,0.0,20300099,450090.0
1100,1,10300100,CEKI HARCI,source_icon/rift/yiwu/1049,0.0,20300100,450100.0
1101,1,10300101,CEKI HARCI,source_icon/rift/yiwu/1074,0.0,20300101,450101.0
1102,2,10300102,CEKI HARCI,source_icon/rift/yiwu/1027,0.0,20300102,450091.0
1103,2,10300103,CEKI HARCI,source_icon/rift/yiwu/1078,0.0,20300103,450092.0
1104,2,10300104,CEKI HARCI,source_icon/rift/yiwu/1079,0.0,20300104,450093.0
