id,类型,播放方式,资源路径和名称,fmod路径
20000006,2,1,source_sound/GameEffect/UIEffect/common_button_small,GameEffect/UIEffect/common_button_small
20000007,2,1,source_sound/GameEffect/UIEffect/common_button_EXIT,GameEffect/UIEffect/common_button_EXIT
20000008,2,1,source_sound/GameEffect/UIEffect/common_warring,GameEffect/UIEffect/common_warring
20000009,2,1,source_sound/GameEffect/UIEffect/player_levelup,GameEffect/UIEffect/player_levelup
20000010,2,1,source_sound/GameEffect/UIEffect/pageup,GameEffect/UIEffect/pageup
20000011,2,1,source_sound/GameEffect/UIEffect/talkwords,GameEffect/UIEffect/talkwords
20000012,2,1,source_sound/GameEffect/UIEffect/awards,GameEffect/UIEffect/awards
20000013,2,1,source_sound/GameEffect/UIEffect/weapontakeon,GameEffect/UIEffect/weapontakeon
20000014,2,1,source_sound/GameEffect/UIEffect/equiptakeon,GameEffect/UIEffect/equiptakeon
20000015,2,1,source_sound/GameEffect/UIEffect/weapontakeoff,GameEffect/UIEffect/weapontakeoff
20000016,2,1,source_sound/GameEffect/UIEffect/equiptakeoff,GameEffect/UIEffect/equiptakeoff
20000017,2,1,source_sound/GameEffect/UIEffect/levelup,GameEffect/UIEffect/levelup
20000018,2,1,source_sound/GameEffect/UIEffect/skilllevelup,GameEffect/UIEffect/skilllevelup
20000019,2,1,source_sound/GameEffect/UIEffect/stepup,GameEffect/UIEffect/stepup
20000020,2,1,source_sound/GameEffect/UIEffect/starup,GameEffect/UIEffect/starup
20000021,2,1,source_sound/GameEffect/UIEffect/unlock_button,GameEffect/UIEffect/unlock_button
20000022,2,1,source_sound/GameEffect/UIEffect/unlock_animation,GameEffect/UIEffect/unlock_animation
20000023,2,1,source_sound/GameEffect/UIEffect/shop_buy,GameEffect/UIEffect/shop_buy
20000024,2,1,source_sound/GameEffect/UIEffect/gofight_button,GameEffect/UIEffect/gofight_button
20000025,2,1,source_sound/GameEffect/UIEffect/scene_roll,GameEffect/UIEffect/scene_roll
20000026,2,1,source_sound/GameEffect/UIEffect/char_unlock,GameEffect/UIEffect/char_unlock
201001011,2,1,source_sound/FightEffect/annaxuli,FightEffect/annaxuli
201001012,2,1,source_sound/FightEffect/annaxuli_hit_1,FightEffect/annaxuli_hit_1
201001021,2,1,source_sound/FightEffect/annabisha,FightEffect/annabisha
201001022,2,1,source_sound/FightEffect/annabisha_hit_1,FightEffect/annabisha_hit_1
201002011,2,1,source_sound/FightEffect/xinxiyaxuli,FightEffect/xinxiyaxuli
201002012,2,1,source_sound/FightEffect/xinxiyaxuli_hit_1,FightEffect/xinxiyaxuli_hit_1
201002021,2,1,source_sound/FightEffect/xinxiyabisha,FightEffect/xinxiyabisha
201002022,2,1,source_sound/FightEffect/xinxiyabisha_hit_1,FightEffect/xinxiyabisha_hit_1
201003011,2,1,source_sound/FightEffect/xibeierxuli,FightEffect/xibeierxuli
201003012,2,1,source_sound/FightEffect/xibeierxuli_hit_1,FightEffect/xibeierxuli_hit_1
201003021,2,1,source_sound/FightEffect/xibeierbisha,FightEffect/xibeierbisha
201003022,2,1,source_sound/FightEffect/xibeierbisha_hit_1,FightEffect/xibeierbisha_hit_1
201004011,2,1,source_sound/FightEffect/shalisitexuli,FightEffect/shalisitexuli
201004012,2,1,source_sound/FightEffect/shalisitexuli_hit_1,FightEffect/shalisitexuli_hit_1
201004021,2,1,source_sound/FightEffect/shalisitebisha,FightEffect/shalisitebisha
201004022,2,1,source_sound/FightEffect/shalisitebisha_hit_1,FightEffect/shalisitebisha_hit_1
201005001,2,1,source_sound/FightEffect/jialuolinpugong,FightEffect/jialuolinpugong
201005011,2,1,source_sound/FightEffect/jialuolinxuli,FightEffect/jialuolinxuli
201005012,2,1,source_sound/FightEffect/jialuolinxuli_hit_1,FightEffect/jialuolinxuli_hit_1
201005021,2,1,source_sound/FightEffect/jialuolinbisha,FightEffect/jialuolinbisha
201005022,2,1,source_sound/FightEffect/jialuolinbisha_hit_1,FightEffect/jialuolinbisha_hit_1
201006001,2,1,source_sound/FightEffect/saibulinapugong,FightEffect/saibulinapugong
201006011,2,1,source_sound/FightEffect/saibulinaxuli,FightEffect/saibulinaxuli
201006021,2,1,source_sound/FightEffect/saibulinabisha,FightEffect/saibulinabisha
201007001,2,1,source_sound/FightEffect/shanapugong,FightEffect/shanapugong
201007011,2,1,source_sound/FightEffect/shanaxuli,FightEffect/shanaxuli
201007021,2,1,source_sound/FightEffect/shanabisha,FightEffect/shanabisha
201007022,2,1,source_sound/FightEffect/shanabisha_hit_1,FightEffect/shanabisha_hit_1
201008021,2,1,source_sound/FightEffect/lishabisha,FightEffect/lishabisha
201008022,2,1,source_sound/FightEffect/lishabisha_hit_1,FightEffect/lishabisha_hit_1
201009011,2,1,source_sound/FightEffect/malixuli,FightEffect/malixuli
201009012,2,1,source_sound/FightEffect/malixuli_hit_1,FightEffect/malixuli_hit_1
201009021,2,1,source_sound/FightEffect/malibisha,FightEffect/malibisha
201009022,2,1,source_sound/FightEffect/malibisha_hit_1,FightEffect/malibisha_hit_1
201010001,2,1,source_sound/FightEffect/yilishabaipugong,FightEffect/yilishabaipugong
201010011,2,1,source_sound/FightEffect/yilishabaixuli,FightEffect/yilishabaixuli
201010012,2,1,source_sound/FightEffect/yilishabaixuli_hit_1,FightEffect/yilishabaixuli_hit_1
201010021,2,1,source_sound/FightEffect/yilishabaibisha,FightEffect/yilishabaibisha
201010022,2,1,source_sound/FightEffect/yilishabaibisha_hit_1,FightEffect/yilishabaibisha_hit_1
201011001,2,1,source_sound/FightEffect/nataliyapugong,FightEffect/nataliyapugong
201011011,2,1,source_sound/FightEffect/nataliyaxuli,FightEffect/nataliyaxuli
201011021,2,1,source_sound/FightEffect/nataliyabisha,FightEffect/nataliyabisha
201011022,2,1,source_sound/FightEffect/nataliyabisha_hit_1,FightEffect/nataliyabisha_hit_1
201012021,2,1,source_sound/FightEffect/heshabisha,FightEffect/heshabisha
201012022,2,1,source_sound/FightEffect/heshabisha_hit_1,FightEffect/heshabisha_hit_1
201013011,2,1,source_sound/FightEffect/xialunxuli,FightEffect/xialunxuli
201013021,2,1,source_sound/FightEffect/xialunbisha,FightEffect/xialunbisha
201013022,2,1,source_sound/FightEffect/xialunbisha_hit_1,FightEffect/xialunbisha_hit_1
201013023,2,1,source_sound/FightEffect/xialunbishadead,FightEffect/xialunbishadead
201014001,2,1,source_sound/FightEffect/shandinapugong,FightEffect/shandinapugong
201014011,2,1,source_sound/FightEffect/shandinaxuli_1,FightEffect/shandinaxuli_1
201014012,2,1,source_sound/FightEffect/shandinaxuli_2,FightEffect/shandinaxuli_2
201014013,2,1,source_sound/FightEffect/shandinaxuli_3,FightEffect/shandinaxuli_3
201014014,2,1,source_sound/FightEffect/shandinaxuli_4,FightEffect/shandinaxuli_4
201014021,2,1,source_sound/FightEffect/shandinabisha,FightEffect/shandinabisha
201014022,2,1,source_sound/FightEffect/shandinabisha_hit_1,FightEffect/shandinabisha_hit_1
201015011,2,1,source_sound/FightEffect/daixixuli,FightEffect/daixixuli
201015012,2,1,source_sound/FightEffect/daixixuli_hit_1,FightEffect/daixixuli_hit_1
201015021,2,1,source_sound/FightEffect/daixibisha,FightEffect/daixibisha
201016001,2,1,source_sound/FightEffect/yisiteerpugong,FightEffect/yisiteerpugong
201016011,2,1,source_sound/FightEffect/yisiteerxuli,FightEffect/yisiteerxuli
201016021,2,1,source_sound/FightEffect/yisiteerbisha,FightEffect/yisiteerbisha
201016022,2,1,source_sound/FightEffect/yisiteerbisha_hit_1,FightEffect/yisiteerbisha_hit_1
201017001,2,1,source_sound/FightEffect/yuehanyasipugong,FightEffect/yuehanyasipugong
201017021,2,1,source_sound/FightEffect/yuehanyasibisha,FightEffect/yuehanyasibisha
201017022,2,1,source_sound/FightEffect/yuehanyasibisha_hit_1,FightEffect/yuehanyasibisha_hit_1
201021001,2,1,source_sound/FightEffect/xigelidepugong,FightEffect/xigelidepugong
201021011,2,1,source_sound/FightEffect/xigelidexuli,FightEffect/xigelidexuli
201021012,2,1,source_sound/FightEffect/xigelidexuli_hit_1,FightEffect/xigelidexuli_hit_1
201021021,2,1,source_sound/FightEffect/xigelidebisha,FightEffect/xigelidebisha
201021022,2,1,source_sound/FightEffect/xigelidebisha_running,FightEffect/xigelidebisha_running
201022001,2,1,source_sound/FightEffect/nikoulasipugong,FightEffect/nikoulasipugong
201022021,2,1,source_sound/FightEffect/nikoulasibisha,FightEffect/nikoulasibisha
299001,2,2,source_sound/FightEffect/rain,FightEffect/rain
299002,2,2,source_sound/FightEffect/wind,FightEffect/wind
299003,2,1,source_sound/FightEffect/thunder_1,FightEffect/thunder_1
299004,2,1,source_sound/FightEffect/thunder_2,FightEffect/thunder_2
299005,2,1,source_sound/FightEffect/thunder_3,FightEffect/thunder_3
299006,2,2,source_sound/FightEffect/scene_environment,FightEffect/scene_environment
301001,1,2,source_sound/GameBgm/dlBgm,GameBgm/dlBgm
301002,1,2,source_sound/GameBgm/mainBgm,GameBgm/mainBgm
401001,2,1,source_sound/GameEffect/UIEffect/btnclick,GameEffect/UIEffect/btnclick
401002,2,1,source_sound/GameEffect/UIEffect/sceneChange,GameEffect/UIEffect/sceneChange
41001001,2,1,source_sound/GameEffect/WitchSound/41001001,GameEffect/WitchSound/41001001
41001002,2,1,source_sound/GameEffect/WitchSound/41001002,GameEffect/WitchSound/41001002
41001003,2,1,source_sound/GameEffect/WitchSound/41001003,GameEffect/WitchSound/41001003
41002001,2,1,source_sound/GameEffect/WitchSound/41002001,GameEffect/WitchSound/41002001
41002002,2,1,source_sound/GameEffect/WitchSound/41002002,GameEffect/WitchSound/41002002
41002003,2,1,source_sound/GameEffect/WitchSound/41002003,GameEffect/WitchSound/41002003
41003001,2,1,source_sound/GameEffect/WitchSound/41003001,GameEffect/WitchSound/41003001
41003002,2,1,source_sound/GameEffect/WitchSound/41003002,GameEffect/WitchSound/41003002
41003003,2,1,source_sound/GameEffect/WitchSound/41003003,GameEffect/WitchSound/41003003
41004001,2,1,source_sound/GameEffect/WitchSound/41004001,GameEffect/WitchSound/41004001
41004002,2,1,source_sound/GameEffect/WitchSound/41004002,GameEffect/WitchSound/41004002
41004003,2,1,source_sound/GameEffect/WitchSound/41004003,GameEffect/WitchSound/41004003
41005001,2,1,source_sound/GameEffect/WitchSound/41005001,GameEffect/WitchSound/41005001
41005002,2,1,source_sound/GameEffect/WitchSound/41005002,GameEffect/WitchSound/41005002
41005003,2,1,source_sound/GameEffect/WitchSound/41005003,GameEffect/WitchSound/41005003
41006001,2,1,source_sound/GameEffect/WitchSound/41006001,GameEffect/WitchSound/41006001
41006002,2,1,source_sound/GameEffect/WitchSound/41006002,GameEffect/WitchSound/41006002
41006003,2,1,source_sound/GameEffect/WitchSound/41006003,GameEffect/WitchSound/41006003
41007001,2,1,source_sound/GameEffect/WitchSound/41007001,GameEffect/WitchSound/41007001
41007002,2,1,source_sound/GameEffect/WitchSound/41007002,GameEffect/WitchSound/41007002
41007003,2,1,source_sound/GameEffect/WitchSound/41007003,GameEffect/WitchSound/41007003
41008001,2,1,source_sound/GameEffect/WitchSound/41008001,GameEffect/WitchSound/41008001
41008002,2,1,source_sound/GameEffect/WitchSound/41008002,GameEffect/WitchSound/41008002
41008003,2,1,source_sound/GameEffect/WitchSound/41008003,GameEffect/WitchSound/41008003
41009001,2,1,source_sound/GameEffect/WitchSound/41009001,GameEffect/WitchSound/41009001
41009002,2,1,source_sound/GameEffect/WitchSound/41009002,GameEffect/WitchSound/41009002
41009003,2,1,source_sound/GameEffect/WitchSound/41009003,GameEffect/WitchSound/41009003
41010001,2,1,source_sound/GameEffect/WitchSound/41010001,GameEffect/WitchSound/41010001
41010002,2,1,source_sound/GameEffect/WitchSound/41010002,GameEffect/WitchSound/41010002
41010003,2,1,source_sound/GameEffect/WitchSound/41010003,GameEffect/WitchSound/41010003
41011001,2,1,source_sound/GameEffect/WitchSound/41011001,GameEffect/WitchSound/41011001
41011002,2,1,source_sound/GameEffect/WitchSound/41011002,GameEffect/WitchSound/41011002
41011003,2,1,source_sound/GameEffect/WitchSound/41011003,GameEffect/WitchSound/41011003
41012001,2,1,source_sound/GameEffect/WitchSound/41012001,GameEffect/WitchSound/41012001
41012002,2,1,source_sound/GameEffect/WitchSound/41012002,GameEffect/WitchSound/41012002
41012003,2,1,source_sound/GameEffect/WitchSound/41012003,GameEffect/WitchSound/41012003
41013001,2,1,source_sound/GameEffect/WitchSound/41013001,GameEffect/WitchSound/41013001
41013002,2,1,source_sound/GameEffect/WitchSound/41013002,GameEffect/WitchSound/41013002
41013003,2,1,source_sound/GameEffect/WitchSound/41013003,GameEffect/WitchSound/41013003
41014001,2,1,source_sound/GameEffect/WitchSound/41014001,GameEffect/WitchSound/41014001
41014002,2,1,source_sound/GameEffect/WitchSound/41014002,GameEffect/WitchSound/41014002
41014003,2,1,source_sound/GameEffect/WitchSound/41014003,GameEffect/WitchSound/41014003
41015001,2,1,source_sound/GameEffect/WitchSound/41015001,GameEffect/WitchSound/41015001
41015002,2,1,source_sound/GameEffect/WitchSound/41015002,GameEffect/WitchSound/41015002
41015003,2,1,source_sound/GameEffect/WitchSound/41015003,GameEffect/WitchSound/41015003
41016001,2,1,source_sound/GameEffect/WitchSound/41016001,GameEffect/WitchSound/41016001
41016002,2,1,source_sound/GameEffect/WitchSound/41016002,GameEffect/WitchSound/41016002
41016003,2,1,source_sound/GameEffect/WitchSound/41016003,GameEffect/WitchSound/41016003
41017001,2,1,source_sound/GameEffect/WitchSound/41017001,GameEffect/WitchSound/41017001
41017002,2,1,source_sound/GameEffect/WitchSound/41017002,GameEffect/WitchSound/41017002
41017003,2,1,source_sound/GameEffect/WitchSound/41017003,GameEffect/WitchSound/41017003
41018001,2,1,source_sound/GameEffect/WitchSound/41018001,GameEffect/WitchSound/41018001
41018002,2,1,source_sound/GameEffect/WitchSound/41018002,GameEffect/WitchSound/41018002
41018003,2,1,source_sound/GameEffect/WitchSound/41018003,GameEffect/WitchSound/41018003
41019001,2,1,source_sound/GameEffect/WitchSound/41019001,GameEffect/WitchSound/41019001
41019002,2,1,source_sound/GameEffect/WitchSound/41019002,GameEffect/WitchSound/41019002
41019003,2,1,source_sound/GameEffect/WitchSound/41019003,GameEffect/WitchSound/41019003
41020001,2,1,source_sound/GameEffect/WitchSound/41020001,GameEffect/WitchSound/41020001
41020002,2,1,source_sound/GameEffect/WitchSound/41020002,GameEffect/WitchSound/41020002
41020003,2,1,source_sound/GameEffect/WitchSound/41020003,GameEffect/WitchSound/41020003
41021001,2,1,source_sound/GameEffect/WitchSound/41021001,GameEffect/WitchSound/41021001
41021002,2,1,source_sound/GameEffect/WitchSound/41021002,GameEffect/WitchSound/41021002
41021003,2,1,source_sound/GameEffect/WitchSound/41021003,GameEffect/WitchSound/41021003
41022001,2,1,source_sound/GameEffect/WitchSound/41022001,GameEffect/WitchSound/41022001
41022002,2,1,source_sound/GameEffect/WitchSound/41022002,GameEffect/WitchSound/41022002
41022003,2,1,source_sound/GameEffect/WitchSound/41022003,GameEffect/WitchSound/41022003
41023001,2,1,source_sound/GameEffect/WitchSound/41023001,GameEffect/WitchSound/41023001
41023002,2,1,source_sound/GameEffect/WitchSound/41023002,GameEffect/WitchSound/41023002
41023003,2,1,source_sound/GameEffect/WitchSound/41023003,GameEffect/WitchSound/41023003
41024001,2,1,source_sound/GameEffect/WitchSound/41024001,GameEffect/WitchSound/41024001
41024002,2,1,source_sound/GameEffect/WitchSound/41024002,GameEffect/WitchSound/41024002
41024003,2,1,source_sound/GameEffect/WitchSound/41024003,GameEffect/WitchSound/41024003
41025001,2,1,source_sound/GameEffect/WitchSound/41025001,GameEffect/WitchSound/41025001
41025002,2,1,source_sound/GameEffect/WitchSound/41025002,GameEffect/WitchSound/41025002
41025003,2,1,source_sound/GameEffect/WitchSound/41025003,GameEffect/WitchSound/41025003
41026001,2,1,source_sound/GameEffect/WitchSound/41026001,GameEffect/WitchSound/41026001
41026002,2,1,source_sound/GameEffect/WitchSound/41026002,GameEffect/WitchSound/41026002
41026003,2,1,source_sound/GameEffect/WitchSound/41026003,GameEffect/WitchSound/41026003
41027001,2,1,source_sound/GameEffect/WitchSound/41027001,GameEffect/WitchSound/41027001
41027002,2,1,source_sound/GameEffect/WitchSound/41027002,GameEffect/WitchSound/41027002
41027003,2,1,source_sound/GameEffect/WitchSound/41027003,GameEffect/WitchSound/41027003
41028001,2,1,source_sound/GameEffect/WitchSound/41028001,GameEffect/WitchSound/41028001
41028002,2,1,source_sound/GameEffect/WitchSound/41028002,GameEffect/WitchSound/41028002
41028003,2,1,source_sound/GameEffect/WitchSound/41028003,GameEffect/WitchSound/41028003
41029001,2,1,source_sound/GameEffect/WitchSound/41029001,GameEffect/WitchSound/41029001
41029002,2,1,source_sound/GameEffect/WitchSound/41029002,GameEffect/WitchSound/41029002
41029003,2,1,source_sound/GameEffect/WitchSound/41029003,GameEffect/WitchSound/41029003
41030001,2,1,source_sound/GameEffect/WitchSound/41030001,GameEffect/WitchSound/41030001
41030002,2,1,source_sound/GameEffect/WitchSound/41030002,GameEffect/WitchSound/41030002
41030003,2,1,source_sound/GameEffect/WitchSound/41030003,GameEffect/WitchSound/41030003
41031001,2,1,source_sound/GameEffect/WitchSound/41031001,GameEffect/WitchSound/41031001
41031002,2,1,source_sound/GameEffect/WitchSound/41031002,GameEffect/WitchSound/41031002
41031003,2,1,source_sound/GameEffect/WitchSound/41031003,GameEffect/WitchSound/41031003
41032001,2,1,source_sound/GameEffect/WitchSound/41032001,GameEffect/WitchSound/41032001
41032002,2,1,source_sound/GameEffect/WitchSound/41032002,GameEffect/WitchSound/41032002
41032003,2,1,source_sound/GameEffect/WitchSound/41032003,GameEffect/WitchSound/41032003
41033001,2,1,source_sound/GameEffect/WitchSound/41033001,GameEffect/WitchSound/41033001
41033002,2,1,source_sound/GameEffect/WitchSound/41033002,GameEffect/WitchSound/41033002
41033003,2,1,source_sound/GameEffect/WitchSound/41033003,GameEffect/WitchSound/41033003
41034001,2,1,source_sound/GameEffect/WitchSound/41034001,GameEffect/WitchSound/41034001
41034002,2,1,source_sound/GameEffect/WitchSound/41034002,GameEffect/WitchSound/41034002
41034003,2,1,source_sound/GameEffect/WitchSound/41034003,GameEffect/WitchSound/41034003
41035001,2,1,source_sound/GameEffect/WitchSound/41035001,GameEffect/WitchSound/41035001
41035002,2,1,source_sound/GameEffect/WitchSound/41035002,GameEffect/WitchSound/41035002
41035003,2,1,source_sound/GameEffect/WitchSound/41035003,GameEffect/WitchSound/41035003
41036001,2,1,source_sound/GameEffect/WitchSound/41036001,GameEffect/WitchSound/41036001
41036002,2,1,source_sound/GameEffect/WitchSound/41036002,GameEffect/WitchSound/41036002
41036003,2,1,source_sound/GameEffect/WitchSound/41036003,GameEffect/WitchSound/41036003
41037001,2,1,source_sound/GameEffect/WitchSound/41037001,GameEffect/WitchSound/41037001
41037002,2,1,source_sound/GameEffect/WitchSound/41037002,GameEffect/WitchSound/41037002
41037003,2,1,source_sound/GameEffect/WitchSound/41037003,GameEffect/WitchSound/41037003
41038001,2,1,source_sound/GameEffect/WitchSound/41038001,GameEffect/WitchSound/41038001
41038002,2,1,source_sound/GameEffect/WitchSound/41038002,GameEffect/WitchSound/41038002
41038003,2,1,source_sound/GameEffect/WitchSound/41038003,GameEffect/WitchSound/41038003
41039001,2,1,source_sound/GameEffect/WitchSound/41039001,GameEffect/WitchSound/41039001
41039002,2,1,source_sound/GameEffect/WitchSound/41039002,GameEffect/WitchSound/41039002
41039003,2,1,source_sound/GameEffect/WitchSound/41039003,GameEffect/WitchSound/41039003
41040001,2,1,source_sound/GameEffect/WitchSound/41040001,GameEffect/WitchSound/41040001
41040002,2,1,source_sound/GameEffect/WitchSound/41040002,GameEffect/WitchSound/41040002
41040003,2,1,source_sound/GameEffect/WitchSound/41040003,GameEffect/WitchSound/41040003
41041001,2,1,source_sound/GameEffect/WitchSound/41041001,GameEffect/WitchSound/41041001
41041002,2,1,source_sound/GameEffect/WitchSound/41041002,GameEffect/WitchSound/41041002
41041003,2,1,source_sound/GameEffect/WitchSound/41041003,GameEffect/WitchSound/41041003
41042001,2,1,source_sound/GameEffect/WitchSound/41042001,GameEffect/WitchSound/41042001
41042002,2,1,source_sound/GameEffect/WitchSound/41042002,GameEffect/WitchSound/41042002
41042003,2,1,source_sound/GameEffect/WitchSound/41042003,GameEffect/WitchSound/41042003
41043001,2,1,source_sound/GameEffect/WitchSound/41043001,GameEffect/WitchSound/41043001
41043002,2,1,source_sound/GameEffect/WitchSound/41043002,GameEffect/WitchSound/41043002
41043003,2,1,source_sound/GameEffect/WitchSound/41043003,GameEffect/WitchSound/41043003
41044001,2,1,source_sound/GameEffect/WitchSound/41044001,GameEffect/WitchSound/41044001
41044002,2,1,source_sound/GameEffect/WitchSound/41044002,GameEffect/WitchSound/41044002
41044003,2,1,source_sound/GameEffect/WitchSound/41044003,GameEffect/WitchSound/41044003
