ID,类型名称,符石图标,枪械类型,显示倒计时,倒计时文字,倒计时文字标题,夜莺语,章节图片,章节图按钮音效,显示分类,章节ID,列表ID,关卡末位
15,10542001,-1,-1,-1,-1,-1,-1,source_home/fight/benner_5,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_4,2,330001,3,-1
16,10542002,-1,-1,-1,-1,-1,-1,source_home/fight/benner_6,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_2,2,330003,2,-1
17,10542003,-1,-1,-1,-1,-1,-1,source_home/fight/benner_12,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_1,2,330007,1,-1
18,10542004,776401&776424,-1,60001,34|222&190&229&255|-691&16,30|222&190&229&255|-542&17,-1,source_home/fight/benner_17,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_3,2,330008,4,-1
19,10542005,776402&776413,-1,60002,34|222&190&229&255|-691&16,30|222&190&229&255|-542&17,-1,source_home/fight/benner_17,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_3,2,330009,4,-1
20,10542006,776408&776420,-1,60003,34|222&190&229&255|-691&16,30|222&190&229&255|-542&17,-1,source_home/fight/benner_17,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_3,2,330010,4,-1
21,10542007,776426&776415,-1,60004,34|222&190&229&255|-691&16,30|222&190&229&255|-542&17,-1,source_home/fight/benner_17,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_3,2,330011,4,-1
22,10542008,776405&776421,-1,60005,34|222&190&229&255|-691&16,30|222&190&229&255|-542&17,-1,source_home/fight/benner_17,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_3,2,330012,4,-1
23,10542009,776401&776424&776402&776413&776420&776426&776415&776405&776421&776408,-1,60006,34|222&190&229&255|-691&16,30|222&190&229&255|-542&17,-1,source_home/fight/benner_17,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_3,2,330013,4,-1
24,10542010,776401&776424&776402&776413&776420&776426&776415&776405&776421&776408,-1,60007,34|222&190&229&255|-691&16,30|222&190&229&255|-542&17,-1,source_home/fight/benner_17,event:/GameEffect/UIEffect/ChacpterBanner/banner_daily_3,2,330014,4,-1
25,10543001,-1,-1,-1,-1,-1,MAORHUFE DUMUSETIONI,source_home/fight/benner_2,event:/GameEffect/UIEffect/ChacpterBanner/banner_1_1,4,360001,2,-1
26,10544001,-1,-1,-1,28|255&231&254&255|-771&-13,-1,-1,source_home/fight/benner_7,event:/GameEffect/UIEffect/ChacpterBanner/banner_challenge_1,3,350001,1,-1
27,10544002,-1,-1,-1,28|255&231&254&255|-771&-13,-1,-1,source_home/fight/benner_7,event:/GameEffect/UIEffect/ChacpterBanner/banner_challenge_1,3,350002,1,-1
28,10544003,-1,-1,-1,28|255&231&254&255|-771&-13,-1,-1,source_home/fight/benner_7,event:/GameEffect/UIEffect/ChacpterBanner/banner_challenge_1,3,350003,1,-1
29,10544004,-1,-1,-1,28|255&231&254&255|-771&-13,-1,-1,source_home/fight/benner_7,event:/GameEffect/UIEffect/ChacpterBanner/banner_challenge_1,3,350004,1,-1
30,10544101,-1,-1,-1,-1,-1,-1,source_home/fight/benner_13,event:/GameEffect/UIEffect/benner_13,0,70000,1,-1
31,10544201,-1,-1,-1,-1,-1,-1,source_home/fight/benner_15,event:/GameEffect/UIEffect/ChacpterBanner/banner_challenge_3,0,370001|370002|370003|370004,3,-1
32,10544301,-1,-1,-1,28|226&210&206&255|-308&0,28|226&210&206&255|-400&0,-1,source_home/fight/benner_16,event:/GameEffect/UIEffect/ChacpterBanner/banner_challenge_2,3,380001|380002,2,-1
33,10544003,-1,-1,-1,28|255&231&254&255|-771&-13,-1,-1,source_home/fight/benner_7,event:/GameEffect/UIEffect/ChacpterBanner/banner_challenge_1,3,350005,1,-1
34,10544004,-1,-1,-1,28|255&231&254&255|-771&-13,-1,-1,source_home/fight/benner_7,event:/GameEffect/UIEffect/ChacpterBanner/banner_challenge_1,3,350006,1,-1
