ID,技能id,技能名称,技能ICON,所属星级,普通击中效果,施法音效(废弃，读最后一列),受击音效,施法屏幕效果,技能描述,施法音效
14,10010301,10470017,100103,4,80100102,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470018,1188
15,10010301,10470017,100103,5,80100102,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470020,1189
16,10010301,10470017,100103,6,80100102,event:/FightEffect/witch_skill_mustXlsx-100103-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10010301-10-6-HitSound,-1,20470020,1190
17,100201,10470050,100201,1,4005,event:/FightEffect/witch_skill_barrage-100201-PlaySound,event:/FightEffect/witch_skill_barrage-100201-HitSound,-1,20470050,1191
18,100202,10470051,100202,1,666001,event:/FightEffect/witch_skill_barrage-100201-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-HitSound,-1,20470051,1192
19,100203,10470066,100203,1,80100201,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-HitSound,-1,20470066,1193
20,100203,10470066,100203,2,80100201,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-HitSound,-1,20470066,1194
21,100203,10470066,100203,3,80100201,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-HitSound,-1,20470066,1195
22,100203,10470066,100203,4,80100201,event:/FightEffect/witch_skill_mustXlsx-100203-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-10-4-HitSound,-1,20470067,1196
23,100203,10470066,100203,5,80100201,event:/FightEffect/witch_skill_mustXlsx-100203-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-10-5-HitSound,-1,20470067,1197
24,100203,10470066,100203,6,80100201,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-HitSound,-1,20470067,1198
25,100253,10470066,100203,6,80100201,event:/FightEffect/witch_skill_mustXlsx-100203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100203-HitSound,-1,20470067,1199
26,100301,10470074,100301,1,4004,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-HitSound,-1,20470074,1200
27,100302,10470075,100302,1,665002,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470075,1201
28,100303,10470090,100303,1,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1202
29,100303,10470090,100303,2,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1203
30,100303,10470090,100303,3,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1204
31,100303,10470090,100303,4,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1205
32,100303,10470090,100303,5,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1206
33,100303,10470090,100303,6,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1207
34,10030101,10470074,100301,1,4004,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-HitSound,-1,20470074,1208
35,10030201,10470075,100302,1,665002,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470075,1209
36,10030301,10470090,100303,1,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1210
37,10030301,10470090,100303,2,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1211
38,10030301,10470090,100303,3,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1212
39,10030301,10470090,100303,4,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1213
40,10030301,10470090,100303,5,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1214
41,10030301,10470090,100303,6,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1215
42,10030102,10470074,100301,1,4003,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-HitSound,-1,20470074,1216
43,10030202,10470075,100302,1,665004,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470075,1217
44,10030302,10470090,100303,1,80100501,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1218
45,10030302,10470090,100303,2,80100501,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1219
46,10030302,10470090,100303,3,80100501,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1220
47,10030302,10470090,100303,4,80100501,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1221
48,10030302,10470090,100303,5,80100501,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1222
49,10030302,10470090,100303,6,80100501,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1223
50,10030103,10470074,100301,1,4004,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_barrage-100301-HitSound,-1,20470074,1224
51,10030203,10470075,100302,1,665002,event:/FightEffect/witch_skill_barrage-100301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470075,1225
52,10030303,10470090,100303,1,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1226
53,10030303,10470090,100303,2,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1227
54,10030303,10470090,100303,3,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470090,1228
55,10030303,10470090,100303,4,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1229
56,10030303,10470090,100303,5,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1230
57,10030303,10470090,100303,6,80100301,event:/FightEffect/witch_skill_mustXlsx-100303-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470091,1231
58,100401,10470146,100401,1,4005,event:/FightEffect/witch_skill_barrage-100401-PlaySound,event:/FightEffect/witch_skill_barrage-100401-HitSound,-1,20470146,1232
59,100402,10470147,100402,1,666001,event:/FightEffect/witch_skill_barrage-100401-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470147,1233
60,100403,10470162,100403,1,80100401,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-HitSound,-1,20470162,1234
61,100403,10470162,100403,2,80100401,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-HitSound,-1,20470162,1235
62,100403,10470162,100403,3,80100401,event:/FightEffect/witch_skill_mustXlsx-100403-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-HitSound,-1,20470162,1236
63,100403,10470162,100403,4,80100401,event:/FightEffect/witch_skill_mustXlsx-100403-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-10-4-HitSound,-1,20470162,1237
64,100403,10470162,100403,5,80100401,event:/FightEffect/witch_skill_mustXlsx-100403-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-10-5-HitSound,-1,20470165,1238
65,100403,10470162,100403,6,80100401,event:/FightEffect/witch_skill_mustXlsx-100403-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100403-10-6-HitSound,-1,20470165,1239
66,100404,10470170,100403,1,80100401,event:/FightEffect/witch_skill_mustXlsx-100404-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100404-HitSound,-1,20470170,1240
67,100501,10470178,100501,1,4003,event:/FightEffect/witch_skill_barrage-100501-PlaySound,event:/FightEffect/witch_skill_barrage-100501-HitSound,-1,20470178,1241
68,100502,10470179,100502,1,666004,event:/FightEffect/witch_skill_barrage-100501-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470179,1242
69,100503,10470194,100503,1,80100501,event:/FightEffect/witch_skill_mustXlsx-100503-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100503-HitSound,-1,20470194,1243
70,100503,10470194,100503,2,80100501,event:/FightEffect/witch_skill_mustXlsx-100503-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100503-HitSound,-1,20470194,1244
71,100503,10470194,100503,3,80100501,event:/FightEffect/witch_skill_mustXlsx-100503-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100503-HitSound,-1,20470194,1245
72,100503,10470194,100503,4,80100501,event:/FightEffect/witch_skill_mustXlsx-100503-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100503-10-4-HitSound,-1,20470195,1246
73,100503,10470194,100503,5,80100501,event:/FightEffect/witch_skill_mustXlsx-100503-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100503-10-5-HitSound,-1,20470195,1247
74,100503,10470194,100503,6,80100501,event:/FightEffect/witch_skill_mustXlsx-100503-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100503-10-6-HitSound,-1,20470196,1248
75,100601,10470202,100601,1,4006,event:/FightEffect/witch_skill_barrage-100601-PlaySound,event:/FightEffect/witch_skill_barrage-100601-HitSound,-1,20470202,1249
76,100602,10470203,100602,1,666007,event:/FightEffect/witch_skill_barrage-100601-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470203,1250
77,100603,10470218,100603,1,80100601,event:/FightEffect/witch_skill_mustXlsx-100603-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100603-HitSound,-1,20470218,1251
78,100603,10470218,100603,2,80100601,event:/FightEffect/witch_skill_mustXlsx-100603-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100603-HitSound,-1,20470218,1252
79,100603,10470218,100603,3,80100601,event:/FightEffect/witch_skill_mustXlsx-100603-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100603-HitSound,-1,20470218,1253
80,100603,10470218,100603,4,80100601,event:/FightEffect/witch_skill_mustXlsx-100603-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100603-HitSound,-1,20470218,1254
81,100603,10470218,100603,5,80100601,event:/FightEffect/witch_skill_mustXlsx-100603-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100603-HitSound,-1,20470218,1255
82,100603,10470218,100603,6,80100601,event:/FightEffect/witch_skill_mustXlsx-100603-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100603-HitSound,-1,20470218,1256
83,10060101,10470202,100601,1,4003,event:/FightEffect/witch_skill_barrage-10060101-PlaySound,event:/FightEffect/witch_skill_barrage-10060101-HitSound,-1,20470202,1249
84,10060201,10470203,100602,1,666004,event:/FightEffect/witch_skill_barrage-10060101-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470203,1250
85,10060301,10470218,100603,1,80100501,event:/FightEffect/witch_skill_mustXlsx-10060301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10060301-HitSound,-1,20470218,1251
86,10060301,10470218,100603,2,80100501,event:/FightEffect/witch_skill_mustXlsx-100603-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100603-HitSound,-1,20470218,1252
87,10060301,10470218,100603,3,80100501,event:/FightEffect/witch_skill_mustXlsx-100603-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100603-HitSound,-1,20470218,1253
88,10060301,10470218,100603,4,80100501,event:/FightEffect/witch_skill_mustXlsx-10060301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10060301-HitSound,-1,20470218,1254
89,10060301,10470218,100603,5,80100501,event:/FightEffect/witch_skill_mustXlsx-10060301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10060301-HitSound,-1,20470218,1255
90,10060301,10470218,100603,6,80100501,event:/FightEffect/witch_skill_mustXlsx-10060301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10060301-HitSound,-1,20470218,1256
91,100701,10470250,100701,1,4002,event:/FightEffect/witch_skill_barrage-100701-PlaySound,event:/FightEffect/witch_skill_barrage-100701-HitSound,-1,20470250,1265
92,100702,10470251,100702,1,667008,event:/FightEffect/witch_skill_barrage-100701-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470251,1266
93,100703,10470266,100703,1,667008,event:/FightEffect/witch_skill_mustXlsx-100703-10-1-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100703-10-1-HitSound,-1,20470266,1267
94,100703,10470266,100703,2,667008,event:/FightEffect/witch_skill_mustXlsx-100703-10-1-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100703-10-1-HitSound,-1,20470266,1268
95,100703,10470266,100703,3,667008,event:/FightEffect/witch_skill_mustXlsx-100703-10-1-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100703-10-1-HitSound,-1,20470267,1269
96,100703,10470266,100703,4,667008,event:/FightEffect/witch_skill_mustXlsx-100703-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100703-10-4-HitSound,-1,20470267,1270
97,100703,10470266,100703,5,667008,event:/FightEffect/witch_skill_mustXlsx-100703-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100703-10-5-HitSound,-1,20470267,1271
98,100703,10470266,100703,6,667008,event:/FightEffect/witch_skill_mustXlsx-100703-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100703-10-6-HitSound,-1,20470269,1272
99,100753,10470266,100753,1,667008,event:/FightEffect/witch_skill_mustXlsx-100703-10-1-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100703-10-1-HitSound,-1,20470269,1273
100,100753,10470266,100753,3,667008,event:/FightEffect/witch_skill_mustXlsx-100703-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100703-10-4-HitSound,-1,20470269,1274
101,100801,10470274,100801,1,4002,event:/FightEffect/witch_skill_barrage-100801-PlaySound,event:/FightEffect/witch_skill_barrage-100801-HitSound,-1,20470274,1275
102,100802,10470275,100802,1,667008,event:/FightEffect/witch_skill_barrage-100801-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470275,1276
103,100841,10470274,100801,1,4002,event:/FightEffect/witch_skill_barrage-100801-PlaySound,event:/FightEffect/witch_skill_barrage-100801-HitSound,-1,20470274,1277
104,100803,10470290,100803,1,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-HitSound,-1,20470290,1278
105,100803,10470290,100803,2,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-HitSound,-1,20470290,1279
106,100803,10470290,100803,3,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-HitSound,-1,20470291,1280
107,100803,10470290,100803,4,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-10-4-HitSound,-1,20470291,1281
108,100803,10470290,100803,5,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-10-5-HitSound,-1,20470293,1282
109,100803,10470290,100803,6,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-10-6-HitSound,-1,20470293,1283
110,100853,10470290,100853,1,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-HitSound,1008001,20470290,1284
111,100853,10470290,100853,3,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-HitSound,1008001,20470291,1285
112,100854,10470290,100854,5,80100801,event:/FightEffect/witch_skill_mustXlsx-100803-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100803-HitSound,-1,20470293,1286
113,100901,10470298,100901,1,4001,event:/FightEffect/witch_skill_barrage-100901-PlaySound,event:/FightEffect/witch_skill_barrage-100901-HitSound,-1,20470298,1287
114,100902,10470299,100902,1,666005,event:/FightEffect/witch_skill_barrage-100901-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470299,1288
115,100903,10470314,100903,1,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-HitSound,-1,20470314,1289
116,100903,10470314,100903,2,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-HitSound,-1,20470314,1290
117,100903,10470314,100903,3,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-HitSound,-1,20470314,1291
118,100903,10470314,100903,4,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-10-4-HitSound,-1,20470317,1292
119,100903,10470314,100903,5,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-10-5-HitSound,-1,20470317,1293
120,100903,10470314,100903,6,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-10-6-HitSound,-1,20470317,1294
121,10090101,10470298,100901,1,4001,event:/FightEffect/witch_skill_barrage-100901-PlaySound,event:/FightEffect/witch_skill_barrage-100901-HitSound,-1,20470298,1295
122,10090201,10470299,100902,1,666005,event:/FightEffect/witch_skill_barrage-100901-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470299,1296
123,10090301,10470314,100903,1,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-HitSound,-1,20470314,1297
124,10090301,10470314,100903,2,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-HitSound,-1,20470314,1298
125,10090301,10470314,100903,3,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100903-HitSound,-1,20470314,1299
126,10090301,10470314,100903,4,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-10-4-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10090301-10-4-HitSound,-1,20470317,1300
127,10090301,10470314,100903,5,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-10-5-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10090301-10-5-HitSound,-1,20470317,1301
128,10090301,10470314,100903,6,80100901,event:/FightEffect/witch_skill_mustXlsx-100903-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10090301-10-6-HitSound,-1,20470317,1302
129,101001,10470322,101001,1,4001,event:/FightEffect/witch_skill_barrage-101001-PlaySound,event:/FightEffect/witch_skill_barrage-101001-HitSound,-1,20470322,1303
130,101002,10470323,101002,1,667005,event:/FightEffect/witch_skill_barrage-101001-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470323,1304
131,101041,10470322,101001,1,4001,event:/FightEffect/witch_skill_barrage-101001-PlaySound,event:/FightEffect/witch_skill_barrage-101001-HitSound,-1,20470322,1305
132,101003,10470338,101003,1,80101001,event:/FightEffect/witch_skill_mustXlsx-101003-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101003-HitSound,1010002,20470338,1306
133,101003,10470338,101003,2,80101001,event:/FightEffect/witch_skill_mustXlsx-101003-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101003-HitSound,1010002,20470338,1307
134,101003,10470338,101003,3,80101001,event:/FightEffect/witch_skill_mustXlsx-101003-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101003-HitSound,1010002,20470338,1308
135,101003,10470338,101003,4,80101001,event:/FightEffect/witch_skill_mustXlsx-101003-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101003-HitSound,1010002,20470339,1309
136,101003,10470338,101003,5,80101001,event:/FightEffect/witch_skill_mustXlsx-101003-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101003-HitSound,1010002,20470340,1310
137,101003,10470338,101003,6,80101001,event:/FightEffect/witch_skill_mustXlsx-101003-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101003-HitSound,1010002,20470340,1311
138,10100101,10470346,101001,1,4002,event:/FightEffect/witch_skill_barrage-10100101-PlaySound,event:/FightEffect/witch_skill_barrage-10100101-HitSound,-1,20470346,1312
139,10100301,10470362,101003,1,6002,event:/FightEffect/witch_skill_mustXlsx-10100301-PlaySound,event:/FightEffect/witch_skill_mustXlsx-10100301-HitSound,10100301,20470362,1313
140,101101,10470370,101101,1,4001,event:/FightEffect/witch_skill_barrage-101101-PlaySound,event:/FightEffect/witch_skill_barrage-101101-HitSound,-1,20470370,1314
141,101102,10470371,101102,1,666005,event:/FightEffect/witch_skill_barrage-101101-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470371,1315
142,101103,10470386,101103,1,80101101,event:/FightEffect/witch_skill_mustXlsx-101103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101103-HitSound,-1,20470386,1316
143,101103,10470386,101103,2,80101101,event:/FightEffect/witch_skill_mustXlsx-101103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101103-HitSound,-1,20470386,1317
144,101103,10470386,101103,3,80101101,event:/FightEffect/witch_skill_mustXlsx-101103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101103-HitSound,-1,20470386,1318
145,101103,10470386,101103,4,80101101,event:/FightEffect/witch_skill_mustXlsx-101103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101103-HitSound,-1,20470387,1319
146,101103,10470386,101103,5,80101101,event:/FightEffect/witch_skill_mustXlsx-101103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101103-HitSound,-1,20470387,1320
147,101103,10470386,101103,6,80101101,event:/FightEffect/witch_skill_mustXlsx-101103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101103-10-6-HitSound,-1,20470387,1321
148,101201,10470394,101201,1,4002,event:/FightEffect/witch_skill_barrage-101201-PlaySound,event:/FightEffect/witch_skill_barrage-101201-HitSound,-1,20470394,1322
149,101202,10470395,101202,1,666008,event:/FightEffect/witch_skill_barrage-101201-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100303-HitSound,-1,20470395,1323
150,101203,10470410,101203,1,80101201,event:/FightEffect/witch_skill_mustXlsx-101203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101203-HitSound,-1,20470410,1324
151,101203,10470410,101203,2,80101201,event:/FightEffect/witch_skill_mustXlsx-101203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101203-HitSound,-1,20470410,1325
152,101203,10470410,101203,3,80101201,event:/FightEffect/witch_skill_mustXlsx-101203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101203-HitSound,-1,20470410,1326
153,101203,10470410,101203,4,80101201,event:/FightEffect/witch_skill_mustXlsx-101203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101203-HitSound,-1,20470411,1327
154,101203,10470410,101203,5,80101201,event:/FightEffect/witch_skill_mustXlsx-101203-PlaySound,event:/FightEffect/witch_skill_mustXlsx-101203-HitSound,-1,20470412,1328
