id,文字描述,名次,段位,日奖励（深渊币）,周奖励（奖杯数）
1046,10520046,46,1,4&1000008&163,8
1047,10520047,47,1,4&1000008&161,6
1048,10520048,48,1,4&1000008&159,4
1049,10520049,49,1,4&1000008&157,2
1050,10520050,50,1,4&1000008&155,0
2001,10520051,1,2,4&1000008&353,100
2002,10520052,2,2,4&1000008&351,98
2003,10520053,3,2,4&1000008&349,96
2004,10520054,4,2,4&1000008&347,94
2005,10520055,5,2,4&1000008&345,92
2006,10520056,6,2,4&1000008&343,90
2007,10520057,7,2,4&1000008&341,88
2008,10520058,8,2,4&1000008&339,86
2009,10520059,9,2,4&1000008&337,84
2010,10520060,10,2,4&1000008&335,82
2011,10520061,11,2,4&1000008&333,80
2012,10520062,12,2,4&1000008&331,78
2013,10520063,13,2,4&1000008&329,76
2014,10520064,14,2,4&1000008&327,74
2015,10520065,15,2,4&1000008&325,72
2016,10520066,16,2,4&1000008&323,70
2017,10520067,17,2,4&1000008&321,68
2018,10520068,18,2,4&1000008&319,65
2019,10520069,19,2,4&1000008&317,63
2020,10520070,20,2,4&1000008&315,61
2021,10520071,21,2,4&1000008&313,59
2022,10520072,22,2,4&1000008&311,57
2023,10520073,23,2,4&1000008&309,55
2024,10520074,24,2,4&1000008&307,53
2025,10520075,25,2,4&1000008&305,51
2026,10520076,26,2,4&1000008&303,49
2027,10520077,27,2,4&1000008&301,47
2028,10520078,28,2,4&1000008&299,45
2029,10520079,29,2,4&1000008&297,43
2030,10520080,30,2,4&1000008&295,41
2031,10520081,31,2,4&1000008&293,39
2032,10520082,32,2,4&1000008&291,37
2033,10520083,33,2,4&1000008&289,35
2034,10520084,34,2,4&1000008&287,33
2035,10520085,35,2,4&1000008&285,31
2036,10520086,36,2,4&1000008&283,29
2037,10520087,37,2,4&1000008&281,27
2038,10520088,38,2,4&1000008&279,25
2039,10520089,39,2,4&1000008&277,23
2040,10520090,40,2,4&1000008&275,20
2041,10520091,41,2,4&1000008&273,18
2042,10520092,42,2,4&1000008&271,16
2043,10520093,43,2,4&1000008&269,14
2044,10520094,44,2,4&1000008&267,12
2045,10520095,45,2,4&1000008&265,10
2046,10520096,46,2,4&1000008&263,8
2047,10520097,47,2,4&1000008&261,6
2048,10520098,48,2,4&1000008&259,4
2049,10520099,49,2,4&1000008&257,2
2050,10520100,50,2,4&1000008&255,0
3001,10520101,1,3,4&1000008&453,100
3002,10520102,2,3,4&1000008&451,98
3003,10520103,3,3,4&1000008&449,96
3004,10520104,4,3,4&1000008&447,94
3005,10520105,5,3,4&1000008&445,92
3006,10520106,6,3,4&1000008&443,90
3007,10520107,7,3,4&1000008&441,88
3008,10520108,8,3,4&1000008&439,86
3009,10520109,9,3,4&1000008&437,84
3010,10520110,10,3,4&1000008&435,82
3011,10520111,11,3,4&1000008&433,80
3012,10520112,12,3,4&1000008&431,78
3013,10520113,13,3,4&1000008&429,76
3014,10520114,14,3,4&1000008&427,74
3015,10520115,15,3,4&1000008&425,72
3016,10520116,16,3,4&1000008&423,70
3017,10520117,17,3,4&1000008&421,68
3018,10520118,18,3,4&1000008&419,66
3019,10520119,19,3,4&1000008&417,64
3020,10520120,20,3,4&1000008&415,62
3021,10520121,21,3,4&1000008&413,60
3022,10520122,22,3,4&1000008&411,58
3023,10520123,23,3,4&1000008&409,56
3024,10520124,24,3,4&1000008&407,54
3025,10520125,25,3,4&1000008&405,52
3026,10520126,26,3,4&1000008&403,50
3027,10520127,27,3,4&1000008&401,48
3028,10520128,28,3,4&1000008&399,46
3029,10520129,29,3,4&1000008&397,44
3030,10520130,30,3,4&1000008&395,42
3031,10520131,31,3,4&1000008&393,40
3032,10520132,32,3,4&1000008&391,38
3033,10520133,33,3,4&1000008&389,36
3034,10520134,34,3,4&1000008&387,34
3035,10520135,35,3,4&1000008&385,32
3036,10520136,36,3,4&1000008&383,30
3037,10520137,37,3,4&1000008&381,28
3038,10520138,38,3,4&1000008&379,26
3039,10520139,39,3,4&1000008&377,24
3040,10520140,40,3,4&1000008&375,22
3041,10520141,41,3,4&1000008&373,20
3042,10520142,42,3,4&1000008&371,18
3043,10520143,43,3,4&1000008&369,16
3044,10520144,44,3,4&1000008&367,14
3045,10520145,45,3,4&1000008&365,12
3046,10520146,46,3,4&1000008&363,10
3047,10520147,47,3,4&1000008&361,8
3048,10520148,48,3,4&1000008&359,6
3049,10520149,49,3,4&1000008&357,4
3050,10520150,50,3,4&1000008&355,0
4001,10520151,1,4,4&1000008&553,100
4002,10520152,2,4,4&1000008&551,98
4003,10520153,3,4,4&1000008&549,96
4004,10520154,4,4,4&1000008&547,94
4005,10520155,5,4,4&1000008&545,92
4006,10520156,6,4,4&1000008&543,90
4007,10520157,7,4,4&1000008&541,88
4008,10520158,8,4,4&1000008&539,86
4009,10520159,9,4,4&1000008&537,84
4010,10520160,10,4,4&1000008&535,82
4011,10520161,11,4,4&1000008&533,80
4012,10520162,12,4,4&1000008&531,78
4013,10520163,13,4,4&1000008&529,76
4014,10520164,14,4,4&1000008&527,74
4015,10520165,15,4,4&1000008&525,72
4016,10520166,16,4,4&1000008&523,70
4017,10520167,17,4,4&1000008&521,68
4018,10520168,18,4,4&1000008&519,66
4019,10520169,19,4,4&1000008&517,64
4020,10520170,20,4,4&1000008&515,62
4021,10520171,21,4,4&1000008&513,60
4022,10520172,22,4,4&1000008&511,58
4023,10520173,23,4,4&1000008&509,56
4024,10520174,24,4,4&1000008&507,54
4025,10520175,25,4,4&1000008&505,52
4026,10520176,26,4,4&1000008&503,50
4027,10520177,27,4,4&1000008&501,48
4028,10520178,28,4,4&1000008&499,46
4029,10520179,29,4,4&1000008&497,44
4030,10520180,30,4,4&1000008&495,42
4031,10520181,31,4,4&1000008&493,40
4032,10520182,32,4,4&1000008&491,38
4033,10520183,33,4,4&1000008&489,36
4034,10520184,34,4,4&1000008&487,34
4035,10520185,35,4,4&1000008&485,32
4036,10520186,36,4,4&1000008&483,30
4037,10520187,37,4,4&1000008&481,28
4038,10520188,38,4,4&1000008&479,26
4039,10520189,39,4,4&1000008&477,24
4040,10520190,40,4,4&1000008&475,22
4041,10520191,41,4,4&1000008&473,20
4042,10520192,42,4,4&1000008&471,18
4043,10520193,43,4,4&1000008&469,16
4044,10520194,44,4,4&1000008&467,14
4045,10520195,45,4,4&1000008&465,12
4046,10520196,46,4,4&1000008&463,10
4047,10520197,47,4,4&1000008&461,8
4048,10520198,48,4,4&1000008&459,6
4049,10520199,49,4,4&1000008&457,4
4050,10520200,50,4,4&1000008&455,0
5001,10520201,1,5,4&1000008&653,100
5002,10520202,2,5,4&1000008&651,98
5003,10520203,3,5,4&1000008&649,96
5004,10520204,4,5,4&1000008&647,94
5005,10520205,5,5,4&1000008&645,92
5006,10520206,6,5,4&1000008&643,90
5007,10520207,7,5,4&1000008&641,88
5008,10520208,8,5,4&1000008&639,86
5009,10520209,9,5,4&1000008&637,84
5010,10520210,10,5,4&1000008&635,82
5011,10520211,11,5,4&1000008&633,80
5012,10520212,12,5,4&1000008&631,78
5013,10520213,13,5,4&1000008&629,76
5014,10520214,14,5,4&1000008&627,74
5015,10520215,15,5,4&1000008&625,72
5016,10520216,16,5,4&1000008&623,70
5017,10520217,17,5,4&1000008&621,68
5018,10520218,18,5,4&1000008&619,66
5019,10520219,19,5,4&1000008&617,64
5020,10520220,20,5,4&1000008&615,62
5021,10520221,21,5,4&1000008&613,59
5022,10520222,22,5,4&1000008&611,56
5023,10520223,23,5,4&1000008&609,53
5024,10520224,24,5,4&1000008&607,50
5025,10520225,25,5,4&1000008&605,47
5026,10520226,26,5,4&1000008&603,44
5027,10520227,27,5,4&1000008&601,41
5028,10520228,28,5,4&1000008&599,38
5029,10520229,29,5,4&1000008&597,35
5030,10520230,30,5,4&1000008&595,32
5031,10520231,31,5,4&1000008&593,29
5032,10520232,32,5,4&1000008&591,26
5033,10520233,33,5,4&1000008&589,23
5034,10520234,34,5,4&1000008&587,20
5035,10520235,35,5,4&1000008&585,17
5036,10520236,36,5,4&1000008&583,14
5037,10520237,37,5,4&1000008&581,11
5038,10520238,38,5,4&1000008&579,8
5039,10520239,39,5,4&1000008&577,5
5040,10520240,40,5,4&1000008&575,2
5041,10520241,41,5,4&1000008&573,-1
5042,10520242,42,5,4&1000008&571,-4
5043,10520243,43,5,4&1000008&569,-7
5044,10520244,44,5,4&1000008&567,-10
5045,10520245,45,5,4&1000008&565,-13
5046,10520246,46,5,4&1000008&563,-16
5047,10520247,47,5,4&1000008&561,-19
5048,10520248,48,5,4&1000008&559,-22
5049,10520249,49,5,4&1000008&557,-25
5050,10520250,50,5,4&1000008&555,-28
6001,10520251,1,6,4&1000008&753,100
6002,10520252,2,6,4&1000008&751,98
6003,10520253,3,6,4&1000008&749,96
6004,10520254,4,6,4&1000008&747,94
6005,10520255,5,6,4&1000008&745,92
6006,10520256,6,6,4&1000008&743,90
6007,10520257,7,6,4&1000008&741,88
6008,10520258,8,6,4&1000008&739,86
6009,10520259,9,6,4&1000008&737,84
6010,10520260,10,6,4&1000008&735,82
6011,10520261,11,6,4&1000008&733,80
6012,10520262,12,6,4&1000008&731,78
6013,10520263,13,6,4&1000008&729,76
6014,10520264,14,6,4&1000008&727,74
6015,10520265,15,6,4&1000008&725,72
6016,10520266,16,6,4&1000008&723,70
6017,10520267,17,6,4&1000008&721,68
6018,10520268,18,6,4&1000008&719,66
6019,10520269,19,6,4&1000008&717,64
6020,10520270,20,6,4&1000008&715,62
6021,10520271,21,6,4&1000008&713,59
6022,10520272,22,6,4&1000008&711,56
6023,10520273,23,6,4&1000008&709,53
6024,10520274,24,6,4&1000008&707,50
6025,10520275,25,6,4&1000008&705,47
6026,10520276,26,6,4&1000008&703,44
6027,10520277,27,6,4&1000008&701,41
6028,10520278,28,6,4&1000008&699,38
6029,10520279,29,6,4&1000008&697,35
6030,10520280,30,6,4&1000008&695,32
6031,10520281,31,6,4&1000008&693,29
6032,10520282,32,6,4&1000008&691,26
6033,10520283,33,6,4&1000008&689,23
6034,10520284,34,6,4&1000008&687,20
6035,10520285,35,6,4&1000008&685,17
6036,10520286,36,6,4&1000008&683,14
6037,10520287,37,6,4&1000008&681,11
6038,10520288,38,6,4&1000008&679,8
6039,10520289,39,6,4&1000008&677,5
6040,10520290,40,6,4&1000008&675,2
6041,10520291,41,6,4&1000008&673,-1
6042,10520292,42,6,4&1000008&671,-4
6043,10520293,43,6,4&1000008&669,-7
6044,10520294,44,6,4&1000008&667,-10
6045,10520295,45,6,4&1000008&665,-13
6046,10520296,46,6,4&1000008&663,-16
6047,10520297,47,6,4&1000008&661,-19
6048,10520298,48,6,4&1000008&659,-22
6049,10520299,49,6,4&1000008&657,-25
6050,10520300,50,6,4&1000008&655,-28
7001,10520301,1,7,4&1000008&853,100
7002,10520302,2,7,4&1000008&851,98
7003,10520303,3,7,4&1000008&849,96
7004,10520304,4,7,4&1000008&847,94
7005,10520305,5,7,4&1000008&845,92
7006,10520306,6,7,4&1000008&843,90
7007,10520307,7,7,4&1000008&841,88
7008,10520308,8,7,4&1000008&839,86
7009,10520309,9,7,4&1000008&837,84
7010,10520310,10,7,4&1000008&835,82
7011,10520311,11,7,4&1000008&833,80
7012,10520312,12,7,4&1000008&831,78
7013,10520313,13,7,4&1000008&829,76
7014,10520314,14,7,4&1000008&827,74
7015,10520315,15,7,4&1000008&825,72
7016,10520316,16,7,4&1000008&823,70
7017,10520317,17,7,4&1000008&821,68
7018,10520318,18,7,4&1000008&819,66
7019,10520319,19,7,4&1000008&817,64
7020,10520320,20,7,4&1000008&815,62
7021,10520321,21,7,4&1000008&813,59
7022,10520322,22,7,4&1000008&811,56
7023,10520323,23,7,4&1000008&809,53
7024,10520324,24,7,4&1000008&807,50
7025,10520325,25,7,4&1000008&805,47
7026,10520326,26,7,4&1000008&803,44
7027,10520327,27,7,4&1000008&801,41
7028,10520328,28,7,4&1000008&799,38
7029,10520329,29,7,4&1000008&797,35
7030,10520330,30,7,4&1000008&795,32
7031,10520331,31,7,4&1000008&793,29
7032,10520332,32,7,4&1000008&791,26
7033,10520333,33,7,4&1000008&789,23
7034,10520334,34,7,4&1000008&787,20
7035,10520335,35,7,4&1000008&785,17
7036,10520336,36,7,4&1000008&783,14
7037,10520337,37,7,4&1000008&781,11
7038,10520338,38,7,4&1000008&779,8
7039,10520339,39,7,4&1000008&777,5
7040,10520340,40,7,4&1000008&775,2
7041,10520341,41,7,4&1000008&773,-1
7042,10520342,42,7,4&1000008&771,-4
7043,10520343,43,7,4&1000008&769,-7
7044,10520344,44,7,4&1000008&767,-10
7045,10520345,45,7,4&1000008&765,-13
7046,10520346,46,7,4&1000008&763,-16
7047,10520347,47,7,4&1000008&761,-19
7048,10520348,48,7,4&1000008&759,-22
7049,10520349,49,7,4&1000008&757,-25
7050,10520350,50,7,4&1000008&755,-28
8001,10520351,1,8,4&1000008&953,100
8002,10520352,2,8,4&1000008&951,97
8003,10520353,3,8,4&1000008&949,93
8004,10520354,4,8,4&1000008&947,90
8005,10520355,5,8,4&1000008&945,87
8006,10520356,6,8,4&1000008&943,84
8007,10520357,7,8,4&1000008&941,80
8008,10520358,8,8,4&1000008&939,77
8009,10520359,9,8,4&1000008&937,74
8010,10520360,10,8,4&1000008&935,71
8011,10520361,11,8,4&1000008&933,67
8012,10520362,12,8,4&1000008&931,64
8013,10520363,13,8,4&1000008&929,61
8014,10520364,14,8,4&1000008&927,58
8015,10520365,15,8,4&1000008&925,54
8016,10520366,16,8,4&1000008&923,51
8017,10520367,17,8,4&1000008&921,48
8018,10520368,18,8,4&1000008&919,44
8019,10520369,19,8,4&1000008&917,41
8020,10520370,20,8,4&1000008&915,38
8021,10520371,21,8,4&1000008&913,35
8022,10520372,22,8,4&1000008&911,32
8023,10520373,23,8,4&1000008&909,29
8024,10520374,24,8,4&1000008&907,25
8025,10520375,25,8,4&1000008&905,22
8026,10520376,26,8,4&1000008&903,18
8027,10520377,27,8,4&1000008&901,15
8028,10520378,28,8,4&1000008&899,9
8029,10520379,29,8,4&1000008&897,5
8030,10520380,30,8,4&1000008&895,2
8031,10520381,31,8,4&1000008&893,-1
8032,10520382,32,8,4&1000008&891,-4
8033,10520383,33,8,4&1000008&889,-8
8034,10520384,34,8,4&1000008&887,-11
8035,10520385,35,8,4&1000008&885,-14
8036,10520386,36,8,4&1000008&883,-17
8037,10520387,37,8,4&1000008&881,-20
8038,10520388,38,8,4&1000008&879,-23
8039,10520389,39,8,4&1000008&877,-26
8040,10520390,40,8,4&1000008&875,-29
8041,10520391,41,8,4&1000008&873,-32
8042,10520392,42,8,4&1000008&871,-35
8043,10520393,43,8,4&1000008&869,-38
8044,10520394,44,8,4&1000008&867,-41
8045,10520395,45,8,4&1000008&865,-44
8046,10520396,46,8,4&1000008&863,-47
8047,10520397,47,8,4&1000008&861,-50
8048,10520398,48,8,4&1000008&859,-53
8049,10520399,49,8,4&1000008&857,-57
8050,10520400,50,8,4&1000008&855,-60
9001,10520401,1,9,4&1000008&1053,100
9002,10520402,2,9,4&1000008&1051,97
9003,10520403,3,9,4&1000008&1049,93
9004,10520404,4,9,4&1000008&1047,90
9005,10520405,5,9,4&1000008&1045,87
9006,10520406,6,9,4&1000008&1043,84
9007,10520407,7,9,4&1000008&1041,80
9008,10520408,8,9,4&1000008&1039,77
9009,10520409,9,9,4&1000008&1037,74
9010,10520410,10,9,4&1000008&1035,71
9011,10520411,11,9,4&1000008&1033,67
9012,10520412,12,9,4&1000008&1031,64
9013,10520413,13,9,4&1000008&1029,61
9014,10520414,14,9,4&1000008&1027,58
9015,10520415,15,9,4&1000008&1025,54
9016,10520416,16,9,4&1000008&1023,51
9017,10520417,17,9,4&1000008&1021,48
9018,10520418,18,9,4&1000008&1019,44
9019,10520419,19,9,4&1000008&1017,41
9020,10520420,20,9,4&1000008&1015,38
9021,10520421,21,9,4&1000008&1013,35
9022,10520422,22,9,4&1000008&1011,32
9023,10520423,23,9,4&1000008&1009,29
9024,10520424,24,9,4&1000008&1007,25
9025,10520425,25,9,4&1000008&1005,22
9026,10520426,26,9,4&1000008&1003,18
9027,10520427,27,9,4&1000008&1001,15
9028,10520428,28,9,4&1000008&999,9
9029,10520429,29,9,4&1000008&997,5
9030,10520430,30,9,4&1000008&995,2
9031,10520431,31,9,4&1000008&993,-1
9032,10520432,32,9,4&1000008&991,-4
9033,10520433,33,9,4&1000008&989,-8
9034,10520434,34,9,4&1000008&987,-11
9035,10520435,35,9,4&1000008&985,-14
9036,10520436,36,9,4&1000008&983,-17
9037,10520437,37,9,4&1000008&981,-20
9038,10520438,38,9,4&1000008&979,-23
9039,10520439,39,9,4&1000008&977,-26
9040,10520440,40,9,4&1000008&975,-29
9041,10520441,41,9,4&1000008&973,-32
9042,10520442,42,9,4&1000008&971,-35
9043,10520443,43,9,4&1000008&969,-38
9044,10520444,44,9,4&1000008&967,-41
9045,10520445,45,9,4&1000008&965,-44
9046,10520446,46,9,4&1000008&963,-47
9047,10520447,47,9,4&1000008&961,-50
9048,10520448,48,9,4&1000008&959,-53
9049,10520449,49,9,4&1000008&957,-57
9050,10520450,50,9,4&1000008&955,-60
10001,10520451,1,10,4&1000008&1153,100
10002,10520452,2,10,4&1000008&1151,97
10003,10520453,3,10,4&1000008&1149,93
10004,10520454,4,10,4&1000008&1147,90
10005,10520455,5,10,4&1000008&1145,87
10006,10520456,6,10,4&1000008&1143,84
10007,10520457,7,10,4&1000008&1141,80
10008,10520458,8,10,4&1000008&1139,77
10009,10520459,9,10,4&1000008&1137,74
10010,10520460,10,10,4&1000008&1135,71
10011,10520461,11,10,4&1000008&1133,67
10012,10520462,12,10,4&1000008&1131,64
10013,10520463,13,10,4&1000008&1129,61
10014,10520464,14,10,4&1000008&1127,58
10015,10520465,15,10,4&1000008&1125,54
10016,10520466,16,10,4&1000008&1123,51
10017,10520467,17,10,4&1000008&1121,48
10018,10520468,18,10,4&1000008&1119,44
10019,10520469,19,10,4&1000008&1117,41
10020,10520470,20,10,4&1000008&1115,38
10021,10520471,21,10,4&1000008&1113,35
10022,10520472,22,10,4&1000008&1111,32
10023,10520473,23,10,4&1000008&1109,29
10024,10520474,24,10,4&1000008&1107,25
10025,10520475,25,10,4&1000008&1105,22
10026,10520476,26,10,4&1000008&1103,18
10027,10520477,27,10,4&1000008&1101,15
10028,10520478,28,10,4&1000008&1099,9
10029,10520479,29,10,4&1000008&1097,5
10030,10520480,30,10,4&1000008&1095,2
10031,10520481,31,10,4&1000008&1093,-1
10032,10520482,32,10,4&1000008&1091,-4
10033,10520483,33,10,4&1000008&1089,-8
10034,10520484,34,10,4&1000008&1087,-11
10035,10520485,35,10,4&1000008&1085,-14
10036,10520486,36,10,4&1000008&1083,-17
10037,10520487,37,10,4&1000008&1081,-20
10038,10520488,38,10,4&1000008&1079,-23
10039,10520489,39,10,4&1000008&1077,-26
10040,10520490,40,10,4&1000008&1075,-29
10041,10520491,41,10,4&1000008&1073,-32
10042,10520492,42,10,4&1000008&1071,-35
10043,10520493,43,10,4&1000008&1069,-38
10044,10520494,44,10,4&1000008&1067,-41
10045,10520495,45,10,4&1000008&1065,-44
10046,10520496,46,10,4&1000008&1063,-47
10047,10520497,47,10,4&1000008&1061,-50
10048,10520498,48,10,4&1000008&1059,-53
10049,10520499,49,10,4&1000008&1057,-57
10050,10520500,50,10,4&1000008&1055,-60
11001,10520501,1,11,4&1000008&1253,100
11002,10520502,2,11,4&1000008&1251,96
11003,10520503,3,11,4&1000008&1249,92
11004,10520504,4,11,4&1000008&1247,88
11005,10520505,5,11,4&1000008&1245,84
11006,10520506,6,11,4&1000008&1243,80
11007,10520507,7,11,4&1000008&1241,76
11008,10520508,8,11,4&1000008&1239,72
11009,10520509,9,11,4&1000008&1237,68
11010,10520510,10,11,4&1000008&1235,64
11011,10520511,11,11,4&1000008&1233,60
11012,10520512,12,11,4&1000008&1231,56
11013,10520513,13,11,4&1000008&1229,52
11014,10520514,14,11,4&1000008&1227,48
11015,10520515,15,11,4&1000008&1225,44
11016,10520516,16,11,4&1000008&1223,40
11017,10520517,17,11,4&1000008&1221,35
11018,10520518,18,11,4&1000008&1219,30
11019,10520519,19,11,4&1000008&1217,25
11020,10520520,20,11,4&1000008&1215,20
11021,10520521,21,11,4&1000008&1213,15
11022,10520522,22,11,4&1000008&1211,10
11023,10520523,23,11,4&1000008&1209,5
11024,10520524,24,11,4&1000008&1207,0
11025,10520525,25,11,4&1000008&1205,-3
11026,10520526,26,11,4&1000008&1203,-6
11027,10520527,27,11,4&1000008&1201,-9
11028,10520528,28,11,4&1000008&1199,-12
11029,10520529,29,11,4&1000008&1197,-15
11030,10520530,30,11,4&1000008&1195,-18
11031,10520531,31,11,4&1000008&1193,-21
11032,10520532,32,11,4&1000008&1191,-24
11033,10520533,33,11,4&1000008&1189,-27
11034,10520534,34,11,4&1000008&1187,-30
11035,10520535,35,11,4&1000008&1185,-34
11036,10520536,36,11,4&1000008&1183,-38
11037,10520537,37,11,4&1000008&1181,-42
11038,10520538,38,11,4&1000008&1179,-46
11039,10520539,39,11,4&1000008&1177,-50
11040,10520540,40,11,4&1000008&1175,-54
11041,10520541,41,11,4&1000008&1173,-58
11042,10520542,42,11,4&1000008&1171,-62
11043,10520543,43,11,4&1000008&1169,-66
11044,10520544,44,11,4&1000008&1167,-70
11045,10520545,45,11,4&1000008&1165,-74
11046,10520546,46,11,4&1000008&1163,-78
11047,10520547,47,11,4&1000008&1161,-82
11048,10520548,48,11,4&1000008&1159,-86
11049,10520549,49,11,4&1000008&1157,-90
11050,10520550,50,11,4&1000008&1155,-94
12001,10520551,1,12,4&1000008&1353,100
12002,10520552,2,12,4&1000008&1351,96
12003,10520553,3,12,4&1000008&1349,92
12004,10520554,4,12,4&1000008&1347,88
12005,10520555,5,12,4&1000008&1345,84
12006,10520556,6,12,4&1000008&1343,80
12007,10520557,7,12,4&1000008&1341,76
12008,10520558,8,12,4&1000008&1339,72
12009,10520559,9,12,4&1000008&1337,68
12010,10520560,10,12,4&1000008&1335,64
12011,10520561,11,12,4&1000008&1333,60
12012,10520562,12,12,4&1000008&1331,56
12013,10520563,13,12,4&1000008&1329,52
12014,10520564,14,12,4&1000008&1327,48
12015,10520565,15,12,4&1000008&1325,44
12016,10520566,16,12,4&1000008&1323,40
12017,10520567,17,12,4&1000008&1321,35
12018,10520568,18,12,4&1000008&1319,30
12019,10520569,19,12,4&1000008&1317,25
12020,10520570,20,12,4&1000008&1315,20
12021,10520571,21,12,4&1000008&1313,15
12022,10520572,22,12,4&1000008&1311,10
12023,10520573,23,12,4&1000008&1309,5
12024,10520574,24,12,4&1000008&1307,0
12025,10520575,25,12,4&1000008&1305,-3
12026,10520576,26,12,4&1000008&1303,-6
12027,10520577,27,12,4&1000008&1301,-9
12028,10520578,28,12,4&1000008&1299,-12
12029,10520579,29,12,4&1000008&1297,-15
12030,10520580,30,12,4&1000008&1295,-18
12031,10520581,31,12,4&1000008&1293,-21
12032,10520582,32,12,4&1000008&1291,-24
12033,10520583,33,12,4&1000008&1289,-27
12034,10520584,34,12,4&1000008&1287,-30
12035,10520585,35,12,4&1000008&1285,-34
12036,10520586,36,12,4&1000008&1283,-38
12037,10520587,37,12,4&1000008&1281,-42
12038,10520588,38,12,4&1000008&1279,-46
12039,10520589,39,12,4&1000008&1277,-50
12040,10520590,40,12,4&1000008&1275,-54
12041,10520591,41,12,4&1000008&1273,-58
12042,10520592,42,12,4&1000008&1271,-62
12043,10520593,43,12,4&1000008&1269,-66
12044,10520594,44,12,4&1000008&1267,-70
12045,10520595,45,12,4&1000008&1265,-74
12046,10520596,46,12,4&1000008&1263,-78
12047,10520597,47,12,4&1000008&1261,-82
12048,10520598,48,12,4&1000008&1259,-86
12049,10520599,49,12,4&1000008&1257,-90
12050,10520600,50,12,4&1000008&1255,-94
13001,10520601,1,13,4&1000008&1453,100
13002,10520602,2,13,4&1000008&1451,96
13003,10520603,3,13,4&1000008&1449,92
13004,10520604,4,13,4&1000008&1447,88
13005,10520605,5,13,4&1000008&1445,84
13006,10520606,6,13,4&1000008&1443,80
13007,10520607,7,13,4&1000008&1441,76
13008,10520608,8,13,4&1000008&1439,72
13009,10520609,9,13,4&1000008&1437,68
13010,10520610,10,13,4&1000008&1435,64
13011,10520611,11,13,4&1000008&1433,60
13012,10520612,12,13,4&1000008&1431,56
13013,10520613,13,13,4&1000008&1429,52
13014,10520614,14,13,4&1000008&1427,48
13015,10520615,15,13,4&1000008&1425,44
13016,10520616,16,13,4&1000008&1423,40
13017,10520617,17,13,4&1000008&1421,35
13018,10520618,18,13,4&1000008&1419,30
13019,10520619,19,13,4&1000008&1417,25
13020,10520620,20,13,4&1000008&1415,20
13021,10520621,21,13,4&1000008&1413,15
13022,10520622,22,13,4&1000008&1411,10
13023,10520623,23,13,4&1000008&1409,5
13024,10520624,24,13,4&1000008&1407,0
13025,10520625,25,13,4&1000008&1405,-3
13026,10520626,26,13,4&1000008&1403,-6
13027,10520627,27,13,4&1000008&1401,-9
13028,10520628,28,13,4&1000008&1399,-12
13029,10520629,29,13,4&1000008&1397,-15
13030,10520630,30,13,4&1000008&1395,-18
13031,10520631,31,13,4&1000008&1393,-21
13032,10520632,32,13,4&1000008&1391,-24
13033,10520633,33,13,4&1000008&1389,-27
13034,10520634,34,13,4&1000008&1387,-30
13035,10520635,35,13,4&1000008&1385,-34
13036,10520636,36,13,4&1000008&1383,-38
13037,10520637,37,13,4&1000008&1381,-42
13038,10520638,38,13,4&1000008&1379,-46
13039,10520639,39,13,4&1000008&1377,-50
13040,10520640,40,13,4&1000008&1375,-54
13041,10520641,41,13,4&1000008&1373,-58
13042,10520642,42,13,4&1000008&1371,-62
13043,10520643,43,13,4&1000008&1369,-66
