id,乐谱名称,乐谱名称,乐谱描述,乐谱品质,乐谱系数,单次演奏的经验值,等级组,乐谱普通时长（小时）,乐器布阵图,布阵魔女位置,布阵魔女旋转角度,场景,演奏BGM
6001009,10290009,Burst Witch Main Theme -Violin ver- II,20290009,4,0.015,50,6001009,6,3&2|5&4|9&3|10&3,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0,-1,event:/GameBgm/MusicBook-Burst Witch Main Theme -Violin ver-
6001010,10290010,Revenge of the Witch II,20290010,4,0.015,50,6001010,8,1&105|3&102|4&2|5&4|8&3|9&3,2.4&1.578&-22.26|0&1.59&-25.13|-2.82&1.578&-22.91|5.574&2.966&-23.981|2.69&4.02&-25.52|-2.85&4.04&-25.43,0&-56.923&0|0&-90&0|0&-203&0|0&-23.16&0|0&-1.758&0|0&20.446&0,-1,event:/GameBgm/MusicBook-Revenge of the Witch
6001011,10290011,Waltz for the deep dark forest II,20290011,3,0.015,50,6001011,4,1&2|4&105|5&4|6&3|7&3|8&4|9&8|10&5,-1.33&1.499&-23|1.99&1.578&-23.16|5.752&3.181&-24.389|4.79&2.02&-21.5|-5.12&2.44&-22.15|-5.62&3.66&-25.38|2.291&3.99&-26.025|-2.765&4.03&-25.025,0&-27.125&0|0&-38.738&0|0&-22.518&0|0&-86.04601&0|0&103.129&0|0&25.97&0|0&-22.894&0|0&-5.216&0,-1,event:/GameBgm/MusicBook-Waltz for the deep dark forest
6001012,10290012,Memory II,20290012,2,0.015,50,6001012,2,1&2|6&3|9&7,3.34&1.499&-23.1|-0.24&1.59&-23.97|-2.89&1.584&-24.23,0&-37.854&0|0&33.046&0|0&26.025&0,-1,event:/GameBgm/MusicBook-Memory
6001013,10290013,Requiem for Gods II,20290013,2,0.015,50,6001013,2,3&2|5&104|6&4,3.6&1.568&-23.88|0.11&1.57&-21.16|-1.58&1.57&-23.12,0&12.89&0|0&0&0|0&0&0,-1,event:/GameBgm/MusicBook-Requiem for Gods
6001014,10290014,Eternal Night II,20290014,4,0.015,50,6001014,8,2&102|4&105|7&3|8&3|9&101|10&101,0&1.59&-25.13|-2.99&1.58&-23.78|3.09&1.59&-22.92|1.85&1.59&-23.27|0.79&1.552&-20.97|-0.73&1.552&-20.96,0&-90&0|0&19.62&0|0&-6&0|0&-6&0|0&0&0|0&0&0,-1,event:/GameBgm/MusicBook-Eternal Night
6001015,10290015,Burst Witch Main Theme III,20290015,3,0.015,50,6001015,8,3&2|5&4|9&3|10&3,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0,-1,event:/GameBgm/MusicBook-Burst Witch Main Theme
6001016,10290016,Burst Witch Main Theme -Violin ver- III,20290016,3,0.015,50,6001016,8,3&2|5&4|9&3|10&3,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0,-1,event:/GameBgm/MusicBook-Burst Witch Main Theme -Violin ver-
6001017,10290017,Revenge of the Witch III,20290017,4,0.015,50,6001017,8,1&105|3&102|4&2|5&4|8&3|9&3,2.4&1.578&-22.26|0&1.59&-25.13|-2.82&1.578&-22.91|5.574&2.966&-23.981|2.69&4.02&-25.52|-2.85&4.04&-25.43,0&-56.923&0|0&-90&0|0&-203&0|0&-23.16&0|0&-1.758&0|0&20.446&0,-1,event:/GameBgm/MusicBook-Revenge of the Witch
6001018,10290018,Waltz for the deep dark forest III,20290018,4,0.015,50,6001018,8,1&2|4&105|5&4|6&3|7&3|8&4|9&8|10&5,-1.33&1.499&-23|1.99&1.578&-23.16|5.752&3.181&-24.389|4.79&2.02&-21.5|-5.12&2.44&-22.15|-5.62&3.66&-25.38|2.291&3.99&-26.025|-2.765&4.03&-25.025,0&-27.125&0|0&-38.738&0|0&-22.518&0|0&-86.04601&0|0&103.129&0|0&25.97&0|0&-22.894&0|0&-5.216&0,-1,event:/GameBgm/MusicBook-Waltz for the deep dark forest
6001019,10290019,Memory III,20290019,3,0.015,50,6001019,8,1&2|6&3|9&7,3.34&1.499&-23.1|-0.24&1.59&-23.97|-2.89&1.584&-24.23,0&-37.854&0|0&33.046&0|0&26.025&0,-1,event:/GameBgm/MusicBook-Memory
6001020,10290020,Requiem for Gods III,20290020,3,0.015,50,6001020,8,3&2|5&104|6&4,3.6&1.568&-23.88|0.11&1.57&-21.16|-1.58&1.57&-23.12,0&12.89&0|0&0&0|0&0&0,-1,event:/GameBgm/MusicBook-Requiem for Gods
