行为id,下一个行为（-1为结束）,行为归纳,BGM,跳过简述
110240,110250,2|18103,-1,-1
110250,110260,1|10390,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/animal-lion-pig,-1
110260,110270,2|103,-1,-1
110270,110280,1|10410,-1,-1
110280,110290,2|18103,-1,-1
110290,110300,1|10420,-1,-1
110300,110310,2|103,-1,-1
110310,110311,1|10430,-1,-1
110311,110312,2|303,-1,-1
110312,110320,1|10431,-1,-1
110320,110330,2|18103,-1,-1
110330,110340,1|10440,-1,-1
110340,110350,2|303,-1,-1
110350,110360,1|10450,-1,-1
110360,110370,2|103,-1,-1
110370,110371,1|10460,-1,-1
110371,110372,2|4403,-1,-1
110372,110380,1|10461,-1,-1
110380,110390,2|18103,-1,-1
110390,110400,1|10470,-1,-1
110400,-1,1|10480,-1,-1
120010,120020,2|103,-1,-1
120020,120040,1|10500,-1,-1
120040,120050,1|10510,-1,-1
120050,120060,2|18103,-1,-1
120060,120070,1|10520,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/animal-lion-pig,-1
120070,120080,2|103,-1,-1
120080,120081,1|10530,-1,-1
120081,120082,2|303,-1,-1
120082,120083,1|10531,-1,-1
120083,120084,2|18103,-1,-1
120084,120085,1|10532,-1,-1
120085,120086,2|103,-1,-1
120086,120090,1|10540,-1,-1
120090,120091,2|104,-1,-1
120091,120100,1|10541,-1,-1
120100,120110,2|18103,-1,-1
120110,120120,1|10550,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/animal-lion-pig,-1
120120,120140,2|18105,-1,-1
120140,120150,1|10570,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/wing-fly|;|PlayBgm|event:/GameBgm/empty|;|event:/GameEffect/BackgroundEffect/chapter-1/amb-night-forest-no-footsteps,-1
120150,120160,2|103,-1,-1
120160,120170,1|10580,-1,-1
120170,120190,2|303,-1,-1
120190,120200,1|10600,-1,-1
120200,120220,2|103,-1,-1
120220,120230,1|10620,-1,-1
120230,120240,2|303,-1,-1
120240,120250,1|10630,-1,-1
120250,120260,2|305,-1,-1
120260,120270,1|10640,-1,-1
120270,120280,2|4403,-1,-1
120280,120281,1|10650,-1,-1
120281,120282,2|2043,-1,-1
120282,120283,1|10651,-1,-1
120283,120284,2|103,-1,-1
120284,120285,1|10652,-1,-1
120285,120286,2|104,-1,-1
120286,120287,2|80022,-1,-1
120287,120288,1|10641,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/bat-swarm,-1
120288,120289,2|103,-1,-1
120289,120290,1|10653,-1,-1
120290,120291,2|303,-1,-1
120291,120292,1|10655,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-far,-1
120292,120293,2|305,-1,-1
120293,120300,2|40001,-1,-1
120300,120310,2|70001,-1,-1
120310,120320,2|80000,-1,-1
120320,120330,1|10660,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/rain-heavy,-1
120330,120350,1|10670,PlayBgm|event:/GameBgm/MusicBook-The Moon|;|SetEventParamByPath|event:/GameEffect/BackgroundEffect/prologue/rain-heavy|IsInterior|100|;,-1
120350,120370,1|10680,-1,-1
120370,120380,2|903,-1,-1
120380,120390,1|10690,-1,-1
120390,120400,1|10700,-1,-1
120400,120420,2|103,-1,-1
120420,120421,1|10720,-1,-1
120421,120422,1|10721,-1,-1
120422,120423,2|903,-1,-1
120423,120424,1|10722,-1,-1
120424,120426,2|303,-1,-1
120426,120427,1|10724,-1,-1
120427,120428,2|305,-1,-1
120428,120430,1|10725,-1,-1
120430,120440,2|903,-1,-1
120440,120450,1|10730,-1,-1
120450,120460,2|303,-1,-1
120460,120461,1|10740,-1,-1
120461,120462,1|10741,-1,-1
120462,120463,1|10742,-1,-1
120463,120470,2|2043,-1,-1
120470,120480,1|10848,-1,-1
120480,120490,2|903,-1,-1
120490,120500,1|10849,-1,-1
120500,120510,2|904,-1,-1
120510,120520,1|10850,-1,-1
120520,120530,2|903,-1,-1
120530,120540,1|10851,-1,-1
120540,120550,2|2043,-1,-1
120550,120560,1|10852,-1,-1
120560,120620,1|10855,-1,-1
120620,120630,1|10856,-1,-1
120630,120640,2|903,-1,-1
120640,120650,1|10857,-1,-1
120650,120750,2|2043,-1,-1
120750,120760,1|10863,-1,-1
120760,120770,1|10864,-1,-1
120770,120780,1|10865,-1,-1
120780,120800,2|103,-1,-1
120800,120810,1|10867,-1,-1
120810,120820,2|2043,-1,-1
120820,120830,1|10868,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-electric-strong,-1
120830,120840,2|2045,-1,-1
120840,120900,2|103,-1,-1
120900,120910,1|10872,-1,-1
120910,120920,1|10873,-1,-1
120920,120950,2|903,-1,-1
120950,120960,1|10875,-1,-1
120960,120970,2|303,-1,-1
120970,120980,1|10876,-1,-1
120980,120990,2|103,-1,-1
120990,121000,1|10877,-1,-1
121000,121001,2|303,-1,-1
121001,121002,1|10878,-1,-1
121002,121010,2|103,-1,-1
121010,121020,1|10879,-1,-1
121020,121030,2|4403,-1,-1
121030,121040,1|10880,-1,-1
121040,121070,2|903,-1,-1
121070,121080,1|10882,-1,-1
121080,121090,1|10883,-1,-1
121090,121100,2|103,-1,-1
121100,121110,1|10884,-1,-1
121110,121120,2|2043,-1,-1
121120,121130,1|10885,-1,-1
121130,121140,1|10886,-1,-1
121140,121150,2|2045,-1,-1
121150,121160,2|40002,-1,-1
121160,121170,1|10887,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-med,-1
121170,121180,2|40002,-1,-1
121180,121190,1|10888,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-med,-1
121190,121200,2|103,-1,-1
121200,121210,1|10897,-1,-1
121210,121220,2|11803,-1,-1
121220,121230,1|10889,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/animal-cat-angry,-1
121230,121240,2|903,-1,-1
121240,121250,1|10920,-1,-1
121250,121260,2|103,-1,-1
121260,121280,1|10921,-1,-1
121280,121281,2|2043,-1,-1
121281,121282,1|10922,-1,-1
121282,121283,2|2045,-1,-1
121283,121285,2|70003,-1,-1
121285,121290,2|40001,StopBgm|event:/GameBgm/MusicBook-The Moon|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-pack,-1
121290,121300,1|10890,-1,-1
121300,121310,1|10900,PlayBgm|event:/GameBgm/MusicBook-Caiaphas|;|SetEventParamByPath|event:/GameEffect/BackgroundEffect/prologue/rain-heavy|IsInterior|0|;,-1
121310,121320,1|10901,-1,-1
121320,121380,2|903,-1,-1
121380,121390,1|11170,-1,-1
121390,121400,2|11103,-1,-1
121400,121410,1|11180,-1,-1
121410,121420,2|903,-1,-1
121420,121430,1|11190,-1,-1
121430,121440,2|11103,-1,-1
121440,121470,1|11211,-1,-1
121470,121480,2|103,-1,-1
121480,121490,1|11220,-1,-1
121490,121500,2|11103,-1,-1
121500,121510,1|11230,-1,-1
121510,121550,2|303,-1,-1
121550,121560,1|11260,-1,-1
121560,121570,1|11270,-1,-1
121570,121630,2|11103,-1,-1
121630,121640,1|11310,-1,-1
121640,121650,2|903,-1,-1
121650,121660,1|11320,-1,-1
121660,121670,1|11330,-1,-1
121670,121680,2|11103,-1,-1
121680,-1,1|11340,-1,-1
130010,130020,2|70003,-1,-1
130020,130022,2|11103,-1,-1
130022,130023,1|11342,-1,-1
130023,130024,1|11343,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/mary-skill|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/rain-heavy,-1
130024,130025,2|11105,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/magic-shield-break-body-fall,-1
130025,130030,2|903,-1,-1
130030,130031,1|12181,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/magic-shield-break-body-fall,-1
130031,130040,2|50001,-1,-1
130040,130050,2|40003,-1,-1
130050,130070,2|103,-1,-1
130070,130080,1|12182,-1,-1
130080,130090,2|4403,-1,-1
130090,130100,1|12183,-1,-1
130100,130110,2|303,-1,-1
130110,130120,1|12184,-1,-1
130120,130130,2|903,-1,-1
130130,130140,1|12185,-1,-1
130140,130150,2|303,-1,-1
130150,130160,1|12186,-1,-1
130160,130170,2|103,-1,-1
130170,130200,1|12187,-1,-1
130200,130210,2|4403,-1,-1
130210,130211,1|12188,-1,-1
130211,130212,2|4405,-1,-1
130212,130220,1|12190,-1,-1
130220,130230,2|11103,-1,-1
130230,130240,1|12198,-1,-1
130240,130270,2|103,-1,-1
130270,130280,1|12191,-1,-1
130280,130290,2|11803,-1,-1
130290,130300,1|12193,-1,-1
130300,130320,2|103,-1,-1
130320,130330,1|12194,-1,-1
130330,130340,2|11103,-1,-1
130340,130341,1|12196,-1,-1
130341,130350,1|12197,-1,-1
130350,130360,1|12310,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/magic-cast-light,-1
130360,130370,2|40004,-1,-1
130370,130380,2|11105,-1,-1
130380,130381,2|80102,-1,-1
130381,130382,2|70000,-1,-1
130382,130390,2|103,-1,-1
130390,130400,1|12312,-1,-1
130400,130401,2|104,-1,-1
130401,130402,2|70015,-1,-1
130402,130403,2|80000,-1,-1
130403,130404,1|12320,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/sulphurfire-whoosh-explosion-2,-1
130404,130405,1|12330,-1,-1
130405,130406,1|12340,-1,-1
130406,130407,2|903,-1,-1
130407,130408,1|12314,-1,-1
130408,130409,2|4403,-1,-1
130409,130410,1|12315,-1,-1
130410,130411,2|303,-1,-1
130411,130412,1|12316,-1,-1
130412,130413,2|11103,-1,-1
130413,130414,1|12317,-1,-1
130414,130415,2|303,-1,-1
130415,130416,1|12318,-1,-1
130416,130417,2|11103,-1,-1
130417,130418,1|12319,-1,-1
130418,130419,2|303,-1,-1
130419,130420,1|12321,-1,-1
130420,130421,2|11103,-1,-1
130421,130422,1|12322,-1,-1
130422,130423,2|903,-1,-1
130423,130424,1|12323,-1,-1
130424,130425,2|11103,-1,-1
130425,130426,1|12324,-1,-1
130426,130427,2|903,-1,-1
130427,130428,1|12360,-1,-1
130428,130429,2|904,-1,-1
130429,130440,2|40002,-1,-1
130440,130450,2|70017,-1,-1
130450,130460,1|12362,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-electric-strong,-1
130460,130470,2|50001,-1,-1
130470,130490,1|12363,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/explosion-med,-1
130490,130500,2|303,-1,-1
130500,130510,1|12361,-1,-1
130510,130550,2|103,-1,-1
130550,130600,1|12370,-1,-1
130600,130610,2|4403,-1,-1
130610,130611,1|12390,-1,-1
130611,130620,2|4405,-1,-1
130620,130630,2|80018,-1,-1
130630,130640,2|70000,-1,-1
130640,130650,2|903,-1,-1
130650,130660,1|12520,-1,-1
130660,130670,1|12530,StopByPath|event:/GameEffect/BackgroundEffect/prologue/sulphurfire-whoosh-explosion-2,-1
130670,130680,2|103,-1,-1
130680,130690,1|12540,-1,-1
130690,130700,2|303,-1,-1
130700,130710,1|12550,-1,-1
130710,130720,2|903,-1,-1
130720,130730,1|12551,-1,-1
130730,130740,2|303,-1,-1
130740,130750,1|12552,-1,-1
130750,130760,2|903,-1,-1
130760,130770,1|12553,-1,-1
130770,130780,1|12554,-1,-1
130780,130790,1|12555,-1,-1
130790,130800,2|4403,-1,-1
130800,130810,1|12556,-1,-1
130810,130820,2|303,-1,-1
130820,130830,1|12557,-1,-1
130830,130840,2|103,-1,-1
130840,130850,1|12560,-1,-1
130850,130860,2|903,-1,-1
130860,130870,1|12570,-1,-1
130870,130880,2|904,-1,-1
130880,130890,1|12571,-1,-1
130890,130900,2|4403,-1,-1
130900,130910,1|12580,-1,-1
130910,130920,2|4405,-1,-1
130920,130930,1|12590,-1,-1
130930,130940,1|12600,-1,-1
130940,130950,1|12610,-1,-1
130950,130960,1|12620,-1,-1
130960,131030,1|12670,-1,-1
131030,131040,1|12680,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/spear-whoosh,-1
131040,131050,1|12690,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-far,-1
131050,131060,1|12700,-1,-1
131060,131070,2|40001,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-pack,-1
131070,-1,2|80000,-1,-1
140010,140020,2|70003,-1,-1
140020,140030,2|903,-1,-1
140030,140031,1|12181,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/magic-shield-break-body-fall,-1
140031,140040,2|50001,-1,-1
140040,140050,2|40003,-1,-1
140050,140060,2|103,-1,-1
140060,140070,1|12182,-1,-1
140070,140080,2|4403,-1,-1
140080,140090,1|12183,-1,-1
140090,140100,2|303,-1,-1
140100,140110,1|12184,-1,-1
140110,140120,2|903,-1,-1
140120,140130,1|12185,-1,-1
140130,140140,2|303,-1,-1
140140,140150,1|12186,-1,-1
140150,140160,2|103,-1,-1
140160,140170,1|12187,-1,-1
140170,140180,2|4403,-1,-1
140180,140190,1|12188,-1,-1
140190,140200,2|4405,-1,-1
140200,140210,1|12190,-1,-1
140210,140220,2|11103,-1,-1
140220,140230,1|12198,-1,-1
140230,140240,2|103,-1,-1
140240,140250,1|12191,-1,-1
140250,140260,2|11803,-1,-1
140260,140270,1|12193,-1,-1
140270,140280,2|103,-1,-1
140280,140290,1|12194,-1,-1
140290,140300,2|11103,-1,-1
140300,140310,1|12196,-1,-1
140310,140320,1|12197,-1,-1
140320,140330,1|12310,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/magic-cast-light,-1
140330,140340,2|40004,-1,-1
140340,140350,2|11105,-1,-1
140350,140360,2|80102,-1,-1
140360,140370,2|70000,-1,-1
140370,140380,2|103,-1,-1
140380,140390,1|12312,-1,-1
140390,140400,2|104,-1,-1
140400,140410,2|70015,-1,-1
140410,140420,2|80000,-1,-1
140420,140430,1|12320,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/sulphurfire-whoosh-explosion-2,-1
140430,140431,1|12330,-1,-1
140431,140432,1|12340,-1,-1
140432,140433,2|903,-1,-1
140433,140440,1|12314,-1,-1
140440,140450,2|4403,-1,-1
140450,140460,1|12315,-1,-1
140460,140470,2|303,-1,-1
140470,140480,1|12316,-1,-1
140480,140490,2|11103,-1,-1
140490,140500,1|12317,-1,-1
140500,140510,2|303,-1,-1
140510,140520,1|12318,-1,-1
140520,140530,2|11103,-1,-1
140530,140540,1|12319,-1,-1
140540,140550,2|303,-1,-1
140550,140560,1|12321,-1,-1
140560,140570,2|11103,-1,-1
140570,140580,1|12322,-1,-1
140580,140590,2|903,-1,-1
140590,140600,1|12323,-1,-1
140600,140610,2|11103,-1,-1
140610,140620,1|12324,-1,-1
140620,140630,2|903,-1,-1
140630,140640,1|12360,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-electric-strong,-1
140640,140650,2|904,-1,-1
140650,140670,2|40002,-1,-1
140670,140680,2|70017,-1,-1
140680,140690,1|12362,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/explosion-med,-1
140690,140691,2|50001,-1,-1
140691,140700,1|12363,-1,-1
140700,140710,2|303,-1,-1
140710,140720,1|12361,-1,-1
140720,140730,2|103,-1,-1
140730,140740,1|12370,-1,-1
140740,140750,2|4403,-1,-1
140750,140751,1|12390,-1,-1
140751,140760,2|4405,-1,-1
140760,140770,2|80018,-1,-1
140770,140780,2|70000,-1,-1
140780,140790,2|903,-1,-1
140790,140800,1|12520,StopByPath|event:/GameEffect/BackgroundEffect/prologue/sulphurfire-whoosh-explosion-2,-1
140800,140810,1|12530,-1,-1
140810,140820,2|103,-1,-1
140820,140830,1|12540,-1,-1
140830,140840,2|303,-1,-1
140840,140850,1|12550,-1,-1
140850,140860,2|903,-1,-1
140860,140870,1|12551,-1,-1
140870,140880,2|303,-1,-1
140880,140890,1|12552,-1,-1
140890,140900,2|903,-1,-1
140900,140910,1|12553,-1,-1
140910,140920,1|12554,-1,-1
140920,140930,1|12555,-1,-1
140930,140940,2|4403,-1,-1
140940,140950,1|12556,-1,-1
140950,140960,2|303,-1,-1
140960,140970,1|12557,-1,-1
140970,140980,2|103,-1,-1
140980,140990,1|12560,-1,-1
140990,141000,2|903,-1,-1
141000,141010,1|12570,-1,-1
141010,141020,2|904,-1,-1
141020,141030,1|12571,-1,-1
141030,141040,2|4403,-1,-1
141040,141050,1|12580,-1,-1
141050,141060,2|4405,-1,-1
141060,141070,1|12590,-1,-1
141070,141080,1|12600,-1,-1
141080,141090,1|12610,-1,-1
141090,141100,1|12620,-1,-1
141100,141170,1|12670,-1,-1
141170,141180,1|12680,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/spear-whoosh,-1
141180,141190,1|12690,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-far,-1
141190,141200,1|12700,-1,-1
141200,141210,2|40001,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/prologue/thunder-pack,-1
141210,-1,2|80000,-1,-1
150010,150020,2|80102,-1,11.0
150020,150030,1|13180,PlaySnapshot|snapshot:/InPlotLowerBGM|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/amb-dream-drone,-1
150030,150040,2|14603,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/magic-orb,-1
150040,150070,1|13190,-1,-1
150070,150071,2|50001,-1,-1
150071,150072,1|13191,-1,-1
150072,150073,1|13192,-1,-1
150073,150074,2|60001,-1,-1
150074,150075,4|1,-1,-1
150075,150077,2|14603,StopByPath|event:/GameEffect/BackgroundEffect/chapter-1/magic-orb,-1
150077,150080,1|13193,-1,-1
150080,150090,1|13200,-1,-1
150090,150091,1|13210,-1,-1
150091,150100,2|14604,-1,-1
150100,150110,1|13220,-1,-1
150110,150111,1|13230,StopByPath|event:/GameEffect/BackgroundEffect/chapter-1/amb-dream-drone|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/signal-resonance,-1
150111,150120,1|13231,-1,-1
150120,150130,1|13240,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/animal-cat-walkaround|;|PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/amb-magic-castle,-1
150130,150140,1|13250,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/animal-cat-angry,-1
150140,150150,1|13260,-1,-1
150150,150151,1|13270,-1,-1
150151,150160,2|70013,-1,-1
150160,150170,2|80000,-1,-1
150170,150171,1|13280,PlayBgm|event:/GameBgm/MusicBook-Nightingale Castle,-1
150171,150172,1|13281,-1,-1
150172,150173,2|14603,-1,-1
150173,150180,1|13290,-1,-1
150180,150181,2|14604,-1,-1
150181,150190,1|13291,-1,-1
150190,150200,2|103,-1,-1
150200,150210,1|13300,-1,-1
150210,150220,1|13310,-1,-1
150220,150230,2|104,-1,-1
150230,150231,1|13320,-1,-1
150231,150240,1|13321,-1,-1
150240,150242,1|13330,-1,-1
150242,150250,1|13332,-1,-1
150250,150270,2|11903,-1,-1
150270,150280,1|13350,-1,-1
150280,150290,2|103,-1,-1
150290,150300,1|13360,-1,-1
150300,150310,2|104,-1,-1
150310,150320,1|13370,-1,-1
150320,150330,2|11903,-1,-1
150330,150331,1|13380,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/animal-cat-meow,-1
150331,150340,2|11905,-1,-1
150340,150370,1|13390,-1,-1
150370,150380,1|13410,-1,-1
150380,150400,1|13430,-1,-1
150400,150410,1|13440,-1,-1
150410,150420,2|103,-1,-1
150420,150430,1|13450,-1,-1
150430,150440,2|104,-1,-1
150440,150450,1|13460,-1,-1
150450,150460,2|103,-1,-1
150460,150470,1|13470,-1,-1
150470,150480,1|13480,-1,-1
150480,150490,2|104,-1,-1
150490,150491,1|13490,-1,-1
150491,150500,1|13500,-1,-1
150500,150530,3|101|102,-1,-1
150530,150550,1|13520,-1,-1
150540,150700,2|14603,-1,-1
150550,150560,1|13540,-1,-1
150560,150563,2|80166,-1,-1
150563,150570,2|70000,-1,-1
150570,150650,1|13550,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/letter-pick-up,-1
150650,150670,2|103,-1,-1
150670,150885,1|13640,-1,-1
150700,150701,1|13660,-1,-1
150701,150710,2|103,-1,-1
150710,150720,1|13670,-1,-1
150720,150730,2|11903,-1,-1
150730,150740,1|13680,-1,-1
150740,150750,2|14603,-1,-1
150750,150760,1|13690,-1,-1
150760,150770,2|103,-1,-1
150770,150790,1|13700,-1,-1
150790,150800,1|13710,-1,-1
150800,150810,1|13720,-1,-1
150810,150820,2|14603,-1,-1
150820,150821,1|13730,-1,-1
150821,150830,2|14604,-1,-1
150830,150840,1|13740,-1,-1
150840,150850,2|11703,-1,-1
150850,150860,1|13770,-1,-1
150860,150870,1|13780,-1,-1
150870,150871,2|11705,-1,-1
150871,150872,1|13790,-1,-1
150872,150873,2|103,-1,-1
150873,150861,1|13800,-1,-1
150861,150874,2|104,-1,-1
150874,150862,2|80166,-1,-1
150862,150863,2|70000,-1,-1
150863,150864,1|13801,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/letter-pick-up,-1
150864,150875,2|103,-1,-1
150875,150876,1|13802,-1,-1
150876,150877,2|11903,-1,-1
150877,150878,1|13803,-1,-1
150878,150879,2|14603,-1,-1
150879,150880,1|13804,-1,-1
150880,150881,2|14604,-1,-1
150881,150882,1|13805,-1,-1
150882,150885,1|13806,-1,-1
150885,150886,2|14603,-1,-1
150886,150890,1|13807,-1,-1
150890,150920,1|13810,-1,-1
150920,150930,2|103,-1,-1
150930,150940,1|13820,-1,-1
150940,150950,2|14603,-1,-1
150950,150960,1|13830,-1,-1
150960,150970,1|13840,-1,-1
150970,150980,1|13850,-1,-1
150980,150990,2|103,-1,-1
150990,151000,1|13860,-1,-1
151000,151010,2|14603,-1,-1
151010,151020,1|13870,-1,-1
151020,151030,2|103,-1,-1
151030,151040,1|13880,-1,-1
151040,151050,2|14603,-1,-1
151050,151051,1|13890,-1,-1
151051,151052,2|14604,-1,-1
151052,151053,2|70013,-1,-1
151053,151060,2|80000,-1,-1
151060,151070,2|103,-1,-1
151070,151080,1|13891,-1,-1
151080,151090,2|14603,-1,-1
151090,151091,1|13900,-1,-1
151091,151092,2|103,-1,-1
151092,151093,1|13910,-1,-1
151093,151100,2|104,-1,-1
151100,151101,1|13920,-1,-1
151101,151110,2|14603,-1,-1
151110,151140,1|13950,-1,-1
151140,151150,2|14604,-1,-1
151150,151151,1|13960,-1,-1
151151,151160,2|103,-1,-1
151160,151170,1|13970,-1,-1
151170,151180,2|11703,-1,-1
151180,151181,1|13980,-1,-1
151181,151190,2|103,-1,-1
151190,151200,1|13990,-1,-1
151200,151210,2|14603,-1,-1
151210,151220,1|14000,-1,-1
151220,151230,2|103,-1,-1
151230,151231,1|14010,-1,-1
151231,151232,2|104,-1,-1
151232,151240,1|14011,PlayEffectByEvent|event:/GameEffect/BackgroundEffect/chapter-1/drink-tea,-1
151240,151250,2|14603,-1,-1
151250,151251,1|14020,-1,-1
151251,151252,2|103,-1,-1
151252,151253,1|14021,-1,-1
151253,151254,2|14603,-1,-1
151254,151260,1|14022,-1,-1
151260,151270,3|107|108,-1,-1
151270,151290,1|14040,-1,-1
151280,151290,1|14060,-1,-1
151290,151300,2|103,-1,-1
151300,151301,1|14070,-1,-1
151301,151302,2|11903,-1,-1
151302,151310,1|14071,-1,-1
151310,151320,2|14603,-1,-1
151320,151330,1|14080,-1,-1
151330,151340,2|11703,-1,-1
151340,151350,1|14090,-1,-1
151350,151360,2|14603,-1,-1
151360,151370,1|14100,-1,-1
151370,151380,2|103,-1,-1
151380,151390,1|14110,-1,-1
151390,151400,2|11903,-1,-1
151400,151410,1|14120,-1,-1
151410,151420,2|103,-1,-1
151420,151421,1|14130,-1,-1
151421,151422,2|14603,-1,-1
151422,151423,1|14131,-1,-1
151423,151430,2|103,-1,-1
151430,151440,1|14140,-1,-1
151440,151450,2|11703,-1,-1
151450,151460,1|14150,-1,-1
151460,151480,2|14603,-1,-1
151480,151490,1|14170,-1,-1
151490,151491,1|14180,-1,-1
151491,151500,2|14604,-1,-1
151500,151510,1|14190,-1,-1
151510,151520,2|103,-1,-1
151520,151530,1|14200,-1,-1
151530,151540,2|11703,-1,-1
151540,151550,1|14210,-1,-1
151550,151560,2|103,-1,-1
151560,151570,1|14220,-1,-1
151570,151580,2|14603,-1,-1
151580,151590,1|14230,-1,-1
151590,151600,1|14240,-1,-1
151600,151610,2|11703,-1,-1
151610,151620,1|14250,-1,-1
151620,151630,1|14260,-1,-1
151630,151640,2|14603,-1,-1
151640,151650,1|14270,-1,-1
151650,151660,2|103,-1,-1
151660,151670,1|14280,-1,-1
151670,151680,2|104,-1,-1
151680,151690,1|14290,-1,-1
151690,151691,1|14300,-1,-1
151691,151700,2|14603,-1,-1
151700,151710,1|14310,-1,-1
151710,151720,2|11703,-1,-1
