唯一id,关卡id,敌人id,最终生命,最终攻击,最终防御,神火,擦弹分,死亡分数,光防,暗防,混防
37,100105,10100004,2751,353,233,0.07|2,1,1375,1000,1052,952
38,100105,10101002,2545,353,233,0.07|2,1,1272,1000,1052,952
39,100105,10100023,13240,353,233,0.07|2,6,6620,1000,1052,952
40,100106,10101007,86,441,233,0.07|2,1,43,1000,1000,1000
41,100106,10101016,86,441,233,0.07|2,1,43,1000,1000,1000
42,100106,10101003,1616,441,233,0.07|2,1,808,1000,1052,952
43,100106,10100004,4815,441,233,0.07|2,2,2407,1000,1052,952
44,100106,20304015,80,441,233,-1,1,40,1000,1000,1000
45,100106,10100003,2407,441,233,0.07|2,1,1203,1000,1052,952
46,100106,10014010,34390,588,245,0.07|2,17,17195,1000,1052,952
47,100107,10101017,2235,500,233,0.07|2,1,1117,1000,1000,1000
48,100107,10100004,2958,500,233,0.07|2,1,1479,1000,1052,952
49,100107,10101002,2820,500,233,0.07|2,1,1410,1000,1052,952
50,100107,10101003,481,500,233,0.07|2,1,240,1000,1052,952
51,100107,10101016,86,500,233,0.07|2,1,43,1000,1000,1000
52,100107,10101007,86,500,233,0.07|2,1,43,1000,1000,1000
53,100107,10100023,20634,500,233,0.07|2,10,10317,1000,1052,952
54,100108,10100022,309,570,265,0.07|2,1,154,1000,1052,952
55,100108,10100021,5570,570,265,0.07|2,2,2785,1000,1052,952
56,100108,10100004,8311,570,265,0.07|2,4,4155,1000,1052,952
57,100108,10100023,6543,570,265,0.07|2,3,3271,1000,1052,952
58,100108,10101011,258629,938,265,0.2|10,2,129314,952,1000,1052
59,100201,10101006,133,1005,251,0.07|2,1,66,1000,1000,1000
60,100201,10101004,8179,1005,251,0.07|2,4,4089,1000,1000,1000
61,100201,10101007,133,1005,251,0.07|2,1,66,1000,1000,1000
62,100201,10101005,88420,1005,251,0.07|2,44,44210,1000,1000,1000
63,100202,10023010,17684,1005,251,0.07|2,8,8842,1000,1052,952
64,100202,10023020,17684,1005,251,0.07|2,8,8842,1000,1052,952
65,100202,10021020,133,1005,251,0.07|2,1,66,1000,1052,952
66,100202,10022010,2653,1005,251,0.07|2,1,1326,1000,1052,952
67,100202,10022020,2564,1005,251,0.07|2,1,1282,1000,1052,952
68,100202,10021010,133,1005,251,0.07|2,1,66,1000,1052,952
69,100202,10101014,251997,1509,251,0.2|5,12,125998,1000,1052,952
70,100203,10021030,133,1005,251,0.07|2,1,66,1000,1052,952
71,100203,10022010,2653,1005,251,0.07|2,1,1326,1000,1052,952
72,100203,10021020,133,1005,251,0.07|2,1,66,1000,1052,952
73,100203,10023010,18568,1005,251,0.07|2,9,9284,1000,1052,952
74,100203,10021010,133,1005,251,0.07|2,1,66,1000,1052,952
75,100203,10022020,2653,1005,251,0.07|2,1,1326,1000,1052,952
76,100203,10024010,92841,1005,251,0.07|2,46,46420,1000,1052,952
77,100204,10021020,133,1005,251,0.07|2,1,66,1000,1052,952
78,100204,10022010,2653,1005,251,0.07|2,1,1326,1000,1052,952
79,100204,10022020,2653,1005,251,0.07|2,1,1326,1000,1052,952
80,100204,10023020,18568,1005,251,0.07|2,9,9284,1000,1052,952
81,100204,10101008,373392,1584,264,0.2|5,18,186696,1000,1052,952
82,100205,10021010,156,1056,264,0.07|2,1,78,1000,1052,952
83,100205,10022010,3112,1056,264,0.07|2,1,1556,1000,1052,952
84,100205,10021020,156,1056,264,0.07|2,1,78,1000,1052,952
85,100205,10023010,22818,1056,264,0.07|2,11,11409,1000,1052,952
86,100205,10024010,108906,1056,264,0.07|2,54,54453,1000,1052,952
87,100206,10023020,21781,1056,264,0.07|2,10,10890,1000,1052,952
88,100206,10022010,3112,1056,264,0.07|2,1,1556,1000,1052,952
89,100206,10022020,3112,1056,264,0.07|2,1,1556,1000,1052,952
90,100206,10021010,156,1056,264,0.07|2,1,78,1000,1052,952
91,100206,10021030,156,1056,264,0.07|2,1,78,1000,1052,952
92,100206,10101010,233370,1690,264,0.2|5,11,116685,1000,1052,952
93,100207,10021030,241,1602,401,0.07|2,1,120,1000,1052,952
94,100207,10022010,4822,1602,401,0.07|2,2,2411,1000,1052,952
95,100207,10021020,241,1602,401,0.07|2,1,120,1000,1052,952
96,100207,10023010,33751,1602,401,0.07|2,16,16875,1000,1052,952
97,100207,10024020,168756,1602,401,0.07|2,84,84378,1000,1052,952
98,100208,10100011,1157184,2136,449,0.2|10,11,578592,1000,1052,952
99,100301,10104001,868,1905,476,0.07|2,1,434,1052,952,1000
100,100301,10102001,868,1905,476,0.07|2,1,434,1052,952,1000
101,100301,10032020,5787,1905,476,0.07|2,2,2893,1000,1000,1000
102,100301,10031010,868,1905,476,0.07|2,1,434,1000,1000,1000
103,100301,10033010,72340,1905,476,0.07|2,36,36170,1052,952,1000
104,100301,10034020,217020,1905,476,0.07|2,108,108510,1052,952,1000
105,100302,10032020,5787,1905,476,0.07|2,2,2893,1000,1000,1000
106,100302,10102001,868,1905,476,0.07|2,1,434,1052,952,1000
107,100302,10104001,868,1905,476,0.07|2,1,434,1052,952,1000
108,100302,10033010,72340,1905,476,0.07|2,36,36170,1052,952,1000
109,100302,10102011,217020,2478,476,0.2|5,10,108510,1052,952,1000
110,100303,10102001,868,1905,476,0.07|2,1,434,1052,952,1000
111,100303,10104001,868,1905,476,0.07|2,1,434,1052,952,1000
112,100303,10032010,5787,1905,476,0.07|2,2,2893,1000,1000,1000
113,100303,10031010,868,1905,476,0.07|2,1,434,1000,1000,1000
114,100303,10033010,72340,1905,476,0.07|2,36,36170,1052,952,1000
115,100303,10034020,217020,1905,476,0.07|2,108,108510,1052,952,1000
116,100304,10032020,5787,1905,476,0.07|2,2,2893,1000,1000,1000
117,100304,10102001,868,1905,476,0.07|2,1,434,1052,952,1000
118,100304,10031010,868,1905,476,0.07|2,1,434,1000,1000,1000
119,100304,10104001,868,1905,476,0.07|2,1,434,1052,952,1000
120,100304,10102008,477444,2383,476,0.2|5,23,238722,1052,952,1000
121,100305,10102001,1013,1905,476,0.07|2,1,506,1052,952,1000
122,100305,10104001,1013,1905,476,0.07|2,1,506,1052,952,1000
123,100305,10032010,5787,1905,476,0.07|2,2,2893,1000,1000,1000
124,100305,10031010,868,1905,476,0.07|2,1,434,1000,1000,1000
125,100305,10033010,72340,1905,476,0.07|2,36,36170,1052,952,1000
126,100305,10034020,231488,1905,476,0.07|2,115,115744,1052,952,1000
127,100306,10102001,1013,1905,476,0.07|2,1,506,1052,952,1000
128,100306,10031010,1013,1905,476,0.07|2,1,506,1000,1000,1000
129,100306,10032010,5787,1905,476,0.07|2,2,2893,1000,1000,1000
130,100306,10033010,72340,1905,476,0.07|2,36,36170,1052,952,1000
131,100306,10104001,1013,1905,476,0.07|2,1,506,1052,952,1000
132,100306,10102010,416678,2859,476,0.2|5,20,208339,952,1000,1052
133,100306,10034010,115744,1905,476,0.07|2,57,57872,1052,952,1000
134,100307,10032010,7012,2004,501,0.07|2,3,3506,1000,1000,1000
135,100307,10102001,1227,2004,501,0.07|2,1,613,1052,952,1000
136,100307,10104001,1227,2004,501,0.07|2,1,613,1052,952,1000
137,100307,10033010,87655,2004,501,0.07|2,43,43827,1052,952,1000
138,100307,10031010,1227,2004,501,0.07|2,1,613,1000,1000,1000
139,100307,10034020,280496,2004,501,0.07|2,140,140248,1052,952,1000
140,100308,10102001,1227,2004,501,0.07|2,1,613,1052,952,1000
141,100308,10104001,1227,2004,501,0.07|2,1,613,1052,952,1000
142,100308,10033010,96421,2004,501,0.07|2,48,48210,1052,952,1000
143,100308,10031010,1227,2004,501,0.07|2,1,613,1000,1000,1000
144,100308,10102020,1798681,3073,501,0.2|10,17,899340,952,1000,1052
145,100308,10102021,3506,2004,501,0.07|2,1,1753,952,1000,1052
146,100308,10102022,1402,2004,501,0.07|2,1,701,952,1000,1052
147,100308,10102025,1402,2004,501,0.07|2,1,701,952,1000,1052
148,100401,10104001,1753,2004,473,0.07|2,1,876,1052,952,1000
149,100401,10034010,227903,2004,473,0.07|2,113,113951,1052,952,1000
150,100402,10043020,77136,2004,473,0.07|2,38,38568,1052,952,1000
151,100402,10102004,1490,2004,473,0.07|2,1,745,952,1000,1052
152,100402,10102001,1490,2004,473,0.07|2,1,745,1052,952,1000
153,100402,10104001,1596,2055,485,0.07|2,1,798,1052,952,1000
154,100402,10042010,7510,2055,485,0.07|2,3,3755,1000,1000,1000
155,100402,10042020,7135,2055,485,0.07|2,3,3567,1000,1000,1000
156,100402,10031010,1596,2055,485,0.07|2,1,798,1000,1000,1000
157,100402,10102010,563250,2570,485,0.2|5,28,281625,952,1000,1052
158,100403,10042010,9388,2055,485,0.07|2,4,4694,1000,1000,1000
159,100403,10031010,1727,2055,485,0.07|2,1,863,1000,1000,1000
160,100403,10102001,1502,2055,485,0.07|2,1,751,1052,952,1000
161,100403,10042020,6571,2055,485,0.07|2,3,3285,1000,1000,1000
162,100403,10034010,281625,2055,485,0.07|2,140,140812,1052,952,1000
163,100404,10043020,81933,2346,554,0.07|2,40,40966,1052,952,1000
164,100404,10104001,1882,2346,554,0.07|2,1,941,1052,952,1000
165,100404,10102001,1882,2346,554,0.07|2,1,941,1052,952,1000
166,100404,10031010,1882,2346,554,0.07|2,1,941,1000,1000,1000
167,100404,10102009,398592,2933,554,0.2|5,19,199296,1052,952,1000
168,100404,10034010,177152,2346,554,0.07|2,88,88576,1052,952,1000
169,100405,10042010,8415,2346,554,0.07|2,4,4207,1000,1000,1000
170,100405,10031010,2092,2397,566,0.07|2,1,1046,1000,1000,1000
171,100405,10042020,7876,2397,566,0.07|2,3,3938,1000,1000,1000
172,100405,10043020,98456,2397,566,0.07|2,49,49228,1052,952,1000
173,100405,10034010,393824,2397,566,0.07|2,196,196912,1052,952,1000
174,100406,10031010,2504,2499,590,0.07|2,1,1252,1000,1000,1000
175,100406,10104001,2504,2499,590,0.07|2,1,1252,1052,952,1000
176,100406,10102001,2504,2499,590,0.07|2,1,1252,1052,952,1000
177,100406,10042010,11130,2499,590,0.07|2,5,5565,1000,1000,1000
178,100406,10043020,122434,2499,590,0.07|2,61,61217,1052,952,1000
179,100406,10102004,2504,2499,590,0.07|2,1,1252,952,1000,1052
180,100406,10102008,709563,3125,590,0.2|5,35,354781,1052,952,1000
181,100407,10042010,11452,2550,602,0.07|2,5,5726,1000,1000,1000
182,100407,10031010,2786,2550,602,0.07|2,1,1393,1000,1000,1000
183,100407,10043010,123808,2550,602,0.07|2,61,61904,1052,952,1000
184,100407,10042020,10833,2550,602,0.07|2,5,5416,1000,1000,1000
185,100407,10034010,495232,2550,602,0.07|2,247,247616,1052,952,1000
186,100408,10042020,12381,2550,602,0.07|2,6,6190,1000,1000,1000
187,100408,10102001,2786,2550,602,0.07|2,1,1393,1052,952,1000
188,100408,10104001,2951,2601,615,0.07|2,1,1475,1052,952,1000
189,100408,10031010,2951,2601,615,0.07|2,1,1475,1000,1000,1000
190,100408,10043010,131148,2601,615,0.07|2,65,65574,1052,952,1000
191,100408,20304015,32787,2601,615,-1,16,16393,1000,1000,1000
192,100408,10102030,3009847,2601,615,0.2|10,30,1504923,1052,952,1000
193,100408,10102032,3279,2601,615,0.07|2,1,1639,1052,952,1000
194,100408,10102031,3279,2601,615,0.07|2,1,1639,1052,952,1000
195,100501,10051020,4247,3114,709,0.07|2,2,2123,1000,1000,1000
196,100501,10052010,25279,3114,709,0.07|2,12,12639,1000,1000,1000
197,100501,10053010,126393,3114,709,0.07|2,63,63196,952,1000,1052
198,100501,10051030,4247,3114,709,0.07|2,2,2123,1000,1000,1000
199,100501,10054020,606684,3114,709,0.07|2,303,303342,952,1000,1052
200,100502,10051020,4045,3114,709,0.07|2,2,2022,1000,1000,1000
201,100502,10052010,25279,3114,709,0.07|2,12,12639,1000,1000,1000
202,100502,10053020,126393,3114,709,0.07|2,63,63196,952,1000,1052
203,100502,10103012,1092031,3893,709,0.2|5,54,546015,952,1000,1052
204,100503,10051020,4045,3114,709,0.07|2,2,2022,1000,1000,1000
205,100503,10052010,26290,3114,709,0.07|2,13,13145,1000,1000,1000
206,100503,10053010,145351,3114,709,0.07|2,72,72675,952,1000,1052
207,100503,10054020,606684,3114,709,0.07|2,303,303342,952,1000,1052
208,100504,10051020,4045,3114,709,0.07|2,2,2022,1000,1000,1000
209,100504,10052010,25279,3114,709,0.07|2,12,12639,1000,1000,1000
210,100504,10053030,127404,3114,709,0.07|2,63,63702,952,1000,1052
211,100504,10103008,1213368,3893,709,0.2|5,60,606684,1052,952,1000
212,100505,10051010,4045,3114,709,0.07|2,2,2022,1000,1000,1000
213,100505,10052020,26795,3114,709,0.07|2,13,13397,1000,1000,1000
214,100505,10051030,4045,3114,709,0.07|2,2,2022,1000,1000,1000
215,100505,10053020,150407,3114,709,0.07|2,75,75203,952,1000,1052
216,100505,10054010,657241,3114,709,0.07|2,328,328620,952,1000,1052
217,100506,10051010,4045,3114,709,0.07|2,2,2022,1000,1000,1000
218,100506,10052020,27806,3114,709,0.07|2,13,13903,1000,1000,1000
219,100506,10053010,154199,3114,709,0.07|2,77,77099,952,1000,1052
220,100506,10103013,1592546,4671,709,0.2|5,79,796273,952,1000,1052
221,100507,10051010,4550,3114,709,0.07|2,2,2275,1000,1000,1000
222,100507,10052020,28817,3114,709,0.07|2,14,14408,1000,1000,1000
223,100507,10053020,156727,3114,709,0.07|2,78,78363,952,1000,1052
224,100507,10054010,682520,3114,709,0.07|2,341,341260,952,1000,1052
225,100508,10103010,4550130,4152,709,0.2|10,45,2275065,952,1000,1052
226,100508,10103015,50557,3114,709,0.07|2,25,25278,1000,1000,1000
227,100601,10051020,6125,3887,1178,0.07|2,3,3062,1000,1000,1000
228,100601,10051010,6125,3887,1178,0.07|2,3,3062,1000,1000,1000
229,100601,10052010,52504,3887,1178,0.07|2,26,26252,1000,1000,1000
230,100601,10053010,262521,3887,1178,0.07|2,131,131260,952,1000,1052
231,100601,10064020,700056,3887,1178,0.07|2,350,350028,1000,1000,1000
232,100602,10051030,6125,3887,1178,0.07|2,3,3062,1000,1000,1000
233,100602,10051020,6125,3887,1178,0.07|2,3,3062,1000,1000,1000
234,100602,10052010,52504,3887,1178,0.07|2,26,26252,1000,1000,1000
235,100602,10051010,6125,3887,1178,0.07|2,3,3062,1000,1000,1000
236,100602,10064010,700056,3887,1178,0.07|2,350,350028,952,1000,1052
237,100603,10051030,7054,4037,1224,0.07|2,3,3527,1000,1000,1000
238,100603,10052010,60460,4037,1224,0.07|2,30,30230,1000,1000,1000
239,100603,10051020,7054,4037,1224,0.07|2,3,3527,1000,1000,1000
240,100603,10053010,302298,4037,1224,0.07|2,151,151149,952,1000,1052
241,100603,10103008,1209192,4955,1224,0.2|5,60,604596,1052,952,1000
242,100604,10051010,7054,4037,1224,0.07|2,3,3527,1000,1000,1000
243,100604,10052010,60460,4037,1255,0.07|2,30,30230,1000,1000,1000
244,100604,10052020,60460,4037,1255,0.07|2,30,30230,1000,1000,1000
245,100604,10062010,18138,4037,1255,0.07|2,9,9069,952,1000,1052
246,100604,10062020,18138,4037,1255,0.07|2,9,9069,952,1000,1052
247,100604,10103011,1209192,4955,1255,0.2|5,60,604596,952,1000,1052
248,100605,10051010,15356,4114,1278,0.07|2,7,7678,1000,1000,1000
249,100605,10052020,79624,4114,1278,0.07|2,39,39812,1000,1000,1000
250,100605,10051030,15356,4114,1278,0.07|2,7,7678,1000,1000,1000
251,100605,10051020,15356,4114,1278,0.07|2,7,7678,1000,1000,1000
252,100605,10053010,375368,4114,1278,0.07|2,187,187684,952,1000,1052
253,100605,10062010,22750,4114,1278,0.07|2,11,11375,952,1000,1052
254,100605,10062020,22750,4114,1278,0.07|2,11,11375,952,1000,1052
255,100605,10064020,1364976,4114,1278,0.07|2,682,682488,1000,1000,1000
256,100606,10051010,15356,4114,1278,0.07|2,7,7678,1000,1000,1000
257,100606,10052020,79624,4114,1278,0.07|2,39,39812,1000,1000,1000
258,100606,10051030,15356,4114,1278,0.07|2,7,7678,1000,1000,1000
259,100606,10053010,375368,4114,1278,0.07|2,187,187684,952,1000,1052
260,100606,10103014,1364976,5049,1278,0.2|5,68,682488,952,1000,1052
261,100607,10051010,16631,4189,1349,0.07|2,8,8315,1000,1000,1000
262,100607,10052020,86233,4189,1349,0.07|2,43,43116,1000,1000,1000
263,100607,10051020,16631,4189,1349,0.07|2,8,8315,1000,1000,1000
264,100607,10053020,406527,4189,1349,0.07|2,203,203263,952,1000,1052
265,100607,10064010,1355090,4189,1349,0.07|2,677,677545,952,1000,1052
266,100608,10103020,11087100,5331,1270,0.2|10,110,5543550,1052,952,1000
267,100701,10071010,10607,5370,1396,0.07|2,5,5303,1000,1000,1000
268,100701,10071020,10607,5370,1396,0.07|2,5,5303,1000,1000,1000
269,100701,10032020,27275,5370,1396,0.07|2,13,13637,1000,1000,1000
270,100701,10062010,22729,5370,1396,0.07|2,11,11364,952,1000,1052
271,100701,10062020,22729,5370,1396,0.07|2,11,11364,952,1000,1052
272,100701,10032010,27275,5370,1396,0.07|2,13,13637,1000,1000,1000
273,100701,10053010,378813,5370,1396,0.07|2,189,189406,952,1000,1052
274,100701,10102004,10607,5370,1396,0.07|2,5,5303,952,1000,1052
275,100701,10054010,1212200,5370,1396,0.07|2,606,606100,952,1000,1052
276,100702,10071020,10607,5370,1396,0.07|2,5,5303,1000,1000,1000
277,100702,10071010,10607,5370,1396,0.07|2,5,5303,1000,1000,1000
278,100702,10032010,27275,5370,1396,0.07|2,13,13637,1000,1000,1000
279,100702,10062010,22729,5370,1396,0.07|2,11,11364,952,1000,1052
280,100702,10062020,22729,5370,1396,0.07|2,11,11364,952,1000,1052
281,100702,10102004,10607,5370,1396,0.07|2,5,5303,952,1000,1052
282,100702,10032020,27275,5370,1396,0.07|2,13,13637,1000,1000,1000
283,100702,10103012,818235,6444,1396,0.2|5,40,409117,952,1000,1052
284,100702,10103014,818235,6444,1396,0.2|5,40,409117,952,1000,1052
285,100703,10103040,13637250,6444,1396,0.2|5,136,6818625,1000,1052,952
286,100704,10071020,11791,5458,1419,0.07|2,5,5895,1000,1000,1000
287,100704,10071010,11791,5458,1419,0.07|2,5,5895,1000,1000,1000
288,100704,10032020,30321,5458,1419,0.07|2,15,15160,1000,1000,1000
289,100704,10102004,11791,5458,1419,0.07|2,5,5895,952,1000,1052
290,100704,10032010,30321,5458,1419,0.07|2,15,15160,1000,1000,1000
291,100704,10053020,421120,5458,1419,0.07|2,210,210560,952,1000,1052
292,100704,10103009,2526720,6550,1419,0.2|5,126,1263360,952,1000,1052
293,100705,10071020,12676,5545,1441,0.07|2,6,6338,1000,1000,1000
294,100705,10071010,12676,5545,1441,0.07|2,6,6338,1000,1000,1000
295,100705,10102004,12676,5545,1441,0.07|2,6,6338,952,1000,1052
296,100705,10032020,32596,5545,1441,0.07|2,16,16298,1000,1000,1000
297,100705,10032010,32596,5545,1441,0.07|2,16,16298,1000,1000,1000
298,100705,10062010,27163,5545,1441,0.07|2,13,13581,952,1000,1052
299,100705,10054010,1448696,5545,1441,0.07|2,724,724348,952,1000,1052
300,100706,10102004,12676,5545,1441,0.07|2,6,6338,952,1000,1052
301,100706,10071010,12676,5545,1441,0.07|2,6,6338,1000,1000,1000
302,100706,10071020,12676,5545,1441,0.07|2,6,6338,1000,1000,1000
303,100706,10032010,32596,5545,1441,0.07|2,16,16298,1000,1000,1000
304,100706,10062010,27163,5545,1441,0.07|2,13,13581,952,1000,1052
305,100706,10062020,27163,5545,1441,0.07|2,13,13581,952,1000,1052
306,100706,10032020,32596,5545,1441,0.07|2,16,16298,1000,1000,1000
307,100706,10073010,452718,5545,1441,0.07|2,226,226359,952,1000,1052
308,100706,10103011,2716305,6654,1441,0.2|5,135,1358152,952,1000,1052
309,100707,10032010,36258,5630,1464,0.07|2,18,18129,1000,1000,1000
310,100707,10071010,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
311,100707,10071020,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
312,100707,10032020,36258,5630,1464,0.07|2,18,18129,1000,1000,1000
313,100707,10053020,503590,5630,1464,0.07|2,251,251795,952,1000,1052
314,100707,10062010,30215,5630,1464,0.07|2,15,15107,952,1000,1052
315,100707,10102004,14101,5630,1464,0.07|2,7,7050,952,1000,1052
316,100707,10054020,1611488,5630,1464,0.07|2,805,805744,952,1000,1052
317,100708,10103030,11784006,6756,1464,0.2|10,117,5892003,1052,952,1000
318,100801,10082010,80574,5630,1464,0.07|2,40,40287,1052,952,1000
319,100801,10081010,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
320,100801,10081020,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
321,100801,10081030,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
322,100801,10083010,604308,5630,1464,0.07|2,302,302154,1000,1000,1000
323,100801,10083020,604308,5630,1464,0.07|2,302,302154,1000,1000,1000
324,100801,10084010,1611488,5630,1464,0.07|2,805,805744,1000,1000,1000
325,100802,10082010,80574,5630,1464,0.07|2,40,40287,1052,952,1000
326,100802,10081020,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
327,100802,10082020,100718,5630,1464,0.07|2,50,50359,1052,952,1000
328,100802,10083020,604308,5630,1464,0.07|2,302,302154,1000,1000,1000
329,100802,10081030,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
330,100802,10081010,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
331,100802,10104011,2658955,6756,1464,0.2|5,132,1329477,1052,952,1000
332,100803,10082010,110790,5630,1464,0.07|2,55,55395,1052,952,1000
333,100803,10083010,604308,5630,1464,0.07|2,302,302154,1000,1000,1000
334,100803,10081010,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
335,100803,10081030,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
336,100803,10082020,110790,5630,1464,0.07|2,55,55395,1052,952,1000
337,100803,10081020,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
338,100803,10083020,604308,5630,1464,0.07|2,302,302154,1000,1000,1000
339,100803,10084010,1611488,5630,1464,0.07|2,805,805744,1000,1000,1000
340,100804,10081030,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
341,100804,10081010,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
342,100804,10082020,110790,5630,1464,0.07|2,55,55395,1052,952,1000
343,100804,10083010,604308,5630,1464,0.07|2,302,302154,1000,1000,1000
344,100804,10082010,110790,5630,1464,0.07|2,55,55395,1052,952,1000
345,100804,10081020,14101,5630,1464,0.07|2,7,7050,1000,1000,1000
346,100804,10104009,2719386,6756,1464,0.2|5,135,1359693,1052,952,1000
347,100805,10081010,15571,5720,1487,0.07|2,7,7785,1000,1000,1000
348,100805,10082010,122346,5720,1487,0.07|2,61,61173,1052,952,1000
349,100805,10081020,15571,5720,1487,0.07|2,7,7785,1000,1000,1000
350,100805,10081030,15571,5720,1487,0.07|2,7,7785,1000,1000,1000
351,100805,10083010,667344,5720,1487,0.07|2,333,333672,1000,1000,1000
352,100805,10082020,122346,5720,1487,0.07|2,61,61173,1052,952,1000
353,100805,10083020,667344,5720,1487,0.07|2,333,333672,1000,1000,1000
354,100805,10084020,1779584,5720,1487,0.07|2,889,889792,1000,1000,1000
355,100806,10081030,15571,5720,1487,0.07|2,7,7785,1000,1000,1000
356,100806,10081010,15571,5720,1487,0.07|2,7,7785,1000,1000,1000
357,100806,10082010,122346,5720,1487,0.07|2,61,61173,1052,952,1000
358,100806,10081020,15571,5720,1487,0.07|2,7,7785,1000,1000,1000
359,100806,10082020,122346,5720,1487,0.07|2,61,61173,1052,952,1000
360,100806,10104011,3003048,6864,1487,0.2|5,150,1501524,1052,952,1000
361,100807,10081020,19337,6043,1786,0.07|2,9,9668,1000,1000,1000
362,100807,10083010,828735,6043,1786,0.07|2,414,414367,1000,1000,1000
363,100807,10083020,828735,6043,1786,0.07|2,414,414367,1000,1000,1000
364,100807,10081030,19337,6043,1786,0.07|2,9,9668,1000,1000,1000
365,100807,10081010,19337,6043,1786,0.07|2,9,9668,1000,1000,1000
366,100807,10082010,151935,6043,1786,0.07|2,75,75967,1052,952,1000
367,100807,10082020,151935,6043,1786,0.07|2,75,75967,1052,952,1000
368,100807,10084020,2486205,6043,1786,0.07|2,1243,1243102,1000,1000,1000
369,100808,10104030,16160333,8241,1786,0.2|10,161,8080166,1052,952,1000
370,100808,10104031,234808,6043,1786,0.07|2,117,117404,1052,952,1000
371,100808,10104032,55249,6043,1786,0.07|2,27,27624,1052,952,1000
372,100901,10092020,182920,6958,1809,0.07|2,91,91460,1052,952,1000
373,100901,10091010,21341,6958,1809,0.07|2,10,10670,1000,1000,1000
374,100901,10091030,21341,6958,1809,0.07|2,10,10670,1000,1000,1000
375,100901,10092010,182920,6958,1809,0.07|2,91,91460,1052,952,1000
376,100901,10091020,21341,6958,1809,0.07|2,10,10670,1000,1000,1000
377,100901,10093010,1128008,6958,1809,0.07|2,564,564004,1000,1000,1000
378,100901,10094020,2743803,6958,1809,0.07|2,1371,1371901,1000,1000,1000
