-- 
-- brief: This file is generated by the tool, please do not modify it.
-- 

local _configs = {
    [1] = {1, 100001, 10100002, 60, 122, 203, {0.07, 2}, 1, 30, 1000, 1000, 1000},
    [110] = {110, 100303, 10102001, 868, 1905, 476, {0.07, 2}, 1, 434, 1052, 952, 1000},
    [111] = {111, 100303, 10104001, 868, 1905, 476, {0.07, 2}, 1, 434, 1052, 952, 1000},
    [112] = {112, 100303, 10032010, 5787, 1905, 476, {0.07, 2}, 2, 2893, 1000, 1000, 1000},
    [113] = {113, 100303, 10031010, 868, 1905, 476, {0.07, 2}, 1, 434, 1000, 1000, 1000},
    [114] = {114, 100303, 10033010, 72340, 1905, 476, {0.07, 2}, 36, 36170, 1052, 952, 1000},
    [115] = {115, 100303, 10034020, 217020, 1905, 476, {0.07, 2}, 108, 108510, 1052, 952, 1000},
    [116] = {116, 100304, 10032020, 5787, 1905, 476, {0.07, 2}, 2, 2893, 1000, 1000, 1000},
    [117] = {117, 100304, 10102001, 868, 1905, 476, {0.07, 2}, 1, 434, 1052, 952, 1000},
    [118] = {118, 100304, 10031010, 868, 1905, 476, {0.07, 2}, 1, 434, 1000, 1000, 1000},
    [119] = {119, 100304, 10104001, 868, 1905, 476, {0.07, 2}, 1, 434, 1052, 952, 1000},
    [120] = {120, 100304, 10102008, 477444, 2383, 476, {0.2, 5}, 23, 238722, 1052, 952, 1000},
    [121] = {121, 100305, 10102001, 1013, 1905, 476, {0.07, 2}, 1, 506, 1052, 952, 1000},
    [122] = {122, 100305, 10104001, 1013, 1905, 476, {0.07, 2}, 1, 506, 1052, 952, 1000},
    [123] = {123, 100305, 10032010, 5787, 1905, 476, {0.07, 2}, 2, 2893, 1000, 1000, 1000},
    [124] = {124, 100305, 10031010, 868, 1905, 476, {0.07, 2}, 1, 434, 1000, 1000, 1000},
    [125] = {125, 100305, 10033010, 72340, 1905, 476, {0.07, 2}, 36, 36170, 1052, 952, 1000},
    [126] = {126, 100305, 10034020, 231488, 1905, 476, {0.07, 2}, 115, 115744, 1052, 952, 1000},
    [127] = {127, 100306, 10102001, 1013, 1905, 476, {0.07, 2}, 1, 506, 1052, 952, 1000},
    [128] = {128, 100306, 10031010, 1013, 1905, 476, {0.07, 2}, 1, 506, 1000, 1000, 1000},
    [129] = {129, 100306, 10032010, 5787, 1905, 476, {0.07, 2}, 2, 2893, 1000, 1000, 1000},
    [130] = {130, 100306, 10033010, 72340, 1905, 476, {0.07, 2}, 36, 36170, 1052, 952, 1000},
    [131] = {131, 100306, 10104001, 1013, 1905, 476, {0.07, 2}, 1, 506, 1052, 952, 1000},
    [132] = {132, 100306, 10102010, 416678, 2859, 476, {0.2, 5}, 20, 208339, 952, 1000, 1052},
    [133] = {133, 100306, 10034010, 115744, 1905, 476, {0.07, 2}, 57, 57872, 1052, 952, 1000},
    [134] = {134, 100307, 10032010, 7012, 2004, 501, {0.07, 2}, 3, 3506, 1000, 1000, 1000},
    [135] = {135, 100307, 10102001, 1227, 2004, 501, {0.07, 2}, 1, 613, 1052, 952, 1000},
    [136] = {136, 100307, 10104001, 1227, 2004, 501, {0.07, 2}, 1, 613, 1052, 952, 1000},
    [137] = {137, 100307, 10033010, 87655, 2004, 501, {0.07, 2}, 43, 43827, 1052, 952, 1000},
    [138] = {138, 100307, 10031010, 1227, 2004, 501, {0.07, 2}, 1, 613, 1000, 1000, 1000},
    [139] = {139, 100307, 10034020, 280496, 2004, 501, {0.07, 2}, 140, 140248, 1052, 952, 1000},
    [140] = {140, 100308, 10102001, 1227, 2004, 501, {0.07, 2}, 1, 613, 1052, 952, 1000},
    [141] = {141, 100308, 10104001, 1227, 2004, 501, {0.07, 2}, 1, 613, 1052, 952, 1000},
    [142] = {142, 100308, 10033010, 96421, 2004, 501, {0.07, 2}, 48, 48210, 1052, 952, 1000},
    [143] = {143, 100308, 10031010, 1227, 2004, 501, {0.07, 2}, 1, 613, 1000, 1000, 1000},
    [144] = {144, 100308, 10102020, 1798681, 3073, 501, {0.2, 1}, 17, 899340, 952, 1000, 1052},
    [145] = {145, 100308, 10102021, 3506, 2004, 501, {0.07, 2}, 1, 1753, 952, 1000, 1052},
    [146] = {146, 100308, 10102022, 1402, 2004, 501, {0.07, 2}, 1, 701, 952, 1000, 1052},
    [147] = {147, 100308, 10102025, 1402, 2004, 501, {0.07, 2}, 1, 701, 952, 1000, 1052},
    [148] = {148, 100401, 10104001, 1753, 2004, 473, {0.07, 2}, 1, 876, 1052, 952, 1000},
    [149] = {149, 100401, 10034010, 227903, 2004, 473, {0.07, 2}, 113, 113951, 1052, 952, 1000},
    [150] = {150, 100402, 10043020, 77136, 2004, 473, {0.07, 2}, 38, 38568, 1052, 952, 1000},
    [151] = {151, 100402, 10102004, 1490, 2004, 473, {0.07, 2}, 1, 745, 952, 1000, 1052},
    [152] = {152, 100402, 10102001, 1490, 2004, 473, {0.07, 2}, 1, 745, 1052, 952, 1000},
    [153] = {153, 100402, 10104001, 1596, 2055, 485, {0.07, 2}, 1, 798, 1052, 952, 1000},
    [154] = {154, 100402, 10042010, 7510, 2055, 485, {0.07, 2}, 3, 3755, 1000, 1000, 1000},
    [155] = {155, 100402, 10042020, 7135, 2055, 485, {0.07, 2}, 3, 3567, 1000, 1000, 1000},
    [156] = {156, 100402, 10031010, 1596, 2055, 485, {0.07, 2}, 1, 798, 1000, 1000, 1000},
    [157] = {157, 100402, 10102010, 563250, 2570, 485, {0.2, 5}, 28, 281625, 952, 1000, 1052},
    [158] = {158, 100403, 10042010, 9388, 2055, 485, {0.07, 2}, 4, 4694, 1000, 1000, 1000},
    [159] = {159, 100403, 10031010, 1727, 2055, 485, {0.07, 2}, 1, 863, 1000, 1000, 1000},
    [160] = {160, 100403, 10102001, 1502, 2055, 485, {0.07, 2}, 1, 751, 1052, 952, 1000},
    [161] = {161, 100403, 10042020, 6571, 2055, 485, {0.07, 2}, 3, 3285, 1000, 1000, 1000},
    [162] = {162, 100403, 10034010, 281625, 2055, 485, {0.07, 2}, 140, 140812, 1052, 952, 1000},
    [163] = {163, 100404, 10043020, 81933, 2346, 554, {0.07, 2}, 40, 40966, 1052, 952, 1000},
    [164] = {164, 100404, 10104001, 1882, 2346, 554, {0.07, 2}, 1, 941, 1052, 952, 1000},
    [165] = {165, 100404, 10102001, 1882, 2346, 554, {0.07, 2}, 1, 941, 1052, 952, 1000},
    [166] = {166, 100404, 10031010, 1882, 2346, 554, {0.07, 2}, 1, 941, 1000, 1000, 1000},
    [167] = {167, 100404, 10102009, 398592, 2933, 554, {0.2, 5}, 19, 199296, 1052, 952, 1000},
    [168] = {168, 100404, 10034010, 177152, 2346, 554, {0.07, 2}, 88, 88576, 1052, 952, 1000},
    [169] = {169, 100405, 10042010, 8415, 2346, 554, {0.07, 2}, 4, 4207, 1000, 1000, 1000},
    [170] = {170, 100405, 10031010, 2092, 2397, 566, {0.07, 2}, 1, 1046, 1000, 1000, 1000},
    [171] = {171, 100405, 10042020, 7876, 2397, 566, {0.07, 2}, 3, 3938, 1000, 1000, 1000},
    [172] = {172, 100405, 10043020, 98456, 2397, 566, {0.07, 2}, 49, 49228, 1052, 952, 1000},
    [173] = {173, 100405, 10034010, 393824, 2397, 566, {0.07, 2}, 196, 196912, 1052, 952, 1000},
    [174] = {174, 100406, 10031010, 2504, 2499, 590, {0.07, 2}, 1, 1252, 1000, 1000, 1000},
    [175] = {175, 100406, 10104001, 2504, 2499, 590, {0.07, 2}, 1, 1252, 1052, 952, 1000},
    [176] = {176, 100406, 10102001, 2504, 2499, 590, {0.07, 2}, 1, 1252, 1052, 952, 1000},
    [177] = {177, 100406, 10042010, 11130, 2499, 590, {0.07, 2}, 5, 5565, 1000, 1000, 1000},
    [178] = {178, 100406, 10043020, 122434, 2499, 590, {0.07, 2}, 61, 61217, 1052, 952, 1000},
    [179] = {179, 100406, 10102004, 2504, 2499, 590, {0.07, 2}, 1, 1252, 952, 1000, 1052},
    [180] = {180, 100406, 10102008, 709563, 3125, 590, {0.2, 5}, 35, 354781, 1052, 952, 1000},
    [181] = {181, 100407, 10042010, 11452, 2550, 602, {0.07, 2}, 5, 5726, 1000, 1000, 1000},
    [182] = {182, 100407, 10031010, 2786, 2550, 602, {0.07, 2}, 1, 1393, 1000, 1000, 1000},
    [183] = {183, 100407, 10043010, 123808, 2550, 602, {0.07, 2}, 61, 61904, 1052, 952, 1000},
    [184] = {184, 100407, 10042020, 10833, 2550, 602, {0.07, 2}, 5, 5416, 1000, 1000, 1000},
    [185] = {185, 100407, 10034010, 495232, 2550, 602, {0.07, 2}, 247, 247616, 1052, 952, 1000},
    [186] = {186, 100408, 10042020, 12381, 2550, 602, {0.07, 2}, 6, 6190, 1000, 1000, 1000},
    [187] = {187, 100408, 10102001, 2786, 2550, 602, {0.07, 2}, 1, 1393, 1052, 952, 1000},
    [188] = {188, 100408, 10104001, 2951, 2601, 615, {0.07, 2}, 1, 1475, 1052, 952, 1000},
    [189] = {189, 100408, 10031010, 2951, 2601, 615, {0.07, 2}, 1, 1475, 1000, 1000, 1000},
    [190] = {190, 100408, 10043010, 131148, 2601, 615, {0.07, 2}, 65, 65574, 1052, 952, 1000},
    [191] = {191, 100408, 20304015, 32787, 2601, 615, nil, 16, 16393, 1000, 1000, 1000},
    [192] = {192, 100408, 10102030, 3009847, 2601, 615, {0.2, 1}, 30, 1504923, 1052, 952, 1000},
    [193] = {193, 100408, 10102032, 3279, 2601, 615, {0.07, 2}, 1, 1639, 1052, 952, 1000},
    [194] = {194, 100408, 10102031, 3279, 2601, 615, {0.07, 2}, 1, 1639, 1052, 952, 1000},
    [195] = {195, 100501, 10051020, 4247, 3114, 709, {0.07, 2}, 2, 2123, 1000, 1000, 1000},
    [196] = {196, 100501, 10052010, 25279, 3114, 709, {0.07, 2}, 12, 12639, 1000, 1000, 1000},
    [197] = {197, 100501, 10053010, 126393, 3114, 709, {0.07, 2}, 63, 63196, 952, 1000, 1052},
    [198] = {198, 100501, 10051030, 4247, 3114, 709, {0.07, 2}, 2, 2123, 1000, 1000, 1000},
    [199] = {199, 100501, 10054020, 606684, 3114, 709, {0.07, 2}, 303, 303342, 952, 1000, 1052},
    [200] = {200, 100502, 10051020, 4045, 3114, 709, {0.07, 2}, 2, 2022, 1000, 1000, 1000},
    [201] = {201, 100502, 10052010, 25279, 3114, 709, {0.07, 2}, 12, 12639, 1000, 1000, 1000},
    [202] = {202, 100502, 10053020, 126393, 3114, 709, {0.07, 2}, 63, 63196, 952, 1000, 1052},
    [203] = {203, 100502, 10103012, 1092031, 3893, 709, {0.2, 5}, 54, 546015, 952, 1000, 1052},
    [204] = {204, 100503, 10051020, 4045, 3114, 709, {0.07, 2}, 2, 2022, 1000, 1000, 1000},
    [205] = {205, 100503, 10052010, 26290, 3114, 709, {0.07, 2}, 13, 13145, 1000, 1000, 1000},
    [206] = {206, 100503, 10053010, 145351, 3114, 709, {0.07, 2}, 72, 72675, 952, 1000, 1052},
    [207] = {207, 100503, 10054020, 606684, 3114, 709, {0.07, 2}, 303, 303342, 952, 1000, 1052},
    [208] = {208, 100504, 10051020, 4045, 3114, 709, {0.07, 2}, 2, 2022, 1000, 1000, 1000},
    [209] = {209, 100504, 10052010, 25279, 3114, 709, {0.07, 2}, 12, 12639, 1000, 1000, 1000},
    [210] = {210, 100504, 10053030, 127404, 3114, 709, {0.07, 2}, 63, 63702, 952, 1000, 1052},
    [211] = {211, 100504, 10103008, 1213368, 3893, 709, {0.2, 5}, 60, 606684, 1052, 952, 1000},
    [212] = {212, 100505, 10051010, 4045, 3114, 709, {0.07, 2}, 2, 2022, 1000, 1000, 1000},
    [213] = {213, 100505, 10052020, 26795, 3114, 709, {0.07, 2}, 13, 13397, 1000, 1000, 1000},
    [214] = {214, 100505, 10051030, 4045, 3114, 709, {0.07, 2}, 2, 2022, 1000, 1000, 1000},
    [215] = {215, 100505, 10053020, 150407, 3114, 709, {0.07, 2}, 75, 75203, 952, 1000, 1052},
    [216] = {216, 100505, 10054010, 657241, 3114, 709, {0.07, 2}, 328, 328620, 952, 1000, 1052},
    [217] = {217, 100506, 10051010, 4045, 3114, 709, {0.07, 2}, 2, 2022, 1000, 1000, 1000},
    [218] = {218, 100506, 10052020, 27806, 3114, 709, {0.07, 2}, 13, 13903, 1000, 1000, 1000},
    [219] = {219, 100506, 10053010, 154199, 3114, 709, {0.07, 2}, 77, 77099, 952, 1000, 1052},
    [220] = {220, 100506, 10103013, 1592546, 4671, 709, {0.2, 5}, 79, 796273, 952, 1000, 1052},
    [221] = {221, 100507, 10051010, 4550, 3114, 709, {0.07, 2}, 2, 2275, 1000, 1000, 1000},
    [222] = {222, 100507, 10052020, 28817, 3114, 709, {0.07, 2}, 14, 14408, 1000, 1000, 1000},
    [223] = {223, 100507, 10053020, 156727, 3114, 709, {0.07, 2}, 78, 78363, 952, 1000, 1052},
    [224] = {224, 100507, 10054010, 682520, 3114, 709, {0.07, 2}, 341, 341260, 952, 1000, 1052},
    [225] = {225, 100508, 10103010, 4550130, 4152, 709, {0.2, 1}, 45, 2275065, 952, 1000, 1052},
    [226] = {226, 100508, 10103015, 50557, 3114, 709, {0.07, 2}, 25, 25278, 1000, 1000, 1000},
    [227] = {227, 100601, 10051020, 6125, 3887, 1178, {0.07, 2}, 3, 3062, 1000, 1000, 1000},
    [228] = {228, 100601, 10051010, 6125, 3887, 1178, {0.07, 2}, 3, 3062, 1000, 1000, 1000},
    [229] = {229, 100601, 10052010, 52504, 3887, 1178, {0.07, 2}, 26, 26252, 1000, 1000, 1000},
    [230] = {230, 100601, 10053010, 262521, 3887, 1178, {0.07, 2}, 131, 131260, 952, 1000, 1052},
    [231] = {231, 100601, 10064020, 700056, 3887, 1178, {0.07, 2}, 350, 350028, 1000, 1000, 1000},
    [232] = {232, 100602, 10051030, 6125, 3887, 1178, {0.07, 2}, 3, 3062, 1000, 1000, 1000},
    [233] = {233, 100602, 10051020, 6125, 3887, 1178, {0.07, 2}, 3, 3062, 1000, 1000, 1000},
    [234] = {234, 100602, 10052010, 52504, 3887, 1178, {0.07, 2}, 26, 26252, 1000, 1000, 1000},
    [235] = {235, 100602, 10051010, 6125, 3887, 1178, {0.07, 2}, 3, 3062, 1000, 1000, 1000},
    [236] = {236, 100602, 10064010, 700056, 3887, 1178, {0.07, 2}, 350, 350028, 952, 1000, 1052},
    [237] = {237, 100603, 10051030, 7054, 4037, 1224, {0.07, 2}, 3, 3527, 1000, 1000, 1000},
    [238] = {238, 100603, 10052010, 60460, 4037, 1224, {0.07, 2}, 30, 30230, 1000, 1000, 1000},
    [239] = {239, 100603, 10051020, 7054, 4037, 1224, {0.07, 2}, 3, 3527, 1000, 1000, 1000},
    [240] = {240, 100603, 10053010, 302298, 4037, 1224, {0.07, 2}, 151, 151149, 952, 1000, 1052},
    [241] = {241, 100603, 10103008, 1209192, 4955, 1224, {0.2, 5}, 60, 604596, 1052, 952, 1000},
    [242] = {242, 100604, 10051010, 7054, 4037, 1224, {0.07, 2}, 3, 3527, 1000, 1000, 1000},
    [243] = {243, 100604, 10052010, 60460, 4037, 1255, {0.07, 2}, 30, 30230, 1000, 1000, 1000},
    [244] = {244, 100604, 10052020, 60460, 4037, 1255, {0.07, 2}, 30, 30230, 1000, 1000, 1000},
    [245] = {245, 100604, 10062010, 18138, 4037, 1255, {0.07, 2}, 9, 9069, 952, 1000, 1052},
    [246] = {246, 100604, 10062020, 18138, 4037, 1255, {0.07, 2}, 9, 9069, 952, 1000, 1052},
    [247] = {247, 100604, 10103011, 1209192, 4955, 1255, {0.2, 5}, 60, 604596, 952, 1000, 1052},
    [248] = {248, 100605, 10051010, 15356, 4114, 1278, {0.07, 2}, 7, 7678, 1000, 1000, 1000},
