ID,中文
22054,Oizik
22055,秒伤
30001,当前SSR出現機率
30002,召唤 <color=#F3EC89FF>%s</color> 次必出SSR
30003,召唤结果
30004,SUMMON RESULTS
30005,确定
30006,Heisen
30007,召唤10次
30008,Lon fetiz
30009,召唤1次
30010,Lon chiz
30011,获得:
30012,已经获得了相同角色, 自动转换成印记
30013,未抽出SSR魔女时
30014,情报
30015,模型演播室
30016,偏好
30017,背景
30018,%d岁
30019,幸运星收集
30020,奖励#预览
30021,角色预览
30022,卡池预览
30023,保底奖励
30024,再次召唤
30025,Bontim Obesi
30026,Kachi
30027,※每次召唤出非SSR魔女时，可获得1个幸运星。##※召唤出SSR时，幸运星收集进度将重置。##※幸运星收集进度达到100时，即可获得<color=#70B603FF>随机SSR魔女</color>奖励。
30028,<size=80>召</size>唤
30029,Loni
30030,%s的祈愿划破天际，召唤出SSR魔女<color=#95F204FF>%s</color>！！
30031,流派技
30032,重抽（%d/%d）
30033,确认选择
30034,新手卡池可重新召唤10回
30035,新手卡池必出SSR，您确定不去吗？！
30036,每次召唤出非SSR魔女时，可获得1个幸运星。
30037,召唤出SSR时，幸运星收集进度将重置。
30038,幸运星收集进度达到%d时，即可获得<color=#90B5F9FF>随机SSR魔女</color>奖励（角色UP卡池按UP概率进行随机）。
30039,UP池提升
30040,单体，自狙
30041,近战，爆发
30042,此卡池再抽得<size=36><color=#FDE76CFF>%d张</color></size>SSR必含<size=36><color=#FDE76CFF>%s</color></size>
30043,当前进度: %s
30044,详情
30045,<size=66>奖励</size>说明
30046,Emfiche
30047,一键领取
30048,Fo ron chiz
30049,奖励道具
30050,暂无奖励可领取
40001,出售物品数量超过上限!
40002,<size=38><color=#FFFFFFFF>%s/</color></size>
40011,暂无道具
40012,暂无武器
40013,暂无符石
40014,暂无材料
40015,暂无印记
40020,N品质
40021,R品质
40022,SR品质
40023,SSR品质
40024,武器
40025,放入的素材所获得的经验已溢出，溢出的经验将会被浪费，是否继续?
4002601,该道具不可出售
4002602,该武器不可出售
4002603,该符石不可出售
4002604,该材料不可出售
4002605,该印记不可出售
4002701,请选择出售的道具
4002702,请选择出售的武器
4002703,请选择出售的符石
4002704,请选择出售的材料
4002705,请选择出售的印记
4002801,没有可出售的道具
4002802,没有可出售的武器
4002803,没有可出售的符石
4002804,没有可出售的材料
4002805,没有可出售的印记
4002901,出售的装备中有<color=#FF6751FF>已强化过</color>装备，确定要进行出售吗？
4002902,出售的装备中有<color=#FF6751FF>稀有</color>装备，确定要进行出售吗？
4002903,出售的装备中有已<color=#FF6751FF>强化过，稀有</color>装备，确定要进行出售吗？
40034,拥有：
40035,解锁
40036,Oin
40037,锁定
40038,Oinobe
40039,装备已锁定
40040,装备已解锁
40041,出售中，无法更改锁定状态
5000,大厅
50001,背包
50002,Tai
50003,任务
50004,Mevodi
50005,暮光礼赞
50006,Cordiharci
50007,集市
50008,Fare
50009,音乐厅
50010,Husiane
50011,聊 天
50012,EMBINE
50013,有新消息！
50014,特典
50015,血之轮回
50016,Siobe omik
50017,主页
50018,魔女
50019,战斗
50020,召唤
50021,Haroche
50022,商城
50023,法典
50024,Chinfome
50025,Vod
50026,夜莺巡查
50027,%s天
50028,您有未处理的好友请求
50029,您有未处理的聊天信息
50030,忽略
60001,领取
60002,完成
60003,Difobe
60004,点击前往
60005,日常
60006,Nik
60007,挑战
60008,Tumei
60009,成就
60010,Umei
60011,没有可领取奖励
60012,<size=84>任</size>务
60013,Mevodi
60014,万
60015,前往
60016,Don
60017,已领取
60018,THE MASTER OF THE DARK DEAD
60019,SIBEL
60020,镜谧花嫁
60021,少女的纯白誓约
60022,愿此心意，与你同在
60023,日常
60024,Nik
60025,周常
60026,Keinik
60027,历练
60028,Wive
60029,养成
60030,Casum
60031,社交
60032,Tiemf
60033,收集
60034,Bonti
60035,成长
60036,Fiwine
60037,所有任务已完成
70001,突破
70002,BREACH
70003,获取
70004,MAX
70005,被动<color=#8998D2FF>%s</color>获得强化
70006,<color=#8998D2FF>%s</color>
70007,<size=76>技能</size>升級
70008,Tusuwime
70009,取消
70010,Maeliem
70011,确定
70012,Heisen
70013,升级消耗
70014,Tumerime
70015,请穿戴装备!
70016,进阶
70017,Ponik
70018,套装激活
70019,Foni
70020,强化等级
70021,Mensi
70022,效果详情
70023,Sechi
70024,觉醒
70025,Tushue
70026,Suwime
70027,星盘加成
70028,Fobesi foni
70029,装备附魔
70030,Fosin
70031,更换
70032,Tamesim
70033,<size=80>锻造</size>神殿
70034,Oben Harise
70035,强化
70036,Tamesim
70037,突破
70038,Obestui
70039,附魔
70040,Fosin
70041,选择武器
70042,Liem Memfusi
70043,装备
70044,Wimeshi
70045,卸下
70046,Tuf
70047,附魔结果
70048,Fosine
70049,原附魔
70050,Fosine pek
70051,新附魔
70052,Fosine cek
70053,快速添加
70054,Fo dicek
70055,技能展示
70056,养成
70057,评论
70058,传记
70059,好感
70060,皮肤
70061,获得
70062,Fo
70063,召唤
70064,Loni
70065,能力
70066,Mei
70067,强化阶级
70068,基础能力提升
70069,升级消耗
70070,Tumerime
70071,魔女%d星时，品质提升为
70072,魔女等级无法超越导师等级
70073,魔女等级已达上限
70074,该魔女暂时无法被召唤
70075,魔女达到%d星解锁被动
70076,魔女达到                  解锁<color=#8998D2FF>被动</color>
70077,解锁被动<color=#8998D2FF>%s</color>
70078,被动解锁
70079,Oin fosik
70080,属性提升
70081,Fwa kodi
70082,品
70083,质
70084,提
70085,升
70086,被
70087,动
70088,解
70089,锁
70090,%d级解锁
70091,红点提醒
70092,Hafesi zine
70093,概率获得
70094,已达持有上限
70095,刻印等级
70096,刻印
70097,Vecon
70098,被动强化
70099,PROMOTION
700981,品质
700982,属性
700983,等级
700984,好感
700985,更换
700986,解锁新属性
700987,强化副属性
700988,新
700989,构筑加成
700990,<size=80>魔女</size>选择
700991,Liem haroche
700992,可召唤
700993,光凝成圣洁之音，于云端之上聆听神谕。是谁在篡改真神的话语？是执迷不悟愚蠢的牧群。
700994,灵汇为自然之心，坐圣城之巅祈福圣灵。是谁在阻碍信仰的传递？是污秽不堪夜莺的魔女。
700995,当前刻印全部完成时可突破提升星级
700996,强化成功
700997,卸载
700998,一键刻印
700999,Vecon dicek
701001,属性
701002,流派
701003,排序
70000020,天赋
70000021,Harci
70000022,自动释放
70000023,手动释放
70000024,角色突破到%s星后解锁
70000025,Kachi
70000026,暴击值最终将转化为一定的暴击概率；暴击概率即魔女在战斗中触发暴击的概率
70000027,暴击值与暴击概率
70000028,暴伤值最终将转化为一定的暴伤倍率；暴击倍率即魔女在战斗中触发暴击后造成的伤害倍数
70000029,暴伤值与暴伤倍率
7100101,传记·一
7100102,传记·二
7100103,传记·三
7100104,传记·四
7100105,传记·五
7100106,传记·六
7100107,传记·七
71002,通关<color=#FFBB2AFF>%s</color>解锁
71003,角色<color=#FFBB2AFF>%s</color>级解锁
71004,好感度<color=#FFBB2AFF>%s</color>解锁
71005,拥有角色<color=#FFBB2AFF>%s</color>解锁
71006,评论信息初始化失败，请稍后再试
71007,发送内容不能为空
71008,发送包含非法字符
71009,发送内容不合法
71010,操作进行会覆盖之前评论信息，请确认
71011,新增评论时间间隔为1分钟
71012,魔女信息初始化失败，请稍后再试
71013,台词
71014,Chae
71015,该魔女未配置语音
71016,CV: %s
71017,Markache
71018,年龄: %s
71019,三围: %s  %s  %s
71020,身高: %s
71021,体重: %s
71022,种族
71023,战力评分
71024,解锁
71025,语音
71026,Chaneci
71027,Sina Buchik
71028,隐秘
71029,Prekodi
8000,魔女乐器
80001,选择图纸
80002,WIMOCHAE
80003,相识之章
80004,SUFORME RON HIASENA
80005,再遇之章
80006,SUFORME RON TIASENA
80007,神秘之章
80008,SUFORME ZALLIK
80009,演奏手册
80010,DUMIRAEME
80011,MEVODONE
80012,收集
80013,MEVODOSHE:
80014,未拥有该乐谱!
80015,DIFOBE
80016,解锁
80017,ATTACK
80018,完成
80019,BA
80020,拆卸
80021,已装备
80022,拆卸可获得
80023,SUFEWINUFI
80024,-  请选择需要拆解的乐器  -
80025,乐器加成
80026,- 无 -
80027,MARFONI
80028,额外掉落
80029,DON LICAK
80030,拥有
80031,耐久度:
80032,乐器
80033,HUSETIONI
80034,图纸
80035,WIMOCHAE
80036,组件
80037,EI
80038,更换乐器
80039,HUSETIONI
80040,乐器制作
80041,WICAF
80042,擅长乐器
80043,HUSETIONI FOCESIK
80044,MARDONE
80045,更换乐器
80046,WICON
80047,暂无可更换的乐器
80048,DON LICAK
80049,PERFORMING
80050,乐器制作
80051,加成:
80052,FONI
80053,请选择需要制作的乐器图纸
80054,制作
80055,WICAF
80056,获取
80057,SOURCE
80058,HUSETIONI
80059,贩卖
80060,传记
9000,运营活动
90001,Suobe
90002,活动
90003,活动时间
90004,活动内容
90005,Suobiane
90006,Suofine
90007,前往
90008,Don
90009,累计充值金额达到 ￥
90010,累计占卜可获得额外魔晶奖励
90011,今日最佳奖励!~
90012,TUFOHARCI NIK
90013,购买
90014,占  卜
90015,Tucaf
90016,Rotim
90017,Eodin ba
90018,已售罄
90019,￥
90020,连续签到即可获得丰厚的奖励
90021,本月签到
90022,剩余时间:
90023,Rotim
90024,达到 80 级后共可获得
90025,购买计划!
90026,领取
90027,Mevodoshe
90028,后即可领取
90029,Lv.
90030,购买后立即获得
90031,达到指定等级  即可领取指定道具奖励
90032,点击查看
90033,限时活动现已开放
90034,即买即得
90035,每日邮件
90036,奖励次数
90037,魔力结晶
90038,<size=42>双倍</size>签到奖励
90039,<size=42>双倍</size>挑战次数
90040,SINSIA
90041,* 每天完成日常任务即可增加经验
90042,已购买
90043,购买
90044,普通
90045,Cubik
90046,购买<color=FFFFFFFF>血之轮回</color>可以获得额外道具奖励
90047,Harci ri sioba
90048,轮回奖励
90049,月费计划有效期30天，每日奖励通过邮件发放
90050,超值限购礼包 每日随机刷新
90051,购买计划!
90052,继续购买 [%s/%s]
90053,%d
90054,%d
90055,%s不足，是否前往购买?
90056,%s不足，请前往集市购买哦!
90057,是否花费%s%s购买?
90058,超过购买上限!!
90059,完成
90060,当前充值
90061,任意充值后即可领取
90062,已售罄
90063,Eodin ba
90064,购买<size=38>月费计划I</size>后，可获得双倍签到奖励
90065,￥%s
90066,本月签到
90067,达到 %s 级
90068,可领取
90069,已领取
90070,￥
90071,Lv:%s解锁
90072,月卡有效期剩余%d天
90073,未开启
90074,剩余时间: %d 天
90075,剩余时间: %d 小时
90076,剩余时间: %d 分
90077,剩余时间: %d 秒
90078,请先购买成长计划I
90079,已购买
90080,Rank.
90081,<color=FFFFFFFF>%s</color>/%s
90082,累计占卜: %d天
90083,消耗 <color=#8AC261FF>%d魔力结晶</color>来解锁<color=#8AC261FF> 每日占卜</color>\n是否购买?
90084,世界上没有什么是偶然，有的只是必然
90085,购买后每天可进行一次占卜，永久有效
90086,活动未开启
90087,等级不足
90088,限时:%d天
90089,限时:%d小时
90090,限时:%d分
90091,限时:%d秒
90092,剩余时间：%s天
90093,剩余时间：%s时
90094,剩余时间：%s分
90095,剩余时间：%s秒
90096,第%d天
90097,积分 %s
90098,任务暂未开启
90099,活动已结束
90100,技能预览
90101,Oin
90102,解锁
90103,Rank%s可领取
90104,本次轮回已完美结束，请期待下期
90105,等级解锁成功
90106,%s不足，无法购买!
90107,一键领取
90108,已完成
90109,购买后可以领取稀有物品和限定皮肤！
90110,奖励已全部领取
90111,免费
90112,前往充值
90113,是否前往充值?
90114,购买后立即获得
90115,主页
90116,魔女
90117,战斗
90118,召唤
90119,<size=80>活</size>动
90120,Suobe
90121,已完成巡查次数:
90122,获取命运占卜
90123,<size=45><color=#C3C3C3FF>基</color></size>础
90124,<size=45><color=#C3B18FFF>额</color></size>外
90125,<size=70>夜莺</size>巡查
90126,Hufakosum
90127,巡查
90128,Kosum
90129,巡查奖励
90130,Kosumharci
90131,勾选后连续掷骰
90132,终止连续
90133,Bosa wimi
90134,<size=68>巡查</size>奖励
90135,Kosumharci
90136,圈数
90137,Siozemi
90138,Siozemi
90139,完成夜莺巡查 %s 圈
90140,投掷次数不足
90141,兑换商店
90142,Fesimtaise
90143,次数奖励
90144,Zemicochusi
90145,转动
90146,Siotim
90147,次数: <color=#EBEBEBFF>%s</color>
90148,<size=68>次数</size>奖励
90149,奖励次数重置时间: <color=#91B9FFFF>%s</color>
90150,SUOBIANE:
90151,次数
90152,转动命运之轮 %s 次
90153,活动结束;
90154,本轮转盘转动次数已达上限
90155,道具不足
90156,<size=68>胜利</size>馈赠
90157,Harci ri esimfa
90158,限时
90159,还有%s开启
90160,活动说明
90161,活动结束时间: %s
90162,签到
90163,Chin
90164,今天已经签到过了
90165,%s的馈赠
90166,拥有本日馈赠角色可获得以下额外奖励！
90167,%s月
90168,完|成|1|圈
90169,Sechi tuwamik
90170,售
90171,罄
90172,%s日持续
90173,购买后<color=#7E9ED2FF>立即获得</color>
90174,购买后<color=#7E9ED2FF>连续%s天(包括购买当日)邮件获取</color>
90175,7日打包
90176,<size=65>打包</size>购买
90177,Rotim
90178,活动剩余
90179,购买打包礼包后.从当日起<color=#98BFFFFF>连续7日</color>每日可领取礼包奖励
90180,距离礼包结束:
90181,触发限时礼包!
90182,礼包已失效
90183,限时礼包
90184,已购买
90185,购买
90186,已过期
90187,解锁高级奖励
90188,返利
90189,购买后总共获得
90190,等级
90191,PAGE1
90192,Esaki Chiz
90193,PAGE2
90194,Esaki Tiz
90195,已售罄
90196,未开启高级奖励，无法领取
90197,购买皮肤券
90198,Mensatai
90199,<size=80>商</size>城
90200,Taise
90201,今日已购买每日礼包
