ID,繁体
880115,<color=#e7efff>释放技能</color>
880116,<color=#e7efff>大批敌人来袭，消耗神火释放技能来消灭他们</color>
880117,能量体
880118,战斗中会随机掉落一些能量体，触碰后能强化魔女
880119,擦弹分
880120,这里显示本次战斗的<color=#87F5FFFF>擦弹总分</color>
880121,更换魔女
880122,点击对应魔女头像，可切换指定魔女上阵。
880123,移动
880124,划动屏幕可以让魔女进行移动
880125,提示
880126,幻棘系·妮蔻拉丝不仅属性克制boss，其拥有的穿透能力也非常适合这场战斗
880127,更换魔女
880128,这里就交给<color=#87F5FFFF>妮蔻拉丝</color>吧！
880129,自动必杀
880130,点击勾选可自动释放魔女技能！
880131,光炙魔女
880132,光炙系的魔女攻击目标伤害越来越高，适合应对单体目标！
880133,精力值
880134,精力值为0时，魔女的弹幕射速将变得极慢，下阵后可快速恢复精力。
880135,蓄力条
880136,蓄力条回满后，魔女将发动自身蓄力技能。
880137,爆鸣系
880138,爆鸣系会造成范围爆炸，适合清理大量敌人
880139,聚魂系
880140,聚魂系距离敌人越近伤害越高，但是要注意走位
880141,擦弹圈
880142,子弹第一次进入擦弹圈内算作一次擦弹
880143,精力值耗尽
880144,魔女精力值已耗尽，尽快切换下场，魔女下场后会持续恢复精力值和血量
880050,刻|印|成|功
880051,出版單位:上海科學技術文獻出版社有限公司 著作登記號:2018SR584992 著作權人:上海輝幻網路科技有限公司 批准文號:國新出審[2019]3176號                    版號:ISBN 978-7-498-06951-1
880053,功
880054,能
880055,開
880056,啟
888001,系统错误
888021,非法的账号名
888022,非法的密码
888023,密码错误
888025,账号未激活
888026,未开放非渠道登录
888027,未开放的渠道
888029,系统繁忙
888030,<size=65>规则</size>說明
888031,Chaebine ron ska
888032,克制关系
888033,首次奖励
888034,本周首次
888100,%d天
888101,%d小时
888102,%d分钟
888103,<1分钟
881001,光輝
881002,暗影
881003,混沌
881004,擁有
881005,本次登錄不再提醒
881006,%s不足\n消耗<color=#8AC261FF>%d%s</color>可以購買<color=#8AC261FF>%d張%s</color>\n是否購買？
881007,免費
881008,未解鎖
881009,已解鎖
881010,已完成
881011,暴擊率：%s%%，
881012,暴擊傷害：%s%%，
881013,無
881014,%s級開啟
881015,活動已結束
881016,額外獎勵
881017,挑戰次數
881018,提示
881019,Zine
881020,您對本遊戲的瞭解程度?
881021,我是大神
881022,HÄR
881023,我是新人
881024,CECARI
8810251,光輝
8810252,暗影
8810253,混沌
881025,点击空白处返回
881026,无属性
10001,《爆裂魔女》許可及服務協定和隱私保護指引
10002,帳號切換
10003,我已詳細閱讀並同意
10004,CONFIRM
10005,同意
10006,USER AGREEMENT
10007,<size=76>使用者</size>協定
10008,我已詳細閱讀並同意使用者協定和隱私協定
10009,載入中 
10010,抵制不良遊戲，拒絕盜版遊戲。注意自我保護，謹防受騙上當。
10011,適度遊戲益腦，沉迷遊戲傷身。合理安排時間，享受健康生活。
10012,遊戲版本號 %s
10013,請輸入測試帳號
10014,Loading ...
10015,當前：
10016,最近登錄
10017,LOGON RECORD
10018,維護
10019,即將開啟
10020,流暢
10021,繁忙
10022,火爆
10023,當前伺服器不可用
10024,伺服器當前維護中
10025,伺服器未到開放時間\n開放時間：
10026,你當前排在%d位
10027,%d秒後更新
10028,帳號不能為空
10029,含有非法字元
10030,請同意使用許可及服務條款
10031,伺服器鏈接失敗，請重新登錄遊戲！
10032,您已離線
10033,您的帳號在其他設備登錄
10034,伺服器已維護
10035,未知原因
10036,未知類型
10037,伺服器清單下載失敗，請檢查網路並重試
10038,檢測到網路未連結，請確保網路連結正常，是否重新連結？
10039,網路請求失敗，錯誤類型：%s
10040,<size=76>适龄</size>提示
10041,Fonizemi doi tia
10042,1、本游戏是一款难度适中的弹幕射击类游戏，适用于年龄16周岁及以上的用户，建议未成年人在家长监护下使用游戏产品。\n\n2、本游戏故事内容基于架空的西幻世界观予以原创，虽部分角色名与西方历史角色重名但不会与现实混淆。剧情积极向上，和谐友善，以互爱自爱团结为主题，以独立自强为驱动力，进行故事演说。玩家将以导师的身份带领游戏中的魔女进行对未知世界的探索和探知，鼓励玩家对求知欲的提升。游戏玩法主要通过STG游戏——即躲避弹幕及射击的玩法进行。游戏中有基于文字的陌生人社交系统，社交系统的管理遵循相关法律法规。\n\n3、本游戏中有用户实名认证系统，认证为未成年的用户将接受以下管理：\n游戏中部分玩法和道具需要付费，未满8周岁的用户不能付费；8周岁以上未满16周岁的未成年人用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。未成年用户每周五、周六、周日和法定节假日的20时至21时可使用1小时，其他时间不得使用。\n\n4、本游戏以弹幕射击为核心玩法，有助于锻炼玩家的手眼配合能力以及反应能力，能够给玩家带来成就感和愉悦感。同时本游戏美术风格独特，音乐原创性强，有助于提高玩家审美以及音乐鉴赏能力。
10043,用户协议
10044,Zemicrechae
10045,隐私政策
10046,Umichae
20001,最終BOSS剩餘生命會影響敵人的虛弱度
20002,劇情
20003,Chatui
20004,挑戰
20005,Tumei
20006,日常
20007,Nik
20008,挑戰目標
20009,Oshe tumesik
20010,Harci
20011,魔女選擇
20012,Liem haroche
20013,出戰中
20014,Ronir vodi
20015,無法出戰
20016,Marne Vod
20017,第%s節
20018,第%s章
20019,CHAPTER
20020,序章
20021,Suforme Oiz
20022,該關卡暫未解鎖
20023,首通獎勵
20024,掉落物品
20025,通關%s後開啟
20026,已通過所有關卡
20027,通關上一關後開啟
20028,關卡剩餘次數：
20030,导师達到%s級後解鎖
20031,Lv.%s解鎖
20032,暫未開啟該關卡
20033,暫未開啟該章節
20034,未滿足領取條件
20035,本章獲得總星數
20036,獲得夜鶯祝福後可用
20037,該關卡通關後可使用
20038,無法上陣相同魔女
20039,<size=80>劇</size>情
20040,<size=80>日</size>常
20041,<size=80>挑</size>戰
20042,Fo ron chiz
20043,挑战獎勵
20044,Cochusi
20045,一鍵領取
20046,回忆
20047,基本设置
20048,Cubinodde
20049,挂机设置
20050,Marbonodde
20051,必杀设置
20052,手动操作3秒后继续自动挂机
20053,优先击杀精英怪
20054,无条件使用必杀技
20055,满能量使用必杀技
20056,精英怪以上使用必杀技
20057,幻海妖歌
20060,切换设置
20061,血量低于50%时自动切换魔女
20062,精力值为0时自动切换魔女
20063,自动切换属性克制的魔女
20064,魔女养成
20065,克制<size=33><color=#91b6fa>Lv.%s</color></size>
20066,所需战力：%s
20067,条件：
20068,加成：
20069,增伤%s%%
20070,当前战力：
20071,魔女养成
20072,伤害统计
20073,战力评分
20074,关卡加成
20075,推荐等级
20076,推荐魔女等级：%s级
20077,当前魔女等级：%s
20078,<color=#91b6fa>（精英怪）</color>
20079,<color=#e1503c>（BOSS）</color>
20080,流派技设置
20081,无条件使用流派技
20082,自动切换单体或群攻魔女
20083,你的魔女等级严重不足，建议先进行魔女养成，是否继续出战？
20084,你的魔女战力严重不足，建议先进行魔女养成，是否继续出战？
20085,恢复中
20086,必须使用该剧情魔女出战
20087,导师等级达到%s级开启
20088,锁定
20089,最高评级
20090,历史最高成绩
20091,额外掉落：%s/%s
20092,生命值不足，无法释放必杀技
20093,无条件使用流派技（需先开启法典）
20094,秒
20095,个
20096,评级
20097,<size=38>%s</size>秒内击败塞壬
20098,<size=38>%s</size>个
20099,坚持<size=38>%s</size>秒
2100101,通關耗時不超過<color=#54A0FFFF>%s</color>秒
2100102,無傷通關
2100103,擊殺數達<color=#54A0FFFF>%s</color>
2100104,擦彈分數達<color=#54A0FFFF>%s</color>
2100105,必殺使用小於<color=#54A0FFFF>%s</color>次
2100106,釋放必殺<color=#54A0FFFF>%s</color>次
2100107,<color=#54A0FFFF>%s</color>秒內傷害達<color=#54A0FFFF>%s</color>
2100108,關卡通關
2100109,魔女滿血通關
2100110,使用 <color=#54A0FFFF>%s</color> 通關
2100111,上陣<color=#54A0FFFF>%s</color>個<color=#54A0FFFF>%s</color>星魔女
2100112,不使用必殺技通關
2100113,上陣不超過<color=#54A0FFFF>%s</color>個魔女
2100114,上陣<color=#54A0FFFF>%s</color>個%s品質魔女
2100115,陣亡不超過<color=#54A0FFFF>%s</color>個
2100116,上陣魔女無陣亡
2100117,上阵<color=#54A0FFFF>%s</color>个<color=#54A0FFFF>%s</color>属性的魔女
2100118,上阵<color=#54A0FFFF>%s</color>个<color=#54A0FFFF>%s</color>的魔女
2100119,擦弹<color=#54A0FFFF>%s</color>次
2100120,被击中次数低于<color=#54A0FFFF>%s</color>次
21002,合成所需印記不足
21003,未選擇出戰魔女
21004,导师等級不足
21005,本關卡今日次數已用完
21006,施法中無法切換角色
21007,戰鬥用時
21008,關卡得分
21009,擦彈得分
21010,總得分
21011,本次擊殺：
2200101,能量值
2200103,擦彈資訊
2200104,瞳距圈
2200201,<color=#87F5FFFF>能量積蓄滿</color>時會自動釋放<color=#FF8787FF>蓄力技</color>。
2200203,記錄戰鬥時的<color=#87F5FFFF>擦彈分</color>，每次擦彈則會增加分數。
2200204,進入敵人瞳距圈<color=#87F5FFFF>傷害提升20%</color>。
22003,<color=#87F5FFFF>某些敵人</color>也擁有瞳距圈，魔女可以應用<color=#87F5FFFF>瞳距重疊增幅</color>的特性，快速擊殺敵人。
22004,敵人瞳距圈
22005,釋放必殺技<color=#87F5FFFF>消耗神火</color>。
22006,神火值
22007,點擊釋放<color=#87F5FFFF>必殺技</color>。
22008,必殺技
22009,敵方子彈<color=#87F5FFFF>擊中判定點</color>後會受到傷害。
22010,擊中判定
22011,敵方子彈<color=#87F5FFFF>進入判定區域</color>時算作擦彈，會獲得<color=#FF8787FF>擦彈分</color>。
22012,擦彈判定
22013,每個魔女都擁有一隻忠誠的爪牙，在實際戰鬥中不同的爪牙會發揮其不同的作用。
22014,爪牙
22015,當爪牙存活時，魔女受到敵人攻擊時會<color=#87F5FFFF>優先扣除</color>爪牙的生命值，爪牙最多可以為魔女<color=#87F5FFFF>抵擋1次</color>致命傷害。
22016,爪牙生命值
22017,爪牙在戰鬥中會積蓄能量，當爪牙能量<color=#87F5FFFF>積蓄滿</color>時會自動釋放<color=87F5FFFF>蓄力技</color>。
22018,爪牙能量值
22019,敵人與魔女一樣擁有不同的屬性，屬性之間互相存在<color=#87F5FFFF>克制關係</color>。魔女克制敵人時造成的傷害<color=#F5E777FF>更高</color>，被克制時造成的傷害<color=#FF4040FF>降低</color>。
22020,敵人屬性
22021,光 輝
22022,暗 影
22023,混 沌
22024,不同的克制關係造成的<color=#87F5FFFF>傷害顏色</color>不同
22025,屬性克制+33%
22026,屬性相同無變化
22027,被克伤害-80%
22028,切換<color=#87F5FFFF>希貝爾</color>可以克制敵人！
22029,<color=#FFFFFF>任務目標:</color>%s擦彈達到1000分
22030,角色陣亡
22031,爪牙陣亡
22032,防禦力增加
22033,暴擊增加
2203401,擊殺敵數:
2203402,使用必殺:
22035,跳 過
22036,三星条件
22037,暫停
22038,音樂
22039,音效
22040,停止託管
22041,自動必殺
22042,自动战斗
22043,繼續遊戲
22044,擦弹
22045,點擊任意位置繼續
22046,回 顾
22047,剧情回顾
22048,剧情简述
22049,Chatui
22050,跳过
22051,Marka
22052,你的选择对这个世界产生了影响
22053,你已经做过这个选择
22054,Oizik
22055,秒伤
30001,當前SSR出現機率
30002,召唤 <color=#F3EC89FF>%s</color> 次必出SSR
30003,召喚結果
30004,SUMMON RESULTS
30005,確定
30006,Heisen
30007,召喚10次
30008,Lon fetiz
30009,召喚1次
30010,Lon chiz
30011,獲得:
30012,已經獲得了相同角色, 自動轉換成印記
30013,未抽出SSR魔女时
30014,情报
30015,模型演播室
30016,偏好
30017,背景
30018,%d岁
30019,幸运星收集
30020,奖励#预览
30021,角色预览
30022,卡池预览
30023,保底奖励
30024,再次召唤
30025,Bontim Obesi
30026,Kachi
30027,※每次召唤出非SSR魔女时，可获得1个幸运星。##※召唤出SSR时，幸运星收集进度将重置。##※幸运星收集进度达到100时，即可获得<color=#70B603FF>随机SSR魔女</color>奖励。
30028,<size=80>召</size>唤
30029,Loni
30030,%s的祈愿划破天际，召唤出SSR魔女<color=#95F204FF>%s</color>！！
30031,流派技
30032,重抽（%d/%d）
30033,确认选择
30034,新手卡池可重新召唤10回
30035,新手卡池必出SSR，您确定不去吗？！
30036,每次召唤出非SSR魔女时，可获得1个幸运星。
30037,召唤出SSR时，幸运星收集进度将重置。
30038,幸运星收集进度达到%d时，即可获得<color=#90B5F9FF>随机SSR魔女</color>奖励。（角色UP卡池按UP概率进行随机）
30039,UP池提升
30040,单体，自狙
30041,近战，爆发
30042,此卡池再抽得<size=36><color=#FDE76CFF>%d张</color></size>SSR必含<size=36><color=#FDE76CFF>%s</color></size>
30043,当前进度: %s
30044,详情
30045,<size=66>奖励</size>说明
30046,Emfiche
30047,一键领取
30048,Fo ron chiz
30049,奖励道具
30050,暂无奖励可领取
40001,出售物品數量超過上限!
40002,<size=38><color=#FFFFFFFF>%s/</color></size>
40011,暫無道具
40012,暫無武器
40013,暫無符石
40014,暫無材料
40015,暫無印記
40020,N品質
40021,R品質
40022,SR品質
40023,SSR品質
40024,武器
40025,放入的素材所獲得的經驗已溢出，溢出的經驗將會被浪費，是否繼續？
4002601,該道具不可出售
4002602,該武器不可出售
4002603,該符石不可出售
4002604,該材料不可出售
4002605,該印記不可出售
4002701,請選擇出售的道具
4002702,請選擇出售的武器
4002703,請選擇出售的符石
4002704,請選擇出售的材料
4002705,請選擇出售的印記
4002801,没有可出售的道具
4002802,没有可出售的武器
4002803,没有可出售的符石
4002804,没有可出售的材料
4002805,没有可出售的印記
4002901,出售的裝備中有<color=#FF6751FF>已強化過</color>裝備，確定要進行出售嗎？
4002902,出售的裝備中有<color=#FF6751FF>稀有</color>裝備，確定要進行出售嗎？
4002903,出售的裝備中有已<color=#FF6751FF>強化過，稀有</color>裝備，確定要進行出售嗎？
40034,擁有：
40035,解鎖
40036,Oin
40037,鎖定
40038,Oinobe
40039,裝備已鎖定
40040,裝備已解鎖
40041,出售中，無法更改鎖定狀態
5000,大廳
50001,背包
50002,Tai
50003,任務
50004,Mevodi
50005,暮光禮讚
50006,Cordiharci
50007,集市
50008,Fare
50009,音樂廳
50010,Husiane
50011,聊 天
50012,EMBINE
50013,有新訊息！
50014,特典
50015,血之輪回
50016,Siobe omik
50017,主頁
50018,魔女
50019,戰鬥
50020,召喚
50021,Haroche
50022,商城
50023,法典
50024,Chinfome
50025,Vod
50026,夜鶯巡查
50027,%s天
50028,您有未处理的好友请求
50029,您有未处理的聊天信息
50030,忽略
60001,領取
60002,完成
60003,Difobe
60004,點擊前往
60005,日常
60006,Nik
60007,挑戰
60008,Tumei
60009,成就
60010,Umei
60011,沒有可領取獎勵
60012,<size=84>任</size>務
60013,Mevodi
60014,萬
60015,前往
60016,Don
60017,已领取
60018,THE MASTER OF THE DARK DEAD
60019,SIBEL
60020,镜谧花嫁
60021,少女的纯白誓约
60022,愿此心意，与你同在
60023,日常
60024,Nik
60025,周常
60026,Keinik
60027,历练
60028,Wive
60029,养成
60030,Casum
60031,社交
60032,Tiemf
60033,收集
60034,Bonti
60035,成长
60036,Fiwine
60037,所有任务已完成
70001,突破
70002,BREACH
70003,獲取
70004,MAX
70005,天賦<color=#8998D2FF>%s</color>獲得強化
70006,<color=#8998D2FF>%s</color>
70007,<size=76>技能</size>升級
70008,Tusuwime
70009,取消
70010,Maeliem
70011,確定
70012,Heisen
70013,升級消耗
70014,Tumerime
70015,請穿戴裝備!
70016,進階
70017,Ponik
70018,套裝啟動
70019,Foni
70020,強化等級
70021,Mensi
70022,效果詳情
70023,Sechi
70024,覺醒
70025,Tushue
70026,Suwime
70027,星盤加成
70028,Fobesi foni
70029,裝備附魔
70030,Fosin
70031,更換
70032,Tamesim
70033,<size=80>鍛造</size>神殿
70034,Oben Harise
70035,強化
70036,Tamesim
70037,突破
70038,Obestui
70039,附魔
70040,Fosin
70041,選擇武器
70042,Liem Memfusi
70043,裝備
70044,Wimeshi
70045,卸下
70046,Tuf
70047,附魔結果
70048,Fosine
70049,原附魔
70050,Fosine pek
70051,新附魔
70052,Fosine cek
70053,快速增加
70054,Fo dicek
70055,技能展示
70056,養成
70057,評論
70058,傳記
70059,好感
70060,皮膚
70061,獲得
70062,Fo
70063,召喚
70064,Loni
70065,能力
70066,Mei
70067,強化階級
70068,基礎能力提升
70069,升級消耗
70070,Tumerime
70071,魔女%d星時，品質提升為
70072,魔女等級無法超越导师等級
70073,魔女等級已達上限
70074,該魔女暫時無法被召喚
70075,魔女達到%d星解鎖天賦
70076,魔女達到                  解鎖<color=#8998D2FF>天賦</color>
70077,解鎖天賦<color=#8998D2FF>%s</color>
70078,天賦解鎖
70079,Oin fosik
70080,屬性提升
70081,Fwa kodi
70082,品
70083,質
70084,提
70085,升
70086,被
70087,动
70088,解
70089,鎖
70090,%d級解鎖
70091,紅點提醒
70092,Hafesi zine
70093,可能獲得
70094,已達持有上限
70095,刻印等級
70096,刻印
70097,Vecon
70098,被動强化
70099,PROMOTION
700981,品質
700982,屬性
700983,等級
700984,好感
700985,更換
700986,解锁新属性
700987,强化副属性
700988,新
700989,構築加成
700990,<size=80>魔女</size>選擇
700991,Liem haroche
700992,可召唤
700993,光凝成圣洁之音，于云端之上聆听神谕。是谁在篡改真神的话语？是执迷不悟愚蠢的牧群。
700994,灵汇为自然之心，坐圣城之巅祈福圣灵。是谁在阻碍信仰的传递？是污秽不堪夜莺的魔女。
700995,当前刻印全部完成时可突破提升星级
700996,强化成功
700997,卸载
700998,一键刻印
700999,Vecon dicek
701001,属性
701002,流派
701003,排序
70000020,天赋
70000021,Harci
70000022,自動釋放
70000023,手動釋放
70000024,角色突破到%s星後解鎖
70000025,Kachi
70000026,暴击值最终将转化为一定的暴击概率；暴击概率即魔女在战斗中触发暴击的概率
70000027,暴击值与暴击概率
70000028,暴伤值最终将转化为一定的暴伤倍率；暴击倍率即魔女在战斗中触发暴击后造成的伤害倍数
70000029,暴伤值与暴伤倍率
7100101,傳記·一
7100102,傳記·二
7100103,傳記·三
7100104,傳記·四
7100105,傳記·五
7100106,傳記·六
7100107,傳記·七
71002,通關<color=#FFBB2AFF>%s</color>解鎖
71003,角色<color=#FFBB2AFF>%s</color>級解鎖
71004,好感度<color=#FFBB2AFF>%s</color>解鎖
71005,擁有角色<color=#FFBB2AFF>%s</color>解鎖
71006,評論資訊初始化失敗，請稍後再試
71007,發送內容不能為空
71008,發送包含非法字元
71009,發送內容不合法
71010,操作進行會覆蓋之前評論資訊，請確認
71011,新增評論時間間隔為1分鐘
71012,魔女資訊不存在
71013,臺詞
71014,Chae
71015,该魔女未配置语音
71016,CV: %s
71017,Markache
71018,年龄: %s
71019,三围: %s  %s  %s
71020,身高: %s
71021,体重: %s
71022,种族
71023,战力评分
71024,解锁
71025,语音
71026,Chaneci
71027,Sina Buchik
71028,隐秘
71029,Prekodi
8000,魔女樂器
80001,選擇圖紙
80002,WIMOCHAE
80003,相識之章
80004,SUFORME RON HIASENA
80005,再遇之章
80006,SUFORME RON TIASENA
80007,神秘之章
80008,SUFORME ZALLIK
80009,演奏手冊
80010,DUMIRAEME
80011,MEVODONE
80012,收集
80013,MEVODOSHE:
80014,未擁有該樂譜!
80015,DIFOBE
80016,解鎖
80017,ATTACK
80018,完成
80019,BA
80020,拆卸
80021,已裝備
80022,拆卸可獲得
80023,SUFEWINUFI
80024,-  請選擇需要拆解的樂器  -
80025,樂器加成
80026,- 無 -
80027,MARFONI
80028,額外掉落
80029,DON LICAK
80030,擁有
80031,耐久度:
80032,樂器
80033,HUSETIONI
80034,圖紙
80035,WIMOCHAE
80036,組件
80037,EI
80038,更換樂器
80039,HUSETIONI
80040,樂器製作
80041,WICAF
80042,擅長樂器
80043,HUSETIONI FOCESIK
80044,MARDONE
80045,更換樂器
80046,WICON
80047,暫無可更換的樂器
80048,DON LICAK
80049,PERFORMING
80050,樂器製作
80051,加成:
80052,FONI
80053,請選擇需要製作的樂器圖紙
80054,製作
80055,WICAF
80056,獲取
80057,SOURCE
80058,HUSETIONI
80059,販賣
80060,传记
9000,營運活動
90001,Suobe
90002,活動
90003,活動時間
90004,活動內容
90005,Suobiane
90006,Suofine
90007,前往
90008,Don
90009,累計儲值金額達到 ￥
90010,累計占卜可獲得額外魔晶獎勵
90011,今日最佳獎勵!~
90012,TUFOHARCI NIK
90013,購買
90014,占  卜
90015,Tucaf
90016,Rotim
90017,Eodin ba
90018,已售罄
90019,￥
90020,連續簽到即可獲得豐厚的獎勵
90021,本月簽到
90022,剩餘時間:
90023,Rotim
90024,達到 80 級後共可獲得
90025,購買計劃!
90026,領取
90027,Mevodoshe
90028,後即可領取
90029,Lv.
90030,購買後立即獲得
90031,達到指定等級  即可領取指定道具獎勵
90032,點擊查看
90033,限時活動現已開放
90034,即買即得
90035,每日郵件
90036,指定章節
90037,魔晶
90038,<size=42>雙倍</size>簽到獎勵
90039,<size=42>雙倍</size>挑戰次數
90040,SINSIA
90041,* 每天完成日常任務即可增加經驗
90042,已購買
90043,購買
90044,普通
90045,Cubik
90046,購買<color=FFFFFFFF>血之輪回</color>可以獲得額外道具獎勵
90047,Harci ri sioba
90048,輪回獎勵
90049,購買後，獎勵會透過郵件一起發放
90050,超值限購禮包 每日隨機更新
90051,購買計劃!
90052,繼續購買 [%s/%s]
90053,%d
90054,%d
90055,%s不足，是否前往購買?
90056,%s不足，請前往集市購買唷!
90057,是否花費%s%s購買?
90058,超過購買上限!!
90059,完成
90060,當前儲值
90061,任意儲值後即可領取
90062,已售罄
90063,Eodin ba
90064,購買<size=38>月費計劃I</size>後，可獲得雙倍簽到獎勵
90065,￥%s
90066,本月簽到
90067,達到 %s 級
90068,可領取
90069,已領取
90070,￥
90071,Lv:%s解锁
90072,月卡有效期剩餘%d天
90073,未開啟
90074,剩餘時間: %d 天
90075,剩餘時間: %d 小時
90076,剩餘時間: %d 分
90077,剩餘時間: %d 秒
90078,請先購買成長計劃I
90079,已購買
90080,Rank.
90081,<color=FFFFFFFF>%s</color>/%s
90082,累計占卜: %d天
90083,消耗 <color=#8AC261FF>%d魔晶</color>來解鎖<color=#8AC261FF> 每日占卜</color>\n是否購買?
90084,世界上沒有什麼是偶然，有的只是必然
90085,購買後每天可進行一次占卜，永久有效
90086,活動未開啟
90087,等級不足
90088,限時:%d天
90089,限時:%d小時
90090,限時:%d分
90091,限時:%d秒
90092,剩餘時間：%s天
90093,剩餘時間：%s時
90094,剩餘時間：%s分
90095,剩餘時間：%s秒
90096,第%d天
90097,積分 %s
90098,任務暫未開啟
90099,活動已結束
90100,技能預覽
90101,Oin
90102,解鎖
90103,Rank%s可領取
90104,本次輪回已完美結束，請期待下期
90105,等級解鎖成功
90106,%s不足，無法購買!
90107,一鍵領取
90108,已完成
90109,购买后可以领取稀有物品和限定皮肤！
90110,獎勵已全部領取
90111,免費
90112,前往儲值
90113,是否前往儲值？
90114,購買後立即獲得
90115,主頁
90116,魔女
90117,戰鬥
90118,召喚
90119,<size=80>活</size>动
90120,Suobe
90121,已完成巡查次数:
90122,获取命运占卜
90123,<size=45><color=#C3C3C3FF>基</color></size>础
90124,<size=45><color=#C3B18FFF>额</color></size>外
90125,<size=70>夜莺</size>巡查
90126,Hufakosum
90127,巡查
90128,Kosum
90129,巡查奖励
90130,Kosumharci
90131,勾选后连续掷骰
90132,终止连续
90133,Bosa wimi
90134,<size=68>巡查</size>獎勵
90135,Kosumharci
90136,圈数
90137,Siozemi
90138,Siozemi
90139,完成夜莺巡查 %s 圈
90140,投掷次数不足
90141,兑换商店
90142,Fesimtaise
90143,次数奖励
90144,Zemicochusi
90145,轉動
90146,Siotim
90147,次数: <color=#EBEBEBFF>%s</color>
90148,<size=68>次数</size>奖励
90149,奖励次数重置时间: <color=#91B9FFFF>%s</color>
90150,SUOBIANE:
90151,次数
90152,轉動命運之輪 %s 次
90153,活动结束;
90154,本轮转盘转动次数已达上限
90155,道具不足
90156,<size=68>胜利</size>馈赠
90157,Harci ri esimfa
90158,限时
90159,还有%s开启
90160,活動說明
90161,活動結束時間: %s
90162,簽到
90163,Chin
90164,今天已經簽到過了
90165,%s的饋贈
90166,擁有本日饋贈角色可獲得以下額外獎勵！
90167,%s月
90168,完|成|1|圈
90169,Sechi tuwamik
90170,售
90171,罄
90172,%s日持续
90173,购买后<color=#7E9ED2FF>立即获得</color>
90174,购买后<color=#7E9ED2FF>连续%s天(包括购买当日)邮件获取</color>
90175,7日打包
90176,<size=65>打包</size>购买
90177,Rotim
90178,活动剩余
